Timeline,Start time,Row,Instance number,Ungrouped,Notes,Flags,Duration
,15477.62,Start/Finish,,,,,
,15487.12,No Change,,,,,
,15492.28,No Change,,,,,
,15496.72,No Change,,,,,
,15500.94,No Change,,,,,
,15505,No Change,,,,,
,15509.02,No Change,,,,,
,15513.02,No Change,,,,,
,15516.96,No Change,,,,,
,15520.92,No Change,,,,,
,15524.92,No Change,,,,,
,15528.88,No Change,,,,,
,15532.86,No Change,,,,,
,15536.84,No Change,,,,,
,15540.86,No Change,,,,,
,15544.88,No Change,,,,,
,15548.9,No Change,,,,,
,15552.92,No Change,,,,,
,15556.96,No Change,,,,,
,15560.98,No Change,,,,,
,15564.98,No Change,,,,,
,15569,No Change,,,,,
,15573,No Change,,,,,
,15577.02,No Change,,,,,
,15581.04,No Change,,,,,
,15585.06,No Change,,,,,
,15589.06,No Change,,,,,
,15593.08,No Change,,,,,
,15597.1,No Change,,,,,
,15601.1,No Change,,,,,
,15605.1,No Change,,,,,
,15609.1,No Change,,,,,
,15613.08,No Change,,,,,
,15617.1,No Change,,,,,
,15621.1,No Change,,,,,
,15625.12,No Change,,,,,
,15629.12,No Change,,,,,
,15633.14,No Change,,,,,
,15637.16,No Change,,,,,
,15641.2,No Change,,,,,
,15645.26,No Change,,,,,
,15649.36,No Change,,,,,
,15653.4,No Change,,,,,
,15657.5,No Change,,,,,
,15661.56,No Change,,,,,
,15665.66,No Change,,,,,
,15669.72,No Change,,,,,
,15673.84,No Change,,,,,
,15677.92,No Change,,,,,
