Timeline,Start time,Duration,Row,Instance number,Ungrouped,Notes,Flags
Cairo WTP Final,30.141666667,0.0,Start/Finish,1,,,
Cairo WTP Final,285.121666667,0.0,Start/Finish,2,,,
Cairo WTP Final,39.261666667,0.0,No Change,1,,,
Cairo WTP Final,44.281666667,0.0,No Change,2,,,
Cairo WTP Final,48.641666667,0.0,No Change,3,,,
Cairo WTP Final,52.801666667,0.0,No Change,4,,,
Cairo WTP Final,56.841666667,0.0,No Change,5,,,
Cairo WTP Final,60.821666667,0.0,No Change,6,,,
Cairo WTP Final,64.741666667,0.0,No Change,7,,,
Cairo WTP Final,68.641666667,0.0,No Change,8,,,
Cairo WTP Final,76.541666667,0.0,No Change,9,,,
Cairo WTP Final,80.361666667,0.0,No Change,10,,,
Cairo WTP Final,84.181666667,0.0,No Change,11,,,
Cairo WTP Final,88.041666667,0.0,No Change,12,,,
Cairo WTP Final,91.921666667,0.0,No Change,13,,,
Cairo WTP Final,95.781666667,0.0,No Change,14,,,
Cairo WTP Final,99.641666667,0.0,No Change,15,,,
Cairo WTP Final,107.541666667,0.0,No Change,16,,,
Cairo WTP Final,111.361666667,0.0,No Change,17,,,
Cairo WTP Final,115.161666667,0.0,No Change,18,,,
Cairo WTP Final,118.961666667,0.0,No Change,19,,,
Cairo WTP Final,122.781666667,0.0,No Change,20,,,
Cairo WTP Final,126.581666667,0.0,No Change,21,,,
Cairo WTP Final,130.361666667,0.0,No Change,22,,,
Cairo WTP Final,138.161666667,0.0,No Change,23,,,
Cairo WTP Final,141.981666667,0.0,No Change,24,,,
Cairo WTP Final,145.821666667,0.0,No Change,25,,,
Cairo WTP Final,149.641666667,0.0,No Change,26,,,
Cairo WTP Final,153.561666667,0.0,No Change,27,,,
Cairo WTP Final,157.421666667,0.0,No Change,28,,,
Cairo WTP Final,161.281666667,0.0,No Change,29,,,
Cairo WTP Final,169.101666667,0.0,No Change,30,,,
Cairo WTP Final,172.921666667,0.0,No Change,31,,,
Cairo WTP Final,176.761666667,0.0,No Change,32,,,
Cairo WTP Final,184.601666667,0.0,No Change,33,,,
Cairo WTP Final,188.461666667,0.0,No Change,34,,,
Cairo WTP Final,192.301666667,0.0,No Change,35,,,
Cairo WTP Final,196.181666667,0.0,No Change,36,,,
Cairo WTP Final,200.081666667,0.0,No Change,37,,,
Cairo WTP Final,203.981666667,0.0,No Change,38,,,
Cairo WTP Final,207.861666667,0.0,No Change,39,,,
Cairo WTP Final,215.741666667,0.0,No Change,40,,,
Cairo WTP Final,219.561666667,0.0,No Change,41,,,
Cairo WTP Final,223.341666667,0.0,No Change,42,,,
Cairo WTP Final,227.121666667,0.0,No Change,43,,,
Cairo WTP Final,230.941666667,0.0,No Change,44,,,
Cairo WTP Final,234.761666667,0.0,No Change,45,,,
Cairo WTP Final,238.561666667,0.0,No Change,46,,,
Cairo WTP Final,246.341666667,0.0,No Change,47,,,
Cairo WTP Final,250.181666667,0.0,No Change,48,,,
Cairo WTP Final,254.081666667,0.0,No Change,49,,,
Cairo WTP Final,261.961666667,0.0,No Change,50,,,
Cairo WTP Final,265.801666667,0.0,No Change,51,,,
Cairo WTP Final,269.581666667,0.0,No Change,52,,,
Cairo WTP Final,273.381666667,0.0,No Change,53,,,
Cairo WTP Final,277.181666667,0.0,No Change,54,,,
Cairo WTP Final,281.021666667,0.0,No Change,55,,,
Cairo WTP Final,72.661666667,0.0,Change,1,,,
Cairo WTP Final,103.641666667,0.0,Change,2,,,
Cairo WTP Final,134.301666667,0.0,Change,3,,,
Cairo WTP Final,165.261666667,0.0,Change,4,,,
Cairo WTP Final,180.741666667,0.0,Change,5,,,
Cairo WTP Final,211.861666667,0.0,Change,6,,,
Cairo WTP Final,242.521666667,0.0,Change,7,,,
Cairo WTP Final,258.081666667,0.0,Change,8,,,
