Timeline,Start time,Duration,Row,Instance number,Ungrouped,Notes,Flags
Cairo WTP R1,31.741666667,0.0,Start/Finish,1,,,
Cairo WTP R1,291.301666667,0.0,Start/Finish,2,,,
Cairo WTP R1,41.001666667,0.0,No Change,1,,,
Cairo WTP R1,46.021666667,0.0,No Change,2,,,
Cairo WTP R1,50.401666667,0.0,No Change,3,,,
Cairo WTP R1,54.561666667,0.0,No Change,4,,,
Cairo WTP R1,58.561666667,0.0,No Change,5,,,
Cairo WTP R1,62.481666667,0.0,No Change,6,,,
Cairo WTP R1,66.381666667,0.0,No Change,7,,,
Cairo WTP R1,70.261666667,0.0,No Change,8,,,
Cairo WTP R1,78.121666667,0.0,No Change,9,,,
Cairo WTP R1,81.941666667,0.0,No Change,10,,,
Cairo WTP R1,85.781666667,0.0,No Change,11,,,
Cairo WTP R1,89.641666667,0.0,No Change,12,,,
Cairo WTP R1,93.501666667,0.0,No Change,13,,,
Cairo WTP R1,97.441666667,0.0,No Change,14,,,
Cairo WTP R1,101.381666667,0.0,No Change,15,,,
Cairo WTP R1,109.381666667,0.0,No Change,16,,,
Cairo WTP R1,113.281666667,0.0,No Change,17,,,
Cairo WTP R1,117.201666667,0.0,No Change,18,,,
Cairo WTP R1,121.081666667,0.0,No Change,19,,,
Cairo WTP R1,124.941666667,0.0,No Change,20,,,
Cairo WTP R1,128.801666667,0.0,No Change,21,,,
Cairo WTP R1,132.641666667,0.0,No Change,22,,,
Cairo WTP R1,136.501666667,0.0,No Change,23,,,
Cairo WTP R1,140.361666667,0.0,No Change,24,,,
Cairo WTP R1,148.281666667,0.0,No Change,25,,,
Cairo WTP R1,152.201666667,0.0,No Change,26,,,
Cairo WTP R1,156.141666667,0.0,No Change,27,,,
Cairo WTP R1,160.101666667,0.0,No Change,28,,,
Cairo WTP R1,164.021666667,0.0,No Change,29,,,
Cairo WTP R1,171.981666667,0.0,No Change,30,,,
Cairo WTP R1,175.841666667,0.0,No Change,31,,,
Cairo WTP R1,179.721666667,0.0,No Change,32,,,
Cairo WTP R1,187.581666667,0.0,No Change,33,,,
Cairo WTP R1,191.441666667,0.0,No Change,34,,,
Cairo WTP R1,195.341666667,0.0,No Change,35,,,
Cairo WTP R1,199.281666667,0.0,No Change,36,,,
Cairo WTP R1,203.201666667,0.0,No Change,37,,,
Cairo WTP R1,207.101666667,0.0,No Change,38,,,
Cairo WTP R1,211.061666667,0.0,No Change,39,,,
Cairo WTP R1,219.121666667,0.0,No Change,40,,,
Cairo WTP R1,223.061666667,0.0,No Change,41,,,
Cairo WTP R1,227.001666667,0.0,No Change,42,,,
Cairo WTP R1,230.961666667,0.0,No Change,43,,,
Cairo WTP R1,234.901666667,0.0,No Change,44,,,
Cairo WTP R1,238.861666667,0.0,No Change,45,,,
Cairo WTP R1,242.821666667,0.0,No Change,46,,,
Cairo WTP R1,246.821666667,0.0,No Change,47,,,
Cairo WTP R1,250.801666667,0.0,No Change,48,,,
Cairo WTP R1,259.001666667,0.0,No Change,49,,,
Cairo WTP R1,267.361666667,0.0,No Change,50,,,
Cairo WTP R1,271.301666667,0.0,No Change,51,,,
Cairo WTP R1,275.201666667,0.0,No Change,52,,,
Cairo WTP R1,279.161666667,0.0,No Change,53,,,
Cairo WTP R1,283.101666667,0.0,No Change,54,,,
Cairo WTP R1,287.021666667,0.0,No Change,55,,,
Cairo WTP R1,74.261666667,0.0,Change,1,,,
Cairo WTP R1,105.461666667,0.0,Change,2,,,
Cairo WTP R1,144.381666667,0.0,Change,3,,,
Cairo WTP R1,168.081666667,0.0,Change,4,,,
Cairo WTP R1,183.721666667,0.0,Change,5,,,
Cairo WTP R1,215.181666667,0.0,Change,6,,,
Cairo WTP R1,254.941666667,0.0,Change,7,,,
Cairo WTP R1,263.301666667,0.0,Change,8,,,
