Title,Time,Duration,Action,Instance number
2023 Jakarta NC W Mad,81.88,0,Gap,1
2023 Jakarta NC W Mad,99.04,0,Gap,2
2023 Jakarta NC W Mad,105.2691556,0,2,1
2023 Jakarta NC W Mad,115.68,0.14,Gap,3
2023 Jakarta NC W Mad,132.98,0.36,Gap,4
2023 Jakarta NC W Mad,148.98,0.44,Gap,5
2023 Jakarta NC W Mad,157.9633889,0,5,1
2023 Jakarta NC W Mad,166.2,0.6,Gap,6
2023 Jakarta NC W Mad,183.9,0.3,Gap,7
2023 Jakarta NC W Mad,201.12,0.2,Gap,8
2023 Jakarta NC W Mad,218.22,0.6,Gap,9
2023 Jakarta NC W Mad,233.68,1.84,Gap,10
2023 Jakarta NC W Mad,234.7731556,0,10,1
2023 Jakarta NC W Mad,249.3,1.54,Gap,11
2023 Jakarta NC W Mad,265.2,2.14,Gap,12
2023 Jakarta NC W Mad,283.22,1.5,Gap,13
2023 Jakarta NC W Mad,301.64,0.64,Gap,14
2023 Jakarta NC W Mad,306.8869778,0,12,1
2023 Jakarta NC W Mad,319.68,0.3,Gap,15
2023 Jakarta NC W Mad,435.078,0.12,Gap,16
2023 Jakarta NC W Mad,451.918,0.16,Gap,17
2023 Jakarta NC W Mad,459.1986222,0,2,2
2023 Jakarta NC W Mad,468.858,0.2,Gap,18
2023 Jakarta NC W Mad,486.098,0.16,Gap,19
2023 Jakarta NC W Mad,503.198,0,Gap,20
2023 Jakarta NC W Mad,512.798,0,2,3
2023 Jakarta NC W Mad,519.638,0,Gap,21
2023 Jakarta NC W Mad,535.558,0,Gap,22
2023 Jakarta NC W Mad,550.018,0.48,Gap,23
2023 Jakarta NC W Mad,554.4119889,0,3,1
2023 Jakarta NC W Mad,566.298,0.28,Gap,24
2023 Jakarta NC W Mad,584.098,0,Gap,25
2023 Jakarta NC W Mad,601.598,0,Gap,26
2023 Jakarta NC W Mad,603.0107778,0,1,1
2023 Jakarta NC W Mad,619.378,0,Gap,27
2023 Jakarta NC W Mad,638.138,0.04,Gap,28
2023 Jakarta NC W Mad,655.518,0,Gap,29
2023 Jakarta NC W Mad,662.638,0,1,2
2023 Jakarta NC W Mad,672.778,0.18,Gap,30
2023 Jakarta NC W Mad,687.4378,1.2802,Gap,31
2023 Jakarta NC W Mad,702.138,1.52,Gap,32
2023 Jakarta NC W Mad,707.9293778,0,5,2
2023 Jakarta NC W Mad,716.758,1.72,Gap,33
2023 Jakarta NC W Mad,732.458,0.76,Gap,34
2023 Jakarta NC W Mad,750.238,0.14,Gap,35
2023 Jakarta NC W Mad,751.9611889,0,2,4
2023 Jakarta NC W Mad,768.878,0.3,Gap,36
2023 Jakarta NC W Mad,786.838,0,Gap,37
2023 Jakarta NC W Mad,803.6928556,0,1,3
2023 Jakarta NC W Mad,804.358,0,Gap,38
2023 Jakarta NC W Mad,822.298,0,Gap,39
2023 Jakarta NC W Mad,839.598,0,Gap,40
2023 Jakarta NC W Mad,856.558,0,Gap,41
2023 Jakarta NC W Mad,864.5637222,0,1,4
2023 Jakarta NC W Mad,872.458,0,Gap,42
2023 Jakarta NC W Mad,887.218,0,Gap,43
2023 Jakarta NC W Mad,903.998,0.42,Gap,44
2023 Jakarta NC W Mad,909.8982889,0,2,5
2023 Jakarta NC W Mad,919.818,1.34,Gap,45
2023 Jakarta NC W Mad,937.738,0.64,Gap,46
2023 Jakarta NC W Mad,953.438,1.24,Gap,47
2023 Jakarta NC W Mad,957.1013333,0,6,1
2023 Jakarta NC W Mad,969.038,1.372622222,Gap,48
2023 Jakarta NC W Mad,986.098,0.72,Gap,49
2023 Jakarta NC W Mad,999.6233889,0,7,1
2023 Jakarta NC W Mad,1003.518,0.66,Gap,50
2023 Jakarta NC W Mad,1021.338,0.14,Gap,51
2023 Jakarta NC W Mad,1038.798,0.2,Gap,52
2023 Jakarta NC W Mad,1051.658322,0,3,2
2023 Jakarta NC W Mad,1054.420567,0.977433333,Gap,53
2023 Jakarta NC W Mad,1071.138,0.34,Gap,54
2023 Jakarta NC W Mad,1090.378,0.12,Gap,55
2023 Jakarta NC W Mad,1105.419111,0,1,5
