Timeline,Start time,Duration,Row,Instance number,Ungrouped,Notes,Flags
Jakarta_R1,11.13333333,0,Start/Finish,1,,,
Jakarta_R1,20.1,0,No Change,1,,,
Jakarta_R1,24.9,0,No Change,2,,,
Jakarta_R1,29.1,0,No Change,3,,,
Jakarta_R1,33.1,0,No Change,4,,,
Jakarta_R1,36.93333333,0,No Change,5,,,
Jakarta_R1,40.73333333,0,No Change,6,,,
Jakarta_R1,44.5,0,No Change,7,,,
Jakarta_R1,48.26666667,0,No Change,8,,,
Jakarta_R1,52.13333333,0,Change,1,,,
Jakarta_R1,55.8,0,No Change,9,,,
Jakarta_R1,59.53333333,0,No Change,10,,,
Jakarta_R1,63.23333333,0,No Change,11,,,
Jakarta_R1,66.96666667,0,No Change,12,,,
Jakarta_R1,70.66666667,0,No Change,13,,,
Jakarta_R1,74.53333333,0,Change,2,,,
Jakarta_R1,78.26666667,0,No Change,14,,,
Jakarta_R1,82,0,No Change,15,,,
Jakarta_R1,85.7,0,No Change,16,,,
Jakarta_R1,89.43333333,0,No Change,17,,,
Jakarta_R1,93.16666667,0,No Change,18,,,
Jakarta_R1,96.9,0,No Change,19,,,
Jakarta_R1,100.6,0,No Change,20,,,
Jakarta_R1,104.3333333,0,No Change,21,,,
Jakarta_R1,108.0919333,0,No Change,22,,,
Jakarta_R1,112,0,Change,3,,,
Jakarta_R1,115.7,0,No Change,23,,,
Jakarta_R1,119.4666667,0,No Change,24,,,
Jakarta_R1,123.2333333,0,No Change,25,,,
Jakarta_R1,127,0,No Change,26,,,
Jakarta_R1,130.7333333,0,No Change,27,,,
Jakarta_R1,134.5,0,No Change,28,,,
Jakarta_R1,138.3,0,No Change,29,,,
Jakarta_R1,142.0666667,0,No Change,30,,,
Jakarta_R1,145.8,0,No Change,31,,,
Jakarta_R1,149.7,0,Change,4,,,
Jakarta_R1,153.4333333,0,No Change,32,,,
Jakarta_R1,157.1666667,0,No Change,33,,,
Jakarta_R1,160.9,0,No Change,34,,,
Jakarta_R1,164.7333333,0,Change,5,,,
Jakarta_R1,168.5,0,No Change,35,,,
Jakarta_R1,172.2298111,0,No Change,36,,,
Jakarta_R1,176,0,No Change,37,,,
Jakarta_R1,179.8,0,No Change,38,,,
Jakarta_R1,183.6,0,No Change,39,,,
Jakarta_R1,187.5,0,Change,6,,,
Jakarta_R1,191.2666667,0,No Change,40,,,
Jakarta_R1,195.0666667,0,No Change,41,,,
Jakarta_R1,198.8333333,0,No Change,42,,,
Jakarta_R1,202.6,0,No Change,43,,,
Jakarta_R1,206.3666667,0,No Change,44,,,
Jakarta_R1,210.1666667,0,No Change,45,,,
Jakarta_R1,213.9333333,0,No Change,46,,,
Jakarta_R1,217.8266889,0,Change,7,,,
Jakarta_R1,221.6333333,0,No Change,47,,,
Jakarta_R1,225.5,0,No Change,48,,,
Jakarta_R1,229.4333333,0,No Change,49,,,
Jakarta_R1,233.3666667,0,No Change,50,,,
Jakarta_R1,237.3,0,No Change,51,,,
Jakarta_R1,241.2333333,0,No Change,52,,,
Jakarta_R1,245.2333333,0,No Change,53,,,
Jakarta_R1,249.2333333,0,No Change,54,,,
Jakarta_R1,253.2666667,0,No Change,55,,,
Jakarta_R1,257.4,0,No Change,56,,,
Jakarta_R1,261.7666667,0,Start/Finish,2,,,
