,Location,Year,Date,Event,Round,Heat,Rank,Athlete,Country,UCI_ID,Age,Initial_CSE,Final_CSE,ExpectedRank,RatingChange
0,Astana,2012,2011-11-05,WC,R1,1,1,BÖTTICHER_Stefan,GER,10048325582.0,19.8,9.0,22.091,1.0,
1,Astana,2012,2011-11-05,WC,R1,1,2,ZHANG_Miao,CHN_,10006737945.0,23.2,9.0,17.986,1.0,
2,Astana,2012,2011-11-05,WC,R1,1,3,PHILLIP_Njisane,TTO,10006898401.0,20.4,9.0,14.16,1.0,
3,Astana,2012,2011-11-05,WC,R1,1,4,D'ALMEIDA_Michael,FRA,10004618796.0,24.2,9.0,9.870000000000001,1.0,
4,Astana,2012,2011-11-05,WC,R1,1,5,TEKLINSKI_Adrian,POL,10005364585.0,22.0,9.0,3.365,1.0,
5,Astana,2012,2011-11-05,WC,R1,2,1,HOY_Chris,SKY_,10001564310.0,35.6,9.0,22.091,1.0,
6,Astana,2012,2011-11-05,WC,R1,2,2,POLYNSKIY_Sergey,PHL_,10003291718.0,30.1,9.0,17.986,1.0,
7,Astana,2012,2011-11-05,WC,R1,2,3,VELOCE_Joseph,CAN_,10006105930.0,22.5,9.0,14.16,1.0,
8,Astana,2012,2011-11-05,WC,R1,2,4,NAKAGAWA_Seiichiro,JPN_,10002830360.0,32.4,9.0,9.870000000000001,1.0,
9,Astana,2012,2011-11-05,WC,R1,2,5,MASSIE_Giddeon,USA,10002260484.0,30.2,9.0,3.365,1.0,
10,Astana,2012,2011-11-05,WC,R1,3,1,VOLIKAKIS_Christos,GRE,10004633247.0,23.6,9.0,22.091,1.0,
11,Astana,2012,2011-11-05,WC,R1,3,2,MAZQUIARAN_URIA_Hodei,ESP_,10004613039.0,22.9,9.0,17.986,1.0,
12,Astana,2012,2011-11-05,WC,R1,3,3,HAAK_Hugo,NED_,10006900320.0,20.0,9.0,14.16,1.0,
13,Astana,2012,2011-11-05,WC,R1,3,4,ASKARI_Ali,IRI,10006115327.0,21.6,9.0,9.870000000000001,1.0,
14,Astana,2012,2011-11-05,WC,R1,3,5,CECI_Luca,ITA,10006108051.0,22.8,9.0,3.365,1.0,
15,Astana,2012,2011-11-05,WC,R1,4,1,PERKINS_Shane_Alan,RUS,10051694112.0,24.8,9.0,22.091,1.0,
16,Astana,2012,2011-11-05,WC,R1,4,2,WÄCHTER_Tobias,GER,10036244537.0,23.3,9.0,17.986,1.0,
17,Astana,2012,2011-11-05,WC,R1,4,3,KUBEEV_Andrey,RUS_,10006173931.0,,9.0,14.16,1.0,
18,Astana,2012,2011-11-05,WC,R1,4,4,NITTA_Yudai,JPN,10005727327.0,25.8,9.0,9.870000000000001,1.0,
19,Astana,2012,2011-11-05,WC,R1,4,5,VYNOKUROV_Andrii,UKR,10002418415.0,29.2,9.0,3.365,1.0,
20,Astana,2012,2011-11-05,WC,R1,5,1,LEVY_Maximilian,GER,10004601723.0,24.4,9.0,23.342999999999996,1.0,
21,Astana,2012,2011-11-05,WC,R1,5,2,CANELON_VERA_Hersony_Gadiel,VEN,10004717719.0,22.9,9.0,19.603,1.0,
22,Astana,2012,2011-11-05,WC,R1,5,3,CECI_Francesco,ITA,10006073493.0,21.9,9.0,16.281999999999996,1.0,
23,Astana,2012,2011-11-05,WC,R1,5,4,NARVAEZ_ROMERO_Leonardo,COL,10002288069.0,30.9,9.0,12.906,1.0,
24,Astana,2012,2011-11-05,WC,R1,5,5,"NG_Onn_Lam,_Josiah",MAS_,10055651813.0,,9.0,8.944999999999999,1.0,
25,Astana,2012,2011-11-05,WC,R1,5,6,CIPRIANO_Flavio_Vagner,BRA,10007165755.0,21.8,9.0,2.7489999999999988,1.0,
26,Astana,2012,2011-11-05,WC,R1,6,1,BORISOV_Sergei,RUS,10002558558.0,28.8,9.0,23.342999999999996,1.0,
27,Astana,2012,2011-11-05,WC,R1,6,2,AWANG_Mohd_Azizulhasni,MAS,10004868370.0,23.8,9.0,19.603,1.0,
28,Astana,2012,2011-11-05,WC,R1,6,3,ESTERHUIZEN_Bernard,RSA_,10006893852.0,19.1,9.0,16.281999999999996,1.0,
29,Astana,2012,2011-11-05,WC,R1,6,4,ŠPIČKA_Denis,CZE_,10004723476.0,23.2,9.0,12.906,1.0,
30,Astana,2012,2011-11-05,WC,R1,6,5,KENNY_Jason,GBR,10004599194.0,23.6,9.0,8.944999999999999,1.0,
31,Astana,2012,2011-11-05,WC,R1,6,6,AUDI_Raja,LIB,10006107748.0,32.0,9.0,2.7489999999999988,1.0,
32,Astana,2012,2011-11-05,WC,Rep,1,1,ZHANG_Miao,CHN_,10006737945.0,23.2,17.986,21.722,1.0,
33,Astana,2012,2011-11-05,WC,Rep,1,2,VYNOKUROV_Andrii,UKR,10002418415.0,29.2,3.365,12.339,3.0,
34,Astana,2012,2011-11-05,WC,Rep,1,3,ESTERHUIZEN_Bernard,RSA_,10006893852.0,19.1,16.281999999999996,14.113000000000001,2.0,
35,Astana,2012,2011-11-05,WC,Rep,1,4,CECI_Luca,ITA,10006108051.0,22.8,3.365,2.3660000000000014,3.0,
36,Astana,2012,2011-11-05,WC,Rep,2,1,NITTA_Yudai,JPN,10005727327.0,25.8,9.870000000000001,19.402,4.0,
37,Astana,2012,2011-11-05,WC,Rep,2,2,POLYNSKIY_Sergey,PHL_,10003291718.0,30.1,17.986,19.913999999999998,1.0,
38,Astana,2012,2011-11-05,WC,Rep,2,3,CECI_Francesco,ITA,10006073493.0,21.9,16.281999999999996,16.506,2.0,
39,Astana,2012,2011-11-05,WC,Rep,2,4,NARVAEZ_ROMERO_Leonardo,COL,10002288069.0,30.9,12.906,10.92,3.0,
40,Astana,2012,2011-11-05,WC,Rep,3,1,MAZQUIARAN_URIA_Hodei,ESP_,10004613039.0,22.9,17.986,22.204,1.0,
41,Astana,2012,2011-11-05,WC,Rep,3,2,KUBEEV_Andrey,RUS_,10006173931.0,,14.16,16.516,2.0,
42,Astana,2012,2011-11-05,WC,Rep,3,3,CIPRIANO_Flavio_Vagner,BRA,10007165755.0,21.8,2.7489999999999988,7.994,4.0,
43,Astana,2012,2011-11-05,WC,Rep,3,4,ASKARI_Ali,IRI,10006115327.0,21.6,9.870000000000001,6.626999999999999,3.0,
44,Astana,2012,2011-11-05,WC,Rep,4,1,HAAK_Hugo,NED_,10006900320.0,20.0,14.16,20.091,2.0,
45,Astana,2012,2011-11-05,WC,Rep,4,2,NAKAGAWA_Seiichiro,JPN_,10002830360.0,32.4,9.870000000000001,15.414,3.0,
46,Astana,2012,2011-11-05,WC,Rep,4,3,TEKLINSKI_Adrian,POL,10005364585.0,22.0,3.365,10.706,4.0,
47,Astana,2012,2011-11-05,WC,Rep,4,4,WÄCHTER_Tobias,GER,10036244537.0,23.3,17.986,13.408,1.0,
48,Astana,2012,2011-11-05,WC,Rep,4,5,AUDI_Raja,LIB,10006107748.0,32.0,2.7489999999999988,1.5719999999999992,5.0,
