,Location,Year,Date,Event,Round,Heat,Rank,Athlete,Country,UCI_ID,Age,Initial_CSE,Final_CSE,Mu,Sigma,ExpectedRank,RatingChange
0,Astana,2012,5/11/2011,WC,R1,1,1,BÖTTICHER_Stefan,GER,10048325582,19.8,9,22.091,34.363,6.136,1,
1,Astana,2012,5/11/2011,WC,R1,1,2,ZHANG_Miao,CHN_,10006737945,23.2,9,17.986,29.058,5.536,1,
2,Astana,2012,5/11/2011,WC,R1,1,3,PHILLIP_Njisane,TTO,10006898401,20.4,9,14.16,25,5.42,1,
3,Astana,2012,5/11/2011,WC,R1,1,4,D'ALMEIDA_Michael,FRA,10004618796,24.2,9,9.87,20.942,5.536,1,
4,Astana,2012,5/11/2011,WC,R1,1,5,TEKLINSKI_Adrian,POL,10005364585,22,9,3.365,15.637,6.136,1,
5,Astana,2012,5/11/2011,WC,R1,2,1,HOY_Chris,SKY_,10001564310,35.6,9,22.091,34.363,6.136,1,
6,Astana,2012,5/11/2011,WC,R1,2,2,POLYNSKIY_Sergey,PHL_,10003291718,30.1,9,17.986,29.058,5.536,1,
7,Astana,2012,5/11/2011,WC,R1,2,3,VELOCE_Joseph,CAN_,10006105930,22.5,9,14.16,25,5.42,1,
8,Astana,2012,5/11/2011,WC,R1,2,4,NAKAGAWA_Seiichiro,JPN_,10002830360,32.4,9,9.87,20.942,5.536,1,
9,Astana,2012,5/11/2011,WC,R1,2,5,MASSIE_Giddeon,USA,10002260484,30.2,9,3.365,15.637,6.136,1,
10,Astana,2012,5/11/2011,WC,R1,3,1,VOLIKAKIS_Christos,GRE,10004633247,23.6,9,22.091,34.363,6.136,1,
11,Astana,2012,5/11/2011,WC,R1,3,2,MAZQUIARAN_URIA_Hodei,ESP_,10004613039,22.9,9,17.986,29.058,5.536,1,
12,Astana,2012,5/11/2011,WC,R1,3,3,HAAK_Hugo,NED_,10006900320,20,9,14.16,25,5.42,1,
13,Astana,2012,5/11/2011,WC,R1,3,4,ASKARI_Ali,IRI,10006115327,21.6,9,9.87,20.942,5.536,1,
14,Astana,2012,5/11/2011,WC,R1,3,5,CECI_Luca,ITA,10006108051,22.8,9,3.365,15.637,6.136,1,
15,Astana,2012,5/11/2011,WC,R1,4,1,PERKINS_Shane_Alan,RUS,10051694112,24.8,9,22.091,34.363,6.136,1,
16,Astana,2012,5/11/2011,WC,R1,4,2,WÄCHTER_Tobias,GER,10036244537,23.3,9,17.986,29.058,5.536,1,
17,Astana,2012,5/11/2011,WC,R1,4,3,KUBEEV_Andrey,RUS_,10006173931,,9,14.16,25,5.42,1,
18,Astana,2012,5/11/2011,WC,R1,4,4,NITTA_Yudai,JPN,10005727327,25.8,9,9.87,20.942,5.536,1,
