Location,Year,Date,Event,Stage,Heat,Round,Athlete,Country,Age,Final_Rank,Rank,200m,AvgSpeed,Initial_CSE,Final_CSE,Mu,Sigma,ExpectedRank,RatingChange,,
Berlin,2018,2/12/2018,NC,R16,1,1,BUCHLI_Matthijs,BCC,,2,1,10.468,68.781047,9,15.054,29.396,7.171,1,6.054,,
Berlin,2018,2/12/2018,NC,R16,1,1,YAKUSHEVSKIY_Pavel,RUS,31.2109589,,2,10.541,68.30471492,9,6.262,20.604,7.171,1,-2.738,,
Berlin,2018,2/12/2018,NC,R16,2,1,PAUL_Nicholas,TTO,20.20547945,,1,10.256,70.20280811,9,15.054,29.396,7.171,1,6.054,,
Berlin,2018,2/12/2018,NC,R16,2,1,SARNECKI_Rafal,POL,28.91780822,,2,10.584,68.02721088,9,6.262,20.604,7.171,1,-2.738,,
Berlin,2018,2/12/2018,NC,R16,3,1,HELAL_Rayan,FRA,19.87671233,3,1,10.282,70.02528691,9,15.054,29.396,7.171,1,6.054,,
Berlin,2018,2/12/2018,NC,R16,3,1,OH_Jeseok,KOR,119.0027397,,2,10.511,68.49966702,9,6.262,20.604,7.171,1,-2.738,,
Berlin,2018,2/12/2018,NC,R16,4,1,XU_Chao,CHN,,,1,10.299,69.90969997,9,15.054,29.396,7.171,1,6.054,,
Berlin,2018,2/12/2018,NC,R16,4,1,TJON_EN_FA_Jair,SUR,25.1369863,,2,10.323,69.74716652,9,6.262,20.604,7.171,1,-2.738,,
Berlin,2018,2/12/2018,NC,R16,5,1,LEVY_Maximilian,GER,,,1,10.38,69.36416185,9,15.054,29.396,7.171,1,6.054,,
Berlin,2018,2/12/2018,NC,R16,5,1,FUKAYA_Tomohiro,JPN,119.0027397,,2,10.39,69.29740135,9,6.262,20.604,7.171,1,-2.738,,
Berlin,2018,2/12/2018,NC,R16,6,1,KENNY_Jason,GBR,,,1,10.341,69.62576153,9,15.054,29.396,7.171,1,6.054,,
Berlin,2018,2/12/2018,NC,R16,6,1,BOTTICHER_Stefan,GER,,,2,10.58,68.05293006,9,6.262,20.604,7.171,1,-2.738,,
Berlin,2018,2/12/2018,NC,R16,7,1,DMITRIEV_Denis,RUS,32.71780822,,1,10.539,68.3176772,9,15.054,29.396,7.171,1,6.054,,
Berlin,2018,2/12/2018,NC,R16,7,1,QUINTERO_CHAVARRO_Kevin_Santiago,COL,20.10958904,,2,10.569,68.12375816,9,6.262,20.604,7.171,1,-2.738,,
Berlin,2018,2/12/2018,NC,R16,8,1,HINDES_Philip,GBR,,,1,10.332,69.68641115,9,15.054,29.396,7.171,1,6.054,,
Berlin,2018,2/12/2018,NC,R16,8,1,VYNOKUROV_Andrii,UKR,,,2,10.44,68.96551724,9,6.262,20.604,7.171,1,-2.738,,
Berlin,2018,2/12/2018,NC,R16,9,1,KELEMEN_Pavel,CZE,119.0027397,,1,10.382,69.35079946,9,15.054,29.396,7.171,1,6.054,,
Berlin,2018,2/12/2018,NC,R16,9,1,WAGNER_Robin,CZE,25.83013699,,2,10.433,69.01178951,9,6.262,20.604,7.171,1,-2.738,,
Berlin,2018,2/12/2018,NC,R16,10,1,LENDEL_Vasilijus,LTU,23.66575342,,1,10.148,70.94994088,9,15.054,29.396,7.171,1,6.054,,
Berlin,2018,2/12/2018,NC,R16,10,1,LIGTLEE_Sam,NED,20.98630137,,2,10.19,70.65750736,9,6.262,20.604,7.171,1,-2.738,,
Berlin,2018,2/12/2018,NC,R16,11,1,TRUMAN_Joseph,TIN,21.8109589,,1,10.258,70.18912069,9,15.054,29.396,7.171,1,6.054,,
Berlin,2018,2/12/2018,NC,R16,11,1,PHILLIP_Njisane,TTO,119.0027397,,2,12.485,57.66920304,9,6.262,20.604,7.171,1,-2.738,,
Berlin,2018,2/12/2018,NC,R16,12,1,PERALTA_GASCON_Juan,ESP,,,1,10.429,69.0382587,9,15.054,29.396,7.171,1,6.054,,
Berlin,2018,2/12/2018,NC,R16,12,1,BARRETTE_Hugo,CAN,27.43287671,,2,REL,,9,6.262,20.604,7.171,1,-2.738,,
Berlin,2018,2/12/2018,NC,R8,1,1,RUDYK_Mateusz,POL,23.38630137,4,1,10.305,69.86899563,9,17.253,30.997,6.872,2,8.253,,
Berlin,2018,2/12/2018,NC,R8,1,1,PERALTA_GASCON_Juan,ESP,,,2,10.484,68.67607783,15.054,12.425,24.955,6.265,1,-2.629,,
Berlin,2018,2/12/2018,NC,R8,2,1,TRUMAN_Joseph,TIN,21.8109589,,1,10.114,71.18845165,15.054,19.031,31.957,6.463,1,3.977,,
Berlin,2018,2/12/2018,NC,R8,2,1,HOOGLAND_Jeffrey,NED,25.73150685,,2,10.151,70.92897252,9,7.142,21.542,7.2,2,-1.858,,
Berlin,2018,2/12/2018,NC,R8,3,1,GLAETZER_Matthew,AUS,26.29041096,1,1,10.293,69.95045176,9,17.253,30.997,6.872,2,8.253,,
Berlin,2018,2/12/2018,NC,R8,3,1,LENDEL_Vasilijus,LTU,23.66575342,,2,10.372,69.41766294,15.054,12.425,24.955,6.265,1,-2.629,,
Berlin,2018,2/12/2018,NC,R8,4,1,KELEMEN_Pavel,CZE,119.0027397,,1,10.248,70.25761124,15.054,19.031,31.957,6.463,1,3.977,,
