,UCI_ID,Country,UCI_Bday,Status,UCI_Name
0,10009535686,NED,14.03.1997,ACTIVE,LAVREYSEN Harrie
1,10015145724,AUS,17.04.1999,ACTIVE,RICHARDSON Matthew
2,10009079382,POL,20.07.1995,ACTIVE,RUDYK Mateusz
3,10010830840,COL,28.10.1998,ACTIVE,QUINTERO CHAVARRO Kevin Santiago
4,10055349695,AUS,15.02.2000,Active,CORNISH Thomas
5,10117936018,SUR,19.10.1993,ACTIVE,TJON EN FA Jaïr
6,10034964036,ISR,01.09.2000,INACTIVE,YAKOVLEV Mikhail
7,10015483305,GBR,13.07.1999,ACTIVE,TURNBULL Hamish
8,10009967641,GBR,23.04.1997,ACTIVE,CARLIN Jack
9,10122775712,JPN,27.07.1999,Active,OTA Kaiya
10,10006894559,AUS,24.08.1992,ACTIVE,GLAETZER Matthew
11,10015683567,FRA,21.01.1999,ACTIVE,HELAL Rayan
12,10048325582,GER,01.02.1992,ACTIVE,BÖTTICHER Stefan
13,10007379761,NED,16.03.1993,ACTIVE,HOOGLAND Jeffrey
14,10009039774,COL,20.07.1994,ACTIVE,RAMIREZ MORALES Santiago
15,10061655608,COL,29.09.2000,ACTIVE,ORTEGA FONTALVO Cristian David
16,10007779683,GER,24.12.1995,ACTIVE,DÖRNBACH Maximilian
17,10010678569,FRA,18.04.1997,ACTIVE,VIGIER Sébastien
18,10015713273,CAN,21.10.1999,ACTIVE,WAMMES Nick
19,10020900955,JPN,17.12.1992,Active,YAMASAKI Kento
20,10010821241,TTO,23.09.1998,ACTIVE,PAUL Nicholas
21,10009009159,THA,16.02.1995,ACTIVE,ANGSUTHASAWIT Jai
22,10010166590,CZE,20.10.1998,ACTIVE,ČECHMAN Martin
23,10009181234,LTU,09.04.1995,ACTIVE,LENDEL Vasilijus
24,10010773549,JPN,29.02.1996,ACTIVE,OBARA Yuta
25,10010624918,NZL,04.09.1996,ACTIVE,DAKIN Sam
26,10006184742,NZL,16.07.1991,INACTIVE,WEBSTER Sam
27,10010797292,KAZ,15.04.1998,ACTIVE,PONOMARYOV Sergey
28,10007073506,HUN,03.07.1990,ACTIVE,SZALONTAY Sándor
29,10004868370,MAS,05.01.1988,ACTIVE,AWANG Mohd Azizulhasni
30,10064209839,CAN,04.12.1996,ACTIVE,DODYK Ryan
31,10005953154,POL,08.01.1990,ACTIVE,SARNECKI Rafal
32,10010592279,JPN,04.01.1994,ACTIVE,TERASAKI Kohei
33,10023551075,KAZ,17.01.2000,ACTIVE,CHUGAY Andrey
34,10017950943,GBR,14.02.1997,ACTIVE,TRUMAN Joseph
35,10011152354,ESP,28.05.1998,ACTIVE,MARTINEZ CHORRO Alejandro
36,10009178002,GER,21.01.1996,ACTIVE,JURCZYK Marc
37,10009010876,TTO,31.01.1994,ACTIVE,BROWNE Kwesi
38,10007351671,RSA,27.11.1989,Active,SPIES Jean
39,10050873046,IND,10.03.2001,ACTIVE,ESOW Esow
40,10127542452,RSA,01.10.1993,ACTIVE,MYBURGH Johannes
41,10021114658,JPN,08.06.1999,ACTIVE,NAKANO Shinji
42,10050626809,IND,22.06.2002,ACTIVE,LAITONJAM Ronaldo
43,10009012391,NZL,16.10.1995,ACTIVE,SAUNDERS Callum
44,10009150215,MAS,26.11.1995,Active,SAHROM Muhammad Shah Firdaus
45,10115009850,AUS,06.04.2004,ACTIVE,ELLIOTT Ryan
46,10048493011,AUS,23.12.1999,ACTIVE,DAVIES Byron
47,10010664829,IRL,07.04.1998,ACTIVE,ROWLEY Conor
48,10023438921,NED,20.03.2001,ACTIVE,VAN LOON Tijmen
49,10009972994,NED,12.12.1997,INACTIVE,LIGTLEE Sam
50,10072107558,AUS,01.06.2001,ACTIVE,GALLAGHER Sam
51,10015323152,CHN,16.03.1998,ACTIVE,YAN Weiming
52,10010713329,FRA,28.09.1997,ACTIVE,LANDERNEAU Melvin
53,10011146694,AUS,10.03.1999,INACTIVE,BRISTER James
54,10011141846,TPE,24.12.1998,INACTIVE,HSIEH Nien Hsing
55,10050002066,GER,31.07.2000,ACTIVE,HÖHNE Anton
56,10129788610,CHN,27.01.2001,INACTIVE,XUE Chenxi
57,10021915920,NZL,03.02.2001,ACTIVE,CLANCY Patrick
58,10026071156,FRA,29.01.1999,ACTIVE,DERACHE Tom
59,10086399803,NZL,31.12.2000,ACTIVE,DAY Dylan Keith Alby
60,10049101683,MAS,06.03.2001,ACTIVE,SAHROM Muhammad Ridwan
61,10055348887,AUS,11.06.2000,ACTIVE,HOFFMAN Leigh
62,10052089586,CHN,05.01.1999,ACTIVE,ZHOU Yu
63,10072398356,USA,01.06.2000,ACTIVE,BOONE Evan
64,10054062932,GER,08.12.2003,ACTIVE,WEINRICH Willy Leonhard
65,10049099865,KOR,16.02.2002,ACTIVE,KANG Seojun
66,10050089669,ARG,26.07.2000,ACTIVE,VILAR Lucas Oscar
67,10053835384,USA,03.03.2001,ACTIVE,TANG Geneway
68,10048224138,CAN,28.05.2003,ACTIVE,RORKE Tyler
69,10041041993,ESP,22.06.2001,ACTIVE,JIMENEZ ELIZONDO Ekain
70,10092163118,EGY,21.08.2002,ACTIVE,HASSAN Hussein
71,10097177412,AUS,03.03.2003,ACTIVE,BARBER Daniel
72,10060086531,INA,23.02.2001,ACTIVE,DHENTAKA Dika Alif
73,10023485094,CHN,29.11.2000,ACTIVE,LIU Qi
74,10007811716,AUS,04.03.1993,Inactive,HART Nathan
75,10113665893,EGY,18.01.2004,ACTIVE,ALLAM Khaled
76,10015915559,POL,30.08.1999,ACTIVE,ROCHNA Daniel
77,10009176281,POL,22.02.1996,ACTIVE,RAJKOWSKI Patryk
78,10007827880,JPN,02.11.1993,ACTIVE,SHINZAN Kyohei
79,10007535365,CZE,31.07.1993,ACTIVE,TOPINKA Dominik
80,10048100765,CZE,28.08.2000,ACTIVE,ŠŤASTNÝ Jakub
81,10004612534,CZE,04.06.1987,ACTIVE,BÁBEK Tomáš
82,10009843258,KOR,20.02.1997,INACTIVE,PARK Jeone
83,10048888990,CAN,15.11.2001,ACTIVE,HEDGCOCK James
84,10010608447,TPE,30.06.1997,ACTIVE,康 KANG 世峰 Shih Feng
85,10007502427,ESP,18.11.1993,ACTIVE,MORENO SANCHEZ Jose
86,10063033917,VEN,02.10.2001,ACTIVE,TERAN ARIAS Yorbert
87,10129878334,BEN,12.02.1998,INACTIVE,MENSAH Ezer
88,10083501624,GBR,21.08.2002,ACTIVE,NORRIS Hayden
89,10007294683,CZE,08.02.1993,ACTIVE,WAGNER Robin
90,10009154558,SIN,18.06.1996,ACTIVE,MOHAMED YUSOFF Mohamed Elyas
91,10064365948,FRA,12.03.2002,ACTIVE,PRIORE Luca
92,10063279447,HKG,17.07.1999,ACTIVE,TO Cheuk Hei
93,10080054383,HKG,28.05.2001,ACTIVE,YUNG Tsun Ho
94,10068955361,FRA,25.03.2003,ACTIVE,CARON Oscar
95,10010170331,LTU,18.11.1997,ACTIVE,BENIUŠIS Justas
96,10022040606,NZL,25.03.2002,ACTIVE,WEBSTER Reuben
97,10053142038,USA,15.06.2001,ACTIVE,CHU Andrew
98,10034048600,ITA,13.08.2004,ACTIVE,PREDOMO Mattia
99,10036103683,KAZ,03.01.2000,ACTIVE,REZANOV Dmitriy
100,10010920665,BRA,12.07.1997,ACTIVE,DA SILVA Joao Vitor
101,10088726789,UKR,23.12.2000,ACTIVE,DENYSENKO Vladyslav
102,10072874969,AUS,02.10.1996,INACTIVE,MADDERN Jade
103,10006137252,TPE,03.04.1990,ACTIVE,HSIAO Shih Hsin
104,10015992654,GER,30.08.1999,INACTIVE,HINZE Carl
105,10028995102,ITA,21.10.2001,ACTIVE,BIANCHI Matteo
106,10007501821,TTO,29.12.1993,ACTIVE,ALEXANDER Quincy
107,10009978048,NZL,11.12.1998,INACTIVE,KNIPE Bradly
108,10081023272,GRE,23.10.2001,ACTIVE,LIVANOS Konstantinos
109,10054985644,USA,17.02.1990,ACTIVE,ALVORD III James
110,10009181032,LTU,02.01.1995,INACTIVE,JONAUSKAS Svajūnas
111,10023923517,GBR,20.01.2001,ACTIVE,BUNTING James
112,10021001793,JPN,28.09.2001,INACTIVE,ICHIDA Ryuto
113,10009073524,GRE,11.01.1994,ACTIVE,KALOGEROPOULOS Ioannis
114,10086700907,NZL,28.09.2004,ACTIVE,BLACKWOOD Luke
115,10136185960,CHN,28.01.2004,INACTIVE,LI Zhiwei
116,10094578923,AUS,10.01.2001,ACTIVE,CARPENTER Finn
117,10010715046,ITA,22.06.1997,ACTIVE,MORO Stefano
118,10021766578,NZL,09.07.2003,INACTIVE,LART Kaio
119,10015171992,GER,22.03.1999,ACTIVE,BICHLER Timo
120,10007165755,BRA,24.01.1990,ACTIVE,CIPRIANO Flavio Vagner
121,10010743439,RSA,24.06.1997,ACTIVE,SPARROW Mitchell
122,10061341164,AUS,17.10.2000,ACTIVE,POLLARD Ned
123,10015769554,USA,15.03.1999,INACTIVE,DELGADO Sandor
124,10088729419,UKR,21.05.2002,Active,DANYLCHUK Bohdan
125,10048839884,ECU,26.10.2000,ACTIVE,BONE NAZARENO Francisco Miguel
126,10009903983,CZE,07.08.1998,ACTIVE,BOHUSLÁVEK Matěj
127,10094449183,GRE,06.06.2002,ACTIVE,SAVVAKIS Stamatios
128,10004737119,ESP,19.11.1983,ACTIVE,ESTEBAN HERRAIZ Itmar
129,10010645732,MAS,03.12.1997,ACTIVE,MOHD ZONIS Muhammad Fadhil
130,10075185084,AUS,22.05.2001,INACTIVE,TROVAS John
131,10090680735,JPN,24.09.1992,Inactive,MATSUI Koyu
132,10022615936,SWE,05.05.2000,INACTIVE,ERIKSSON Christoffer
