,UCI_ID,Country,UCI_Bday,Status,UCI_Name
0,10009535686,,,,
1,10015145724,,,,
2,10009079382,,,,
3,10010830840,,,,
4,10055349695,,,,
5,10117936018,,,,
6,10034964036,,,,
7,10015483305,,,,
8,10009967641,,,,
9,10122775712,,,,
10,10006894559,,,,
11,10015683567,,,,
12,10048325582,,,,
13,10007379761,,,,
14,10009039774,,,,
15,10061655608,,,,
16,10007779683,,,,
17,10010678569,,,,
18,10015713273,,,,
19,10020900955,,,,
20,10010821241,,,,
21,10009009159,,,,
22,10010166590,,,,
23,10009181234,,,,
24,10010773549,,,,
25,10010624918,,,,
26,10006184742,,,,
27,10010797292,,,,
28,10007073506,,,,
29,10004868370,,,,
30,10064209839,,,,
31,10005953154,,,,
32,10010592279,,,,
33,10023551075,,,,
34,10017950943,,,,
35,10011152354,,,,
36,10009178002,,,,
37,10009010876,,,,
38,10007351671,,,,
39,10050873046,,,,
40,10127542452,,,,
41,10021114658,,,,
42,10050626809,,,,
43,10009012391,,,,
44,10009150215,,,,
45,10115009850,,,,
46,10048493011,,,,
47,10010664829,,,,
48,10023438921,,,,
49,10009972994,,,,
50,10072107558,,,,
51,10015323152,,,,
52,10010713329,,,,
53,10011146694,,,,
54,10011141846,,,,
55,10050002066,,,,
56,10129788610,,,,
57,10021915920,,,,
58,10026071156,,,,
59,10086399803,,,,
60,10049101683,,,,
61,10055348887,,,,
62,10052089586,,,,
63,10072398356,,,,
64,10054062932,,,,
65,10049099865,,,,
66,10050089669,,,,
67,10053835384,,,,
68,10048224138,,,,
69,10041041993,,,,
70,10092163118,,,,
71,10097177412,,,,
72,10060086531,,,,
73,10023485094,,,,
74,10007811716,,,,
75,10113665893,,,,
76,10015915559,,,,
77,10009176281,,,,
78,10007827880,,,,
79,10007535365,,,,
80,10048100765,,,,
81,10004612534,,,,
82,10009843258,,,,
83,10048888990,,,,
84,10010608447,,,,
85,10007502427,,,,
86,10063033917,,,,
87,10129878334,,,,
88,10083501624,,,,
89,10007294683,,,,
90,10009154558,,,,
91,10064365948,,,,
92,10063279447,,,,
93,10080054383,,,,
94,10068955361,,,,
95,10010170331,,,,
96,10022040606,,,,
97,10053142038,,,,
98,10034048600,,,,
99,10036103683,,,,
100,10010920665,,,,
101,10088726789,,,,
102,10072874969,,,,
103,10006137252,,,,
104,10015992654,,,,
105,10028995102,,,,
106,10007501821,,,,
107,10009978048,,,,
108,10081023272,,,,
109,10054985644,,,,
110,10009181032,,,,
111,10023923517,,,,
112,10021001793,,,,
113,10009073524,,,,
114,10086700907,,,,
115,10136185960,,,,
116,10094578923,,,,
117,10010715046,,,,
118,10021766578,,,,
119,10015171992,,,,
120,10007165755,,,,
121,10010743439,,,,
122,10061341164,,,,
123,10015769554,,,,
124,10088729419,,,,
125,10048839884,,,,
126,10009903983,,,,
127,10094449183,,,,
128,10004737119,,,,
129,10010645732,,,,
130,10075185084,,,,
131,10090680735,,,,
132,10022615936,,,,
133,10006904360,,,,
134,10060701873,,,,
135,10007475448,,,,
136,10057795513,,,,
137,10127009356,,,,
138,10006063086,,,,
139,10014936364,,,,
140,10063655222,,,,
141,10016222121,,,,
142,10005641037,,,,
143,10075184882,,,,
144,10015339522,,,,
145,10022176608,,,,
146,10016308007,,,,
147,10009671284,,,,
148,10073343195,,,,
149,10064034229,,,,
150,10007729769,,,,
151,10096589348,,,,
152,10023427908,,,,
153,10059054287,,,,
154,10055137915,,,,
155,10036384579,,,,
156,10113857873,,,,
157,10054250060,,,,
158,10007890932,,,,
159,10060059451,,,,
160,10088306962,,,,
161,10128452232,,,,
162,10014006376,,,,
163,10092839892,,,,
164,10088731237,,,,
165,10062078566,,,,
166,10055056069,,,,
167,10010829830,,,,
168,10054379392,,,,
169,10036447429,,,,
170,10009523865,,,,
171,10036429847,,,,
172,10064348568,,,,
173,10115622667,,,,
174,10075184680,,,,
175,10096523064,,,,
176,10036242820,,,,
177,10022147003,,,,
178,10062775855,,,,
179,10030732109,,,,
180,10071412188,,,,
181,10092218991,,,,
182,10022807613,,,,
183,10115009749,,,,
184,10059690245,,,,
185,10097227427,,,,
186,10115010355,,,,
187,10096738686,,,,
188,10115010153,,,,
189,10022028680,,,,
190,10092578295,,,,
191,10009333404,,,,
192,10060044600,,,,
193,10101896460,,,,
194,10011074249,,,,
195,10048858981,,,,
196,10089127018,,,,
197,10051342989,,,,
198,10005964470,,,,
199,10078215831,,,,
200,10059156745,,,,
201,10126973586,,,,
202,10128660073,,,,
203,10015998718,,,,
204,10021829832,,,,
205,10056067293,,,,
206,10011080313,,,,
207,10009668961,,,,
208,10083484244,,,,
209,10055802969,,,,
210,10005276578,,,,
211,10008019557,,,,
212,10011162155,,,,
213,10053240553,,,,
214,10096738585,,,,
215,10069552923,,,,
216,10022031512,,,,
217,10010821645,,,,
218,10030674818,,,,
219,10121152475,,,,
220,10132657382,,,,
221,10015564137,,,,
222,10010680993,,,,
223,10016209286,,,,
224,10062192643,,,,
225,10096873779,,,,
226,10080223731,,,,
227,10006379247,,,,
228,10125015095,,,,
229,10007390370,,,,
230,10130636853,,,,
231,10124110571,,,,
232,10095274996,,,,
233,10060341054,,,,
234,10007227995,,,,
235,10071954681,,,,
236,10130234103,,,,
237,10015329216,,,,
238,10112223122,,,,
239,10043670996,,,,
240,10087503478,,,,
241,10010771428,,,,
242,10007947011,,,,
243,10008709267,,,,
244,10010166792,,,,
245,10004717719,,,,
246,10060474329,,,,
247,10077480752,,,,
248,10063399988,,,,
249,10036435406,,,,
250,10095595100,,,,
251,10074984418,,,,
252,10088738109,,,,
253,10063086760,,,,
254,10054807610,,,,
255,10090906562,,,,
256,10092407739,,,,
257,10006063187,,,,
258,10084543261,,,,
259,10011162054,,,,
260,10073461619,,,,
261,10065054244,,,,
262,10091962953,,,,
263,10082777356,,,,
264,10036454503,,,,
265,10036152890,,,,
266,10020998157,,,,
267,10005276275,,,,
268,10009864375,,,,
269,10087310791,,,,
270,10096876207,,,,
271,10010197007,,,,
272,10009100503,,,,
273,10092260623,,,,
274,10119653524,,,,
275,10125773921,,,,
276,10091449762,,,,
277,10010894696,,,,
278,10140692925,,,,
279,10049098855,,,,
280,10036147941,,,,
281,10052056850,,,,
282,10023843287,,,,
283,10052495370,,,,
284,10010931880,,,,
285,10007394515,,,,
286,10056383454,,,,
287,10083701078,,,,
288,10122266258,,,,
289,10004765209,,,,
290,10093662271,,,,
291,10009975927,,,,
292,10001439725,,,,
293,10130241072,,,,
294,10067762665,,,,
295,10016387021,,,,
296,10006141696,,,,
297,10011132449,,,,
298,10049020851,,,,
299,10060117550,,,,
300,10062226288,,,,
301,10009041087,,,,
302,10052307535,,,,
303,10007782616,,,,
304,10050399463,,,,
305,10009802741,,,,
306,10045814292,,,,
307,10060549101,,,,
308,10011164074,,,,
309,10016232427,,,,
310,10075810736,,,,
311,10082977824,,,,
312,10120766596,,,,
313,10132657281,,,,
314,10010857314,,,,
315,10006058743,,,,
316,10009519421,,,,
317,10055760937,,,,
318,10034778928,,,,
319,10122559783,,,,
320,10130706975,,,,
321,10071487162,,,,
322,10007894972,,,,
323,10065046968,,,,
324,10007208494,,,,
325,10014544526,,,,
326,10022619471,,,,
327,10100552911,,,,
328,10075524180,,,,
329,10097573795,,,,
330,10006079961,,,,
331,10004332951,,,,
332,10080267682,,,,
333,10015333862,,,,
334,10096004823,,,,
335,10080032155,,,,
336,10096391409,,,,
337,10062420591,,,,
338,10004633247,,,,
339,10005305779,,,,
340,10096418485,,,,
341,10006552534,,,,
342,10055146504,,,,
343,10016664883,,,,
344,10054568746,,,,
345,10045938574,,,,
346,10051791213,,,,
347,10085547819,,,,
348,10119721727,,,,
349,10093303169,,,,
350,10071486657,,,,
351,10098154785,,,,
352,10011036964,,,,
353,10011208433,,,,
354,10050945693,,,,
355,10011199339,,,,
356,10019881849,,,,
357,10059725106,,,,
358,10010691505,,,,
359,10117318450,,,,
360,10120468728,,,,
361,10017184643,,,,
362,10096883176,,,,
363,10078903521,,,,
364,10008952878,,,,
365,10091849684,,,,
366,10009737164,,,,
367,10045838140,,,,
368,10060550010,,,,
369,10009148292,,,,
370,10050305800,,,,
371,10048324774,,,,
372,10060842222,,,,
373,10049142204,,,,
374,10097247332,,,,
375,10062003592,,,,
376,10045916649,,,,
377,10136127053,,,,
378,10097168318,,,,
379,10064235707,,,,
380,10100894330,,,,
381,10123467543,,,,
382,10020583582,,,,
383,10002701937,,,,
384,10063200534,,,,
385,10119634326,,,,
386,10014245038,,,,
387,10057662743,,,,
388,10045972526,,,,
389,10096135872,,,,
390,10123379839,,,,
391,10010727069,,,,
392,10125760076,,,,
393,10118623708,,,,
394,10060548996,,,,
395,10132549167,,,,
396,10075934614,,,,
397,10055588357,,,,
398,10005305577,,,,
399,10009990576,,,,
400,10052264489,,,,
401,10082394410,,,,
402,10060270730,,,,
403,10067030923,,,,
404,10045938473,,,,
405,10015848972,,,,
406,10072043702,,,,
407,10076127806,,,,
408,10118402628,,,,
409,10004785316,,,,
410,10096830434,,,,
411,10061676927,,,,
412,10062493444,,,,
413,10117975626,,,,
414,10135667113,,,,
415,10061971058,,,,
416,10127948539,,,,
417,10132773479,,,,
418,10107985838,,,,
419,10056381838,,,,
420,10118775066,,,,
421,10011152152,,,,
422,10096181948,,,,
423,10016631339,,,,
424,10008984608,,,,
425,10036104289,,,,
426,10005675793,,,,
427,10003221895,,,,
428,10009718572,,,,
429,10010797494,,,,
430,10097147504,,,,
431,10050305089,,,,
432,10053909449,,,,
433,10086594712,,,,
434,10010026750,,,,
435,10058654264,,,,
436,10082544960,,,,
437,10053230853,,,,
438,10078913928,,,,
439,10122560086,,,,
440,10106649157,,,,
441,10132725989,,,,
442,10101360031,,,,
443,10121687894,,,,
444,10089139647,,,,
445,10009632787,,,,
446,10097465883,,,,
447,10023350712,,,,
448,10050990658,,,,
449,10019810313,,,,
450,10053321486,,,,
451,10118784362,,,,
452,10092281235,,,,
453,10038676207,,,,
454,10063654010,,,,
455,10118889244,,,,
456,10119686159,,,,
457,10002687385,,,,
458,10010923392,,,,
459,10091433493,,,,
460,10101896056,,,,
461,10006274062,,,,
462,10093123923,,,,
463,10080032559,,,,
464,10010797393,,,,
465,10036448439,,,,
466,10058431164,,,,
467,10009316024,,,,
468,10056383555,,,,
469,10119752140,,,,
470,10015327600,,,,
471,10136825857,,,,
472,10007762913,,,,
473,10009321579,,,,
474,10036297380,,,,
475,10009468089,,,,
476,10009117778,,,,
477,10015972244,,,,
478,10071485748,,,,
479,10023857536,,,,
480,10125507775,,,,
481,10071226171,,,,
482,10135667012,,,,
483,10014545940,,,,
484,10097387172,,,,
485,10096254595,,,,
486,10040903365,,,,
487,10132689314,,,,
488,10132009910,,,,
489,10091681956,,,,
490,10007350964,,,,
491,10077988889,,,,
492,10131581490,,,,
493,10131617260,,,,
494,10119924013,,,,
495,10079226550,,,,
496,10054613206,,,,
497,10082239917,,,,
498,10108741428,,,,
499,10004613241,,,,
500,10010948553,,,,
501,10050678339,,,,
502,10097340894,,,,
503,10122559985,,,,
504,10079682349,,,,
505,10115011163,,,,
506,10020714433,,,,
507,10097389495,,,,
508,10083618630,,,,
509,10096130519,,,,
510,10005794621,,,,
511,10007846270,,,,
512,10131617159,,,,
513,10076159229,,,,
514,10086049286,,,,
515,10119925023,,,,
516,10061210115,,,,
517,10051885078,,,,
518,10005305274,,,,
519,10131480551,,,,
520,10010794262,,,,
521,10129241265,,,,
522,10007503336,,,,
523,10021117284,,,,
524,10001348482,,,,
525,10129367365,,,,
526,10141113257,,,,
527,10004700036,,,,
528,10123052766,,,,
529,10060883951,,,,
530,10123473607,,,,
531,10085868727,,,,
532,10124683275,,,,
533,10006278308,,,,
534,10107182859,,,,
535,10064126781,,,,
536,10083837383,,,,
537,10119244609,,,,
538,10118522664,,,,
539,10061217589,,,,
540,10055079816,,,,
541,10075819729,,,,
542,10135663574,,,,
543,10093661968,,,,
544,10009321882,,,,
545,10105708661,,,,
546,10069363266,,,,
547,10140372724,,,,
548,10117689676,,,,
549,10059568690,,,,
550,10136323881,,,,
551,10115012981,,,,
552,10133219174,,,,
553,10132763173,,,,
554,10009085547,,,,
555,10123209885,,,,
556,10035393664,,,,
557,10118522361,,,,
558,10062469495,,,,
559,10103764520,,,,
560,10127778989,,,,
561,10135663675,,,,
562,10056990918,,,,
563,10096427074,,,,
564,10119894913,,,,
565,10021942491,,,,
566,10136324083,,,,
567,10114928614,,,,
568,10070693176,,,,
569,10035522491,,,,
570,10084438076,,,,
571,10009112324,,,,
572,10015570605,,,,
573,10050766346,,,,
574,10119923609,,,,
575,10119925225,,,,
576,10050005706,,,,
577,10022183981,,,,
578,10027138964,,,,
579,10046046890,,,,
580,10087311094,,,,
581,10073010062,,,,
582,10019117064,,,,
583,10095240947,,,,
584,10097450527,,,,
585,10016189078,,,,
586,10117782434,,,,
587,10119743753,,,,
588,10118522866,,,,
589,10008900237,,,,
590,10006602044,,,,
591,10065715157,,,,
592,10015860591,,,,
593,10096955120,,,,
594,10056709921,,,,
595,10095625614,,,,
596,10024556643,,,,
597,10084556395,,,,
598,10095102420,,,,
599,10132279486,,,,
600,10082899820,,,,
601,10100022239,,,,
602,10086309671,,,,
603,10119344134,,,,
604,10021087982,,,,
605,10026125013,,,,
606,10023973633,,,,
607,10095240846,,,,
608,10009310768,,,,
609,10055630187,,,,
610,10132165211,,,,
611,10016128858,,,,
612,10132033451,,,,
613,10115760285,,,,
614,10114300942,,,,
615,10132235939,,,,
616,10014627176,,,,
617,10064906017,,,,
618,10012448518,,,,
619,10124899911,,,,
620,10035233616,,,,
621,10095970366,,,,
622,10139909043,,,,
623,10020964209,,,,
624,10079059226,,,,
625,10103306596,,,,
626,10126948732,,,,
627,10131259875,,,,
628,10086832057,,,,
629,10132337989,,,,
630,10015916367,,,,
631,10083594580,,,,
632,10063586211,,,,
633,10066468727,,,,
634,10063731105,,,,
635,10083003789,,,,
636,10015239387,,,,
637,10096740912,,,,
638,10130399407,,,,
639,10132339407,,,,
640,10088335254,,,,
641,10131975049,,,,
642,10132339508,,,,
643,10029252251,,,,
644,10119693334,,,,
645,10132237858,,,,
646,10054710307,,,,
647,10083501119,,,,
648,10071897996,,,,
