Location,Year,Date,Event,Stage,Round,Heat,Athlete,Country,Age,Final_Rank,Rank,Time,Avg Speed
Cairo,2023,2023-03-17,NC,R16,1,1,OTA Kaiya,JPN,,3.0,1.0,10.775,
Cairo,2023,2023-03-17,NC,R16,1,1,ČECHMAN Martin,CZE,,28.0,2.0,11.065,
Cairo,2023,2023-03-17,NC,R16,1,2,PAUL Nicholas,TTO,,10.0,1.0,10.505,
Cairo,2023,2023-03-17,NC,R16,1,2,ANGSUTHASAWIT Jai,THA,,27.0,2.0,10.574000000000002,
Cairo,2023,2023-03-17,NC,R16,1,3,BROWNE Kwesi,TTO,,16.0,1.0,10.248,
Cairo,2023,2023-03-17,NC,R16,1,3,ZHOU Yu,CHN,,17.0,2.0,REL,
Cairo,2023,2023-03-17,NC,R16,1,4,TJON EN FA Jair,SUR,,5.0,1.0,10.007,
Cairo,2023,2023-03-17,NC,R16,1,4,SAUNDERS Callum,NZL,,26.0,2.0,10.203,
Cairo,2023,2023-03-17,NC,R16,1,5,QUINTERO CHAVARRO Kevin Santiago,COL,,11.0,1.0,10.699,
Cairo,2023,2023-03-17,NC,R16,1,5,CHUGAY Andrey,KAZ,,25.0,2.0,10.807,
Cairo,2023,2023-03-17,NC,R16,1,6,TRUMAN Joseph,TIN,,6.0,1.0,10.273,
Cairo,2023,2023-03-17,NC,R16,1,6,JURCZYK Marc,GER,,24.0,2.0,10.485,
Cairo,2023,2023-03-17,NC,R16,1,7,VIGIER Sebastien,FRA,,7.0,1.0,10.373,
Cairo,2023,2023-03-17,NC,R16,1,7,SAHROM Muhammad Shah Firdaus,MAS,,23.0,2.0,10.61,
Cairo,2023,2023-03-17,NC,R16,1,8,SZALONTAY Sandor,HUN,,15.0,1.0,10.447,
Cairo,2023,2023-03-17,NC,R16,1,8,van LOON Tijmen,BCC,,18.0,2.0,10.447999999999999,
Cairo,2023,2023-03-17,NC,R16,1,9,TERASAKI Kohei,RKD,,8.0,1.0,10.384,
Cairo,2023,2023-03-17,NC,R16,1,9,ORTEGA FONTALVO Cristian David,COL,,19.0,2.0,10.47,
Cairo,2023,2023-03-17,NC,R16,1,10,TURNBULL Hamish,GBR,,14.0,1.0,10.353,
Cairo,2023,2023-03-17,NC,R16,1,10,MARTINEZ CHORRO Alejandro,ESP,,20.0,2.0,10.423,
Cairo,2023,2023-03-17,NC,R16,1,11,CARLIN Jack,GBR,,13.0,1.0,10.243,
Cairo,2023,2023-03-17,NC,R16,1,11,YAMASAKI Kento,RKD,,21.0,2.0,10.292,
Cairo,2023,2023-03-17,NC,R16,1,12,OBARA Yuta,JPN,,12.0,1.0,10.117,
Cairo,2023,2023-03-17,NC,R16,1,12,LENDEL Vasilijus,LTU,,22.0,2.0,10.155000000000001,
Cairo,2023,2023-03-17,NC,R8,1,1,LAVREYSEN Harrie,NED,,1.0,1.0,10.106,
Cairo,2023,2023-03-17,NC,R8,1,1,OBARA Yuta,JPN,,12.0,2.0,10.555,
Cairo,2023,2023-03-17,NC,R8,1,2,YAKOVLEV Mikhail,ISR,,2.0,1.0,9.964,
Cairo,2023,2023-03-17,NC,R8,1,2,CARLIN Jack,GBR,,13.0,2.0,9.988,
Cairo,2023,2023-03-17,NC,R8,1,3,RUDYK Mateusz,POL,,4.0,1.0,10.443,
Cairo,2023,2023-03-17,NC,R8,1,3,TURNBULL Hamish,GBR,,14.0,2.0,10.478,
Cairo,2023,2023-03-17,NC,R8,1,4,TERASAKI Kohei,RKD,,8.0,1.0,10.292,
Cairo,2023,2023-03-17,NC,R8,1,4,YAN Weiming,CHN,,9.0,2.0,10.379,
Cairo,2023,2023-03-17,NC,R8,1,5,OTA Kaiya,JPN,,3.0,1.0,10.127,
Cairo,2023,2023-03-17,NC,R8,1,5,SZALONTAY Sandor,HUN,,15.0,2.0,10.345,
Cairo,2023,2023-03-17,NC,R8,1,6,VIGIER Sebastien,FRA,,7.0,1.0,10.016,
Cairo,2023,2023-03-17,NC,R8,1,6,PAUL Nicholas,TTO,,10.0,2.0,10.096,
Cairo,2023,2023-03-17,NC,R8,1,7,TRUMAN Joseph,TIN,,6.0,1.0,10.303,
Cairo,2023,2023-03-17,NC,R8,1,7,BROWNE Kwesi,TTO,,16.0,2.0,10.529000000000002,
Cairo,2023,2023-03-17,NC,R8,1,8,TJON EN FA Jair,SUR,,5.0,1.0,10.283,
Cairo,2023,2023-03-17,NC,R8,1,8,QUINTERO CHAVARRO Kevin Santiago,COL,,11.0,2.0,10.302999999999999,
Cairo,2023,2023-03-17,NC,QF,1,1,LAVREYSEN Harrie,NED,,1.0,1.0,9.881,
Cairo,2023,2023-03-17,NC,QF,1,1,TJON EN FA Jair,SUR,,5.0,2.0,9.913,
Cairo,2023,2023-03-17,NC,QF,1,2,YAKOVLEV Mikhail,ISR,,2.0,1.0,10.096,
Cairo,2023,2023-03-17,NC,QF,1,2,TRUMAN Joseph,TIN,,6.0,2.0,10.182,
Cairo,2023,2023-03-17,NC,QF,1,3,RUDYK Mateusz,POL,,4.0,1.0,10.28,
Cairo,2023,2023-03-17,NC,QF,1,3,VIGIER Sebastien,FRA,,7.0,2.0,10.427999999999999,
Cairo,2023,2023-03-17,NC,QF,1,4,OTA Kaiya,JPN,,3.0,1.0,10.11,
Cairo,2023,2023-03-17,NC,QF,1,4,TERASAKI Kohei,RKD,,8.0,2.0,10.189,
Cairo,2023,2023-03-17,NC,SF,1,1,LAVREYSEN Harrie,NED,,1.0,2.0,10.191999999999998,
Cairo,2023,2023-03-17,NC,SF,1,1,OTA Kaiya,JPN,,3.0,1.0,10.181,
Cairo,2023,2023-03-17,NC,SF,1,2,YAKOVLEV Mikhail,ISR,,2.0,1.0,10.119,
Cairo,2023,2023-03-17,NC,SF,1,2,RUDYK Mateusz,POL,,4.0,2.0,11.035,
Cairo,2023,2023-03-17,NC,F,1,G,LAVREYSEN Harrie,NED,,1.0,1.0,9.948,
Cairo,2023,2023-03-17,NC,F,1,G,YAKOVLEV Mikhail,ISR,,2.0,2.0,10.013,
Cairo,2023,2023-03-17,NC,F,1,B,OTA Kaiya,JPN,,3.0,1.0,10.185,
Cairo,2023,2023-03-17,NC,F,1,B,RUDYK Mateusz,POL,,4.0,2.0,10.363000000000001,
Jakarta,2023,2023-02-26,NC,R16,1,1,ZHOU Yu,CHN,,4.0,1.0,10.035,
Jakarta,2023,2023-02-26,NC,R16,1,1,SARNECKI Rafal,POL,,28.0,2.0,10.135,
Jakarta,2023,2023-02-26,NC,R16,1,2,OTA Kaiya,JPN,,2.0,1.0,9.979,
Jakarta,2023,2023-02-26,NC,R16,1,2,WAMMES Nick,CAN,,27.0,2.0,10.52,
Jakarta,2023,2023-02-26,NC,R16,1,3,AWANG Mohd Azizulhasni,MAS,,7.0,1.0,10.485,
Jakarta,2023,2023-02-26,NC,R16,1,3,TERASAKI Kohei,RKD,,26.0,2.0,10.498,
Jakarta,2023,2023-02-26,NC,R16,1,4,LENDEL Vasilijus,LTU,,9.0,1.0,10.103,
Jakarta,2023,2023-02-26,NC,R16,1,4,ANGSUTHASAWIT Jai,THA,,25.0,2.0,10.174999999999999,
Jakarta,2023,2023-02-26,NC,R16,1,5,RICHARDSON Matthew,AUS,,8.0,1.0,10.153,
Jakarta,2023,2023-02-26,NC,R16,1,5,YAMASAKI Kento,RKD,,24.0,2.0,10.253,
Jakarta,2023,2023-02-26,NC,R16,1,6,RUDYK Mateusz,POL,,10.0,1.0,10.232,
Jakarta,2023,2023-02-26,NC,R16,1,6,van LOON Tijmen,BCC,,23.0,2.0,10.408999999999999,
Jakarta,2023,2023-02-26,NC,R16,1,7,QUINTERO CHAVARRO Kevin Santiago,COL,,16.0,1.0,10.106,
Jakarta,2023,2023-02-26,NC,R16,1,7,TJON EN FA Jair,SUR,,17.0,2.0,10.151,
Jakarta,2023,2023-02-26,NC,R16,1,8,HELAL Rayan,FRA,,11.0,1.0,10.076,
Jakarta,2023,2023-02-26,NC,R16,1,8,ČECHMAN Martin,CZE,,22.0,2.0,10.113000000000001,
Jakarta,2023,2023-02-26,NC,R16,1,9,CARLIN Jack,GBR,,12.0,1.0,10.292,
Jakarta,2023,2023-02-26,NC,R16,1,9,RORKE Tyler,CAN,,21.0,2.0,10.386,
Jakarta,2023,2023-02-26,NC,R16,1,10,BOTTICHER Stefan,GER,,13.0,1.0,10.048,
Jakarta,2023,2023-02-26,NC,R16,1,10,TRUMAN Joseph,TIN,,20.0,2.0,10.048,
Jakarta,2023,2023-02-26,NC,R16,1,11,CORNISH Thomas,AUS,,14.0,1.0,10.301,
Jakarta,2023,2023-02-26,NC,R16,1,11,DORNBACH Maximilian,GER,,19.0,2.0,10.373,
Jakarta,2023,2023-02-26,NC,R16,1,12,NAKANO Shinji,JPN,,15.0,1.0,10.271,
Jakarta,2023,2023-02-26,NC,R16,1,12,TURNBULL Hamish,GBR,,18.0,2.0,10.295,
Jakarta,2023,2023-02-26,NC,R8,1,1,LAVREYSEN Harrie,NED,,1.0,1.0,10.084,
Jakarta,2023,2023-02-26,NC,R8,1,1,NAKANO Shinji,JPN,,15.0,2.0,10.187999999999999,
Jakarta,2023,2023-02-26,NC,R8,1,2,YAKOVLEV Mikhail,ISR,,3.0,1.0,10.027,
Jakarta,2023,2023-02-26,NC,R8,1,2,CORNISH Thomas,AUS,,14.0,2.0,10.039,
Jakarta,2023,2023-02-26,NC,R8,1,3,HOOGLAND Jeffrey,NED,,5.0,1.0,10.012,
Jakarta,2023,2023-02-26,NC,R8,1,3,BOTTICHER Stefan,GER,,13.0,2.0,10.360000000000001,
Jakarta,2023,2023-02-26,NC,R8,1,4,VIGIER Sebastien,FRA,,6.0,1.0,10.312,
Jakarta,2023,2023-02-26,NC,R8,1,4,CARLIN Jack,GBR,,12.0,2.0,10.381,
Jakarta,2023,2023-02-26,NC,R8,1,5,ZHOU Yu,CHN,,4.0,1.0,9.932,
Jakarta,2023,2023-02-26,NC,R8,1,5,HELAL Rayan,FRA,,11.0,2.0,9.967,
Jakarta,2023,2023-02-26,NC,R8,1,6,OTA Kaiya,JPN,,2.0,1.0,9.844,
Jakarta,2023,2023-02-26,NC,R8,1,6,QUINTERO CHAVARRO Kevin Santiago,COL,,16.0,2.0,10.565,
Jakarta,2023,2023-02-26,NC,R8,1,7,AWANG Mohd Azizulhasni,MAS,,7.0,1.0,9.995,
Jakarta,2023,2023-02-26,NC,R8,1,7,RUDYK Mateusz,POL,,10.0,2.0,10.338999999999999,
Jakarta,2023,2023-02-26,NC,R8,1,8,RICHARDSON Matthew,AUS,,8.0,1.0,10.071,
Jakarta,2023,2023-02-26,NC,R8,1,8,LENDEL Vasilijus,LTU,,9.0,2.0,10.173,
Jakarta,2023,2023-02-26,NC,QF,1,1,LAVREYSEN Harrie,NED,,1.0,1.0,9.889,
Jakarta,2023,2023-02-26,NC,QF,1,1,RICHARDSON Matthew,AUS,,8.0,2.0,9.942,
Jakarta,2023,2023-02-26,NC,QF,1,2,YAKOVLEV Mikhail,ISR,,3.0,2.0,10.125,
Jakarta,2023,2023-02-26,NC,QF,1,2,AWANG Mohd Azizulhasni,MAS,,7.0,1.0,10.063,
Jakarta,2023,2023-02-26,NC,QF,1,3,OTA Kaiya,JPN,,2.0,1.0,9.762,
Jakarta,2023,2023-02-26,NC,QF,1,3,HOOGLAND Jeffrey,NED,,5.0,2.0,9.784,
Jakarta,2023,2023-02-26,NC,QF,1,4,ZHOU Yu,CHN,,4.0,2.0,10.413,
Jakarta,2023,2023-02-26,NC,QF,1,4,VIGIER Sebastien,FRA,,6.0,1.0,10.385,
Jakarta,2023,2023-02-26,NC,SF,1,1,LAVREYSEN Harrie,NED,,1.0,1.0,10.098,
Jakarta,2023,2023-02-26,NC,SF,1,1,ZHOU Yu,CHN,,4.0,2.0,11.193000000000001,
Jakarta,2023,2023-02-26,NC,SF,1,2,OTA Kaiya,JPN,,2.0,1.0,9.864,
Jakarta,2023,2023-02-26,NC,SF,1,2,YAKOVLEV Mikhail,ISR,,3.0,2.0,9.882000000000001,
Jakarta,2023,2023-02-26,NC,F,1,G,LAVREYSEN Harrie,NED,,1.0,1.0,10.006,
Jakarta,2023,2023-02-26,NC,F,1,G,OTA Kaiya,JPN,,2.0,2.0,10.024000000000001,
Jakarta,2023,2023-02-26,NC,F,1,B,YAKOVLEV Mikhail,ISR,,3.0,1.0,10.262,
Jakarta,2023,2023-02-26,NC,F,1,B,ZHOU Yu,CHN,,4.0,2.0,10.727,
Paris,2022,2022-10-15,WCH,R16,1,1,CORNISH Thomas,AUS,,9.0,1.0,10.263,70.1549254603917
Paris,2022,2022-10-15,WCH,R16,1,1,MARTINEZ CHORRO Alejandro,ESP,24.4,28.0,2.0,10.449,68.90611541774332
Paris,2022,2022-10-15,WCH,R16,1,2,OTA Kaiya,JPN,,10.0,1.0,10.272,70.09345794392523
Paris,2022,2022-10-15,WCH,R16,1,2,SAHROM Muhammad Shah Firdaus,MAS,26.904109589041095,27.0,2.0,10.345,69.59884001933301
Paris,2022,2022-10-15,WCH,R16,1,3,SARNECKI Rafal,POL,32.78904109589041,16.0,1.0,10.082,71.41440190438405
Paris,2022,2022-10-15,WCH,R16,1,3,DERACHE Tom,FRA,23.726027397260275,17.0,2.0,REL,
Paris,2022,2022-10-15,WCH,R16,1,4,VIGIER Sébastien,FRA,25.50958904109589,11.0,1.0,10.361,69.49136183766045
Paris,2022,2022-10-15,WCH,R16,1,4,LIU Qi,CHN,,26.0,2.0,10.408000000000001,69.17755572636433
Paris,2022,2022-10-15,WCH,R16,1,5,TURNBULL Hamish,GBR,23.273972602739725,5.0,1.0,10.206,70.54673721340389
Paris,2022,2022-10-15,WCH,R16,1,5,DODYK Ryan,CAN,25.87945205479452,25.0,2.0,10.365,69.46454413892909
Paris,2022,2022-10-15,WCH,R16,1,6,CARLIN Jack,GBR,,6.0,1.0,10.282,70.02528690916164
Paris,2022,2022-10-15,WCH,R16,1,6,DÖRNBACH Maximilian,GER,,24.0,2.0,10.371,69.42435637836275
Paris,2022,2022-10-15,WCH,R16,1,7,HELAL Rayan,FRA,23.747945205479454,7.0,1.0,10.028,71.79896290386917
Paris,2022,2022-10-15,WCH,R16,1,7,YAMASAKI Kento,JPN,29.846575342465755,23.0,2.0,10.052,71.62753680859531
Paris,2022,2022-10-15,WCH,R16,1,8,TJON EN FA Jaïr,SUR,,8.0,1.0,10.078,71.44274657670174
Paris,2022,2022-10-15,WCH,R16,1,8,WAMMES Nick,CAN,23.0,18.0,2.0,10.210999999999999,70.51219273332681
Paris,2022,2022-10-15,WCH,R16,1,9,BÖTTICHER Stefan,GER,,12.0,1.0,10.02,71.8562874251497
Paris,2022,2022-10-15,WCH,R16,1,9,van LOON Tijmen,NED,,22.0,2.0,10.097999999999999,71.30124777183602
Paris,2022,2022-10-15,WCH,R16,1,10,ČECHMAN Martin,CZE,24.002739726027396,15.0,1.0,10.232,70.36747458952307
Paris,2022,2022-10-15,WCH,R16,1,10,SZALONTAY Sándor,HUN,32.30684931506849,19.0,2.0,10.332,69.68641114982577
