index,Location,Year,Date,Event,Round,Stage,Heat,Athlete,Country,Age,Final_Rank,Rank,Time,Avg Speed,Initial_CSE,Final_CSE,Mu,Sigma,ExpectedRank,RatingChange
0,Milton,2018,2018-10-28,NC,1,R16,1,BARRETTE_Hugo,CAN,,16.0,1.0,10.178,,Holder,Holder,Holder,Holder,Holder,Holder
1,Milton,2018,2018-10-28,NC,1,R16,1,MITCHELL_Ethan,NZL,,17.0,2.0,10.225000000000001,,Holder,Holder,Holder,Holder,Holder,Holder
2,Milton,2018,2018-10-28,NC,1,R16,2,BAUGE_Gregory,FRA,,5.0,1.0,10.595,,Holder,Holder,Holder,Holder,Holder,Holder
3,Milton,2018,2018-10-28,NC,1,R16,2,MORENO_SANCHEZ_Jose,ESP,,28.0,2.0,10.676,,Holder,Holder,Holder,Holder,Holder,Holder
4,Milton,2018,2018-10-28,NC,1,R16,3,RUDYK_Mateusz,POL,,9.0,1.0,10.204,,Holder,Holder,Holder,Holder,Holder,Holder
5,Milton,2018,2018-10-28,NC,1,R16,3,PERALTA_GASCON_Juan,ESP,,27.0,2.0,10.293000000000001,,Holder,Holder,Holder,Holder,Holder,Holder
6,Milton,2018,2018-10-28,NC,1,R16,4,D'ALMEIDA_Michael,FRA,,10.0,1.0,10.128,,Holder,Holder,Holder,Holder,Holder,Holder
7,Milton,2018,2018-10-28,NC,1,R16,4,DORNBACH_Maximilian,GER,,26.0,2.0,10.835,,Holder,Holder,Holder,Holder,Holder,Holder
8,Milton,2018,2018-10-28,NC,1,R16,5,FUKAYA_Tomohiro,JPN,,6.0,1.0,10.389,,Holder,Holder,Holder,Holder,Holder,Holder
9,Milton,2018,2018-10-28,NC,1,R16,5,SARNECKI_Rafal,POL,,25.0,2.0,REL,,Holder,Holder,Holder,Holder,Holder,Holder
10,Milton,2018,2018-10-28,NC,1,R16,6,DMITRIEV_Denis,RUS,,7.0,1.0,10.236,,Holder,Holder,Holder,Holder,Holder,Holder
11,Milton,2018,2018-10-28,NC,1,R16,6,VYNOKUROV_Andrii,UKR,,24.0,2.0,10.372,,Holder,Holder,Holder,Holder,Holder,Holder
12,Milton,2018,2018-10-28,NC,1,R16,7,TJON_EN_FA_Jair,SUR,,15.0,1.0,10.204,,Holder,Holder,Holder,Holder,Holder,Holder
13,Milton,2018,2018-10-28,NC,1,R16,7,KELEMEN_Pavel,CZE,,18.0,2.0,10.224,,Holder,Holder,Holder,Holder,Holder,Holder
14,Milton,2018,2018-10-28,NC,1,R16,8,BOS_Theo,BCC,,8.0,1.0,10.179,,Holder,Holder,Holder,Holder,Holder,Holder
