Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
17:03:32,0,0,0,0,28,0,255,0,0
17:03:33,0,0,0,0,28,0,255,0,0
17:03:34,0,0,0,0,28,0,255,0,0
17:03:35,0,0,0,0,28,0,255,0,0
17:03:36,0,0,0,0,28,0,255,0,0
17:03:37,0,0,0,0,28,0,255,0,0
17:03:38,0,0,0,0,28,0,255,0,0
17:03:39,0,0,0,0,28,0,255,0,0
17:03:40,0,0,0,0,28,0,255,0,0
17:03:41,0,0,0,0,28,0,255,0,0
17:03:42,0,0,0,0,28,0,255,0,0
17:03:43,0,0,0,0,28,0,255,0,0
17:03:44,0,0,0,0,28,0,255,0,0
17:03:45,0,0,0,0,28,0,255,0,0
17:03:47,0,0,0,0,28,0,255,0,0
17:03:48,0,0,0,0,28,0,255,0,0
17:03:49,0,0,0,0,28,0,255,0,0
17:03:50,0,0,0,0,28,0,255,0,0
17:03:51,0,0,0,0,28,0,255,0,0
17:03:52,0,0,0,0,28,0,255,0,0
17:03:53,0,0,0,0,28,0,255,0,0
17:03:54,0,0,0,0,28,0,255,0,0
17:04:07,0,0,0,0,28,0,255,0,0
17:04:08,0,0,0,0,28,0,255,0,0
17:04:09,0,0,0,0,28,0,255,0,0
17:04:10,0,0,0,0,28,0,255,0,0
17:04:11,0,0,0,0,28,0,255,0,0
17:04:12,0,0,0,0,28,0,255,0,0
17:04:13,0,0,0,0,28,0,255,0,0
17:04:14,0,0,0,0,28,0,255,0,0
17:04:15,0,0,0,0,28,0,255,0,0
17:04:16,0,0,0,0,28,0,255,0,0
17:04:17,0,0,0,0,28,0,255,0,0
17:04:18,0,0,0,0,28,0,255,0,0
17:04:19,0,0,0,0,28,0,255,0,0
17:04:20,0,0,0,0,28,0,255,0,0
17:04:21,0,0,0,0,28,0,255,0,0
17:04:22,0,61,21,0,28,0,37,0,0
17:04:23,0,61,21,0,28,0,37,0,0
17:04:24,0,61,21,0,28,0,37,0,0
17:04:25,0,74,25,0,28,0,44,0,0
17:04:26,0,74,25,0,28,0,44,0,0
17:04:27,0,46,27,0,28,0,40,0,0
17:04:28,0,46,27,0,28,0,40,0,0
17:04:29,0,71,29,0,28,0,57,0,0
17:04:30,0,71,29,0,28,0,57,0,0
17:04:31,0,45,30,0,28,0,56,0,0
17:04:32,0,45,30,0,28,0,56,0,0
17:04:33,0,38,30,0,28,0,42,0,0
17:04:34,0,38,30,0,28,0,42,0,0
17:04:35,0,23,31,0,28,0,69,0,0
17:04:36,0,23,31,0,28,0,69,0,0
17:04:37,0,38,30,0,28,0,25,0,0
17:04:38,0,38,30,0,28,0,25,0,0
17:04:39,0,82,31,0,28,0,41,0,0
17:04:40,0,79,32,0,28,0,51,0,0
17:04:41,0,79,32,0,28,0,51,0,0
17:04:42,0,68,33,0,28,0,62,0,0
17:04:43,0,68,33,0,28,0,62,0,0
17:04:44,0,41,34,0,28,0,53,0,0
17:04:45,0,41,34,0,28,0,53,0,0
17:04:46,0,13,33,0,28,0,40,0,0
17:04:47,0,13,33,0,28,0,40,0,0
17:04:48,0,4,33,0,28,0,100,0,0
17:04:49,0,1,32,0,28,0,0,0,0
17:04:50,0,1,32,0,28,0,0,0,0
17:04:51,0,0,30,0,28,0,255,0,0
17:04:52,0,0,30,0,28,0,255,0,0
17:04:53,0,1,29,0,28,0,100,0,0
17:04:54,0,1,29,0,28,0,100,0,0
17:04:55,0,5,28,0,28,0,40,0,0
17:04:56,0,5,28,0,28,0,40,0,0
17:04:57,0,5,28,0,28,0,40,0,0
17:04:58,0,6,27,0,28,0,41,0,0
17:04:59,0,6,27,0,28,0,41,0,0
17:05:00,0,5,26,0,28,0,44,0,0
17:05:01,0,5,26,0,28,0,44,0,0
17:05:02,0,9,26,0,28,0,42,0,0
17:05:03,0,9,26,0,28,0,42,0,0
17:05:04,0,9,26,0,28,0,42,0,0
17:05:05,0,16,25,0,28,0,50,0,0
17:05:06,0,16,25,0,28,0,50,0,0
17:05:07,0,26,26,0,28,0,40,0,0
17:05:08,0,26,26,0,28,0,40,0,0
17:05:09,0,26,26,0,28,0,28,0,0
17:05:10,0,26,26,0,28,0,28,0,0
17:05:11,0,54,27,0,28,0,50,0,0
17:05:12,0,54,27,0,28,0,50,0,0
17:05:13,0,56,29,0,28,0,43,0,0
17:05:14,0,56,29,0,28,0,43,0,0
17:05:15,0,73,30,0,28,0,44,0,0
17:05:16,0,73,30,0,28,0,44,0,0
17:05:17,0,74,32,0,28,0,50,0,0
17:05:18,0,74,32,0,28,0,50,0,0
17:05:19,0,106,34,0,28,0,45,0,0
17:05:20,0,106,34,0,28,0,45,0,0
17:05:21,0,136,36,0,28,0,50,0,0
17:05:22,0,86,37,0,28,0,52,0,0
17:05:23,0,86,37,0,28,0,52,0,0
17:05:24,0,73,38,0,28,0,51,0,0
17:05:25,0,68,38,0,28,0,50,0,0
17:05:26,0,68,38,0,28,0,50,0,0
17:05:27,0,83,39,0,28,0,48,0,0
17:05:28,0,74,39,0,28,0,63,0,0
17:05:29,0,74,39,0,28,0,63,0,0
17:05:30,0,24,39,0,28,0,70,0,0
17:05:31,0,9,39,0,28,0,33,0,0
17:05:32,0,9,39,0,28,0,33,0,0
17:05:33,0,78,39,0,28,0,31,0,0
17:05:34,0,92,40,0,28,0,53,0,0
17:05:35,0,92,40,0,28,0,53,0,0
17:05:36,0,46,41,0,28,0,64,0,0
17:05:37,0,36,41,0,28,0,45,0,0
17:05:38,0,36,41,0,28,0,45,0,0
17:05:39,0,59,41,0,28,0,39,0,0
17:05:40,0,164,42,0,28,0,46,0,0
17:05:41,0,273,44,0,28,0,45,0,0
17:05:42,0,273,44,0,28,0,45,0,0
17:05:43,0,422,48,0,28,0,37,0,0
17:05:44,0,591,52,0,28,0,47,0,0
17:05:45,0,692,57,0,28,0,50,0,0
17:05:46,0,619,60,0,28,0,52,0,0
17:05:47,0,552,61,0,28,0,50,0,0
17:05:48,0,469,62,0,28,0,52,0,0
17:05:49,0,511,63,0,28,0,45,0,0
17:05:50,0,466,63,0,28,0,51,0,0
17:05:51,0,384,65,0,28,0,54,0,0
17:05:52,0,285,68,0,28,0,51,0,0
17:05:53,0,211,69,0,28,0,52,0,0
17:05:54,0,141,71,0,28,0,54,0,0
17:05:55,0,104,72,0,28,0,56,0,0
17:05:56,0,189,73,0,28,0,49,0,0
17:05:57,0,245,74,0,28,0,56,0,0
17:05:58,0,287,73,0,28,0,47,0,0
17:05:59,0,435,72,0,28,0,42,0,0
17:06:00,0,617,72,0,28,0,45,0,0
17:06:01,0,661,70,0,28,0,51,0,0
17:06:02,0,503,69,0,28,0,51,0,0
17:06:03,0,435,71,0,28,0,52,0,0
17:06:04,0,347,72,0,28,0,52,0,0
17:06:05,0,248,74,0,28,0,56,0,0
17:06:06,0,163,74,0,28,0,50,0,0
17:06:07,0,167,80,0,28,0,48,0,0
17:06:08,0,207,84,0,28,0,51,0,0
17:06:09,0,84,85,0,28,0,100,0,0
17:06:10,0,55,84,0,28,0,44,0,0
17:06:11,0,229,81,0,28,0,48,0,0
17:06:12,0,310,78,0,28,0,57,0,0
17:06:13,0,303,75,0,28,0,49,0,0
17:06:14,0,282,74,0,28,0,51,0,0
17:06:15,0,214,75,0,28,0,48,0,0
17:06:16,0,220,76,0,28,0,52,0,0
17:06:17,0,135,77,0,28,0,64,0,0
17:06:18,0,15,79,0,28,0,255,0,0
17:06:19,0,0,82,0,28,0,255,0,0
17:06:20,0,53,83,0,28,0,55,0,0
17:06:21,0,77,83,0,28,0,36,0,0
17:06:22,0,162,82,0,28,0,46,0,0
17:06:23,0,194,79,0,28,0,48,0,0
17:06:24,0,342,74,0,28,0,49,0,0
17:06:25,0,300,73,0,28,0,51,0,0
17:06:26,0,245,73,0,28,0,52,0,0
17:06:27,0,196,74,0,28,0,51,0,0
17:06:28,0,102,74,0,28,0,62,0,0
17:06:29,0,103,77,0,28,0,39,0,0
17:06:30,0,181,81,0,28,0,47,0,0
17:06:31,0,171,85,0,28,0,59,0,0
17:06:32,0,142,86,0,28,0,58,0,0
17:06:33,0,136,83,0,28,0,37,0,0
17:06:34,0,275,81,0,29,0,52,0,0
17:06:35,0,263,78,0,29,0,53,0,0
17:06:36,0,329,75,0,29,0,48,0,0
17:06:37,0,292,75,0,29,0,52,0,0
17:06:38,0,214,76,0,29,0,53,0,0
17:06:39,0,192,76,0,29,0,55,0,0
17:06:40,0,118,77,0,29,0,63,0,0
17:06:41,0,67,81,0,29,0,46,0,0
17:06:42,0,67,83,0,29,0,54,0,0
17:06:43,0,78,83,0,29,0,48,0,0
17:06:44,0,129,81,0,29,0,52,0,0
17:06:45,0,192,79,0,29,0,45,0,0
17:06:46,0,227,75,0,29,0,55,0,0
17:06:47,0,220,72,0,29,0,49,0,0
17:06:48,0,265,71,0,29,0,48,0,0
17:06:49,0,272,72,0,29,0,53,0,0
17:06:50,0,243,73,0,29,0,50,0,0
17:06:51,0,226,74,0,29,0,49,0,0
17:06:52,0,182,79,0,29,0,56,0,0
17:06:53,0,207,82,0,29,0,49,0,0
17:06:54,0,309,83,0,29,0,48,0,0
17:06:55,0,371,84,0,29,0,49,0,0
17:06:56,0,424,82,0,29,0,49,0,0
17:06:57,0,476,80,0,29,0,50,0,0
17:06:58,0,479,77,0,29,0,49,0,0
17:06:59,0,462,75,0,29,0,51,0,0
17:07:00,0,364,76,0,29,0,55,0,0
17:07:01,0,222,76,0,29,0,57,0,0
17:07:02,0,150,76,0,29,0,54,0,0
17:07:03,0,90,78,0,29,0,56,0,0
17:07:04,0,87,83,0,29,0,40,0,0
17:07:05,0,106,84,0,29,0,46,0,0
17:07:06,0,188,84,0,29,0,45,0,0
17:07:07,0,341,83,0,29,0,49,0,0
17:07:08,0,390,80,0,29,0,50,0,0
17:07:09,0,406,75,0,29,0,52,0,0
17:07:10,0,361,73,0,29,0,50,0,0
17:07:11,0,313,74,0,29,0,51,0,0
17:07:12,0,221,74,0,29,0,55,0,0
17:07:13,0,181,74,0,29,0,48,0,0
