Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
17:33:42,0,0,0,0,28,0,255,0,0
17:33:44,0,0,0,0,28,0,255,0,0
17:33:45,0,0,0,0,28,0,255,0,0
17:33:46,0,0,0,0,28,0,255,0,0
17:33:47,0,0,0,0,28,0,255,0,0
17:33:48,0,0,0,0,28,0,255,0,0
17:33:49,0,0,0,0,28,0,255,0,0
17:33:50,0,0,0,0,28,0,255,0,0
17:33:51,0,0,0,0,28,0,255,0,0
17:33:52,0,0,0,0,28,0,255,0,0
17:33:53,0,0,0,0,28,0,255,0,0
17:33:54,0,0,0,0,28,0,255,0,0
17:33:55,0,0,0,0,28,0,255,0,0
17:33:56,0,0,0,0,28,0,255,0,0
17:33:57,0,0,0,0,28,0,255,0,0
17:33:58,0,0,0,0,28,0,255,0,0
17:34:00,0,0,0,0,28,0,255,0,0
17:34:01,0,0,0,0,28,0,255,0,0
17:34:02,0,0,0,0,28,0,255,0,0
17:34:03,0,0,0,0,28,0,255,0,0
17:34:04,0,0,0,0,28,0,255,0,0
17:34:05,0,0,0,0,28,0,255,0,0
17:34:08,0,0,0,0,28,0,255,0,0
17:34:14,0,0,0,0,28,0,255,0,0
17:34:15,0,0,0,0,28,0,255,0,0
17:34:16,0,0,0,0,28,0,255,0,0
17:34:17,0,0,0,0,28,0,255,0,0
17:34:18,0,0,0,0,28,0,255,0,0
17:34:19,0,0,0,0,28,0,255,0,0
17:34:20,0,0,0,0,28,0,255,0,0
17:34:21,0,0,0,0,28,0,255,0,0
17:34:22,0,0,0,0,28,0,255,0,0
17:34:23,0,0,0,0,28,0,255,0,0
17:34:24,0,62,22,0,28,0,70,0,0
17:34:25,0,62,22,0,28,0,70,0,0
17:34:26,0,62,22,0,28,0,70,0,0
17:34:27,0,25,24,0,28,0,48,0,0
17:34:28,0,25,24,0,28,0,48,0,0
17:34:29,0,30,25,0,28,0,37,0,0
17:34:30,0,30,25,0,28,0,37,0,0
17:34:31,0,27,25,0,28,0,29,0,0
17:34:32,0,27,25,0,28,0,29,0,0
17:34:33,0,31,26,0,28,0,41,0,0
17:34:34,0,31,26,0,28,0,41,0,0
17:34:35,0,31,26,0,28,0,41,0,0
17:34:36,0,14,26,0,28,0,55,0,0
17:34:37,0,14,26,0,28,0,55,0,0
17:34:38,0,24,26,0,28,0,80,0,0
17:34:39,0,24,26,0,28,0,80,0,0
17:34:40,0,31,26,0,28,0,72,0,0
17:34:41,0,31,26,0,28,0,72,0,0
17:34:42,0,15,26,0,28,0,74,0,0
17:34:43,0,15,26,0,28,0,74,0,0
17:34:44,0,15,26,0,28,0,74,0,0
17:34:45,0,43,27,0,28,0,63,0,0
17:34:46,0,43,27,0,28,0,63,0,0
