Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
16:57:15,0,0,0,0,28,0,255,0,0
16:57:16,0,0,0,0,28,0,255,0,0
16:57:17,0,0,0,0,29,0,255,0,0
16:57:18,0,0,0,0,29,0,255,0,0
16:57:19,0,0,0,0,29,0,255,0,0
16:57:20,0,0,0,0,29,0,255,0,0
16:57:21,0,0,0,0,29,0,255,0,0
16:57:22,0,0,0,0,29,0,255,0,0
16:57:23,0,0,0,0,29,0,255,0,0
16:57:24,0,0,0,0,29,0,255,0,0
16:57:25,0,0,0,0,29,0,255,0,0
16:57:26,0,0,0,0,29,0,255,0,0
16:57:27,0,0,0,0,29,0,255,0,0
16:57:28,0,0,0,0,29,0,255,0,0
16:57:29,0,0,0,0,29,0,255,0,0
16:57:30,0,0,0,0,29,0,255,0,0
16:57:31,0,29,20,0,29,0,40,0,0
16:57:32,0,29,20,0,29,0,40,0,0
16:57:33,0,29,20,0,29,0,40,0,0
16:57:34,0,23,22,0,29,0,44,0,0
16:57:35,0,23,22,0,29,0,44,0,0
16:57:36,0,20,23,0,29,0,40,0,0
16:57:37,0,20,23,0,29,0,40,0,0
16:57:38,0,20,23,0,29,0,40,0,0
16:57:39,0,14,24,0,29,0,53,0,0
16:57:40,0,14,24,0,29,0,53,0,0
16:57:41,0,13,24,0,29,0,37,0,0
16:57:42,0,13,24,0,29,0,37,0,0
16:57:43,0,13,24,0,29,0,37,0,0
16:57:44,0,33,25,0,29,0,39,0,0
16:57:45,0,33,25,0,29,0,39,0,0
16:57:46,0,26,26,0,29,0,53,0,0
16:57:47,0,26,26,0,29,0,53,0,0
16:57:48,0,15,26,0,29,0,53,0,0
16:57:49,0,15,26,0,29,0,53,0,0
16:57:50,0,22,27,0,29,0,55,0,0
16:57:51,0,22,27,0,29,0,55,0,0
16:57:52,0,22,27,0,29,0,55,0,0
16:57:53,0,9,27,0,29,0,44,0,0
16:57:54,0,9,27,0,29,0,44,0,0
16:57:55,0,8,27,0,29,0,58,0,0
16:57:56,0,8,27,0,29,0,58,0,0
16:57:57,0,11,26,0,29,0,23,0,0
16:57:58,0,11,26,0,29,0,23,0,0
16:57:59,0,14,26,0,29,0,14,0,0
16:58:00,0,14,26,0,29,0,14,0,0
16:58:01,0,11,27,0,29,0,59,0,0
16:58:02,0,11,27,0,29,0,59,0,0
16:58:03,0,11,27,0,29,0,59,0,0
16:58:04,0,8,27,0,29,0,58,0,0
16:58:05,0,8,27,0,29,0,58,0,0
16:58:06,0,7,27,0,29,0,76,0,0
16:58:07,0,7,27,0,29,0,76,0,0
16:58:08,0,6,26,0,29,0,46,0,0
16:58:09,0,6,26,0,29,0,46,0,0
16:58:10,0,18,26,0,29,0,51,0,0
16:58:11,0,18,26,0,29,0,51,0,0
16:58:12,0,18,26,0,29,0,51,0,0
16:58:13,0,7,26,0,29,0,42,0,0
16:58:14,0,7,26,0,29,0,42,0,0
16:58:15,0,7,25,0,29,0,50,0,0
16:58:16,0,7,25,0,29,0,50,0,0
16:58:17,0,31,26,0,29,0,40,0,0
16:58:18,0,31,26,0,29,0,40,0,0
16:58:19,0,23,27,0,29,0,62,0,0
16:58:20,0,23,27,0,29,0,62,0,0
16:58:21,0,23,27,0,29,0,62,0,0
16:58:22,0,8,26,0,29,0,43,0,0
16:58:23,0,8,26,0,29,0,43,0,0
16:58:24,0,21,26,0,29,0,32,0,0
16:58:25,0,21,26,0,29,0,32,0,0
16:58:26,0,11,27,0,29,0,47,0,0
16:58:27,0,11,27,0,29,0,47,0,0
16:58:28,0,10,27,0,29,0,89,0,0
16:58:29,0,10,27,0,29,0,89,0,0
16:58:30,0,10,27,0,29,0,89,0,0
16:58:31,0,10,27,0,29,0,65,0,0
16:58:32,0,10,27,0,29,0,65,0,0
16:58:33,0,20,27,0,29,0,32,0,0
16:58:34,0,20,27,0,29,0,32,0,0
16:58:35,0,18,27,0,29,0,74,0,0
16:58:36,0,18,27,0,29,0,74,0,0
16:58:37,0,5,27,0,29,0,80,0,0
16:58:38,0,5,27,0,29,0,80,0,0
16:58:39,0,8,26,0,29,0,25,0,0
16:58:40,0,8,26,0,29,0,25,0,0
16:58:41,0,8,26,0,29,0,25,0,0
16:58:42,0,35,27,0,29,0,43,0,0
16:58:43,0,35,27,0,29,0,43,0,0
16:58:44,0,17,27,0,29,0,67,0,0
16:58:45,0,17,27,0,29,0,67,0,0
16:58:46,0,11,27,0,29,0,68,0,0
16:58:47,0,11,27,0,29,0,68,0,0
16:58:48,0,13,27,0,29,0,65,0,0
16:58:49,0,13,27,0,29,0,65,0,0
16:58:50,0,15,27,0,29,0,51,0,0
16:58:51,0,15,27,0,29,0,51,0,0
16:58:52,0,15,27,0,29,0,51,0,0
16:58:53,0,11,27,0,29,0,66,0,0
16:58:54,0,11,27,0,29,0,66,0,0
16:58:55,0,5,27,0,29,0,66,0,0
16:58:56,0,5,27,0,29,0,66,0,0
16:58:57,0,4,26,0,29,0,66,0,0
16:58:58,0,4,26,0,29,0,66,0,0
16:58:59,0,2,26,0,29,0,50,0,0
16:59:00,0,2,26,0,29,0,50,0,0
16:59:01,0,2,26,0,29,0,50,0,0
16:59:02,0,10,25,0,29,0,20,0,0
16:59:03,0,10,25,0,29,0,20,0,0
16:59:04,0,9,26,0,29,0,83,0,0
16:59:05,0,9,26,0,29,0,83,0,0
16:59:06,0,2,25,0,29,0,50,0,0
16:59:07,0,2,25,0,29,0,50,0,0
16:59:08,0,2,25,0,29,0,50,0,0
16:59:09,0,7,24,0,29,0,28,0,0
16:59:10,0,7,24,0,29,0,28,0,0
16:59:11,0,24,25,0,29,0,61,0,0
16:59:12,0,24,25,0,29,0,61,0,0
16:59:13,0,18,25,0,29,0,64,0,0
16:59:14,0,18,25,0,29,0,64,0,0
16:59:15,0,18,25,0,29,0,64,0,0
16:59:16,0,12,25,0,29,0,8,0,0
16:59:17,0,12,25,0,29,0,8,0,0
16:59:18,0,26,25,0,29,0,41,0,0
16:59:19,0,26,25,0,29,0,41,0,0
16:59:20,0,18,26,0,29,0,44,0,0
16:59:21,0,18,26,0,29,0,44,0,0
16:59:22,0,20,26,0,29,0,50,0,0
16:59:23,0,20,26,0,29,0,50,0,0
16:59:24,0,20,26,0,29,0,50,0,0
16:59:25,0,9,26,0,29,0,78,0,0
16:59:26,0,9,26,0,29,0,78,0,0
16:59:27,0,2,26,0,29,0,50,0,0
16:59:28,0,2,26,0,29,0,50,0,0
16:59:29,0,3,26,0,29,0,50,0,0
16:59:30,0,3,26,0,29,0,50,0,0
16:59:31,0,3,26,0,29,0,50,0,0
16:59:32,0,15,26,0,29,0,83,0,0
16:59:33,0,15,26,0,29,0,83,0,0
16:59:34,0,14,26,0,29,0,77,0,0
16:59:35,0,14,26,0,29,0,77,0,0
16:59:36,0,13,26,0,29,0,70,0,0
16:59:37,0,13,26,0,29,0,70,0,0
16:59:38,0,22,26,0,29,0,31,0,0
16:59:39,0,22,26,0,29,0,31,0,0
16:59:40,0,22,26,0,29,0,31,0,0
16:59:41,0,23,27,0,29,0,63,0,0
16:59:42,0,23,27,0,29,0,63,0,0
16:59:43,0,30,27,0,29,0,28,0,0
16:59:44,0,30,27,0,29,0,28,0,0
16:59:45,0,49,28,0,29,0,82,0,0
16:59:46,0,49,28,0,29,0,82,0,0
16:59:47,0,50,29,0,29,0,59,0,0
16:59:48,0,50,29,0,29,0,59,0,0
16:59:49,0,18,30,0,29,0,62,0,0
16:59:50,0,18,30,0,29,0,62,0,0
16:59:51,0,21,30,0,29,0,83,0,0
16:59:52,0,21,30,0,29,0,83,0,0
16:59:53,0,24,30,0,29,0,87,0,0
16:59:54,0,24,30,0,29,0,87,0,0
16:59:55,0,0,29,0,29,0,255,0,0
16:59:56,0,0,29,0,29,0,255,0,0
16:59:57,0,2,28,0,29,0,33,0,0
16:59:58,0,2,28,0,29,0,33,0,0
