Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
16:56:41,0,0,0,0,29,0,255,0,0
16:56:42,0,0,0,0,29,0,255,0,0
16:56:43,0,0,0,0,29,0,255,0,0
16:56:44,0,0,0,0,29,0,255,0,0
16:56:45,0,0,0,0,29,0,255,0,0
16:56:48,12.6,0,0,0,29,0,255,0,0
16:56:49,12.6,0,0,0,29,0,255,0,0
16:56:50,12.6,0,0,0,29,0,255,0,0
16:57:14,4.2,0,0,0,29,0,255,0,0
16:57:15,4.2,0,0,0,29,0,255,0,0
16:57:16,4.2,0,0,0,29,0,255,0,0
16:57:17,0,0,0,0,29,0,255,0,0
16:57:18,0,0,0,0,29,0,255,0,0
16:57:19,4.8,0,0,0,29,0,255,0,0
16:57:20,6.3,0,0,0,29,0,255,0,0
16:57:21,6.7,0,0,0,29,0,255,0,0
16:57:22,7.6,0,0,0,29,0,255,0,0
16:57:23,8.5,0,0,0,29,0,255,0,0
16:57:24,9.1,0,0,0,29,0,255,0,0
16:57:25,9.8,0,0,0,29,0,255,0,0
16:57:26,10.49,0,0,0,29,0,255,0,0
16:57:27,11.34,47,20,0,29,0,50,0,0
16:57:28,11.8,47,20,0,29,0,50,0,0
16:57:29,12.45,53,23,0,29,0,45,0,0
16:57:30,13.15,53,23,0,29,0,45,0,0
16:57:31,13.6,53,23,0,29,0,45,0,0
16:57:32,13.75,29,25,0,29,0,91,0,0
16:57:33,13.5,29,25,0,29,0,91,0,0
16:57:34,13.35,3,25,0,29,0,42,0,0
16:57:35,13.35,3,25,0,29,0,42,0,0
16:57:36,13.5,15,25,0,29,0,93,0,0
16:57:37,13,15,25,0,29,0,93,0,0
16:57:38,13.15,15,25,0,29,0,93,0,0
16:57:39,13.05,14,24,0,29,0,85,0,0
16:57:40,13,14,24,0,29,0,85,0,0
16:57:41,13.1,16,24,0,29,0,59,0,0
16:57:42,13.35,16,24,0,29,0,59,0,0
16:57:43,13.4,30,25,0,29,0,41,0,0
16:57:44,13.6,30,25,0,29,0,41,0,0
16:57:45,13.6,30,25,0,29,0,41,0,0
16:57:46,13.8,21,26,0,29,0,67,0,0
16:57:47,13.7,21,26,0,29,0,67,0,0
16:57:48,13.6,15,26,0,29,0,27,0,0
16:57:49,13.65,15,26,0,29,0,27,0,0
16:57:50,13.8,23,26,0,29,0,36,0,0
16:57:51,14,23,26,0,29,0,36,0,0
16:57:52,14,23,26,0,29,0,36,0,0
16:57:53,14,15,26,0,29,0,43,0,0
16:57:54,14.1,15,26,0,29,0,43,0,0
16:57:55,14.3,22,27,0,29,0,47,0,0
16:57:56,14.25,22,27,0,29,0,47,0,0
16:57:57,14.25,11,27,0,29,0,65,0,0
16:57:58,14.1,11,27,0,29,0,65,0,0
16:57:59,14.3,13,27,0,29,0,62,0,0
