Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
17:03:21,0,0,0,0,29,0,255,0,0
17:03:32,0,0,0,0,29,0,255,0,0
17:03:33,0,0,0,0,29,0,255,0,0
17:03:34,0,0,0,0,29,0,255,0,0
17:03:35,0,0,0,0,29,0,255,0,0
17:03:36,0,0,0,0,29,0,255,0,0
17:03:37,0,0,0,0,29,0,255,0,0
17:03:38,0,0,0,0,29,0,255,0,0
17:03:39,0,0,0,0,29,0,255,0,0
17:03:40,0,0,0,0,29,0,255,0,0
17:03:41,0,0,0,0,29,0,255,0,0
17:03:42,0,0,0,0,29,0,255,0,0
17:03:43,0,0,0,0,29,0,255,0,0
17:03:44,0,0,0,0,29,0,255,0,0
17:03:45,0,0,0,0,29,0,255,0,0
17:03:46,0,0,0,0,29,0,255,0,0
17:03:47,0,0,0,0,29,0,255,0,0
17:03:51,0,0,0,0,29,0,255,0,0
17:03:53,0,0,0,0,29,0,255,0,0
17:03:54,0,0,0,0,29,0,255,0,0
17:03:55,0,0,0,0,29,0,255,0,0
17:04:02,0,0,0,0,29,0,255,0,0
17:04:03,0,0,0,0,29,0,255,0,0
17:04:04,0,0,0,0,29,0,255,0,0
17:04:05,0,0,0,0,29,0,255,0,0
17:04:06,0,0,0,0,29,0,255,0,0
17:04:07,0,0,0,0,29,0,255,0,0
17:04:08,0,0,0,0,29,0,255,0,0
17:04:09,0,0,0,0,29,0,255,0,0
17:04:10,0,0,0,0,29,0,255,0,0
17:04:11,0,0,0,0,29,0,255,0,0
17:04:12,0,0,0,0,29,0,255,0,0
17:04:13,0,0,0,0,29,0,255,0,0
17:04:14,0,0,0,0,29,0,255,0,0
17:04:15,0,0,0,0,29,0,255,0,0
17:04:16,0,0,0,0,29,0,255,0,0
17:04:17,0,38,20,0,29,0,41,0,0
17:04:18,0,38,20,0,29,0,41,0,0
17:04:19,0,36,22,0,29,0,46,0,0
17:04:20,0,36,22,0,29,0,46,0,0
17:04:21,0,36,22,0,29,0,46,0,0
17:04:22,0,37,24,0,29,0,37,0,0
17:04:23,0,37,24,0,29,0,37,0,0
17:04:24,0,34,25,0,29,0,61,0,0
17:04:25,0,34,25,0,29,0,61,0,0
17:04:26,0,33,26,0,29,0,45,0,0
17:04:27,0,33,26,0,29,0,45,0,0
17:04:28,0,33,26,0,29,0,45,0,0
17:04:29,0,36,27,0,29,0,67,0,0
17:04:30,0,36,27,0,29,0,67,0,0
17:04:31,0,32,27,0,29,0,45,0,0
17:04:32,0,32,27,0,29,0,45,0,0
17:04:33,0,30,27,0,29,0,45,0,0
17:04:34,0,30,27,0,29,0,45,0,0
17:04:35,0,39,27,0,29,0,46,0,0
17:04:36,0,39,27,0,29,0,46,0,0
17:04:37,0,32,28,0,29,0,50,0,0
17:04:38,0,32,28,0,29,0,50,0,0
17:04:39,0,32,28,0,29,0,50,0,0
17:04:40,0,26,28,0,29,0,54,0,0
17:04:41,0,26,28,0,29,0,54,0,0
17:04:42,0,61,27,0,29,0,16,0,0
