Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
17:32:44,0,0,0,0,29,0,255,0,0
17:32:45,0,0,0,0,29,0,255,0,0
17:32:46,0,0,0,0,29,0,255,0,0
17:32:47,0,0,0,0,29,0,255,0,0
17:32:48,0,0,0,0,29,0,255,0,0
17:32:49,0,0,0,0,29,0,255,0,0
17:32:51,0,0,0,0,29,0,255,0,0
17:32:52,0,0,0,0,29,0,255,0,0
17:32:53,0,0,0,0,29,0,255,0,0
17:32:54,0,0,0,0,29,0,255,0,0
17:32:55,0,0,0,0,29,0,255,0,0
17:32:56,0,0,0,0,29,0,255,0,0
17:32:57,0,0,0,0,29,0,255,0,0
17:32:58,0,0,0,0,29,0,255,0,0
17:32:59,0,0,0,0,29,0,255,0,0
17:33:00,0,0,0,0,29,0,255,0,0
17:33:01,0,0,0,0,29,0,255,0,0
17:33:02,0,0,0,0,29,0,255,0,0
17:33:03,0,0,0,0,29,0,255,0,0
17:33:04,0,0,0,0,29,0,255,0,0
17:33:05,0,0,0,0,29,0,255,0,0
17:33:06,0,0,0,0,29,0,255,0,0
17:33:22,0,0,0,0,29,0,255,0,0
17:33:23,0,0,0,0,29,0,255,0,0
17:33:24,0,0,0,0,29,0,255,0,0
17:33:25,0,0,0,0,29,0,255,0,0
17:33:26,0,0,0,0,29,0,255,0,0
17:33:35,0,0,0,0,29,0,255,0,0
17:33:36,0,0,0,0,29,0,255,0,0
17:33:37,0,0,0,0,29,0,255,0,0
17:33:38,0,0,0,0,29,0,255,0,0
17:33:39,0,0,0,0,29,0,255,0,0
17:33:40,0,0,0,0,29,0,255,0,0
17:33:41,0,0,0,0,29,0,255,0,0
17:33:42,0,0,0,0,29,0,255,0,0
17:33:43,0,0,0,0,29,0,255,0,0
17:33:44,0,0,0,0,29,0,255,0,0
17:33:45,0,0,0,0,29,0,255,0,0
17:33:46,0,0,0,0,29,0,255,0,0
17:33:47,0,0,0,0,29,0,255,0,0
17:33:48,0,0,0,0,29,0,255,0,0
17:33:49,0,0,0,0,29,0,255,0,0
17:33:50,0,0,0,0,29,0,255,0,0
17:33:51,0,0,0,0,29,0,255,0,0
17:33:52,0,0,0,0,29,0,255,0,0
17:33:53,0,0,0,0,29,0,255,0,0
17:33:54,0,0,0,0,29,0,255,0,0
17:33:55,0,0,0,0,29,0,255,0,0
17:33:56,0,0,0,0,29,0,255,0,0
17:33:57,0,0,0,0,29,0,255,0,0
17:33:58,0,22,20,0,29,0,74,0,0
17:33:59,0,22,20,0,29,0,74,0,0
17:34:00,0,22,20,0,29,0,74,0,0
17:34:01,0,10,20,0,29,0,47,0,0
17:34:02,0,10,20,0,29,0,47,0,0
17:34:03,0,21,20,0,29,0,50,0,0
17:34:04,0,21,20,0,29,0,50,0,0
17:34:05,0,21,20,0,29,0,50,0,0
17:34:06,0,9,21,0,29,0,82,0,0
17:34:07,0,9,21,0,29,0,82,0,0
17:34:08,0,9,21,0,29,0,82,0,0
17:34:09,0,8,21,0,29,0,31,0,0
17:34:10,0,8,21,0,29,0,31,0,0
17:34:11,0,8,21,0,29,0,31,0,0
17:34:12,0,16,20,0,29,0,37,0,0
17:34:13,0,16,20,0,29,0,37,0,0
17:34:14,0,16,20,0,29,0,37,0,0
17:34:15,0,17,20,0,29,0,38,0,0
17:34:16,0,17,20,0,29,0,38,0,0
17:34:17,0,17,20,0,29,0,38,0,0
17:34:18,0,7,20,0,29,0,64,0,0
17:34:19,0,7,20,0,29,0,64,0,0
17:34:20,0,7,20,0,29,0,64,0,0
17:34:21,0,3,20,0,29,0,50,0,0
17:34:22,0,3,20,0,29,0,50,0,0
17:34:23,0,0,0,0,29,0,255,0,0
17:34:24,0,2,20,0,29,0,60,0,0
17:34:25,0,0,0,0,29,0,255,0,0
17:34:26,0,0,0,0,29,0,255,0,0
17:34:27,0,0,0,0,29,0,255,0,0
17:34:28,0,0,0,0,29,0,255,0,0
17:34:29,0,0,0,0,29,0,255,0,0
17:34:30,0,0,0,0,29,0,255,0,0
17:34:31,0,0,0,0,29,0,255,0,0
17:34:32,0,0,0,0,29,0,255,0,0
17:34:33,0,0,0,0,29,0,255,0,0
17:34:34,0,0,0,0,29,0,255,0,0
