Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
17:19:04,0,0,0,0,28,0,255,0,0
17:19:10,0,0,0,0,28,0,255,0,0
17:19:11,0,0,0,0,28,0,255,0,0
17:19:12,0,0,0,0,28,0,255,0,0
17:19:13,0,0,0,0,28,0,255,0,0
17:19:14,0,0,0,0,28,0,255,0,0
17:19:15,0,0,0,0,28,0,255,0,0
17:19:16,0,0,0,0,28,0,255,0,0
17:19:17,0,0,0,0,28,0,255,0,0
17:19:18,0,0,0,0,28,0,255,0,0
17:19:24,0,0,0,0,28,0,255,0,0
17:20:17,0,0,0,0,28,0,255,0,0
17:20:19,0,0,0,0,28,0,255,0,0
17:20:20,0,0,0,0,28,0,255,0,0
17:20:21,0,0,0,0,28,0,255,0,0
17:20:22,0,0,0,0,28,0,255,0,0
17:20:23,0,0,0,0,28,0,255,0,0
17:20:24,0,0,0,0,28,0,255,0,0
17:20:25,0,0,0,0,28,0,255,0,0
17:20:26,0,0,0,0,28,0,255,0,0
17:20:27,0,0,0,0,28,0,255,0,0
17:20:28,0,0,0,0,28,0,255,0,0
17:20:29,0,0,0,0,28,0,255,0,0
17:20:30,0,0,0,0,28,0,255,0,0
17:20:31,0,0,0,0,28,0,255,0,0
17:20:32,0,0,0,0,28,0,255,0,0
17:20:33,0,0,0,0,28,0,255,0,0
17:20:34,0,0,0,0,28,0,255,0,0
17:20:35,0,0,0,0,28,0,255,0,0
17:20:36,0,0,0,0,28,0,255,0,0
17:20:37,0,0,0,0,28,0,255,0,0
17:20:38,0,0,0,0,28,0,255,0,0
17:20:39,0,0,0,0,28,0,255,0,0
17:20:40,0,0,0,0,28,0,255,0,0
17:20:41,0,0,0,0,28,0,255,0,0
17:20:42,0,0,0,0,28,0,255,0,0
17:20:43,0,28,20,0,28,0,61,0,0
17:20:44,0,28,20,0,28,0,61,0,0
17:20:45,0,28,20,0,28,0,61,0,0
17:20:46,0,23,21,0,28,0,54,0,0
17:20:47,0,23,21,0,28,0,54,0,0
17:20:48,0,23,21,0,28,0,54,0,0
17:20:49,0,16,22,0,28,0,71,0,0
17:20:50,0,16,22,0,28,0,71,0,0
17:20:51,0,16,22,0,28,0,62,0,0
17:20:52,0,16,22,0,28,0,62,0,0
17:20:53,0,16,22,0,28,0,62,0,0
17:20:54,0,18,22,0,28,0,72,0,0
17:20:55,0,18,22,0,28,0,72,0,0
17:20:56,0,18,22,0,28,0,72,0,0
17:20:57,0,21,22,0,28,0,62,0,0
17:20:58,0,21,22,0,28,0,62,0,0
17:20:59,0,18,22,0,28,0,65,0,0
17:21:00,0,18,22,0,28,0,65,0,0
17:21:01,0,18,22,0,28,0,65,0,0
17:21:02,0,16,21,0,28,0,34,0,0
17:21:03,0,16,21,0,28,0,34,0,0
17:21:04,0,16,21,0,28,0,34,0,0
17:21:05,0,10,22,0,28,0,55,0,0
17:21:06,0,10,22,0,28,0,55,0,0
17:21:07,0,19,22,0,28,0,87,0,0
17:21:08,0,19,22,0,28,0,87,0,0
17:21:09,0,19,22,0,28,0,87,0,0
17:21:10,0,12,23,0,28,0,25,0,0
17:21:11,0,12,23,0,28,0,25,0,0
17:21:12,0,16,23,0,28,0,60,0,0
17:21:13,0,16,23,0,28,0,60,0,0
17:21:14,0,16,23,0,28,0,60,0,0
17:21:15,0,10,23,0,28,0,73,0,0
17:21:16,0,10,23,0,28,0,73,0,0
17:21:17,0,10,23,0,28,0,73,0,0
17:21:18,0,6,23,0,28,0,75,0,0
17:21:19,0,6,23,0,28,0,75,0,0
17:21:20,0,3,22,0,28,0,66,0,0
17:21:21,0,3,22,0,28,0,66,0,0
17:21:22,0,3,22,0,28,0,66,0,0
17:21:23,0,4,21,0,28,0,42,0,0
17:21:24,0,4,21,0,28,0,42,0,0
17:21:25,0,4,21,0,28,0,42,0,0
17:21:26,0,7,21,0,28,0,30,0,0
17:21:27,0,7,21,0,28,0,30,0,0
17:21:28,0,7,21,0,28,0,30,0,0
17:21:29,0,19,21,0,28,0,48,0,0
