Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
17:44:05,0,0,0,0,28,0,255,0,0
17:44:07,0,0,0,0,28,0,255,0,0
17:44:08,0,0,0,0,28,0,255,0,0
17:44:10,0,0,0,0,28,0,255,0,0
17:44:12,0,0,0,0,28,0,255,0,0
17:44:16,0,0,0,0,28,0,255,0,0
17:44:18,0,0,0,0,28,0,255,0,0
17:44:19,0,0,0,0,28,0,255,0,0
17:44:20,0,0,0,0,28,0,255,0,0
17:44:21,0,0,0,0,28,0,255,0,0
17:44:24,0,0,0,0,28,0,255,0,0
17:44:30,0,0,0,0,28,0,255,0,0
17:45:06,0,0,0,0,28,0,255,0,0
17:45:07,0,0,0,0,28,0,255,0,0
17:45:08,0,0,0,0,28,0,255,0,0
17:45:09,0,0,0,0,28,0,255,0,0
17:45:10,0,0,0,0,28,0,255,0,0
17:45:25,0,0,0,0,28,0,255,0,0
17:45:26,0,0,0,0,28,0,255,0,0
17:45:40,0,0,0,0,28,0,255,0,0
17:45:41,0,0,0,0,28,0,255,0,0
17:45:42,0,0,0,0,28,0,255,0,0
17:45:43,0,0,0,0,28,0,255,0,0
17:45:44,0,0,0,0,28,0,255,0,0
17:45:45,0,0,0,0,28,0,255,0,0
17:45:47,0,0,0,0,28,0,255,0,0
17:45:48,0,0,0,0,28,0,255,0,0
17:46:27,0,0,0,0,28,0,255,0,0
17:46:47,0,0,0,0,28,0,255,0,0
17:46:49,0,0,0,0,28,0,255,0,0
17:46:50,0,0,0,0,28,0,255,0,0
17:46:51,0,0,0,0,28,0,255,0,0
17:46:52,0,0,0,0,28,0,255,0,0
17:46:53,0,0,0,0,28,0,255,0,0
17:46:54,0,0,0,0,28,0,255,0,0
17:46:55,0,0,0,0,28,0,255,0,0
17:46:56,0,0,0,0,28,0,255,0,0
17:46:57,0,0,0,0,28,0,255,0,0
17:46:58,0,0,0,0,28,0,255,0,0
17:46:59,0,0,0,0,28,0,255,0,0
17:47:00,0,0,0,0,28,0,255,0,0
17:47:01,0,0,0,0,28,0,255,0,0
17:47:02,0,0,0,0,28,0,255,0,0
17:47:03,0,0,0,0,28,0,255,0,0
17:47:04,0,0,0,0,28,0,255,0,0
17:47:05,0,0,0,0,28,0,255,0,0
17:47:06,0,0,0,0,28,0,255,0,0
17:47:07,0,0,0,0,28,0,255,0,0
17:47:08,0,0,0,0,28,0,255,0,0
17:47:09,0,0,0,0,28,0,255,0,0
17:47:10,0,0,0,0,28,0,255,0,0
17:47:11,0,0,0,0,28,0,255,0,0
17:47:23,0,0,0,0,28,0,255,0,0
17:47:24,0,0,0,0,28,0,255,0,0
17:47:25,0,0,0,0,28,0,255,0,0
17:47:26,0,0,0,0,28,0,255,0,0
17:47:27,0,0,0,0,28,0,255,0,0
17:47:28,0,0,0,0,28,0,255,0,0
17:47:29,0,0,0,0,28,0,255,0,0
17:47:30,0,0,0,0,28,0,255,0,0
17:47:31,0,0,0,0,28,0,255,0,0
17:47:32,0,0,0,0,28,0,255,0,0
17:47:33,0,0,0,0,28,0,255,0,0
17:47:34,0,0,0,0,28,0,255,0,0
17:47:35,0,0,0,0,28,0,255,0,0
17:47:36,0,0,0,0,28,0,255,0,0
17:47:37,0,0,0,0,28,0,255,0,0
17:47:38,0,18,20,0,28,0,47,0,0
17:47:39,0,18,20,0,28,0,47,0,0
17:47:40,0,18,20,0,28,0,47,0,0
17:47:41,0,17,20,0,28,0,75,0,0
17:47:42,0,17,20,0,28,0,75,0,0
17:47:43,0,17,20,0,28,0,75,0,0
17:47:44,0,5,20,0,28,0,100,0,0
