Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
16:56:48,0,0,0,0,27,0,255,0,0
16:56:49,4.2,0,0,0,27,0,255,0,0
16:56:50,4.3,0,0,0,27,0,255,0,0
16:56:51,4.3,0,0,0,27,0,255,0,0
16:56:52,4.3,0,0,0,27,0,255,0,0
16:56:53,4.3,0,0,0,28,0,255,0,0
16:56:54,4.7,0,0,0,28,0,255,0,0
16:56:55,4.3,0,0,0,28,0,255,0,0
16:56:56,4.3,0,0,0,28,0,255,0,0
16:56:57,4.2,0,0,0,28,0,255,0,0
16:56:58,4.2,0,0,0,28,0,255,0,0
16:56:59,3.5,0,0,0,28,0,255,0,0
16:57:00,3.5,0,0,0,28,0,255,0,0
16:57:15,0,0,0,0,28,0,255,0,0
16:57:16,0,0,0,0,28,0,255,0,0
16:57:17,0,0,0,0,28,0,255,0,0
16:57:18,4.6,0,0,0,28,0,255,0,0
16:57:19,5.4,0,0,0,28,0,255,0,0
16:57:20,6.7,0,0,0,28,0,255,0,0
16:57:21,6.7,0,0,0,28,0,255,0,0
16:57:22,7.6,0,0,0,28,0,255,0,0
16:57:23,9.2,0,0,0,28,0,255,0,0
16:57:24,10.39,0,0,0,28,0,255,0,0
16:57:25,11,0,0,0,28,0,255,0,0
16:57:26,11.39,39,21,0,28,0,53,0,0
16:57:27,12.04,39,21,0,28,0,53,0,0
16:57:28,12.6,39,21,0,28,0,53,0,0
16:57:29,12.9,33,24,0,28,0,63,0,0
16:57:30,13.4,33,24,0,28,0,63,0,0
16:57:31,13.7,29,26,0,28,0,71,0,0
16:57:32,13.8,29,26,0,28,0,71,0,0
16:57:33,14.54,47,27,0,28,0,43,0,0
16:57:34,14.9,47,27,0,28,0,43,0,0
16:57:35,15.45,50,29,0,28,0,50,0,0
16:57:36,15.76,50,29,0,28,0,50,0,0
16:57:37,16.1,29,30,0,28,0,59,0,0
16:57:38,16.05,29,30,0,28,0,59,0,0
16:57:39,15.9,5,30,0,28,0,100,0,0
16:57:40,15.65,5,30,0,28,0,100,0,0
16:57:41,15.4,2,29,0,28,0,50,0,0
16:57:42,15.3,2,29,0,28,0,50,0,0
16:57:43,15.3,31,29,0,28,0,35,0,0
16:57:44,15.45,31,29,0,28,0,35,0,0
16:57:45,15.45,11,29,0,28,0,95,0,0
16:57:46,15.3,11,29,0,28,0,95,0,0
16:57:47,15.15,6,29,0,28,0,45,0,0
16:57:48,15.05,6,29,0,28,0,45,0,0
16:57:49,14.9,4,28,0,28,0,50,0,0
16:57:50,14.75,4,28,0,28,0,50,0,0
16:57:51,14.64,5,28,0,28,0,44,0,0
16:57:52,14.55,5,28,0,28,0,44,0,0
16:57:53,14.45,5,28,0,28,0,44,0,0
16:57:54,14.45,8,27,0,28,0,46,0,0
16:57:55,14.4,8,27,0,28,0,46,0,0
16:57:56,14.35,8,27,0,28,0,62,0,0
16:57:57,14.3,8,27,0,28,0,62,0,0
16:57:58,14.45,12,27,0,28,0,44,0,0
16:57:59,14.46,12,27,0,28,0,44,0,0
16:58:00,14.6,13,27,0,28,0,38,0,0
16:58:01,14.7,13,27,0,28,0,38,0,0
16:58:02,14.65,9,28,0,28,0,52,0,0
16:58:03,14.7,9,28,0,28,0,52,0,0
16:58:04,14.6,6,28,0,28,0,83,0,0
16:58:05,14.45,6,28,0,28,0,83,0,0
16:58:06,14.3,7,27,0,28,0,21,0,0
16:58:07,14.25,7,27,0,28,0,21,0,0
16:58:08,14.35,7,27,0,28,0,21,0,0
16:58:09,14.4,22,27,0,28,0,68,0,0
16:58:10,14.65,22,27,0,28,0,68,0,0
16:58:11,14.7,27,28,0,28,0,67,0,0
16:58:12,14.7,27,28,0,28,0,67,0,0
16:58:13,14.55,15,28,0,28,0,58,0,0
16:58:14,14.6,15,28,0,28,0,58,0,0
16:58:15,14.6,11,28,0,28,0,63,0,0
16:58:16,14.5,11,28,0,28,0,63,0,0
16:58:17,14.35,3,27,0,28,0,66,0,0
16:58:18,14.25,3,27,0,28,0,66,0,0
16:58:19,14.3,4,27,0,28,0,57,0,0
16:58:20,14.1,4,27,0,28,0,57,0,0
16:58:21,14,4,27,0,28,0,57,0,0
16:58:22,14.03,11,27,0,28,0,39,0,0
16:58:23,14.35,11,27,0,28,0,39,0,0
16:58:24,14.4,23,27,0,28,0,71,0,0
16:58:25,14.4,23,27,0,28,0,71,0,0
