Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
17:03:24,0,0,0,0,27,0,255,0,0
17:03:29,0,0,0,0,27,0,255,0,0
17:03:30,0,0,0,0,27,0,255,0,0
17:03:31,0,0,0,0,27,0,255,0,0
17:03:32,0,0,0,0,27,0,255,0,0
17:03:33,0,0,0,0,27,0,255,0,0
17:03:34,0,0,0,0,27,0,255,0,0
17:03:35,0,0,0,0,27,0,255,0,0
17:03:39,0,0,0,0,27,0,255,0,0
17:03:40,0,0,0,0,27,0,255,0,0
17:03:41,0,0,0,0,27,0,255,0,0
17:03:42,0,0,0,0,27,0,255,0,0
17:03:43,0,0,0,0,27,0,255,0,0
17:03:45,0,0,0,0,27,0,255,0,0
17:03:46,0,0,0,0,27,0,255,0,0
17:03:47,0,0,0,0,27,0,255,0,0
17:03:48,0,0,0,0,27,0,255,0,0
17:03:49,0,0,0,0,27,0,255,0,0
17:03:50,0,0,0,0,27,0,255,0,0
17:03:51,0,0,0,0,27,0,255,0,0
17:03:52,0,0,0,0,28,0,255,0,0
17:03:53,0,0,0,0,28,0,255,0,0
17:03:54,0,0,0,0,28,0,255,0,0
17:03:55,0,0,0,0,28,0,255,0,0
17:04:05,0,0,0,0,28,0,255,0,0
17:04:12,0,0,0,0,28,0,255,0,0
17:04:13,0,0,0,0,28,0,255,0,0
17:04:14,0,0,0,0,28,0,255,0,0
17:04:15,0,0,0,0,28,0,255,0,0
17:04:16,0,0,0,0,28,0,255,0,0
17:04:17,0,0,0,0,28,0,255,0,0
17:04:18,0,0,0,0,28,0,255,0,0
17:04:19,0,0,0,0,28,0,255,0,0
17:04:20,0,0,0,0,28,0,255,0,0
17:04:21,0,0,0,0,28,0,255,0,0
17:04:22,0,0,0,0,28,0,255,0,0
17:04:23,0,0,0,0,28,0,255,0,0
17:04:24,0,71,21,0,28,0,44,0,0
17:04:25,0,71,21,0,28,0,44,0,0
17:04:26,0,43,25,0,28,0,74,0,0
17:04:27,0,43,25,0,28,0,74,0,0
17:04:28,0,43,25,0,28,0,74,0,0
17:04:29,0,31,25,0,28,0,40,0,0
17:04:30,0,31,25,0,28,0,40,0,0
17:04:31,0,8,26,0,28,0,53,0,0
17:04:32,0,8,26,0,28,0,53,0,0
17:04:33,0,16,26,0,28,0,16,0,0
17:04:34,0,16,26,0,28,0,16,0,0
17:04:35,0,9,26,0,28,0,50,0,0
17:04:36,0,9,26,0,28,0,50,0,0
17:04:37,0,20,26,0,28,0,45,0,0
17:04:38,0,20,26,0,28,0,45,0,0
17:04:39,0,20,26,0,28,0,45,0,0
17:04:40,0,12,27,0,28,0,29,0,0
17:04:41,0,12,27,0,28,0,29,0,0
17:04:42,0,13,26,0,28,0,23,0,0
17:04:43,0,13,26,0,28,0,23,0,0
17:04:44,0,15,26,0,28,0,24,0,0
17:04:45,0,15,26,0,28,0,24,0,0
17:04:46,0,35,27,0,28,0,37,0,0
17:04:47,0,35,27,0,28,0,37,0,0
17:04:48,0,45,28,0,28,0,40,0,0
17:04:49,0,45,28,0,28,0,40,0,0
17:04:50,0,82,30,0,28,0,40,0,0
17:04:51,0,82,30,0,28,0,40,0,0
17:04:52,0,57,32,0,28,0,53,0,0
17:04:53,0,57,32,0,28,0,53,0,0
17:04:54,0,57,33,0,28,0,64,0,0
17:04:55,0,57,33,0,28,0,64,0,0
17:04:56,0,12,33,0,28,0,80,0,0
17:04:57,0,12,33,0,28,0,80,0,0
17:04:58,0,16,33,0,28,0,78,0,0
17:04:59,0,32,33,0,28,0,0,0,0
17:05:00,0,32,33,0,28,0,0,0,0
17:05:01,0,17,33,0,28,0,60,0,0
17:05:02,0,17,33,0,28,0,60,0,0
17:05:03,0,15,32,0,28,0,36,0,0
17:05:04,0,15,32,0,28,0,36,0,0
17:05:05,0,24,32,0,28,0,50,0,0
17:05:06,0,24,32,0,28,0,50,0,0
17:05:07,0,24,32,0,28,0,40,0,0
17:05:08,0,24,32,0,28,0,40,0,0
17:05:09,0,28,33,0,28,0,38,0,0
17:05:10,0,18,33,0,28,0,47,0,0
17:05:11,0,18,33,0,28,0,47,0,0
17:05:12,0,3,32,0,28,0,50,0,0
17:05:13,0,3,32,0,28,0,50,0,0
17:05:14,0,6,32,0,28,0,41,0,0
17:05:15,0,6,32,0,28,0,41,0,0
17:05:16,0,18,32,0,28,0,8,0,0
17:05:17,0,18,32,0,28,0,8,0,0
17:05:18,0,125,33,0,28,0,32,0,0
17:05:19,0,147,37,0,28,0,55,0,0
17:05:20,0,147,37,0,28,0,55,0,0
17:05:21,0,106,38,0,28,0,28,0,0
17:05:22,0,110,40,0,28,0,49,0,0
17:05:23,0,110,40,0,28,0,49,0,0
17:05:24,0,211,42,0,28,0,33,0,0
17:05:25,0,259,44,0,28,0,54,0,0
17:05:26,0,201,46,0,28,0,49,0,0
17:05:27,0,201,46,0,28,0,49,0,0
17:05:28,0,134,48,0,28,0,64,0,0
17:05:29,0,101,48,0,28,0,34,0,0
17:05:30,0,151,48,0,28,0,51,0,0
17:05:31,0,31,49,0,28,0,100,0,0
17:05:32,0,31,49,0,28,0,100,0,0
17:05:33,0,0,48,0,28,0,255,0,0
17:05:34,0,27,46,0,28,0,0,0,0
17:05:35,0,47,47,0,28,0,31,0,0
17:05:36,0,188,48,0,28,0,53,0,0
17:05:37,0,188,48,0,28,0,53,0,0
17:05:38,0,102,48,0,28,0,49,0,0
17:05:39,0,144,49,0,28,0,47,0,0
17:05:40,0,288,50,0,28,0,50,0,0
17:05:41,0,356,52,0,28,0,48,0,0
17:05:42,0,425,55,0,28,0,47,0,0
17:05:43,0,490,57,0,28,0,46,0,0
17:05:44,0,503,58,0,28,0,51,0,0
17:05:45,0,506,59,0,28,0,46,0,0
17:05:46,0,622,60,0,28,0,47,0,0
17:05:47,0,631,61,0,28,0,49,0,0
17:05:48,0,455,63,0,28,0,49,0,0
17:05:49,0,336,64,0,28,0,55,0,0
17:05:50,0,345,65,0,28,0,47,0,0
17:05:51,0,334,66,0,28,0,52,0,0
17:05:52,0,234,67,0,28,0,49,0,0
17:05:53,0,464,67,0,28,0,44,0,0
17:05:54,0,413,69,0,28,0,52,0,0
17:05:55,0,397,74,0,28,0,45,0,0
17:05:56,0,504,75,0,28,0,48,0,0
17:05:57,0,507,76,0,28,0,50,0,0
17:05:58,0,642,76,0,28,0,48,0,0
17:05:59,0,663,76,0,28,0,49,0,0
17:06:00,0,527,74,0,28,0,52,0,0
17:06:01,0,387,71,0,28,0,51,0,0
17:06:02,0,354,72,0,28,0,49,0,0
17:06:03,0,274,73,0,28,0,52,0,0
17:06:04,0,231,73,0,28,0,54,0,0
17:06:05,0,193,75,0,28,0,52,0,0
17:06:06,0,196,79,0,28,0,52,0,0
17:06:07,0,167,83,0,28,0,53,0,0
17:06:08,0,179,84,0,28,0,50,0,0
17:06:09,0,218,82,0,28,0,51,0,0
17:06:10,0,249,80,0,28,0,50,0,0
17:06:11,0,292,76,0,28,0,47,0,0
17:06:12,0,315,70,0,28,0,53,0,0
17:06:13,0,211,69,0,28,0,52,0,0
17:06:14,0,158,69,0,28,0,52,0,0
17:06:15,0,166,69,0,28,0,54,0,0
17:06:16,0,184,69,0,28,0,51,0,0
17:06:17,0,183,71,0,28,0,51,0,0
17:06:18,0,95,75,0,28,0,41,0,0
17:06:19,0,171,81,0,28,0,43,0,0
17:06:20,0,175,82,0,28,0,50,0,0
17:06:21,0,158,81,0,28,0,52,0,0
17:06:22,0,197,80,0,28,0,55,0,0
17:06:23,0,218,76,0,28,0,52,0,0
17:06:24,0,289,72,0,28,0,50,0,0
17:06:25,0,339,70,0,28,0,47,0,0
17:06:26,0,409,74,0,28,0,52,0,0
17:06:27,0,251,75,0,28,0,61,0,0
17:06:28,0,57,75,0,28,0,68,0,0
17:06:29,0,28,76,0,28,0,54,0,0
17:06:30,0,40,82,0,28,0,67,0,0
17:06:31,0,67,84,0,28,0,54,0,0
17:06:32,0,105,84,0,28,0,53,0,0
17:06:33,0,80,83,0,28,0,45,0,0
17:06:34,0,132,79,0,28,0,45,0,0
17:06:35,0,260,75,0,28,0,50,0,0
17:06:36,0,263,74,0,28,0,51,0,0
17:06:37,0,216,74,0,28,0,42,0,0
17:06:38,0,251,75,0,28,0,49,0,0
17:06:39,0,223,77,0,28,0,51,0,0
17:06:40,0,98,79,0,28,0,62,0,0
17:06:41,0,45,81,0,28,0,65,0,0
17:06:42,0,18,84,0,28,0,62,0,0
17:06:43,0,3,84,0,28,0,100,0,0
17:06:44,0,58,81,0,28,0,44,0,0
17:06:45,0,201,78,0,28,0,49,0,0
17:06:46,0,275,76,0,28,0,48,0,0
17:06:47,0,292,72,0,28,0,52,0,0
17:06:48,0,277,72,0,28,0,49,0,0
17:06:49,0,232,73,0,28,0,56,0,0
17:06:50,0,146,73,0,28,0,50,0,0
17:06:51,0,99,75,0,28,0,52,0,0
17:06:52,0,84,80,0,28,0,68,0,0
17:06:53,0,60,83,0,28,0,48,0,0
17:06:54,0,74,84,0,28,0,44,0,0
17:06:55,0,166,83,0,28,0,43,0,0
17:06:56,0,225,82,0,28,0,49,0,0
17:06:57,0,334,78,0,28,0,51,0,0
17:06:58,0,360,75,0,28,0,54,0,0
17:06:59,0,287,75,0,28,0,57,0,0
17:07:00,0,220,75,0,28,0,50,0,0
17:07:01,0,218,75,0,28,0,48,0,0
17:07:02,0,174,77,0,28,0,53,0,0
17:07:03,0,143,80,0,28,0,56,0,0
17:07:04,0,25,82,0,28,0,9,0,0
17:07:05,0,24,86,0,28,0,57,0,0
17:07:06,0,26,84,0,28,0,65,0,0
17:07:07,0,139,82,0,28,0,35,0,0
17:07:08,0,205,80,0,28,0,49,0,0
17:07:09,0,299,74,0,28,0,54,0,0
17:07:10,0,238,73,0,28,0,55,0,0
17:07:11,0,189,73,0,28,0,42,0,0
17:07:12,0,218,74,0,28,0,56,0,0
17:07:13,0,108,74,0,28,0,67,0,0
17:07:14,0,32,78,0,28,0,84,0,0
17:07:15,0,8,81,0,28,0,11,0,0
17:07:16,0,78,83,0,28,0,48,0,0
17:07:17,0,154,85,0,28,0,60,0,0
17:07:18,0,46,84,0,28,0,44,0,0
17:07:19,0,172,81,0,28,0,50,0,0
17:07:20,0,239,77,0,28,0,48,0,0
17:07:21,0,236,73,0,28,0,50,0,0
17:07:22,0,200,73,0,28,0,48,0,0
17:07:23,0,167,74,0,28,0,51,0,0
17:07:24,0,161,75,0,28,0,53,0,0
17:07:25,0,142,76,0,28,0,59,0,0
17:07:26,0,68,80,0,28,0,50,0,0
17:07:27,0,41,84,0,28,0,61,0,0
17:07:28,0,11,84,0,28,0,50,0,0
17:07:29,0,194,83,0,28,0,26,0,0
17:07:30,0,296,82,0,28,0,50,0,0
17:07:31,0,294,80,0,28,0,52,0,0
17:07:32,0,204,78,0,28,0,58,0,0
17:07:33,0,143,78,0,28,0,58,0,0
17:07:34,0,97,77,0,28,0,53,0,0
17:07:35,0,78,76,0,28,0,51,0,0
17:07:36,0,104,77,0,28,0,49,0,0
17:07:37,0,119,79,0,28,0,60,0,0
17:07:38,0,131,82,0,28,0,52,0,0
17:07:39,0,172,84,0,28,0,50,0,0
17:07:40,0,219,83,0,28,0,50,0,0
17:07:41,0,247,81,0,28,0,49,0,0
17:07:42,0,310,79,0,28,0,51,0,0
17:07:43,0,314,75,0,28,0,56,0,0
17:07:44,0,245,76,0,28,0,50,0,0
17:07:45,0,248,76,0,28,0,52,0,0
17:07:46,0,212,76,0,28,0,53,0,0
17:07:47,0,184,78,0,28,0,53,0,0
17:07:48,0,161,82,0,28,0,64,0,0
17:07:49,0,121,86,0,28,0,52,0,0
17:07:50,0,76,87,0,28,0,60,0,0
17:07:51,0,55,86,0,28,0,61,0,0
17:07:52,0,154,82,0,28,0,45,0,0
17:07:53,0,329,79,0,28,0,50,0,0
17:07:54,0,280,77,0,28,0,52,0,0
17:07:55,0,269,76,0,28,0,52,0,0
17:07:56,0,204,77,0,28,0,55,0,0
17:07:57,0,162,77,0,28,0,46,0,0
17:07:58,0,97,78,0,28,0,40,0,0
17:07:59,0,106,83,0,28,0,32,0,0
17:08:00,0,165,85,0,28,0,61,0,0
17:08:01,0,170,86,0,28,0,51,0,0
17:08:02,0,233,86,0,28,0,51,0,0
17:08:03,0,344,84,0,28,0,51,0,0
17:08:04,0,442,81,0,28,0,52,0,0
17:08:05,0,342,79,0,28,0,54,0,0
17:08:06,0,291,78,0,28,0,51,0,0
17:08:07,0,265,78,0,28,0,54,0,0
17:08:08,0,233,78,0,28,0,52,0,0
17:08:09,0,208,79,0,28,0,54,0,0
17:08:10,0,185,84,0,28,0,50,0,0
17:08:11,0,214,86,0,28,0,52,0,0
17:08:12,0,258,86,0,28,0,52,0,0
17:08:13,0,260,85,0,28,0,54,0,0
17:08:14,0,309,81,0,28,0,49,0,0
17:08:15,0,389,79,0,28,0,50,0,0
17:08:16,0,364,76,0,28,0,54,0,0
17:08:17,0,299,76,0,28,0,53,0,0
17:08:18,0,260,76,0,28,0,52,0,0
17:08:19,0,237,76,0,28,0,53,0,0
17:08:20,0,178,78,0,28,0,51,0,0
17:08:21,0,192,83,0,28,0,50,0,0
17:08:22,0,226,85,0,28,0,51,0,0
17:08:23,0,225,86,0,28,0,53,0,0
17:08:24,0,227,85,0,28,0,48,0,0
17:08:25,0,284,80,0,28,0,50,0,0
17:08:26,0,254,74,0,28,0,54,0,0
17:08:27,0,227,70,0,28,0,50,0,0
17:08:28,0,215,69,0,28,0,49,0,0
17:08:29,0,192,69,0,28,0,50,0,0
17:08:30,0,161,70,0,28,0,53,0,0
17:08:31,0,113,70,0,28,0,49,0,0
17:08:32,0,120,74,0,28,0,54,0,0
17:08:33,0,129,79,0,28,0,48,0,0
17:08:34,0,149,82,0,28,0,56,0,0
17:08:35,0,187,84,0,28,0,52,0,0
17:08:36,0,127,83,0,28,0,40,0,0
17:08:37,0,239,79,0,28,0,52,0,0
17:08:38,0,275,75,0,28,0,54,0,0
17:08:39,0,220,72,0,28,0,57,0,0
17:08:40,0,177,73,0,28,0,55,0,0
17:08:41,0,131,73,0,28,0,53,0,0
17:08:42,0,109,74,0,28,0,51,0,0
17:08:43,0,88,76,0,28,0,55,0,0
17:08:44,0,74,78,0,28,0,61,0,0
17:08:45,0,90,82,0,28,0,57,0,0
17:08:46,0,188,85,0,28,0,47,0,0
17:08:47,0,204,84,0,28,0,47,0,0
17:08:48,0,263,82,0,28,0,49,0,0
17:08:49,0,310,80,0,28,0,53,0,0
17:08:50,0,222,77,0,28,0,61,0,0
17:08:51,0,183,77,0,28,0,51,0,0
17:08:52,0,166,77,0,28,0,49,0,0
