Time,,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
17:44:26,16:44:26,0,0,0,0,30,0,255,0,0
17:44:27,16:44:27,0,0,0,0,30,0,255,0,0
17:45:29,16:45:29,0,0,0,0,30,0,255,0,0
17:45:33,16:45:33,0,0,0,0,30,0,255,0,0
17:45:34,16:45:34,0,0,0,0,30,0,255,0,0
17:45:35,16:45:35,0,0,0,0,30,0,255,0,0
17:45:36,16:45:36,0,0,0,0,30,0,255,0,0
17:45:37,16:45:37,0,0,0,0,30,0,255,0,0
17:45:39,16:45:39,0,0,0,0,30,0,255,0,0
17:45:40,16:45:40,0,0,0,0,30,0,255,0,0
17:45:46,16:45:46,0,0,0,0,30,0,255,0,0
17:45:48,16:45:48,0,0,0,0,30,0,255,0,0
17:45:49,16:45:49,0,0,0,0,30,0,255,0,0
17:45:50,16:45:50,0,0,0,0,30,0,255,0,0
17:45:51,16:45:51,0,0,0,0,30,0,255,0,0
17:45:57,16:45:57,0,0,0,0,30,0,255,0,0
17:45:58,16:45:58,0,0,0,0,30,0,255,0,0
17:46:01,16:46:01,0,0,0,0,30,0,255,0,0
17:46:03,16:46:03,0,0,0,0,30,0,255,0,0
17:46:14,16:46:14,0,0,0,0,30,0,255,0,0
17:46:15,16:46:15,0,0,0,0,30,0,255,0,0
17:46:17,16:46:17,0,0,0,0,30,0,255,0,0
17:46:18,16:46:18,0,0,0,0,30,0,255,0,0
17:46:19,16:46:19,0,0,0,0,30,0,255,0,0
17:46:20,16:46:20,0,0,0,0,30,0,255,0,0
17:46:21,16:46:21,0,0,0,0,30,0,255,0,0
17:46:22,16:46:22,0,0,0,0,30,0,255,0,0
17:46:23,16:46:23,0,37,20,0,30,0,72,0,0
17:46:24,16:46:24,0,37,20,0,30,0,72,0,0
17:46:25,16:46:25,0,37,20,0,30,0,72,0,0
17:46:26,16:46:26,0,5,21,0,30,0,77,0,0
17:46:27,16:46:27,0,5,21,0,30,0,77,0,0
17:46:28,16:46:28,0,5,21,0,30,0,77,0,0
17:46:29,16:46:29,0,37,21,0,30,0,34,0,0
17:46:30,16:46:30,0,37,21,0,30,0,34,0,0
17:46:31,16:46:31,0,79,24,0,30,0,36,0,0
17:46:32,16:46:32,0,79,24,0,30,0,36,0,0
17:46:33,16:46:33,0,118,31,0,30,0,65,0,0
17:46:34,16:46:34,0,118,31,0,30,0,65,0,0
17:46:35,16:46:35,0,14,33,0,30,0,96,0,0
17:46:36,16:46:36,0,14,33,0,30,0,96,0,0
17:46:37,16:46:37,0,20,31,0,30,0,15,0,0
17:46:38,16:46:38,0,20,31,0,30,0,15,0,0
17:46:39,16:46:39,0,55,33,0,30,0,100,0,0
17:46:40,16:46:40,0,3,32,0,30,0,83,0,0
17:46:41,16:46:41,0,3,32,0,30,0,83,0,0
17:46:42,16:46:42,0,24,31,0,30,0,10,0,0
17:46:43,16:46:43,0,24,31,0,30,0,10,0,0
17:46:44,16:46:44,0,26,31,0,30,0,48,0,0
17:46:45,16:46:45,0,26,31,0,30,0,48,0,0
17:46:46,16:46:46,0,44,32,0,30,0,48,0,0
17:46:47,16:46:47,0,44,32,0,30,0,48,0,0
17:46:48,16:46:48,0,22,33,0,30,0,61,0,0
17:46:49,16:46:49,0,22,33,0,30,0,61,0,0
17:46:50,16:46:50,0,81,34,0,30,0,43,0,0
17:46:51,16:46:51,0,33,36,0,30,0,66,0,0
17:46:52,16:46:52,0,33,36,0,30,0,66,0,0
17:46:53,16:46:53,0,100,36,0,30,0,49,0,0
17:46:54,16:46:54,0,78,39,0,30,0,49,0,0
17:46:55,16:46:55,0,78,39,0,30,0,49,0,0
17:46:56,16:46:56,0,1,39,0,30,0,100,0,0
17:46:57,16:46:57,0,1,39,0,30,0,100,0,0
17:46:58,16:46:58,0,0,37,0,30,0,255,0,0
17:46:59,16:46:59,0,0,36,0,30,0,0,0,0
17:47:00,16:47:00,0,0,36,0,30,0,0,0,0
17:47:01,16:47:01,0,12,34,0,30,0,29,0,0
17:47:02,16:47:02,0,12,34,0,30,0,29,0,0
17:47:03,16:47:03,0,13,35,0,30,0,40,0,0
17:47:04,16:47:04,0,28,34,0,30,0,12,0,0
17:47:05,16:47:05,0,28,34,0,30,0,12,0,0
17:47:06,16:47:06,0,29,34,0,30,0,44,0,0
17:47:07,16:47:07,0,29,34,0,30,0,44,0,0
17:47:08,16:47:08,0,25,34,0,30,0,26,0,0
17:47:09,16:47:09,0,25,34,0,30,0,26,0,0
17:47:10,16:47:10,0,79,35,0,30,0,41,0,0
17:47:11,16:47:11,0,85,37,0,30,0,58,0,0
