Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
16:46:29,0,0,0,0,29,0,255,0,0
16:46:30,0,0,0,0,29,0,255,0,0
16:46:31,0,0,0,0,29,0,255,0,0
16:46:32,5.1,0,0,0,29,0,255,0,0
16:46:33,6.2,0,0,0,29,0,255,0,0
16:46:34,7.5,0,0,0,29,0,255,0,0
16:46:35,9.17,0,0,0,29,0,255,0,0
16:46:36,10.5,0,0,0,29,0,255,0,0
16:46:37,11.73,0,0,0,29,0,255,0,0
16:46:38,13.2,95,26,0,29,0,44,0,0
16:46:39,13.8,95,26,0,29,0,44,0,0
16:46:40,14.15,33,30,0,29,0,87,0,0
16:46:41,14.2,33,30,0,29,0,87,0,0
16:46:42,14.25,11,31,0,29,0,42,0,0
16:46:43,14.3,11,31,0,29,0,42,0,0
16:46:44,14.5,24,31,0,29,0,44,0,0
16:46:45,14.7,23,32,0,29,0,42,0,0
16:46:46,14.7,23,32,0,29,0,42,0,0
16:46:47,15,29,33,0,29,0,49,0,0
16:46:48,15.1,29,33,0,29,0,49,0,0
16:46:49,15.3,34,33,0,29,0,58,0,0
16:46:50,15.66,34,33,0,29,0,58,0,0
16:46:51,15.95,32,34,0,29,0,62,0,0
16:46:52,16.05,43,35,0,29,0,50,0,0
16:46:53,16.35,43,35,0,29,0,50,0,0
16:46:54,16.63,37,36,0,29,0,63,0,0
16:46:55,16.65,37,36,0,29,0,63,0,0
16:46:56,16.7,29,36,0,29,0,64,0,0
16:46:57,16.65,7,36,0,29,0,57,0,0
16:46:58,16.65,7,36,0,29,0,57,0,0
16:46:59,16.6,16,36,0,29,0,29,0,0
16:47:00,16.7,16,36,0,29,0,29,0,0
16:47:01,16.8,22,36,0,29,0,41,0,0
16:47:02,17.2,31,37,0,29,0,95,0,0
16:47:03,17.06,31,37,0,29,0,95,0,0
16:47:04,16.9,2,37,0,29,0,60,0,0
16:47:05,16.77,3,36,0,29,0,100,0,0
16:47:06,16.24,3,36,0,29,0,100,0,0
16:47:07,15.85,3,34,0,29,0,14,0,0
16:47:08,15.85,3,34,0,29,0,14,0,0
16:47:09,15.8,11,34,0,29,0,54,0,0
16:47:10,15.85,11,34,0,29,0,54,0,0
16:47:11,16.43,53,35,0,29,0,35,0,0
16:47:12,16.95,22,36,0,29,0,86,0,0
16:47:13,16.85,22,36,0,29,0,86,0,0
16:47:14,17.5,90,38,0,29,0,58,0,0
16:47:15,18.06,29,39,0,29,0,96,0,0
