Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
17:19:08,0,0,0,0,29,0,255,0,0
17:19:09,0,0,0,0,29,0,255,0,0
17:19:22,0,0,0,0,29,0,255,0,0
17:19:23,0,0,0,0,29,0,255,0,0
17:19:34,0,0,0,0,29,0,255,0,0
17:19:49,0,0,0,0,29,0,255,0,0
17:20:00,0,0,0,0,29,0,255,0,0
17:20:01,0,0,0,0,29,0,255,0,0
17:20:43,0,0,0,0,29,0,255,0,0
17:20:44,0,0,0,0,29,0,255,0,0
17:20:45,0,0,0,0,29,0,255,0,0
17:20:46,0,0,0,0,29,0,255,0,0
17:20:47,0,0,0,0,29,0,255,0,0
17:20:48,0,0,0,0,29,0,255,0,0
17:20:49,5.2,0,0,0,29,0,255,0,0
17:20:50,6.2,0,0,0,29,0,255,0,0
17:20:51,6.9,0,0,0,29,0,255,0,0
17:20:52,7.9,0,0,0,29,0,255,0,0
17:20:53,8.2,0,0,0,29,0,255,0,0
17:20:54,8.9,0,0,0,29,0,255,0,0
17:20:55,9.2,0,0,0,29,0,255,0,0
17:20:56,9.85,28,21,0,29,0,62,0,0
17:20:57,10.1,28,21,0,29,0,62,0,0
17:20:58,10.5,28,21,0,29,0,62,0,0
17:20:59,10.8,29,23,0,29,0,61,0,0
17:21:00,11.15,29,23,0,29,0,61,0,0
17:21:01,11.6,32,25,0,29,0,42,0,0
17:21:02,12.05,32,25,0,29,0,42,0,0
17:21:03,12.1,6,26,0,29,0,90,0,0
17:21:04,11.95,6,26,0,29,0,90,0,0
17:21:05,11.9,6,26,0,29,0,90,0,0
17:21:06,11.94,15,26,0,29,0,10,0,0
17:21:07,12.25,15,26,0,29,0,10,0,0
17:21:08,12.4,17,26,0,29,0,54,0,0
17:21:09,12.5,17,26,0,29,0,54,0,0
17:21:10,12.6,19,27,0,29,0,59,0,0
17:21:11,12.85,19,27,0,29,0,59,0,0
17:21:12,12.6,9,27,0,29,0,100,0,0
17:21:13,12,9,27,0,29,0,100,0,0
17:21:14,11.9,9,27,0,29,0,100,0,0
17:21:15,12,13,26,0,29,0,40,0,0
17:21:16,12,13,26,0,29,0,40,0,0
17:21:17,12,16,26,0,29,0,37,0,0
17:21:18,12.2,16,26,0,29,0,37,0,0
17:21:19,12.4,23,26,0,29,0,42,0,0
17:21:20,12.2,23,26,0,29,0,42,0,0
17:21:21,12.25,14,26,0,29,0,53,0,0
17:21:22,12.15,14,26,0,29,0,53,0,0
17:21:23,12.1,14,26,0,29,0,53,0,0
17:21:24,12.2,11,26,0,29,0,39,0,0
17:21:25,11.9,11,26,0,29,0,39,0,0
17:21:26,11.9,6,26,0,29,0,38,0,0
17:21:27,11.95,6,26,0,29,0,38,0,0
17:21:28,11.85,13,26,0,29,0,48,0,0
17:21:29,11.8,13,26,0,29,0,48,0,0
17:21:30,12.1,11,26,0,29,0,65,0,0
17:21:31,12,11,26,0,29,0,65,0,0
17:21:32,11.85,11,26,0,29,0,65,0,0
17:21:33,11.85,4,26,0,29,0,37,0,0
17:21:34,11.9,4,26,0,29,0,37,0,0
17:21:35,12,16,26,0,29,0,48,0,0
17:21:36,12.15,16,26,0,29,0,48,0,0
17:21:37,12.2,16,26,0,29,0,54,0,0
17:21:38,12.4,16,26,0,29,0,54,0,0
17:21:39,12.3,9,27,0,29,0,47,0,0
17:21:40,12.4,9,27,0,29,0,47,0,0
17:21:41,12.2,9,27,0,29,0,47,0,0
17:21:42,12.15,3,26,0,29,0,50,0,0
17:21:43,11.95,3,26,0,29,0,50,0,0
17:21:44,11.9,4,26,0,29,0,37,0,0
17:21:45,11.65,4,26,0,29,0,37,0,0
17:21:46,11.4,2,25,0,29,0,25,0,0
17:21:47,11.35,2,25,0,29,0,25,0,0
17:21:48,11.1,2,25,0,29,0,25,0,0
17:21:49,10.95,5,24,0,29,0,10,0,0
17:21:50,10.9,5,24,0,29,0,10,0,0
17:21:51,10.75,7,23,0,29,0,14,0,0
17:21:52,10.8,7,23,0,29,0,14,0,0
17:21:53,10.7,7,23,0,29,0,14,0,0
17:21:54,10.6,10,23,0,29,0,31,0,0
17:21:55,10.6,10,23,0,29,0,31,0,0
17:21:56,10.75,17,23,0,29,0,42,0,0
17:21:57,10.9,17,23,0,29,0,42,0,0
17:21:58,11.15,17,23,0,29,0,42,0,0
17:21:59,11.4,19,24,0,29,0,63,0,0
17:22:00,11.3,19,24,0,29,0,63,0,0
17:22:01,11.1,2,24,0,29,0,100,0,0
17:22:02,10.74,2,24,0,29,0,100,0,0
17:22:03,10.4,2,24,0,29,0,100,0,0
17:22:04,10.25,4,22,0,29,0,12,0,0
17:22:05,9.8,4,22,0,29,0,12,0,0
17:22:06,9.8,4,22,0,29,0,12,0,0
17:22:07,9.99,17,21,0,29,0,11,0,0
17:22:08,10.1,17,21,0,29,0,11,0,0
17:22:09,10.1,20,22,0,29,0,10,0,0
17:22:10,10.64,20,22,0,29,0,10,0,0
17:22:11,11.1,20,22,0,29,0,10,0,0
17:22:12,11.49,28,24,0,29,0,42,0,0
17:22:13,11.5,28,24,0,29,0,42,0,0
17:22:14,11.6,19,25,0,29,0,15,0,0
17:22:15,12,19,25,0,29,0,15,0,0
17:22:16,12.25,31,26,0,29,0,40,0,0
17:22:17,12.6,31,26,0,29,0,40,0,0
17:22:18,12.8,17,27,0,29,0,68,0,0
17:22:19,12.8,17,27,0,29,0,68,0,0
17:22:20,12.7,17,27,0,29,0,68,0,0
17:22:21,12.7,13,27,0,29,0,20,0,0
17:22:22,12.8,13,27,0,29,0,20,0,0
17:22:23,12.85,9,28,0,29,0,58,0,0
17:22:24,12.9,9,28,0,29,0,58,0,0
17:22:25,12.95,16,28,0,29,0,58,0,0
17:22:26,13.15,16,28,0,29,0,58,0,0
17:22:27,13.1,18,28,0,29,0,58,0,0
17:22:28,13.1,18,28,0,29,0,58,0,0
17:22:29,13,11,28,0,29,0,40,0,0
17:22:30,12.85,11,28,0,29,0,40,0,0
17:22:31,12.7,23,28,0,29,0,17,0,0
17:22:32,13,23,28,0,29,0,17,0,0
17:22:33,13.5,39,29,0,29,0,54,0,0
17:22:34,13.9,39,29,0,29,0,54,0,0
17:22:35,13.85,23,30,0,29,0,55,0,0
17:22:36,13.9,23,30,0,29,0,55,0,0
17:22:37,14,19,30,0,29,0,50,0,0
17:22:38,13.8,19,30,0,29,0,50,0,0
17:22:39,14,12,30,0,29,0,56,0,0
17:22:40,14,12,30,0,29,0,56,0,0
17:22:41,14.2,19,31,0,29,0,65,0,0
17:22:42,14.15,19,31,0,29,0,65,0,0
17:22:43,14.25,15,31,0,29,0,54,0,0
17:22:44,14.25,15,31,0,29,0,54,0,0
17:22:45,14.3,6,31,0,29,0,75,0,0
17:22:46,13.9,6,31,0,29,0,75,0,0
17:22:47,14,10,30,0,29,0,26,0,0
17:22:48,13.9,10,30,0,29,0,26,0,0
17:22:49,13.85,6,30,0,29,0,72,0,0
17:22:50,13.85,6,30,0,29,0,72,0,0
17:22:51,13.7,7,30,0,29,0,66,0,0
17:22:52,13.9,7,30,0,29,0,66,0,0
17:22:53,13.6,14,30,0,29,0,39,0,0
17:22:54,13.5,14,30,0,29,0,39,0,0
17:22:55,13.35,11,29,0,29,0,0,0,0
17:22:56,13.3,11,29,0,29,0,0,0,0
