Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
16:44:45,0,0,0,0,30,0,255,0,0
16:45:25,0,0,0,0,30,0,255,0,0
16:45:26,0,0,0,0,30,0,255,0,0
16:45:28,0,0,0,0,30,0,255,0,0
16:45:30,0,0,0,0,30,0,255,0,0
16:45:31,0,0,0,0,30,0,255,0,0
16:45:32,3.7,0,0,0,30,0,255,0,0
16:45:33,3.7,0,0,0,30,0,255,0,0
16:45:34,4.1,0,0,0,30,0,255,0,0
16:45:35,4.1,0,0,0,30,0,255,0,0
16:45:36,3.5,0,0,0,30,0,255,0,0
16:45:37,3.5,0,0,0,30,0,255,0,0
16:45:50,0,0,0,0,30,0,255,0,0
16:45:52,0,0,0,0,30,0,255,0,0
16:45:53,0,0,0,0,30,0,255,0,0
16:45:54,0,0,0,0,30,0,255,0,0
16:45:55,26.1,0,0,0,30,0,255,0,0
16:45:56,13.4,0,0,0,30,0,255,0,0
16:45:57,11,0,0,0,30,0,255,0,0
16:45:58,11,0,0,0,30,0,255,0,0
16:46:17,0,0,0,0,30,0,255,0,0
16:46:18,0,0,0,0,30,0,255,0,0
16:46:19,0,0,0,0,30,0,255,0,0
16:46:20,5,0,0,0,30,0,255,0,0
16:46:21,6.5,0,0,0,30,0,255,0,0
16:46:22,6.9,0,0,0,30,0,255,0,0
16:46:23,8.1,0,0,0,30,0,255,0,0
16:46:24,8.6,0,0,0,30,0,255,0,0
16:46:25,8.6,0,0,0,30,0,255,0,0
16:46:26,10.12,0,0,0,30,0,255,0,0
16:46:27,11.23,0,0,0,30,0,255,0,0
16:46:28,12.1,0,0,0,30,0,255,0,0
16:46:29,12.9,0,0,0,30,0,255,0,0
16:46:30,13.29,0,0,0,30,0,255,0,0
16:46:31,14,79,20,0,30,0,46,0,0
16:46:32,15.1,79,20,0,30,0,46,0,0
16:46:33,15.45,79,20,0,30,0,46,0,0
16:46:34,15.6,59,24,0,30,0,60,0,0
16:46:35,15.7,59,24,0,30,0,60,0,0
16:46:36,16.19,77,25,0,30,0,27,0,0
16:46:37,17.02,77,25,0,30,0,27,0,0
16:46:38,17.95,138,27,0,30,0,44,0,0
16:46:39,18.7,138,27,0,30,0,44,0,0
16:46:40,19.09,75,30,0,30,0,64,0,0
16:46:41,19.3,75,30,0,30,0,64,0,0
16:46:42,19.26,61,30,0,30,0,41,0,0
16:46:43,20.44,61,30,0,30,0,41,0,0
16:46:44,19.63,58,32,0,30,0,69,0,0
16:46:45,19.26,58,32,0,30,0,69,0,0
16:46:46,19.3,29,30,0,30,0,32,0,0
16:46:47,19.2,29,30,0,30,0,32,0,0
16:46:48,19.4,59,30,0,30,0,45,0,0
16:46:49,19.55,59,30,0,30,0,45,0,0
16:46:50,19.5,59,30,0,30,0,59,0,0
16:46:51,19.5,59,30,0,30,0,59,0,0
16:46:52,19.65,42,31,0,30,0,42,0,0
16:46:53,19.43,42,31,0,30,0,42,0,0
16:46:54,19.43,21,30,0,30,0,51,0,0
16:46:55,19.4,21,30,0,30,0,51,0,0
16:46:56,19.4,25,30,0,30,0,50,0,0
16:46:57,19.35,25,30,0,30,0,50,0,0
16:46:58,19.43,49,30,0,30,0,47,0,0
16:46:59,19.15,30,30,0,30,0,45,0,0
16:47:00,19.1,30,30,0,30,0,45,0,0
16:47:01,18.95,35,30,0,30,0,44,0,0
16:47:02,18.67,35,30,0,30,0,44,0,0
16:47:03,18.6,35,30,0,30,0,44,0,0
16:47:04,18.45,30,29,0,30,0,47,0,0
16:47:05,18.25,30,29,0,30,0,47,0,0
16:47:06,18.33,56,29,0,30,0,38,0,0
16:47:07,18.5,56,29,0,30,0,38,0,0
16:47:08,18.6,48,29,0,30,0,54,0,0
16:47:09,18.53,48,29,0,30,0,54,0,0
16:47:10,18.8,56,30,0,30,0,40,0,0
16:47:11,18.85,56,30,0,30,0,40,0,0
16:47:12,19.03,55,30,0,30,0,43,0,0
16:47:13,19.15,55,30,0,30,0,43,0,0
