Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
17:48:05,0,0,0,0,29,0,255,0,0
17:48:06,0,0,0,0,29,0,255,0,0
17:48:07,0,0,0,0,29,0,255,0,0
17:48:08,4.3,0,0,0,29,0,255,0,0
17:48:09,4.3,0,0,0,29,0,255,0,0
17:48:10,4.7,0,0,0,29,0,255,0,0
17:48:11,5.3,0,0,0,29,0,255,0,0
17:48:12,6.3,0,0,0,29,0,255,0,0
17:48:13,7.6,0,0,0,29,0,255,0,0
17:48:14,8.3,0,0,0,29,0,255,0,0
17:48:15,8.7,0,0,0,29,0,255,0,0
17:48:16,9.35,0,0,0,29,0,255,0,0
17:48:17,10.2,0,0,0,29,0,255,0,0
17:48:18,10.74,0,0,0,29,0,255,0,0
17:48:19,11.2,0,0,0,29,0,255,0,0
17:48:20,11.79,0,0,0,29,0,255,0,0
17:48:21,11.9,0,0,0,29,0,255,0,0
17:48:22,12.64,0,0,0,29,0,255,0,0
17:48:23,12.2,31,21,0,29,0,63,0,0
17:48:24,12.4,31,21,0,29,0,63,0,0
17:48:25,13.09,62,22,0,29,0,36,0,0
17:48:26,13.8,62,22,0,29,0,36,0,0
17:48:27,13.9,62,22,0,29,0,36,0,0
17:48:28,13.9,31,24,0,29,0,33,0,0
17:48:29,14.67,31,24,0,29,0,33,0,0
17:48:30,14.8,42,25,0,29,0,70,0,0
17:48:31,14.55,42,25,0,29,0,70,0,0
17:48:32,14.5,42,25,0,29,0,70,0,0
17:48:33,14.25,17,25,0,29,0,48,0,0
17:48:34,14.15,17,25,0,29,0,48,0,0
17:48:35,14,13,24,0,29,0,66,0,0
17:48:36,13.69,13,24,0,29,0,66,0,0
17:48:37,13.4,13,24,0,29,0,66,0,0
17:48:38,13.2,5,23,0,29,0,45,0,0
17:48:39,12.95,5,23,0,29,0,45,0,0
17:48:40,12.5,9,22,0,29,0,26,0,0
17:48:41,12.1,9,22,0,29,0,26,0,0
17:48:42,11.95,9,22,0,29,0,26,0,0
17:48:43,12,22,20,0,29,0,40,0,0
17:48:44,11.8,22,20,0,29,0,40,0,0
17:48:45,11.8,22,20,0,29,0,40,0,0
17:48:46,11.9,23,20,0,29,0,35,0,0
17:48:47,12.1,23,20,0,29,0,35,0,0
17:48:48,12.1,23,20,0,29,0,35,0,0
17:48:49,12.2,18,21,0,29,0,56,0,0
17:48:50,12.15,18,21,0,29,0,56,0,0
17:48:51,12.2,18,21,0,29,0,56,0,0
17:48:52,12.3,21,21,0,29,0,35,0,0
17:48:53,12.4,21,21,0,29,0,35,0,0
17:48:54,12.3,21,21,0,29,0,35,0,0
17:48:55,12.34,15,21,0,29,0,48,0,0
17:48:56,12.5,15,21,0,29,0,48,0,0
17:48:57,12.45,22,21,0,29,0,54,0,0
17:48:58,12.5,22,21,0,29,0,54,0,0
17:48:59,12.6,22,21,0,29,0,54,0,0
17:49:00,12.45,15,21,0,29,0,56,0,0
17:49:01,12.3,15,21,0,29,0,56,0,0
17:49:02,12.1,15,21,0,29,0,56,0,0
17:49:03,11.8,5,21,0,29,0,100,0,0
17:49:04,11.5,0,0,0,29,0,255,0,0
17:49:05,11.2,0,0,0,29,0,255,0,0
17:49:06,11.3,0,0,0,29,0,255,0,0
17:49:07,10.64,0,0,0,29,0,255,0,0
17:49:08,11.4,0,0,0,29,0,255,0,0
17:49:09,11.65,0,0,0,29,0,255,0,0
17:49:10,11.7,0,0,0,29,0,255,0,0
17:49:11,11.75,0,0,0,29,0,255,0,0
17:49:12,11.65,12,20,0,29,0,26,0,0
17:49:13,11.4,0,0,0,29,0,255,0,0
17:49:14,11.4,0,0,0,29,0,255,0,0
17:49:15,11.5,11,20,0,29,0,8,0,0
17:49:16,11.3,0,0,0,29,0,255,0,0
17:49:17,11.5,0,0,0,29,0,255,0,0
17:49:18,12.2,46,20,0,29,0,9,0,0
17:49:19,12.7,46,20,0,29,0,9,0,0
17:49:20,13.2,46,20,0,29,0,9,0,0
17:49:21,13.7,68,23,0,29,0,47,0,0
17:49:22,13.95,68,23,0,29,0,47,0,0
17:49:23,14.4,54,24,0,29,0,27,0,0
17:49:24,15.8,54,24,0,29,0,27,0,0
17:49:25,15.9,93,27,0,29,0,59,0,0
17:49:26,16.15,93,27,0,29,0,59,0,0
17:49:27,16.45,68,28,0,29,0,50,0,0
17:49:28,16.83,68,28,0,29,0,50,0,0
17:49:29,16.9,57,29,0,29,0,50,0,0
17:49:30,17.27,57,29,0,29,0,50,0,0
17:49:31,17.6,80,30,0,29,0,55,0,0
17:49:32,17.93,80,30,0,29,0,55,0,0
17:49:33,18.1,71,31,0,29,0,63,0,0
17:49:34,18.23,71,31,0,29,0,63,0,0
17:49:35,18.27,60,31,0,29,0,49,0,0
17:49:36,18.4,60,31,0,29,0,49,0,0
17:49:37,18.36,74,32,0,29,0,53,0,0
17:49:38,18.23,74,32,0,29,0,53,0,0
17:49:39,18.3,39,31,0,29,0,54,0,0
17:49:40,18.13,39,31,0,29,0,54,0,0
17:49:41,18.15,32,31,0,29,0,50,0,0
17:49:42,18.15,54,31,0,29,0,44,0,0
17:49:43,18.27,54,31,0,29,0,44,0,0
17:49:44,18.2,38,31,0,29,0,51,0,0
17:49:45,18.27,38,31,0,29,0,51,0,0
17:49:46,18.35,44,31,0,29,0,45,0,0
17:49:47,18.35,44,31,0,29,0,45,0,0
17:49:48,18.7,67,32,0,29,0,61,0,0
17:49:49,18.8,67,32,0,29,0,61,0,0
17:49:50,18.83,51,32,0,29,0,52,0,0
17:49:51,18.9,51,32,0,29,0,52,0,0
17:49:52,18.8,41,32,0,29,0,54,0,0
17:49:53,19,41,32,0,29,0,54,0,0
17:49:54,18.67,37,32,0,29,0,60,0,0
17:49:55,18.85,55,32,0,29,0,55,0,0
17:49:56,18.7,55,32,0,29,0,55,0,0
17:49:57,18.57,48,32,0,29,0,53,0,0
17:49:58,18.43,48,32,0,29,0,53,0,0
17:49:59,18.3,32,31,0,29,0,37,0,0
17:50:00,18.03,32,31,0,29,0,37,0,0
17:50:01,17.93,48,31,0,29,0,36,0,0
17:50:02,18.06,48,31,0,29,0,36,0,0
17:50:03,18.6,117,31,0,29,0,27,0,0
17:50:04,18.76,117,31,0,29,0,27,0,0
17:50:05,21.41,283,33,0,29,0,35,0,0
17:50:06,22.94,270,39,0,29,0,55,0,0
17:50:07,16.13,270,39,0,29,0,55,0,0
17:50:08,25.34,326,43,0,29,0,46,0,0
17:50:09,20.84,338,46,0,29,0,50,0,0
17:50:10,28.49,309,49,0,29,0,53,0,0
17:50:11,29.56,241,51,0,29,0,52,0,0
17:50:12,29.79,230,52,0,29,0,43,0,0
17:50:13,30.45,230,52,0,29,0,43,0,0
17:50:14,31.26,222,54,0,29,0,43,0,0
17:50:15,31.8,282,55,0,29,0,47,0,0
17:50:16,31.92,252,55,0,29,0,46,0,0
17:50:17,24.41,334,56,0,29,0,51,0,0
17:50:18,31.3,419,55,0,29,0,48,0,0
17:50:19,25.89,423,56,0,29,0,50,0,0
17:50:20,24.93,394,57,0,29,0,46,0,0
17:50:21,25.25,449,59,0,29,0,47,0,0
17:50:22,21,428,61,0,29,0,53,0,0
17:50:23,27.9,423,60,0,29,0,41,0,0
17:50:24,34.57,503,60,0,29,0,53,0,0
17:50:25,35.32,433,61,0,29,0,54,0,0
17:50:26,36.81,342,63,0,29,0,59,0,0
17:50:27,37.62,243,65,0,29,0,39,0,0
17:50:28,37.83,282,66,0,29,0,48,0,0
17:50:29,37.99,332,66,0,29,0,48,0,0
17:50:30,39.47,409,68,0,29,0,48,0,0
17:50:31,41.01,739,72,0,29,0,44,0,0
17:50:32,44.35,1448,75,0,29,0,47,0,0
17:50:33,27.33,1454,83,0,29,0,49,0,0
17:50:34,51.02,1408,89,0,29,0,46,0,0
17:50:35,20.8,1572,94,0,29,0,50,0,0
17:50:36,49.04,1605,100,0,29,0,49,0,0
17:50:37,33.53,1543,103,0,29,0,49,0,0
17:50:38,34.27,1533,108,0,29,0,50,0,0
17:50:39,38.41,1133,110,0,29,0,38,0,0
17:50:40,40.98,943,108,0,29,0,48,0,0
17:50:41,49.45,717,109,0,29,0,56,0,0
17:50:42,47.49,764,107,0,29,0,47,0,0
17:50:43,50.57,845,109,0,29,0,47,0,0
17:50:44,43.59,854,112,0,29,0,50,0,0
17:50:45,48.78,1061,113,0,29,0,40,0,0
17:50:46,45.7,1485,114,0,29,0,50,0,0
17:50:47,43.2,1357,114,0,29,0,50,0,0
17:50:48,44.05,862,116,0,29,0,37,0,0
17:50:49,46.74,876,114,0,29,0,48,0,0
17:50:50,53.52,819,117,0,29,0,49,0,0
17:50:51,45.79,729,118,0,29,0,45,0,0
17:50:52,52.78,918,119,0,29,0,50,0,0
17:50:53,49.69,753,117,0,29,0,49,0,0
17:50:54,44.04,800,116,0,29,0,51,0,0
17:50:55,54.08,602,115,0,29,0,59,0,0
17:50:56,52.84,710,113,0,29,0,47,0,0
17:50:57,45.63,708,116,0,29,0,48,0,0
17:50:58,45.29,720,117,0,29,0,51,0,0
17:50:59,53.38,692,117,0,29,0,45,0,0
17:51:00,48.74,459,115,0,29,0,69,0,0
17:51:01,55.48,48,111,0,29,0,51,0,0
17:51:02,54.29,36,106,0,29,0,55,0,0
17:51:03,53.61,26,103,0,29,0,51,0,0
17:51:04,50.97,17,99,0,29,0,51,0,0
17:51:05,47.9,13,96,0,29,0,37,0,0
17:51:06,54.48,14,95,0,29,0,55,0,0
17:51:07,53.4,11,94,0,29,0,45,0,0
17:51:08,46.17,14,93,0,29,0,53,0,0
17:51:09,51.96,12,90,0,29,0,48,0,0
17:51:10,50.85,12,88,0,29,0,58,0,0
17:51:11,41.74,8,84,0,29,0,55,0,0
17:51:12,41.32,7,82,0,29,0,28,0,0
17:51:13,46.73,22,81,0,29,0,65,0,0
17:51:14,45.85,9,78,0,29,0,50,0,0
17:51:15,44.45,4,77,0,29,0,57,0,0
17:51:16,43.56,5,76,0,29,0,45,0,0
17:51:17,43.9,6,77,0,29,0,46,0,0
17:51:18,43.85,5,76,0,29,0,36,0,0
17:51:19,43.31,4,75,0,29,0,44,0,0
17:51:20,42.52,3,74,0,29,0,57,0,0
17:51:21,41.33,6,72,0,29,0,41,0,0
17:51:22,40.07,62,68,0,29,0,56,0,0
17:51:23,38.28,116,65,0,29,0,49,0,0
17:51:24,37.96,108,65,0,29,0,54,0,0
17:51:25,37.82,125,65,0,29,0,54,0,0
17:51:26,36.8,23,64,0,29,0,91,0,0
17:51:27,36.08,2,63,0,29,0,33,0,0
17:51:28,36.51,0,64,0,29,0,255,0,0
17:51:29,37.15,1,65,0,29,0,100,0,0
17:51:30,37.52,0,65,0,29,0,0,0,0
17:51:31,37.42,0,65,0,29,0,255,0,0
17:51:32,36.9,2,64,0,29,0,75,0,0
17:51:33,36.9,0,64,0,29,0,255,0,0
17:51:34,37.76,0,64,0,29,0,255,0,0
17:51:35,37.6,0,64,0,29,0,255,0,0
17:51:36,37.33,1,64,0,29,0,100,0,0
17:51:37,36.46,0,63,0,29,0,100,0,0
17:51:38,35.8,0,62,0,29,0,255,0,0
17:51:39,35,7,60,0,29,0,0,0,0
17:51:40,33.97,124,59,0,29,0,45,0,0
17:51:41,32.2,35,54,0,29,0,84,0,0
17:51:42,29.82,35,54,0,29,0,84,0,0
17:51:43,28.08,4,49,0,29,0,50,0,0
17:51:44,27.52,3,48,0,29,0,42,0,0
17:51:45,27.93,0,48,0,29,0,100,0,0
17:51:46,28.87,0,50,0,29,0,100,0,0
17:51:47,30.27,1,53,0,29,0,0,0,0
17:51:48,30.85,0,0,0,29,0,0,0,0
17:51:49,30.54,0,0,0,29,0,0,0,0
17:51:50,30.15,0,0,0,29,0,33,0,0
17:51:51,29.52,0,51,0,29,0,255,0,0
17:51:52,29.12,0,51,0,29,0,100,0,0
17:51:53,28.65,1,50,0,29,0,33,0,0
17:51:54,27.93,0,48,0,29,0,100,0,0
17:51:55,27.35,0,48,0,29,0,100,0,0
17:51:56,26.67,0,47,0,29,0,100,0,0
17:51:57,26.2,0,46,0,29,0,100,0,0
17:51:58,25.96,0,45,0,29,0,100,0,0
17:51:59,25.56,0,45,0,29,0,100,0,0
17:52:00,25.1,0,44,0,29,0,255,0,0
17:52:01,24.6,0,0,0,29,0,100,0,0
17:52:02,24.2,0,0,0,29,0,100,0,0
17:52:03,23.64,0,0,0,29,0,100,0,0
17:52:04,23.03,0,40,0,29,0,255,0,0
17:52:05,22.5,0,38,0,29,0,255,0,0
17:52:06,21.8,0,38,0,29,0,255,0,0
17:52:07,21.36,0,37,0,29,0,255,0,0
17:52:08,20.85,0,37,0,29,0,255,0,0
17:52:09,20.26,0,35,0,29,0,255,0,0
17:52:10,19.76,0,35,0,29,0,255,0,0
17:52:11,18.3,0,33,0,29,0,255,0,0
17:52:12,17.2,0,33,0,29,0,255,0,0
17:52:13,15.84,0,29,0,29,0,255,0,0
17:52:14,14.9,0,29,0,29,0,255,0,0
17:52:15,14.01,0,24,0,29,0,255,0,0
17:52:16,12.89,0,24,0,29,0,255,0,0
17:52:17,11.69,0,24,0,29,0,255,0,0
17:52:18,10.7,0,0,0,29,0,255,0,0
17:52:19,10.1,0,0,0,29,0,255,0,0
17:52:20,9.3,0,0,0,29,0,255,0,0
17:52:21,8.6,0,0,0,29,0,255,0,0
17:52:22,7.5,0,0,0,29,0,255,0,0
17:52:23,6.6,0,0,0,29,0,255,0,0
17:52:24,5,0,0,0,29,0,255,0,0
17:52:25,5,0,0,0,29,0,255,0,0
17:52:41,0,0,0,0,29,0,255,0,0
