Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
16:42:22,0,0,0,0,28,0,255,0,0
16:42:23,0,0,0,0,28,0,255,0,0
16:42:24,0,0,0,0,28,0,255,0,0
16:42:25,0,0,0,0,28,0,255,0,0
16:42:26,0,0,0,0,28,0,255,0,0
16:42:27,0,0,0,0,28,0,255,0,0
16:42:28,0,0,0,0,28,0,255,0,0
16:42:29,0,0,0,0,28,0,255,0,0
16:42:30,0,0,0,0,28,0,255,0,0
16:42:31,0,0,0,0,28,0,255,0,0
16:42:32,0,0,0,0,28,0,255,0,0
16:45:26,0,0,0,0,28,0,255,0,0
16:45:27,0,0,0,0,28,0,255,0,0
16:45:28,0,0,0,0,28,0,255,0,0
16:45:29,0,0,0,0,28,0,255,0,0
16:45:30,0,0,0,0,28,0,255,0,0
16:45:31,0,0,0,0,28,0,255,0,0
16:45:38,0,0,0,0,28,0,255,0,0
16:45:42,0,0,0,0,28,0,255,0,0
16:45:43,0,0,0,0,28,0,255,0,0
16:45:44,0,0,0,0,28,0,255,0,0
16:45:47,0,0,0,0,28,0,255,0,0
16:45:48,0,0,0,0,28,0,255,0,0
16:45:49,0,0,0,0,28,0,255,0,0
16:45:53,0,0,0,0,28,0,255,0,0
16:46:02,0,0,0,0,28,0,255,0,0
16:46:12,0,0,0,0,28,0,255,0,0
16:46:13,0,0,0,0,28,0,255,0,0
16:46:14,0,0,0,0,28,0,255,0,0
16:46:15,0,0,0,0,28,0,255,0,0
16:46:16,0,0,0,0,28,0,255,0,0
16:46:17,0,0,0,0,28,0,255,0,0
16:46:18,0,0,0,0,28,0,255,0,0
16:46:19,0,101,22,0,28,0,72,0,0
16:46:20,0,101,22,0,28,0,72,0,0
16:46:21,0,101,22,0,28,0,72,0,0
16:46:22,0,9,24,0,28,0,84,0,0
16:46:23,0,9,24,0,28,0,84,0,0
16:46:24,0,15,23,0,28,0,6,0,0
16:46:25,0,15,23,0,28,0,6,0,0
16:46:26,0,15,23,0,28,0,6,0,0
16:46:27,0,13,23,0,28,0,64,0,0
16:46:28,0,13,23,0,28,0,64,0,0
16:46:29,0,25,23,0,28,0,32,0,0
16:46:30,0,25,23,0,28,0,32,0,0
16:46:31,0,25,23,0,28,0,32,0,0
16:46:32,0,23,24,0,28,0,44,0,0
16:46:33,0,23,24,0,28,0,44,0,0
16:46:34,0,14,23,0,28,0,22,0,0
16:46:35,0,14,23,0,28,0,22,0,0
16:46:36,0,14,23,0,28,0,22,0,0
16:46:37,0,15,23,0,28,0,16,0,0
16:46:38,0,15,23,0,28,0,16,0,0
16:46:39,0,17,23,0,28,0,27,0,0
16:46:40,0,17,23,0,28,0,27,0,0
16:46:41,0,17,23,0,28,0,27,0,0
16:46:42,0,42,23,0,28,0,30,0,0
16:46:43,0,42,23,0,28,0,30,0,0
16:46:44,0,75,25,0,28,0,47,0,0
16:46:45,0,75,25,0,28,0,47,0,0
16:46:46,0,75,25,0,28,0,47,0,0
16:46:47,0,49,27,0,28,0,43,0,0
16:46:48,0,49,27,0,28,0,43,0,0
16:46:49,0,45,28,0,28,0,47,0,0
16:46:50,0,45,28,0,28,0,47,0,0
16:46:51,0,52,29,0,28,0,33,0,0
16:46:52,0,52,29,0,28,0,33,0,0
16:46:53,0,40,30,0,28,0,43,0,0
16:46:54,0,40,30,0,28,0,43,0,0
16:46:55,0,28,30,0,28,0,41,0,0
16:46:56,0,28,30,0,28,0,41,0,0
16:46:57,0,33,30,0,28,0,25,0,0
16:46:58,0,33,30,0,28,0,25,0,0
16:46:59,0,62,31,0,28,0,62,0,0
16:47:00,0,41,32,0,28,0,58,0,0
16:47:01,0,41,32,0,28,0,58,0,0
16:47:02,0,35,32,0,28,0,42,0,0
16:47:03,0,35,32,0,28,0,42,0,0
16:47:04,0,72,33,0,28,0,40,0,0
16:47:05,0,72,33,0,28,0,40,0,0
16:47:06,0,60,33,0,28,0,45,0,0
16:47:07,0,60,33,0,28,0,45,0,0
16:47:08,0,37,34,0,28,0,49,0,0
16:47:09,0,36,34,0,28,0,42,0,0
16:47:10,0,36,34,0,28,0,42,0,0
16:47:11,0,51,34,0,28,0,44,0,0
16:47:12,0,51,34,0,28,0,44,0,0
16:47:13,0,44,35,0,28,0,46,0,0
16:47:14,0,44,35,0,28,0,46,0,0
16:47:15,0,37,35,0,28,0,42,0,0
16:47:16,0,33,35,0,28,0,36,0,0
16:47:17,0,33,35,0,28,0,36,0,0
16:47:18,0,37,35,0,28,0,46,0,0
16:47:19,0,37,35,0,28,0,46,0,0
16:47:20,0,24,35,0,28,0,39,0,0
16:47:21,0,48,35,0,28,0,42,0,0
16:47:22,0,48,35,0,28,0,42,0,0
16:47:23,0,72,36,0,28,0,61,0,0
16:47:24,0,72,36,0,28,0,61,0,0
16:47:25,0,121,36,0,28,0,26,0,0
16:47:26,0,350,39,0,28,0,38,0,0
16:47:27,0,412,45,0,28,0,52,0,0
16:47:28,0,412,45,0,28,0,52,0,0
16:47:29,0,518,49,0,28,0,48,0,0
16:47:30,0,532,49,0,28,0,51,0,0
16:47:31,0,478,49,0,28,0,54,0,0
16:47:32,0,287,50,0,28,0,48,0,0
16:47:33,0,305,51,0,28,0,51,0,0
16:47:34,0,305,51,0,28,0,51,0,0
16:47:35,0,324,53,0,28,0,50,0,0
16:47:36,0,395,53,0,28,0,58,0,0
16:47:37,0,330,54,0,28,0,49,0,0
16:47:38,0,216,55,0,28,0,47,0,0
16:47:39,0,154,57,0,28,0,45,0,0
16:47:40,0,91,59,0,28,0,55,0,0
