Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
17:19:02,0,0,0,0,28,0,255,0,0
17:19:03,0,0,0,0,28,0,255,0,0
17:19:04,0,0,0,0,28,0,255,0,0
17:19:06,0,0,0,0,28,0,255,0,0
17:19:07,0,0,0,0,28,0,255,0,0
17:19:08,0,0,0,0,28,0,255,0,0
17:19:09,0,0,0,0,28,0,255,0,0
17:19:10,0,0,0,0,28,0,255,0,0
17:19:20,0,0,0,0,28,0,255,0,0
17:19:21,0,0,0,0,28,0,255,0,0
17:20:38,0,0,0,0,28,0,255,0,0
17:20:39,0,0,0,0,28,0,255,0,0
17:20:40,0,0,0,0,28,0,255,0,0
17:20:41,0,0,0,0,28,0,255,0,0
17:20:42,0,0,0,0,28,0,255,0,0
17:20:43,0,0,0,0,28,0,255,0,0
17:20:44,0,0,0,0,28,0,255,0,0
17:20:45,0,0,0,0,28,0,255,0,0
17:20:46,0,0,0,0,28,0,255,0,0
17:20:47,0,0,0,0,28,0,255,0,0
17:20:48,0,0,0,0,28,0,255,0,0
17:20:49,0,41,20,0,28,0,43,0,0
17:20:50,0,41,20,0,28,0,43,0,0
17:20:51,0,41,20,0,28,0,43,0,0
17:20:52,0,34,22,0,28,0,46,0,0
17:20:53,0,34,22,0,28,0,46,0,0
17:20:54,0,29,24,0,28,0,18,0,0
17:20:55,0,29,24,0,28,0,18,0,0
17:20:56,0,29,24,0,28,0,18,0,0
17:20:57,0,14,25,0,28,0,93,0,0
17:20:58,0,14,25,0,28,0,93,0,0
17:20:59,0,5,24,0,28,0,0,0,0
17:21:00,0,5,24,0,28,0,0,0,0
17:21:01,0,40,24,0,28,0,49,0,0
17:21:02,0,40,24,0,28,0,49,0,0
17:21:03,0,40,24,0,28,0,49,0,0
17:21:04,0,12,25,0,28,0,20,0,0
17:21:05,0,12,25,0,28,0,20,0,0
17:21:06,0,7,25,0,28,0,69,0,0
17:21:07,0,7,25,0,28,0,69,0,0
17:21:08,0,7,25,0,28,0,69,0,0
17:21:09,0,6,24,0,28,0,0,0,0
17:21:10,0,6,24,0,28,0,0,0,0
17:21:11,0,22,24,0,28,0,11,0,0
17:21:12,0,22,24,0,28,0,11,0,0
17:21:13,0,22,24,0,28,0,11,0,0
17:21:14,0,26,24,0,28,0,52,0,0
17:21:15,0,26,24,0,28,0,52,0,0
17:21:16,0,12,25,0,28,0,62,0,0
17:21:17,0,12,25,0,28,0,62,0,0
17:21:18,0,6,24,0,28,0,75,0,0
17:21:19,0,6,24,0,28,0,75,0,0
17:21:20,0,6,24,0,28,0,75,0,0
17:21:21,0,4,24,0,28,0,44,0,0
17:21:22,0,4,24,0,28,0,44,0,0
17:21:23,0,20,24,0,28,0,45,0,0
17:21:24,0,20,24,0,28,0,45,0,0
17:21:25,0,20,24,0,28,0,45,0,0
17:21:26,0,11,24,0,28,0,63,0,0
17:21:27,0,11,24,0,28,0,63,0,0
17:21:28,0,14,24,0,28,0,48,0,0
17:21:29,0,14,24,0,28,0,48,0,0
17:21:30,0,14,24,0,28,0,48,0,0
17:21:31,0,14,24,0,28,0,48,0,0
17:21:32,0,14,24,0,28,0,48,0,0
17:21:33,0,16,25,0,28,0,45,0,0
17:21:34,0,16,25,0,28,0,45,0,0
17:21:35,0,10,25,0,28,0,36,0,0
17:21:36,0,10,25,0,28,0,36,0,0
17:21:37,0,10,25,0,28,0,36,0,0
17:21:38,0,3,24,0,28,0,66,0,0
17:21:39,0,3,24,0,28,0,66,0,0
17:21:40,0,3,23,0,28,0,33,0,0
17:21:41,0,3,23,0,28,0,33,0,0
17:21:42,0,3,23,0,28,0,33,0,0
17:21:43,0,3,23,0,28,0,66,0,0
17:21:44,0,3,23,0,28,0,66,0,0
17:21:45,0,3,23,0,28,0,66,0,0
17:21:46,0,4,22,0,28,0,33,0,0
17:21:47,0,4,22,0,28,0,33,0,0
17:21:48,0,22,22,0,28,0,60,0,0
17:21:49,0,22,22,0,28,0,60,0,0
17:21:50,0,22,22,0,28,0,60,0,0
17:21:51,0,19,22,0,28,0,41,0,0
17:21:52,0,19,22,0,28,0,41,0,0
17:21:53,0,19,22,0,28,0,41,0,0
17:21:54,0,20,23,0,28,0,42,0,0
17:21:55,0,20,23,0,28,0,42,0,0
17:21:56,0,14,22,0,28,0,50,0,0
17:21:57,0,14,22,0,28,0,50,0,0
17:21:58,0,14,22,0,28,0,50,0,0
17:21:59,0,10,22,0,28,0,55,0,0
17:22:00,0,10,22,0,28,0,55,0,0
17:22:01,0,21,23,0,28,0,50,0,0
17:22:02,0,21,23,0,28,0,50,0,0
17:22:03,0,21,23,0,28,0,50,0,0
17:22:04,0,15,23,0,28,0,62,0,0
17:22:05,0,15,23,0,28,0,62,0,0
17:22:06,0,33,24,0,28,0,48,0,0
17:22:07,0,33,24,0,28,0,48,0,0
17:22:08,0,33,24,0,28,0,48,0,0
17:22:09,0,23,25,0,28,0,54,0,0
17:22:10,0,23,25,0,28,0,54,0,0
17:22:11,0,18,24,0,28,0,62,0,0
17:22:12,0,18,24,0,28,0,62,0,0
17:22:13,0,18,24,0,28,0,62,0,0
17:22:14,0,24,25,0,28,0,72,0,0
17:22:15,0,24,25,0,28,0,72,0,0
17:22:16,0,26,25,0,28,0,42,0,0
17:22:17,0,26,25,0,28,0,42,0,0
