Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
17:42:18,0,12,55,0,28,0,83,0,0
17:42:19,0,97,62,0,28,0,47,0,0
17:42:20,0,76,70,0,28,0,61,0,0
17:42:21,0,55,72,0,28,0,50,0,0
17:42:22,0,47,72,0,28,0,50,0,0
17:42:23,0,45,73,0,28,0,50,0,0
17:42:24,0,41,73,0,28,0,53,0,0
17:42:25,0,41,72,0,28,0,50,0,0
17:42:26,0,39,71,0,28,0,44,0,0
17:42:27,0,38,71,0,28,0,47,0,0
17:42:28,0,39,70,0,28,0,43,0,0
17:42:29,0,47,70,0,28,0,45,0,0
17:42:30,0,41,70,0,28,0,45,0,0
17:42:31,0,39,69,0,28,0,46,0,0
17:42:32,0,43,70,0,28,0,49,0,0
17:42:33,0,39,69,0,28,0,43,0,0
17:42:34,0,40,69,0,28,0,50,0,0
17:42:35,0,40,69,0,28,0,47,0,0
17:42:36,0,40,69,0,28,0,49,0,0
17:42:37,0,40,69,0,28,0,51,0,0
17:42:38,0,38,68,0,28,0,48,0,0
17:42:39,0,41,68,0,28,0,51,0,0
17:42:40,0,36,67,0,28,0,48,0,0
17:42:41,0,41,67,0,28,0,48,0,0
17:42:42,0,38,67,0,28,0,49,0,0
17:42:43,0,39,67,0,28,0,49,0,0
17:42:44,0,37,66,0,28,0,46,0,0
17:42:45,0,39,66,0,28,0,44,0,0
17:42:46,0,39,66,0,28,0,46,0,0
17:42:47,0,43,66,0,28,0,47,0,0
17:42:48,0,41,67,0,28,0,51,0,0
17:42:49,0,38,67,0,28,0,53,0,0
17:42:50,0,39,67,0,28,0,50,0,0
17:42:51,0,42,67,0,28,0,49,0,0
17:42:52,0,46,68,0,28,0,46,0,0
17:42:53,0,44,68,0,28,0,50,0,0
17:42:54,0,42,69,0,28,0,57,0,0
17:42:55,0,34,68,0,28,0,50,0,0
17:42:56,0,39,68,0,28,0,50,0,0
17:42:57,0,42,68,0,28,0,51,0,0
17:42:58,0,52,69,0,28,0,48,0,0
17:42:59,0,51,71,0,28,0,48,0,0
17:43:00,0,42,72,0,28,0,55,0,0
17:43:01,0,59,73,0,28,0,42,0,0
17:43:02,0,48,74,0,28,0,33,0,0
17:43:03,0,35,74,0,28,0,41,0,0
17:43:04,0,35,73,0,28,0,51,0,0
17:43:05,0,37,72,0,28,0,47,0,0
17:43:06,0,38,70,0,28,0,50,0,0
17:43:07,0,45,71,0,28,0,53,0,0
17:43:08,0,38,71,0,28,0,57,0,0
17:43:09,0,39,70,0,28,0,53,0,0
17:43:10,0,39,70,0,28,0,46,0,0
17:43:11,0,39,69,0,28,0,48,0,0
17:43:12,0,39,69,0,28,0,54,0,0
17:43:13,0,41,69,0,28,0,47,0,0
17:43:14,0,41,69,0,28,0,46,0,0
17:43:15,0,39,69,0,28,0,45,0,0
17:43:16,0,39,70,0,28,0,56,0,0
17:43:17,0,42,70,0,28,0,54,0,0
17:43:18,0,39,69,0,28,0,51,0,0
17:43:19,0,34,68,0,28,0,44,0,0
17:43:20,0,42,68,0,28,0,47,0,0
17:43:21,0,42,69,0,28,0,48,0,0
17:43:22,0,44,69,0,28,0,47,0,0
17:43:23,0,44,70,0,28,0,54,0,0
17:43:24,0,43,71,0,28,0,52,0,0
17:43:25,0,41,71,0,28,0,56,0,0
17:43:26,0,34,70,0,28,0,50,0,0
17:43:27,0,39,70,0,28,0,60,0,0
17:43:28,0,36,69,0,28,0,47,0,0
17:43:29,0,48,69,0,28,0,44,0,0
17:43:30,0,35,69,0,28,0,52,0,0
17:43:31,0,36,68,0,28,0,52,0,0
17:43:32,0,40,68,0,28,0,45,0,0
17:43:33,0,48,69,0,28,0,52,0,0
17:43:34,0,43,70,0,28,0,52,0,0
17:43:35,0,38,70,0,28,0,48,0,0
