Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
16:54:50,0,0,0,0,27,0,255,0,0
16:54:51,0,0,0,0,27,0,255,0,0
16:54:52,0,0,0,0,27,0,255,0,0
16:54:53,0,0,0,0,27,0,255,0,0
16:54:54,0,0,0,0,27,0,255,0,0
16:54:55,0,0,0,0,27,0,255,0,0
16:54:56,0,0,0,0,27,0,255,0,0
16:54:57,0,0,0,0,27,0,255,0,0
16:54:59,0,0,0,0,27,0,255,0,0
16:55:00,0,0,0,0,27,0,255,0,0
16:55:01,0,0,0,0,27,0,255,0,0
16:55:02,0,0,0,0,27,0,255,0,0
16:55:03,0,0,0,0,27,0,255,0,0
16:55:04,0,0,0,0,27,0,255,0,0
16:55:05,0,0,0,0,27,0,255,0,0
16:55:06,0,0,0,0,27,0,255,0,0
16:55:11,0,0,0,0,27,0,255,0,0
16:55:12,0,0,0,0,27,0,255,0,0
16:55:13,0,0,0,0,27,0,255,0,0
16:55:14,0,0,0,0,27,0,255,0,0
16:55:34,0,0,0,0,27,0,255,0,0
16:55:35,0,0,0,0,27,0,255,0,0
16:55:45,0,0,0,0,27,0,255,0,0
16:55:46,0,0,0,0,27,0,255,0,0
16:55:47,0,0,0,0,27,0,255,0,0
16:55:49,0,0,0,0,27,0,255,0,0
16:55:53,0,0,0,0,27,0,255,0,0
16:55:54,0,0,0,0,27,0,255,0,0
16:55:55,0,0,0,0,27,0,255,0,0
16:55:56,0,0,0,0,27,0,255,0,0
16:55:57,0,0,0,0,27,0,255,0,0
16:55:58,0,50,27,0,27,0,13,0,0
16:55:59,0,109,52,0,27,0,44,0,0
16:56:00,0,104,64,0,27,0,51,0,0
16:56:01,0,118,72,0,27,0,51,0,0
16:56:02,0,135,80,0,27,0,60,0,0
16:56:03,0,106,82,0,27,0,49,0,0
16:56:04,0,110,83,0,27,0,47,0,0
16:56:05,0,114,85,0,27,0,44,0,0
16:56:06,0,124,87,0,27,0,59,0,0
16:56:07,0,119,90,0,27,0,49,0,0
16:56:08,0,102,89,0,27,0,48,0,0
16:56:09,0,104,89,0,27,0,52,0,0
16:56:10,0,96,88,0,27,0,54,0,0
16:56:11,0,98,88,0,27,0,54,0,0
16:56:12,0,111,89,0,27,0,54,0,0
16:56:13,0,117,89,0,27,0,48,0,0
16:56:14,0,96,89,0,27,0,49,0,0
16:56:15,0,106,88,0,27,0,53,0,0
16:56:16,0,125,90,0,27,0,50,0,0
16:56:17,0,141,93,0,27,0,51,0,0
16:56:18,0,126,95,0,27,0,51,0,0
16:56:19,0,134,97,0,27,0,55,0,0
16:56:20,0,123,96,0,27,0,51,0,0
16:56:21,0,118,96,0,27,0,51,0,0
16:56:22,0,115,96,0,27,0,50,0,0
16:56:23,0,115,95,0,27,0,51,0,0
16:56:24,0,120,96,0,27,0,51,0,0
16:56:25,0,123,95,0,27,0,50,0,0
16:56:26,0,110,95,0,27,0,51,0,0
16:56:27,0,102,95,0,27,0,53,0,0
16:56:28,0,123,94,0,27,0,49,0,0
16:56:29,0,129,96,0,27,0,52,0,0
16:56:30,0,119,97,0,27,0,57,0,0
16:56:31,0,109,96,0,27,0,49,0,0
16:56:32,0,110,96,0,27,0,50,0,0
16:56:33,0,112,96,0,27,0,53,0,0
16:56:34,0,111,96,0,27,0,51,0,0
16:56:35,0,105,95,0,27,0,52,0,0
16:56:36,0,106,95,0,27,0,53,0,0
16:56:37,0,106,95,0,27,0,54,0,0
16:56:38,0,105,94,0,27,0,52,0,0
16:56:39,0,111,94,0,27,0,50,0,0
16:56:40,0,122,94,0,27,0,49,0,0
16:56:41,0,114,96,0,27,0,49,0,0
16:56:42,0,116,96,0,27,0,48,0,0
16:56:43,0,118,96,0,27,0,48,0,0
16:56:44,0,113,96,0,27,0,47,0,0
16:56:45,0,110,96,0,27,0,54,0,0
16:56:46,0,123,96,0,27,0,47,0,0
16:56:47,0,117,98,0,27,0,48,0,0
16:56:48,0,113,97,0,27,0,55,0,0
16:56:49,0,120,98,0,27,0,55,0,0
16:56:50,0,114,97,0,27,0,51,0,0
16:56:51,0,119,97,0,27,0,51,0,0
16:56:52,0,129,98,0,27,0,51,0,0
16:56:53,0,120,99,0,27,0,51,0,0
16:56:54,0,115,98,0,27,0,51,0,0
16:56:55,0,115,98,0,27,0,49,0,0
16:56:56,0,115,98,0,27,0,48,0,0
16:56:57,0,116,98,0,27,0,49,0,0
16:56:58,0,117,98,0,27,0,49,0,0
16:56:59,0,116,98,0,27,0,50,0,0
16:57:00,0,114,98,0,27,0,48,0,0
16:57:01,0,114,98,0,27,0,52,0,0
16:57:02,0,114,98,0,27,0,51,0,0
16:57:03,0,114,98,0,27,0,51,0,0
16:57:04,0,118,98,0,27,0,48,0,0
16:57:05,0,109,97,0,27,0,51,0,0
16:57:06,0,116,98,0,27,0,52,0,0
16:57:07,0,113,98,0,27,0,53,0,0
16:57:08,0,110,97,0,27,0,52,0,0
16:57:09,0,118,97,0,27,0,50,0,0
16:57:10,0,123,98,0,27,0,52,0,0
16:57:11,0,117,99,0,27,0,50,0,0
16:57:12,0,123,99,0,27,0,54,0,0
16:57:13,0,118,99,0,27,0,50,0,0
16:57:14,0,115,99,0,27,0,50,0,0
16:57:15,0,115,99,0,27,0,52,0,0
16:57:16,0,113,98,0,27,0,52,0,0
16:57:17,0,113,98,0,27,0,50,0,0
16:57:18,0,115,98,0,27,0,51,0,0
16:57:19,0,120,99,0,27,0,52,0,0
16:57:20,0,119,99,0,27,0,52,0,0
16:57:21,0,123,99,0,27,0,48,0,0
16:57:22,0,118,100,0,27,0,50,0,0
16:57:23,0,125,100,0,27,0,50,0,0
16:57:24,0,117,101,0,27,0,53,0,0
16:57:25,0,117,100,0,27,0,52,0,0
16:57:26,0,125,101,0,27,0,53,0,0
16:57:27,0,115,100,0,27,0,51,0,0
16:57:28,0,116,100,0,27,0,55,0,0
16:57:29,0,104,99,0,27,0,49,0,0
16:57:30,0,123,99,0,27,0,50,0,0
16:57:31,0,121,100,0,27,0,50,0,0
16:57:32,0,133,101,0,27,0,52,0,0
16:57:33,0,111,100,0,27,0,50,0,0
16:57:34,0,116,100,0,27,0,50,0,0
16:57:35,0,122,100,0,27,0,50,0,0
16:57:36,0,118,100,0,27,0,51,0,0
16:57:37,0,113,100,0,27,0,51,0,0
16:57:38,0,111,99,0,27,0,49,0,0
16:57:39,0,112,99,0,27,0,48,0,0
16:57:40,0,113,98,0,27,0,47,0,0
16:57:41,0,122,99,0,27,0,50,0,0
16:57:42,0,119,99,0,27,0,53,0,0
16:57:43,0,116,100,0,27,0,54,0,0
16:57:44,0,121,100,0,27,0,52,0,0
16:57:45,0,120,100,0,27,0,52,0,0
16:57:46,0,112,100,0,27,0,50,0,0
16:57:47,0,117,100,0,28,0,51,0,0
16:57:48,0,116,100,0,28,0,52,0,0
16:57:49,0,116,99,0,28,0,43,0,0
16:57:50,0,113,100,0,28,0,49,0,0
16:57:51,0,117,99,0,28,0,54,0,0
16:57:52,0,116,99,0,28,0,51,0,0
16:57:53,0,116,99,0,28,0,51,0,0
16:57:54,0,112,99,0,28,0,54,0,0
16:57:55,0,113,98,0,28,0,53,0,0
16:57:56,0,113,98,0,28,0,51,0,0
16:57:57,0,116,98,0,28,0,53,0,0
16:57:58,0,116,99,0,28,0,52,0,0
16:57:59,0,114,99,0,28,0,53,0,0
16:58:00,0,106,98,0,28,0,50,0,0
16:58:01,0,115,97,0,28,0,52,0,0
16:58:02,0,118,98,0,28,0,52,0,0
16:58:03,0,108,98,0,28,0,53,0,0
16:58:04,0,112,98,0,28,0,50,0,0
16:58:05,0,114,98,0,28,0,52,0,0
16:58:06,0,116,98,0,28,0,52,0,0
16:58:07,0,108,98,0,28,0,51,0,0
16:58:08,0,116,98,0,28,0,52,0,0
16:58:09,0,107,98,0,28,0,50,0,0
16:58:10,0,113,98,0,28,0,51,0,0
16:58:11,0,121,98,0,28,0,52,0,0
16:58:12,0,123,100,0,28,0,53,0,0
16:58:13,0,117,100,0,28,0,47,0,0
16:58:14,0,116,100,0,28,0,53,0,0
16:58:15,0,120,100,0,28,0,52,0,0
16:58:16,0,112,100,0,28,0,54,0,0
16:58:17,0,115,100,0,28,0,52,0,0
16:58:18,0,114,100,0,28,0,49,0,0
16:58:19,0,120,100,0,28,0,52,0,0
16:58:20,0,119,100,0,28,0,51,0,0
16:58:21,0,119,100,0,28,0,56,0,0
16:58:22,0,114,100,0,28,0,50,0,0
16:58:23,0,116,100,0,28,0,51,0,0
16:58:24,0,111,100,0,28,0,53,0,0
16:58:25,0,118,100,0,28,0,52,0,0
16:58:26,0,121,99,0,28,0,52,0,0
16:58:27,0,122,101,0,28,0,53,0,0
16:58:28,0,124,101,0,28,0,52,0,0
16:58:29,0,115,101,0,28,0,52,0,0
16:58:30,0,123,101,0,28,0,54,0,0
16:58:31,0,114,102,0,28,0,51,0,0
16:58:32,0,118,101,0,28,0,52,0,0
16:58:33,0,118,101,0,28,0,52,0,0
16:58:34,0,117,101,0,28,0,52,0,0
16:58:35,0,116,101,0,28,0,51,0,0
16:58:36,0,123,101,0,28,0,49,0,0
16:58:37,0,119,101,0,28,0,54,0,0
16:58:38,0,110,101,0,28,0,50,0,0
16:58:39,0,121,101,0,28,0,52,0,0
16:58:40,0,118,102,0,28,0,52,0,0
16:58:41,0,121,101,0,28,0,48,0,0
16:58:42,0,132,102,0,28,0,55,0,0
16:58:43,0,146,103,0,28,0,44,0,0
16:58:44,0,143,108,0,28,0,51,0,0
16:58:45,0,131,108,0,28,0,50,0,0
16:58:46,0,128,108,0,28,0,52,0,0
16:58:47,0,132,108,0,28,0,51,0,0
16:58:48,0,138,109,0,28,0,52,0,0
16:58:49,0,131,109,0,28,0,52,0,0
16:58:50,0,127,108,0,28,0,50,0,0
16:58:51,0,126,108,0,28,0,50,0,0
16:58:52,0,125,108,0,28,0,53,0,0
16:58:53,0,133,108,0,28,0,51,0,0
16:58:54,0,131,108,0,28,0,49,0,0
16:58:55,0,128,108,0,28,0,50,0,0
16:58:56,0,127,108,0,28,0,51,0,0
16:58:57,0,123,107,0,28,0,52,0,0
16:58:58,0,121,107,0,28,0,50,0,0
16:58:59,0,135,107,0,28,0,52,0,0
16:59:00,0,122,107,0,28,0,53,0,0
16:59:01,0,130,106,0,28,0,50,0,0
16:59:02,0,123,106,0,28,0,52,0,0
16:59:03,0,133,106,0,28,0,49,0,0
16:59:04,0,143,107,0,28,0,53,0,0
16:59:05,0,134,108,0,28,0,50,0,0
16:59:06,0,136,109,0,28,0,48,0,0
16:59:07,0,130,109,0,28,0,49,0,0
16:59:08,0,132,109,0,28,0,49,0,0
16:59:09,0,52,104,0,28,0,64,0,0
16:59:10,0,15,91,0,28,0,64,0,0
16:59:11,0,5,81,0,28,0,60,0,0
16:59:12,0,7,70,0,28,0,100,0,0
16:59:13,0,1,58,0,28,0,50,0,0
16:59:14,0,5,43,0,28,0,63,0,0
16:59:15,0,73,42,0,28,0,50,0,0
16:59:16,0,73,42,0,28,0,50,0,0
16:59:17,0,6,41,0,28,0,66,0,0
16:59:18,0,55,36,0,28,0,38,0,0
16:59:19,0,55,36,0,28,0,38,0,0
16:59:20,0,101,51,0,28,0,42,0,0
16:59:21,0,116,66,0,28,0,48,0,0
16:59:22,0,101,75,0,28,0,50,0,0
16:59:23,0,102,79,0,28,0,65,0,0
16:59:24,0,30,75,0,28,0,78,0,0
16:59:25,0,11,67,0,28,0,90,0,0
16:59:26,0,3,54,0,28,0,80,0,0
16:59:27,0,4,38,0,28,0,42,0,0
16:59:28,0,4,38,0,28,0,42,0,0
16:59:29,0,31,28,0,28,0,31,0,0
16:59:30,0,31,28,0,28,0,31,0,0
16:59:31,0,30,34,0,28,0,75,0,0
16:59:32,0,30,34,0,28,0,75,0,0
16:59:33,0,0,0,0,28,0,255,0,0
16:59:34,0,0,0,0,28,0,255,0,0
16:59:35,0,0,0,0,28,0,255,0,0
16:59:36,0,0,0,0,28,0,255,0,0
16:59:37,0,0,0,0,28,0,255,0,0
16:59:38,0,0,0,0,28,0,255,0,0
16:59:39,0,0,0,0,28,0,255,0,0
16:59:40,0,0,0,0,28,0,255,0,0
16:59:41,0,0,0,0,28,0,255,0,0
16:59:42,0,24,22,0,28,0,51,0,0
16:59:43,0,146,40,0,28,0,88,0,0
16:59:44,0,4,51,0,28,0,62,0,0
16:59:45,0,4,51,0,28,0,62,0,0
16:59:46,0,5,35,0,28,0,63,0,0
16:59:47,0,5,35,0,28,0,63,0,0
16:59:48,0,99,21,0,28,0,4,0,0
16:59:49,0,30,66,0,28,0,90,0,0
16:59:50,0,7,53,0,28,0,86,0,0
16:59:51,0,7,53,0,28,0,86,0,0
16:59:52,0,6,37,0,28,0,41,0,0
16:59:53,0,6,37,0,28,0,41,0,0
16:59:54,0,0,0,0,28,0,255,0,0
16:59:55,0,0,0,0,28,0,255,0,0
16:59:56,0,154,20,0,28,0,78,0,0
16:59:57,0,0,56,0,28,0,100,0,0
16:59:58,0,0,56,0,28,0,100,0,0
16:59:59,0,2,37,0,28,0,60,0,0
17:00:00,0,2,37,0,28,0,60,0,0
17:00:01,0,153,40,0,28,0,66,0,0
17:00:02,0,108,84,0,28,0,68,0,0
17:00:03,0,24,79,0,28,0,86,0,0
17:00:04,0,10,69,0,28,0,90,0,0
17:00:05,0,16,59,0,28,0,84,0,0
17:00:06,0,20,49,0,28,0,41,0,0
17:00:07,0,119,52,0,28,0,33,0,0
17:00:08,0,255,84,0,28,0,51,0,0
17:00:09,0,150,101,0,28,0,53,0,0
17:00:10,0,117,101,0,28,0,53,0,0
17:00:11,0,105,100,0,28,0,53,0,0
17:00:12,0,21,94,0,28,0,61,0,0
17:00:13,0,5,78,0,28,0,83,0,0
17:00:14,0,2,60,0,28,0,75,0,0
17:00:15,0,2,60,0,28,0,75,0,0
17:00:16,0,0,40,0,28,0,0,0,0
17:00:38,0,0,0,0,28,0,255,0,0
17:00:39,0,0,0,0,28,0,255,0,0
17:00:40,0,0,0,0,28,0,255,0,0
17:00:41,0,0,0,0,28,0,255,0,0
17:00:42,0,0,0,0,28,0,255,0,0
17:00:43,0,0,0,0,28,0,255,0,0
17:00:44,0,0,0,0,28,0,255,0,0
17:00:45,0,0,0,0,28,0,255,0,0
17:00:46,0,0,0,0,28,0,255,0,0
17:00:47,0,0,0,0,28,0,255,0,0
17:00:48,0,0,0,0,28,0,255,0,0
17:00:49,0,0,0,0,28,0,255,0,0
17:00:50,0,0,0,0,28,0,255,0,0
17:00:51,0,0,0,0,28,0,255,0,0
17:00:52,0,0,0,0,28,0,255,0,0
17:00:53,0,0,0,0,28,0,255,0,0
17:00:54,0,0,0,0,28,0,255,0,0
17:00:55,0,0,0,0,28,0,255,0,0
17:00:57,0,0,0,0,28,0,255,0,0
17:00:58,0,0,0,0,28,0,255,0,0
17:02:57,0,0,0,0,28,0,255,0,0
17:02:58,0,0,0,0,28,0,255,0,0
17:02:59,0,0,0,0,28,0,255,0,0
17:03:00,0,0,0,0,28,0,255,0,0
17:03:01,0,0,0,0,28,0,255,0,0
17:03:05,0,0,0,0,28,0,255,0,0
17:03:06,0,0,0,0,28,0,255,0,0
17:03:07,0,0,0,0,28,0,255,0,0
17:03:08,0,0,0,0,28,0,255,0,0
17:03:09,0,0,0,0,28,0,255,0,0
17:03:11,0,0,0,0,28,0,255,0,0
17:03:12,0,0,0,0,28,0,255,0,0
17:03:13,0,0,0,0,28,0,255,0,0
17:03:14,0,0,0,0,28,0,255,0,0
17:03:15,0,0,0,0,28,0,255,0,0
17:03:16,0,0,0,0,28,0,255,0,0
17:03:17,0,0,0,0,28,0,255,0,0
17:03:18,0,0,0,0,28,0,255,0,0
17:03:19,0,0,0,0,28,0,255,0,0
17:03:20,0,0,0,0,28,0,255,0,0
17:03:21,0,0,0,0,28,0,255,0,0
17:03:22,0,0,0,0,28,0,255,0,0
