Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
17:33:50,0,0,0,0,28,0,255,0,0
17:33:51,0,0,0,0,28,0,255,0,0
17:33:52,0,0,0,0,28,0,255,0,0
17:33:53,0,0,0,0,28,0,255,0,0
17:33:54,0,0,0,0,28,0,255,0,0
17:33:55,0,0,0,0,28,0,255,0,0
17:33:56,0,0,0,0,28,0,255,0,0
17:33:57,0,0,0,0,28,0,255,0,0
17:33:58,0,0,0,0,28,0,255,0,0
17:33:59,0,0,0,0,28,0,255,0,0
17:34:00,0,0,0,0,28,0,255,0,0
17:34:01,0,0,0,0,28,0,255,0,0
17:34:02,0,0,0,0,28,0,255,0,0
17:34:03,0,0,0,0,28,0,255,0,0
17:34:04,0,0,0,0,28,0,255,0,0
17:34:05,0,0,0,0,28,0,255,0,0
17:34:06,0,0,0,0,28,0,255,0,0
17:34:07,0,0,0,0,28,0,255,0,0
17:34:08,0,0,0,0,28,0,255,0,0
17:34:09,0,0,0,0,28,0,255,0,0
17:34:10,0,0,0,0,28,0,255,0,0
17:34:11,0,0,0,0,28,0,255,0,0
17:34:12,0,0,0,0,28,0,255,0,0
17:34:13,0,0,0,0,28,0,255,0,0
17:34:14,0,0,0,0,28,0,255,0,0
17:34:15,0,0,0,0,28,0,255,0,0
17:34:16,0,0,0,0,28,0,255,0,0
17:34:17,0,0,0,0,28,0,255,0,0
17:34:18,0,0,0,0,28,0,255,0,0
17:34:19,0,0,0,0,28,0,255,0,0
17:34:20,0,0,0,0,28,0,255,0,0
17:34:21,0,0,0,0,28,0,255,0,0
17:34:22,0,0,0,0,28,0,255,0,0
17:34:23,0,0,0,0,28,0,255,0,0
17:34:24,0,0,0,0,28,0,255,0,0
17:34:25,0,0,0,0,28,0,255,0,0
17:34:26,0,0,0,0,28,0,255,0,0
17:34:27,0,0,0,0,28,0,255,0,0
17:34:28,0,0,0,0,28,0,255,0,0
17:34:29,0,0,0,0,28,0,255,0,0
17:34:30,0,0,0,0,28,0,255,0,0
17:34:31,0,0,0,0,28,0,255,0,0
17:34:32,0,0,0,0,28,0,255,0,0
17:34:33,0,0,0,0,28,0,57,0,0
17:34:34,0,0,0,0,28,0,57,0,0
17:34:35,0,0,0,0,28,0,57,0,0
17:34:36,0,0,0,0,28,0,255,0,0
17:34:37,0,0,0,0,28,0,255,0,0
17:34:38,0,0,0,0,28,0,255,0,0
17:34:39,0,0,0,0,28,0,255,0,0
17:34:40,0,0,0,0,28,0,255,0,0
17:34:41,0,0,0,0,28,0,255,0,0
17:34:42,0,0,0,0,28,0,255,0,0
17:34:43,0,0,0,0,28,0,255,0,0
17:34:44,0,0,0,0,28,0,255,0,0
17:34:45,0,0,0,0,28,0,255,0,0
17:34:46,0,0,0,0,28,0,255,0,0
17:34:47,0,0,0,0,28,0,255,0,0
17:34:48,0,0,0,0,28,0,255,0,0
17:34:49,0,0,0,0,28,0,255,0,0
17:34:50,0,0,0,0,28,0,255,0,0
17:34:51,0,0,0,0,28,0,255,0,0
17:34:52,0,0,0,0,28,0,255,0,0
17:34:53,0,0,0,0,28,0,255,0,0
17:34:54,0,0,0,0,28,0,255,0,0
17:34:55,0,0,0,0,28,0,255,0,0
17:34:56,0,0,0,0,28,0,255,0,0
17:34:57,0,38,21,0,28,0,43,0,0
17:34:58,0,38,21,0,28,0,43,0,0
17:34:59,0,38,21,0,28,0,43,0,0
17:35:00,0,33,23,0,28,0,46,0,0
17:35:01,0,33,23,0,28,0,46,0,0
17:35:02,0,33,23,0,28,0,46,0,0
17:35:03,0,4,23,0,28,0,33,0,0
17:35:04,0,4,23,0,28,0,33,0,0
17:35:05,0,13,23,0,28,0,80,0,0
17:35:06,0,13,23,0,28,0,80,0,0
17:35:07,0,13,23,0,28,0,80,0,0
17:35:08,0,19,23,0,28,0,63,0,0
17:35:09,0,19,23,0,28,0,63,0,0
17:35:10,0,18,23,0,28,0,62,0,0
17:35:11,0,18,23,0,28,0,62,0,0
17:35:12,0,18,23,0,28,0,62,0,0
17:35:13,0,17,23,0,28,0,26,0,0
17:35:14,0,17,23,0,28,0,26,0,0
17:35:15,0,10,24,0,28,0,40,0,0
17:35:16,0,10,24,0,28,0,40,0,0
17:35:17,0,10,24,0,28,0,40,0,0
17:35:18,0,9,23,0,28,0,50,0,0
17:35:19,0,9,23,0,28,0,50,0,0
17:35:20,0,9,23,0,28,0,38,0,0
