Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
10:25:09,0,0,0,0,26,0,255,0,0
10:25:10,0,0,0,0,26,0,255,0,0
10:25:11,4.2,0,0,0,26,0,255,0,0
10:25:12,4.2,0,0,0,26,0,255,0,0
10:25:13,4,0,0,0,26,0,255,0,0
10:25:14,4,0,0,0,26,0,255,0,0
10:25:15,4,0,0,0,26,0,255,0,0
10:25:16,4.3,0,0,0,26,0,255,0,0
10:25:17,4.3,0,0,0,26,0,255,0,0
10:25:18,0,0,0,0,26,0,255,0,0
10:25:19,0,0,0,0,26,0,255,0,0
10:25:20,0,0,0,0,26,0,255,0,0
10:25:21,0,0,0,0,26,0,255,0,0
10:25:22,0,0,0,0,26,0,255,0,0
10:25:23,0,0,0,0,26,0,255,0,0
10:25:24,0,0,0,0,26,0,255,0,0
10:25:25,3.6,0,0,0,26,0,255,0,0
10:25:26,3.6,0,0,0,26,0,255,0,0
10:25:27,0,0,0,0,26,0,255,0,0
10:25:28,0,0,0,0,26,0,255,0,0
10:25:29,0,0,0,0,26,0,255,0,0
10:25:30,0,0,0,0,26,0,255,0,0
10:25:31,0,0,0,0,26,0,255,0,0
10:25:32,0,0,0,0,26,0,255,0,0
10:25:33,4.2,0,0,0,26,0,255,0,0
10:25:34,4.2,0,0,0,26,0,255,0,0
10:25:35,4.8,0,0,0,26,0,255,0,0
10:25:36,7.3,0,0,0,26,0,255,0,0
10:25:37,8.7,0,0,0,26,0,255,0,0
10:25:38,10.2,0,0,0,26,0,255,0,0
10:25:39,11.73,0,0,0,26,0,255,0,0
10:25:40,12.9,0,0,0,26,0,255,0,0
10:25:41,13.4,149,24,0,26,0,45,0,0
10:25:42,15.09,149,24,0,26,0,45,0,0
10:25:43,17.25,180,31,0,26,0,49,0,0
10:25:44,18.79,180,31,0,26,0,49,0,0
10:25:45,19.86,142,35,0,26,0,57,0,0
10:25:46,20.49,107,37,0,26,0,58,0,0
10:25:47,21.18,107,37,0,26,0,58,0,0
10:25:48,21.66,102,39,0,26,0,60,0,0
10:25:49,21.93,109,40,0,26,0,50,0,0
10:25:50,22.56,109,40,0,26,0,50,0,0
10:25:51,23.16,125,42,0,26,0,54,0,0
10:25:52,23.13,141,43,0,26,0,51,0,0
10:25:53,23.7,141,43,0,26,0,51,0,0
10:25:54,24,128,44,0,26,0,53,0,0
10:25:55,24.55,52,45,0,26,0,85,0,0
10:25:56,24.07,44,44,0,26,0,53,0,0
10:25:57,23.9,44,44,0,26,0,53,0,0
10:25:58,24.06,48,44,0,26,0,60,0,0
10:25:59,23.97,42,44,0,26,0,55,0,0
10:26:00,24,54,44,0,26,0,42,0,0
10:26:01,24.23,54,44,0,26,0,42,0,0
10:26:02,24.52,66,44,0,26,0,33,0,0
10:26:03,24.9,80,45,0,26,0,53,0,0
10:26:04,25.06,56,46,0,26,0,63,0,0
10:26:05,25.12,56,46,0,26,0,63,0,0
10:26:06,25.3,85,46,0,26,0,44,0,0
10:26:07,25.96,131,46,0,26,0,51,0,0
10:26:08,26.37,166,48,0,26,0,53,0,0
10:26:09,26.33,211,49,0,26,0,45,0,0
10:26:10,27.47,273,51,0,26,0,53,0,0
10:26:11,27.96,273,51,0,26,0,53,0,0
10:26:12,29.47,301,53,0,26,0,48,0,0
10:26:13,30.57,431,55,0,26,0,45,0,0
10:26:14,31.31,518,57,0,26,0,48,0,0
10:26:15,32.43,553,59,0,26,0,48,0,0
10:26:16,33.19,580,61,0,26,0,48,0,0
10:26:17,35.43,566,63,0,26,0,54,0,0
10:26:18,35.05,449,64,0,26,0,50,0,0
10:26:19,35.94,395,64,0,26,0,49,0,0
10:26:20,36.72,342,67,0,26,0,51,0,0
10:26:21,37.56,314,69,0,26,0,50,0,0
10:26:22,38.4,355,71,0,26,0,48,0,0
10:26:23,40.02,395,73,0,26,0,50,0,0
10:26:24,42.13,574,78,0,26,0,52,0,0
10:26:25,44.34,539,82,0,26,0,54,0,0
10:26:26,45.83,446,83,0,26,0,54,0,0
10:26:27,45.79,258,84,0,26,0,58,0,0
10:26:28,45.06,191,82,0,26,0,49,0,0
10:26:29,44.22,238,80,0,26,0,50,0,0
10:26:30,44,264,80,0,26,0,54,0,0
10:26:31,44.23,189,80,0,26,0,56,0,0
10:26:32,43.55,134,79,0,26,0,58,0,0
10:26:33,43.02,104,79,0,26,0,57,0,0
10:26:34,43.11,138,80,0,26,0,48,0,0
10:26:35,44.28,153,81,0,26,0,53,0,0
10:26:36,45.15,171,83,0,26,0,54,0,0
10:26:37,45.41,206,83,0,26,0,49,0,0
10:26:38,45.36,233,82,0,26,0,57,0,0
10:26:39,44.48,222,81,0,26,0,47,0,0
10:26:40,42.69,362,78,0,26,0,49,0,0
10:26:41,42.7,376,77,0,26,0,53,0,0
10:26:42,43.86,342,80,0,26,0,53,0,0
10:26:43,44.52,358,81,0,26,0,50,0,0
10:26:44,44.78,317,82,0,26,0,52,0,0
10:26:45,45.7,188,85,0,26,0,65,0,0
10:26:46,47.34,112,87,0,26,0,53,0,0
10:26:47,48.1,124,89,0,26,0,48,0,0
10:26:48,48.54,250,89,0,26,0,46,0,0
10:26:49,48.73,380,89,0,26,0,52,0,0
10:26:50,48.51,388,87,0,26,0,50,0,0
10:26:51,47.36,364,85,0,26,0,47,0,0
10:26:52,47.34,379,86,0,26,0,51,0,0
10:26:53,48.23,364,88,0,26,0,50,0,0
10:26:54,49.27,338,90,0,26,0,53,0,0
10:26:55,49.71,241,92,0,26,0,52,0,0
10:26:56,51.2,314,94,0,26,0,46,0,0
10:26:57,52.34,333,97,0,26,0,52,0,0
10:26:58,52.78,236,97,0,26,0,68,0,0
10:26:59,51.93,241,94,0,26,0,46,0,0
10:27:00,51.18,380,92,0,26,0,48,0,0
10:27:01,50.12,379,91,0,26,0,54,0,0
10:27:02,50.21,279,91,0,26,0,52,0,0
10:27:03,50.36,288,92,0,26,0,52,0,0
10:27:04,50.13,305,92,0,26,0,49,0,0
10:27:05,51.14,321,94,0,26,0,49,0,0
10:27:06,53.77,322,100,0,26,0,52,0,0
10:27:07,54.73,259,101,0,26,0,61,0,0
10:27:08,54.54,224,99,0,26,0,49,0,0
10:27:09,53.83,365,98,0,26,0,49,0,0
10:27:10,52.65,430,95,0,26,0,50,0,0
10:27:11,52.4,419,95,0,26,0,51,0,0
10:27:12,52.94,425,97,0,26,0,49,0,0
10:27:13,52.9,408,97,0,26,0,50,0,0
10:27:14,52.82,360,98,0,26,0,49,0,0
10:27:15,54.47,414,103,0,26,0,49,0,0
10:27:16,55.83,373,103,0,26,0,50,0,0
10:27:17,56.24,390,102,0,26,0,48,0,0
10:27:18,55.5,514,101,0,26,0,46,0,0
10:27:19,54.65,530,98,0,26,0,48,0,0
10:27:20,54.17,515,98,0,26,0,51,0,0
10:27:21,54.4,462,99,0,26,0,51,0,0
10:27:22,54.44,397,100,0,26,0,51,0,0
10:27:23,54.4,293,101,0,26,0,44,0,0
10:27:24,55.92,362,104,0,26,0,49,0,0
10:27:25,57.2,405,105,0,26,0,49,0,0
10:27:26,57.18,455,105,0,26,0,52,0,0
10:27:27,56.4,441,101,0,26,0,48,0,0
10:27:28,54,419,98,0,26,0,50,0,0
10:27:29,52.5,374,95,0,26,0,51,0,0
10:27:30,52.45,345,96,0,26,0,51,0,0
10:27:31,52.84,466,96,0,26,0,47,0,0
10:27:32,53.93,480,100,0,26,0,49,0,0
10:27:33,56.82,548,106,0,26,0,48,0,0
10:27:34,59.04,613,109,0,26,0,50,0,0
10:27:35,59.97,586,110,0,26,0,47,0,0
10:27:36,60.87,594,111,0,26,0,50,0,0
