Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
9:34:46,0,0,0,0,25,0,255,0,0
9:35:07,0,0,0,0,25,0,255,0,0
9:35:28,0,0,0,0,25,0,255,0,0
9:35:49,0,0,0,0,25,0,255,0,0
9:36:10,0,0,0,0,25,0,255,0,0
9:36:31,0,0,0,0,25,0,255,0,0
9:36:52,0,0,0,0,25,0,255,0,0
9:37:13,0,0,0,0,25,0,255,0,0
9:37:34,0,0,0,0,25,0,255,0,0
9:37:55,0,0,0,0,25,0,255,0,0
9:38:16,0,117,27,0,25,0,72,0,0
9:38:37,0,117,27,0,25,0,72,0,0
9:38:58,0,117,27,0,25,0,72,0,0
9:39:19,0,2,29,0,25,0,100,0,0
9:39:40,0,2,29,0,25,0,100,0,0
9:40:01,0,12,27,0,25,0,29,0,0
9:40:22,0,12,27,0,25,0,29,0,0
9:40:43,0,27,27,0,25,0,24,0,0
9:41:04,0,27,27,0,25,0,24,0,0
9:41:25,0,28,28,0,25,0,40,0,0
9:41:46,0,28,28,0,25,0,40,0,0
9:42:07,0,52,30,0,25,0,51,0,0
9:42:28,0,52,30,0,25,0,51,0,0
9:42:49,0,30,31,0,25,0,45,0,0
9:43:10,0,30,31,0,25,0,45,0,0
9:43:31,0,30,32,0,25,0,49,0,0
9:43:52,0,30,32,0,25,0,49,0,0
9:44:13,0,10,32,0,25,0,40,0,0
9:44:34,0,4,31,0,25,0,71,0,0
9:44:55,0,4,31,0,25,0,71,0,0
9:45:16,0,0,30,0,25,0,255,0,0
9:45:37,0,0,30,0,25,0,255,0,0
9:45:58,0,3,29,0,25,0,60,0,0
9:46:19,0,3,29,0,25,0,60,0,0
9:46:40,0,1,29,0,25,0,0,0,0
9:47:01,0,1,29,0,25,0,0,0,0
9:47:22,0,1,29,0,25,0,0,0,0
9:47:43,0,27,29,0,25,0,37,0,0
9:48:04,0,27,29,0,25,0,37,0,0
9:48:25,0,25,30,0,25,0,50,0,0
9:48:46,0,25,30,0,25,0,50,0,0
9:49:07,0,11,30,0,25,0,76,0,0
9:49:28,0,11,30,0,26,0,76,0,0
9:49:49,0,0,29,0,26,0,255,0,0
9:50:10,0,0,29,0,26,0,255,0,0
9:50:31,0,9,29,0,26,0,44,0,0
9:50:52,0,9,29,0,26,0,44,0,0
9:51:13,0,8,29,0,26,0,52,0,0
9:51:34,0,8,29,0,26,0,52,0,0
9:51:55,0,4,29,0,26,0,62,0,0
9:52:16,0,4,29,0,26,0,62,0,0
9:52:37,0,8,28,0,26,0,26,0,0
9:52:58,0,8,28,0,26,0,26,0,0
9:53:19,0,8,28,0,26,0,41,0,0
9:53:40,0,8,28,0,26,0,41,0,0
9:54:01,0,6,28,0,26,0,72,0,0
9:54:22,0,6,28,0,26,0,72,0,0
9:54:43,0,14,27,0,26,0,28,0,0
9:55:04,0,14,27,0,26,0,28,0,0
9:55:25,0,51,28,0,26,0,15,0,0
9:55:46,0,51,28,0,26,0,15,0,0
9:56:07,0,42,30,0,26,0,71,0,0
9:56:28,0,42,30,0,26,0,71,0,0
9:56:49,0,38,30,0,26,0,27,0,0
9:57:10,0,38,30,0,26,0,27,0,0
9:57:31,0,15,31,0,26,0,38,0,0
9:57:52,0,15,31,0,26,0,38,0,0
9:58:13,0,10,31,0,26,0,50,0,0
9:58:34,0,10,31,0,26,0,50,0,0
9:58:55,0,7,31,0,26,0,35,0,0
9:59:16,0,7,31,0,26,0,35,0,0
9:59:37,0,6,30,0,26,0,75,0,0
9:59:58,0,6,30,0,26,0,75,0,0
10:00:19,0,8,30,0,26,0,18,0,0
10:00:40,0,8,30,0,26,0,18,0,0
10:01:01,0,8,30,0,26,0,86,0,0
10:01:22,0,8,30,0,26,0,86,0,0
10:01:43,0,8,29,0,26,0,31,0,0
10:02:04,0,8,29,0,26,0,31,0,0
10:02:25,0,29,29,0,26,0,22,0,0
10:02:46,0,29,29,0,26,0,22,0,0
10:03:07,0,70,30,0,26,0,41,0,0
10:03:28,0,70,30,0,26,0,41,0,0
10:03:49,0,39,32,0,26,0,100,0,0
10:04:10,0,39,32,0,26,0,100,0,0
10:04:31,0,7,31,0,26,0,0,0,0
10:04:52,0,18,31,0,26,0,44,0,0
10:05:13,0,18,31,0,26,0,44,0,0
10:05:34,0,1,31,0,26,0,66,0,0
10:05:55,0,1,31,0,26,0,66,0,0
10:06:16,0,4,30,0,26,0,66,0,0
10:06:37,0,4,30,0,26,0,66,0,0
10:06:58,0,4,30,0,26,0,0,0,0
10:07:19,0,4,30,0,26,0,0,0,0
10:07:40,0,4,29,0,26,0,57,0,0
10:08:01,0,4,29,0,26,0,57,0,0
10:08:22,0,4,29,0,26,0,25,0,0
10:08:43,0,4,29,0,26,0,25,0,0
10:09:04,0,3,28,0,26,0,50,0,0
10:09:25,0,3,28,0,26,0,50,0,0
10:09:46,0,3,28,0,26,0,50,0,0
10:10:07,0,8,28,0,26,0,43,0,0
10:10:28,0,8,28,0,26,0,43,0,0
10:10:49,0,16,27,0,26,0,31,0,0
10:11:10,0,16,27,0,26,0,31,0,0
10:11:31,0,9,27,0,26,0,44,0,0
10:11:52,0,9,27,0,26,0,44,0,0
10:12:13,0,12,27,0,26,0,29,0,0
10:12:34,0,12,27,0,26,0,29,0,0
10:12:55,0,28,28,0,26,0,48,0,0
10:13:16,0,28,28,0,26,0,48,0,0
10:13:37,0,47,29,0,26,0,44,0,0
10:13:58,0,47,29,0,26,0,44,0,0
10:14:19,0,30,30,0,26,0,65,0,0
10:14:40,0,30,30,0,26,0,65,0,0
10:15:01,0,4,30,0,26,0,57,0,0
10:15:22,0,4,30,0,26,0,57,0,0
10:15:43,0,3,30,0,26,0,50,0,0
10:16:04,0,3,30,0,26,0,50,0,0
10:16:25,0,3,29,0,26,0,60,0,0
10:16:46,0,3,29,0,26,0,60,0,0
10:17:07,0,13,29,0,26,0,23,0,0
10:17:28,0,13,29,0,26,0,23,0,0
10:17:49,0,27,29,0,26,0,41,0,0
10:18:10,0,27,29,0,26,0,41,0,0
10:18:31,0,21,30,0,26,0,41,0,0
10:18:52,0,21,30,0,26,0,41,0,0
10:19:13,0,9,30,0,26,0,27,0,0
10:19:34,0,9,30,0,26,0,27,0,0
10:19:55,0,20,30,0,26,0,63,0,0
10:20:16,0,20,30,0,26,0,63,0,0
10:20:37,0,24,30,0,26,0,50,0,0
10:20:58,0,24,30,0,26,0,50,0,0
10:21:19,0,30,30,0,26,0,52,0,0
10:21:40,0,30,30,0,26,0,52,0,0
10:22:01,0,31,31,0,26,0,60,0,0
10:22:22,0,31,31,0,26,0,60,0,0
10:22:43,0,24,32,0,26,0,57,0,0
10:23:04,0,24,32,0,26,0,57,0,0
10:23:25,0,5,32,0,26,0,45,0,0
10:23:46,0,5,32,0,26,0,45,0,0
10:24:07,0,4,31,0,26,0,25,0,0
10:24:28,0,4,31,0,26,0,25,0,0
10:24:49,0,4,31,0,26,0,50,0,0
10:25:10,0,2,31,0,26,0,40,0,0
10:25:31,0,2,31,0,26,0,40,0,0
10:25:52,0,3,30,0,26,0,28,0,0
10:26:13,0,3,30,0,26,0,28,0,0
10:26:34,0,10,30,0,26,0,15,0,0
10:26:55,0,10,30,0,26,0,15,0,0
10:27:16,0,20,30,0,26,0,80,0,0
10:27:37,0,20,30,0,26,0,80,0,0
10:27:58,0,7,29,0,26,0,38,0,0
10:28:19,0,7,29,0,26,0,38,0,0
10:28:40,0,23,29,0,26,0,54,0,0
10:29:01,0,23,29,0,26,0,54,0,0
10:29:22,0,15,29,0,26,0,63,0,0
10:29:43,0,15,29,0,26,0,63,0,0
10:30:04,0,105,31,0,26,0,48,0,0
10:30:25,0,105,31,0,26,0,48,0,0
10:30:46,0,130,35,0,26,0,40,0,0
10:31:07,0,130,35,0,26,0,40,0,0
10:31:28,0,150,39,0,26,0,57,0,0
10:31:49,0,151,42,0,26,0,60,0,0
10:32:10,0,246,45,0,26,0,41,0,0
10:32:31,0,246,45,0,26,0,41,0,0
10:32:52,0,285,49,0,26,0,51,0,0
10:33:13,0,275,53,0,26,0,51,0,0
10:33:34,0,249,56,0,26,0,55,0,0
10:33:55,0,227,58,0,26,0,48,0,0
10:34:16,0,166,60,0,26,0,54,0,0
10:34:37,0,150,61,0,26,0,47,0,0
10:34:58,0,242,62,0,26,0,44,0,0
10:35:19,0,273,63,0,26,0,43,0,0
10:35:40,0,382,64,0,26,0,52,0,0
10:36:01,0,388,66,0,26,0,52,0,0
10:36:22,0,411,68,0,26,0,49,0,0
10:36:43,0,408,70,0,26,0,54,0,0
10:37:04,0,290,70,0,26,0,53,0,0
10:37:25,0,322,70,0,26,0,48,0,0
10:37:46,0,324,70,0,26,0,50,0,0
10:38:07,0,209,72,0,26,0,59,0,0
10:38:28,0,209,73,0,26,0,55,0,0
10:38:49,0,171,73,0,26,0,58,0,0
10:39:10,0,202,74,0,26,0,52,0,0
10:39:31,0,128,76,0,26,0,72,0,0
10:39:52,0,23,78,0,26,0,15,0,0
10:40:13,0,17,77,0,26,0,88,0,0
10:40:34,0,6,75,0,26,0,83,0,0
10:40:55,0,14,74,0,26,0,10,0,0
10:41:16,0,130,73,0,26,0,35,0,0
10:41:37,0,188,72,0,26,0,42,0,0
10:41:58,0,161,71,0,26,0,55,0,0
10:42:19,0,229,72,0,26,0,44,0,0
10:42:40,0,215,75,0,26,0,54,0,0
10:43:01,0,168,75,0,26,0,50,0,0
10:43:22,0,158,76,0,26,0,56,0,0
10:43:43,0,95,76,0,26,0,59,0,0
10:44:04,0,64,78,0,26,0,37,0,0
10:44:25,0,166,78,0,26,0,38,0,0
10:44:46,0,158,79,0,26,0,63,0,0
10:45:07,0,168,80,0,27,0,45,0,0
10:45:28,0,92,80,0,27,0,41,0,0
10:45:49,0,168,78,0,27,0,51,0,0
10:46:10,0,221,77,0,27,0,48,0,0
10:46:31,0,206,78,0,27,0,50,0,0
10:46:52,0,191,80,0,27,0,48,0,0
10:47:13,0,202,81,0,27,0,54,0,0
10:47:34,0,107,81,0,27,0,60,0,0
10:47:55,0,137,81,0,27,0,61,0,0
10:48:16,0,127,82,0,27,0,49,0,0
10:48:37,0,117,83,0,27,0,57,0,0
10:48:58,0,115,83,0,27,0,49,0,0
10:49:19,0,165,83,0,27,0,51,0,0
10:49:40,0,182,81,0,27,0,49,0,0
10:50:01,0,179,80,0,27,0,57,0,0
10:50:22,0,179,81,0,27,0,47,0,0
10:50:43,0,184,82,0,27,0,54,0,0
10:51:04,0,151,83,0,27,0,60,0,0
10:51:25,0,150,83,0,27,0,54,0,0
10:51:46,0,183,85,0,27,0,52,0,0
10:52:07,0,177,85,0,27,0,50,0,0
10:52:28,0,163,85,0,27,0,53,0,0
10:52:49,0,170,85,0,27,0,55,0,0
10:53:10,0,63,83,0,27,0,20,0,0
10:53:31,0,100,81,0,27,0,50,0,0
10:53:52,0,130,81,0,27,0,40,0,0
10:54:13,0,103,81,0,27,0,19,0,0
10:54:34,0,117,81,0,27,0,47,0,0
10:54:55,0,117,81,0,27,0,54,0,0
10:55:16,0,148,82,0,27,0,52,0,0
10:55:37,0,233,84,0,27,0,42,0,0
10:55:58,0,248,84,0,27,0,50,0,0
10:56:19,0,203,84,0,27,0,51,0,0
10:56:40,0,152,84,0,27,0,53,0,0
10:57:01,0,137,83,0,27,0,51,0,0
10:57:22,0,149,82,0,27,0,61,0,0
10:57:43,0,169,81,0,27,0,53,0,0
10:58:04,0,187,83,0,27,0,54,0,0
10:58:25,0,184,83,0,27,0,50,0,0
10:58:46,0,194,83,0,27,0,49,0,0
10:59:07,0,198,84,0,27,0,51,0,0
10:59:28,0,223,85,0,27,0,45,0,0
10:59:49,0,268,86,0,27,0,50,0,0
11:00:10,0,242,86,0,27,0,51,0,0
11:00:31,0,208,84,0,27,0,47,0,0
11:00:52,0,218,84,0,27,0,49,0,0
11:01:13,0,222,83,0,27,0,52,0,0
11:01:34,0,220,83,0,27,0,52,0,0
11:01:55,0,220,84,0,27,0,53,0,0
11:02:16,0,245,84,0,27,0,48,0,0
11:02:37,0,276,85,0,27,0,49,0,0
11:02:58,0,323,85,0,27,0,49,0,0
11:03:19,0,351,88,0,27,0,50,0,0
11:03:40,0,354,89,0,27,0,46,0,0
11:04:01,0,383,90,0,27,0,48,0,0
11:04:22,0,351,89,0,27,0,48,0,0
11:04:43,0,386,89,0,27,0,49,0,0
11:05:04,0,360,89,0,27,0,51,0,0
11:05:25,0,340,91,0,27,0,52,0,0
11:05:46,0,343,92,0,27,0,51,0,0
11:06:07,0,349,93,0,27,0,50,0,0
11:06:28,0,346,94,0,27,0,50,0,0
11:06:49,0,339,96,0,27,0,49,0,0
11:07:10,0,357,96,0,27,0,50,0,0
11:07:31,0,372,96,0,27,0,50,0,0
11:07:52,0,359,96,0,27,0,53,0,0
11:08:13,0,392,94,0,27,0,48,0,0
11:08:34,0,417,95,0,27,0,51,0,0
11:08:55,0,410,96,0,27,0,50,0,0
11:09:16,0,449,101,0,27,0,54,0,0
11:09:37,0,401,104,0,27,0,50,0,0
11:09:58,0,444,106,0,27,0,50,0,0
11:10:19,0,457,106,0,27,0,48,0,0
11:10:40,0,458,106,0,27,0,50,0,0
11:11:01,0,398,107,0,27,0,52,0,0
11:11:22,0,450,108,0,27,0,49,0,0
11:11:43,0,455,104,0,27,0,50,0,0
11:12:04,0,476,101,0,27,0,52,0,0
11:12:25,0,329,106,0,27,0,59,0,0
11:12:46,0,315,108,0,27,0,49,0,0
11:13:07,0,294,108,0,27,0,51,0,0
11:13:28,0,253,106,0,27,0,55,0,0
11:13:49,0,200,104,0,27,0,53,0,0
11:14:10,0,411,104,0,27,0,51,0,0
11:14:31,0,439,108,0,27,0,52,0,0
11:14:52,0,366,109,0,27,0,51,0,0
11:15:13,0,409,110,0,27,0,51,0,0
11:15:34,0,235,110,0,27,0,94,0,0
11:15:55,0,0,106,0,27,0,255,0,0
11:16:16,0,196,105,0,27,0,31,0,0
11:16:37,0,231,105,0,27,0,34,0,0
11:16:58,0,418,105,0,27,0,58,0,0
11:17:19,0,291,109,0,27,0,55,0,0
11:17:40,0,377,110,0,27,0,52,0,0
11:18:01,0,238,112,0,27,0,75,0,0
11:18:22,0,17,109,0,27,0,61,0,0
11:18:43,0,36,106,0,27,0,60,0,0
11:19:04,0,248,105,0,27,0,57,0,0
11:19:25,0,238,105,0,27,0,44,0,0
11:19:46,0,318,106,0,27,0,58,0,0
11:20:07,0,319,108,0,27,0,44,0,0
11:20:28,0,336,110,0,27,0,51,0,0
11:20:49,0,351,111,0,27,0,53,0,0
11:21:10,0,271,110,0,27,0,95,0,0
11:21:31,0,158,107,0,27,0,33,0,0
11:21:52,0,417,107,0,27,0,48,0,0
11:22:13,0,307,107,0,27,0,55,0,0
11:22:34,0,375,108,0,27,0,54,0,0
11:22:55,0,433,112,0,27,0,52,0,0
11:23:16,0,252,114,0,27,0,49,0,0
11:23:37,0,197,113,0,27,0,52,0,0
11:23:58,0,234,110,0,27,0,42,0,0
11:24:19,0,255,110,0,27,0,49,0,0
11:24:40,0,159,109,0,27,0,62,0,0
11:25:01,0,235,108,0,27,0,51,0,0
11:25:22,0,323,110,0,27,0,55,0,0
11:25:43,0,322,112,0,27,0,55,0,0
11:26:04,0,255,113,0,27,0,53,0,0
11:26:25,0,260,112,0,27,0,59,0,0
