Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
10:10:00,0,0,0,0,27,0,255,0,0
10:10:01,0,0,0,0,27,0,255,0,0
10:10:02,0,0,0,0,27,0,255,0,0
10:10:03,0,0,0,0,27,0,255,0,0
10:10:04,0,0,0,0,27,0,255,0,0
10:10:05,0,0,0,0,27,0,255,0,0
10:10:06,0,0,0,0,27,0,255,0,0
10:10:07,0,0,0,0,27,0,255,0,0
10:10:08,0,0,0,0,27,0,255,0,0
10:10:09,0,0,0,0,27,0,255,0,0
10:10:10,0,0,0,0,27,0,255,0,0
10:10:11,0,0,0,0,27,0,255,0,0
10:10:12,0,0,0,0,27,0,255,0,0
10:10:13,0,0,0,0,27,0,255,0,0
10:10:14,0,0,0,0,27,0,255,0,0
10:10:15,0,0,0,0,27,0,255,0,0
10:10:16,0,0,0,0,27,0,255,0,0
10:10:17,0,0,0,0,27,0,255,0,0
10:10:18,0,0,0,0,27,0,255,0,0
10:10:19,0,0,0,0,27,0,255,0,0
10:10:20,0,0,0,0,27,0,255,0,0
10:10:21,0,0,0,0,27,0,255,0,0
10:10:22,0,0,0,0,27,0,255,0,0
10:10:23,0,0,0,0,27,0,255,0,0
10:10:24,0,0,0,0,27,0,255,0,0
10:10:25,0,0,0,0,27,0,255,0,0
10:10:26,0,0,0,0,27,0,255,0,0
10:10:27,0,0,0,0,27,0,255,0,0
10:10:28,0,0,0,0,27,0,255,0,0
10:10:29,0,0,0,0,27,0,255,0,0
10:10:30,0,0,0,0,27,0,255,0,0
10:10:31,0,0,0,0,27,0,255,0,0
10:10:32,0,0,0,0,27,0,255,0,0
10:10:33,0,0,0,0,27,0,255,0,0
10:10:34,0,0,0,0,27,0,255,0,0
10:10:35,0,0,0,0,27,0,255,0,0
10:10:36,0,0,0,0,27,0,255,0,0
10:10:37,0,0,0,0,27,0,255,0,0
10:10:38,0,0,0,0,27,0,255,0,0
10:10:39,0,0,0,0,27,0,255,0,0
10:10:40,0,0,0,0,27,0,255,0,0
10:10:41,0,31,20,0,27,0,42,0,0
10:10:42,0,31,20,0,27,0,42,0,0
10:10:43,0,31,20,0,27,0,42,0,0
10:10:44,0,20,22,0,27,0,82,0,0
10:10:45,0,20,22,0,27,0,82,0,0
10:10:46,0,26,23,0,27,0,60,0,0
10:10:47,0,26,23,0,27,0,60,0,0
10:10:48,0,26,23,0,27,0,60,0,0
10:10:49,0,28,24,0,27,0,55,0,0
10:10:50,0,28,24,0,27,0,55,0,0
10:10:51,0,53,26,0,27,0,58,0,0
10:10:52,0,53,26,0,27,0,58,0,0
10:10:53,0,17,27,0,27,0,70,0,0
10:10:54,0,17,27,0,27,0,70,0,0
10:10:55,0,11,27,0,27,0,95,0,0
10:10:56,0,11,27,0,27,0,95,0,0
10:10:57,0,11,27,0,27,0,95,0,0
10:10:58,0,31,27,0,27,0,16,0,0
10:10:59,0,31,27,0,27,0,16,0,0
10:11:00,0,18,27,0,27,0,77,0,0
10:11:01,0,18,27,0,27,0,77,0,0
10:11:02,0,7,27,0,27,0,57,0,0
10:11:03,0,7,27,0,27,0,57,0,0
10:11:04,0,10,27,0,27,0,20,0,0
10:11:05,0,10,27,0,27,0,20,0,0
10:11:06,0,10,27,0,27,0,20,0,0
10:11:07,0,10,26,0,27,0,47,0,0
10:11:08,0,10,26,0,27,0,47,0,0
10:11:09,0,7,26,0,27,0,78,0,0
10:11:10,0,7,26,0,27,0,78,0,0
10:11:11,0,6,25,0,27,0,41,0,0
10:11:12,0,6,25,0,27,0,41,0,0
10:11:13,0,5,25,0,27,0,50,0,0
10:11:14,0,5,25,0,27,0,50,0,0
10:11:15,0,5,25,0,27,0,50,0,0
10:11:16,0,16,25,0,27,0,83,0,0
10:11:17,0,16,25,0,27,0,83,0,0
10:11:18,0,10,25,0,27,0,40,0,0
10:11:19,0,10,25,0,27,0,40,0,0
10:11:20,0,17,25,0,27,0,29,0,0
10:11:21,0,17,25,0,27,0,29,0,0
10:11:22,0,17,25,0,27,0,29,0,0
10:11:23,0,25,26,0,27,0,48,0,0
10:11:24,0,25,26,0,27,0,48,0,0
10:11:25,0,10,26,0,27,0,65,0,0
10:11:26,0,10,26,0,27,0,65,0,0
10:11:27,0,2,26,0,27,0,25,0,0
10:11:28,0,2,26,0,27,0,25,0,0
10:11:29,0,2,26,0,27,0,25,0,0
10:11:30,0,12,25,0,27,0,82,0,0
10:11:31,0,12,25,0,27,0,82,0,0
10:11:32,0,21,25,0,27,0,57,0,0
10:11:33,0,21,25,0,27,0,57,0,0
10:11:34,0,18,26,0,27,0,61,0,0
10:11:35,0,18,26,0,27,0,61,0,0
10:11:36,0,18,26,0,27,0,61,0,0
10:11:37,0,18,26,0,27,0,64,0,0
10:11:38,0,18,26,0,27,0,64,0,0
10:11:39,0,9,26,0,27,0,44,0,0
10:11:40,0,9,26,0,27,0,44,0,0
10:11:41,0,6,26,0,27,0,72,0,0
10:11:42,0,6,26,0,27,0,72,0,0
10:11:43,0,3,25,0,27,0,50,0,0
10:11:44,0,3,25,0,27,0,50,0,0
10:11:45,0,3,25,0,27,0,50,0,0
10:11:46,0,4,25,0,27,0,50,0,0
10:11:47,0,4,25,0,27,0,50,0,0
10:11:48,0,8,25,0,27,0,43,0,0
10:11:49,0,8,25,0,27,0,43,0,0
10:11:50,0,8,25,0,27,0,43,0,0
10:11:51,0,14,25,0,27,0,53,0,0
10:11:52,0,14,25,0,27,0,53,0,0
10:11:53,0,6,25,0,27,0,75,0,0
10:11:54,0,6,25,0,27,0,75,0,0
10:11:55,0,10,25,0,27,0,38,0,0
10:11:56,0,10,25,0,27,0,38,0,0
10:11:57,0,10,25,0,27,0,38,0,0
10:11:58,0,17,25,0,27,0,60,0,0
10:11:59,0,17,25,0,27,0,60,0,0
10:12:00,0,12,25,0,27,0,66,0,0
10:12:01,0,12,25,0,27,0,66,0,0
10:12:02,0,12,25,0,27,0,66,0,0
10:12:03,0,2,24,0,27,0,50,0,0
10:12:04,0,2,24,0,27,0,50,0,0
10:12:05,0,1,24,0,27,0,33,0,0
10:12:06,0,1,24,0,27,0,33,0,0
10:12:07,0,1,24,0,27,0,33,0,0
10:12:08,0,1,23,0,27,0,0,0,0
10:12:09,0,1,23,0,27,0,0,0,0
10:12:10,0,1,23,0,27,0,50,0,0
10:12:11,0,1,23,0,27,0,50,0,0
10:12:12,0,1,23,0,27,0,50,0,0
10:12:13,0,5,22,0,27,0,36,0,0
10:12:14,0,5,22,0,27,0,36,0,0
10:12:15,0,5,22,0,27,0,36,0,0
10:12:16,0,10,22,0,27,0,10,0,0
10:12:17,0,10,22,0,27,0,10,0,0
