Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
9:14:23,0,0,0,0,23,0,255,0,0
9:14:24,0,0,0,0,23,0,255,0,0
9:14:25,0,0,0,0,23,0,255,0,0
9:14:26,0,0,0,0,23,0,255,0,0
9:14:27,0,0,0,0,23,0,255,0,0
9:14:28,0,0,0,0,23,0,255,0,0
9:14:29,0,0,0,0,23,0,255,0,0
9:14:30,0,0,0,0,23,0,255,0,0
9:14:31,0,0,0,0,23,0,255,0,0
9:14:32,0,0,0,0,23,0,255,0,0
9:14:33,0,0,0,0,23,0,255,0,0
9:14:34,0,0,0,0,23,0,255,0,0
9:14:35,0,0,0,0,23,0,255,0,0
9:14:36,0,0,0,0,23,0,255,0,0
9:14:37,0,0,0,0,23,0,255,0,0
9:14:38,0,0,0,0,23,0,255,0,0
9:14:39,0,0,0,0,23,0,255,0,0
9:14:40,0,0,0,0,23,0,255,0,0
9:14:41,0,0,0,0,24,0,255,0,0
9:14:42,0,0,0,0,24,0,255,0,0
9:14:43,0,0,0,0,24,0,255,0,0
9:14:44,0,0,0,0,24,0,255,0,0
9:14:45,0,0,0,0,24,0,255,0,0
9:14:46,0,0,0,0,24,0,255,0,0
9:14:47,4.5,0,0,0,24,0,255,0,0
9:14:48,4.5,0,0,0,24,0,255,0,0
9:14:49,4.7,0,0,0,24,0,255,0,0
9:14:50,6.4,0,0,0,24,0,255,0,0
9:14:51,7.6,0,0,0,24,0,255,0,0
9:14:52,8.74,0,0,0,24,0,255,0,0
9:14:53,9.6,0,0,0,24,0,255,0,0
9:14:54,9.8,0,0,0,24,0,255,0,0
9:14:55,10.4,0,0,0,24,0,255,0,0
9:14:56,10.6,0,0,0,24,0,255,0,0
9:14:57,10.7,70,20,0,24,0,23,0,0
9:14:58,12.7,70,20,0,24,0,23,0,0
9:14:59,14.4,70,20,0,24,0,23,0,0
9:15:00,14.52,87,25,0,24,0,45,0,0
9:15:01,15.15,87,25,0,24,0,45,0,0
9:15:02,16.15,91,28,0,24,0,42,0,0
9:15:03,17.56,91,28,0,24,0,42,0,0
9:15:04,17.2,71,31,0,24,0,53,0,0
9:15:05,17.5,39,32,0,24,0,63,0,0
9:15:06,17.5,39,32,0,24,0,63,0,0
9:15:07,17.6,25,32,0,24,0,72,0,0
9:15:08,17.6,25,32,0,24,0,72,0,0
9:15:09,17.33,9,31,0,24,0,29,0,0
9:15:10,17,9,31,0,24,0,29,0,0
9:15:11,16.9,11,31,0,24,0,42,0,0
9:15:12,16.8,11,31,0,24,0,42,0,0
9:15:13,16.53,14,30,0,24,0,25,0,0
9:15:14,16.4,14,30,0,24,0,25,0,0
9:15:15,16.46,20,30,0,24,0,47,0,0
9:15:16,16.4,20,30,0,24,0,47,0,0
9:15:17,16.5,28,30,0,24,0,25,0,0
9:15:18,16.7,28,30,0,24,0,25,0,0
9:15:19,17.33,79,31,0,24,0,48,0,0
9:15:20,17.86,79,31,0,24,0,48,0,0
9:15:21,18.1,60,33,0,24,0,57,0,0
9:15:22,18.2,60,33,0,24,0,57,0,0
9:15:23,18.2,33,33,0,24,0,49,0,0
9:15:24,18.2,18,33,0,24,0,32,0,0
9:15:25,18.2,18,33,0,24,0,32,0,0
9:15:26,18.3,28,33,0,24,0,39,0,0
9:15:27,18.3,28,33,0,24,0,39,0,0
9:15:28,18.1,17,33,0,24,0,40,0,0
9:15:29,18.1,17,33,0,24,0,40,0,0
9:15:30,18.03,20,33,0,24,0,35,0,0
9:15:31,18,20,33,0,24,0,35,0,0
9:15:32,17.85,20,33,0,24,0,31,0,0
9:15:33,18.17,63,33,0,24,0,45,0,0
9:15:34,18.4,63,33,0,24,0,45,0,0
9:15:35,18.9,83,34,0,24,0,46,0,0
9:15:36,19.3,83,34,0,24,0,46,0,0
9:15:37,19.9,103,36,0,24,0,50,0,0
9:15:38,20.2,77,37,0,24,0,34,0,0
9:15:39,20.6,77,37,0,24,0,34,0,0
9:15:40,21.13,77,38,0,24,0,56,0,0
9:15:41,21.3,31,39,0,24,0,36,0,0
9:15:42,21.39,31,39,0,24,0,36,0,0
9:15:43,21.1,17,39,0,24,0,61,0,0
9:15:44,21.13,13,38,0,24,0,50,0,0
9:15:45,20.93,13,38,0,24,0,50,0,0
9:15:46,21.16,16,38,0,24,0,70,0,0
9:15:47,20.75,16,38,0,24,0,70,0,0
9:15:48,20.72,10,38,0,24,0,80,0,0
9:15:49,20.43,9,37,0,24,0,31,0,0
9:15:50,20.3,9,37,0,25,0,31,0,0
9:15:51,20.07,18,37,0,25,0,40,0,0
9:15:52,20.33,62,37,0,25,0,25,0,0
9:15:53,20.3,62,37,0,25,0,25,0,0
9:15:54,20.86,80,37,0,25,0,45,0,0
9:15:55,21.16,80,37,0,25,0,45,0,0
9:15:56,21.8,141,39,0,25,0,37,0,0
9:15:57,22.49,191,41,0,25,0,50,0,0
9:15:58,23.89,176,44,0,25,0,52,0,0
9:15:59,24.63,176,44,0,25,0,52,0,0
9:16:00,25.56,105,45,0,25,0,63,0,0
9:16:01,25.05,72,46,0,25,0,43,0,0
9:16:02,25.5,108,46,0,25,0,44,0,0
9:16:03,25.66,108,46,0,25,0,44,0,0
9:16:04,25.87,21,47,0,25,0,79,0,0
9:16:05,25.7,32,47,0,25,0,90,0,0
9:16:06,25.62,32,46,0,25,0,70,0,0
9:16:07,25.56,32,46,0,25,0,56,0,0
9:16:08,25.66,32,46,0,25,0,56,0,0
9:16:09,25.65,82,47,0,25,0,31,0,0
9:16:10,25.85,259,47,0,25,0,29,0,0
9:16:11,27.44,278,50,0,25,0,51,0,0
9:16:12,28.59,346,53,0,25,0,45,0,0
9:16:13,30.05,521,55,0,25,0,42,0,0
9:16:14,30.67,548,56,0,25,0,49,0,0
9:16:15,31.51,516,58,0,25,0,52,0,0
9:16:16,32.47,497,60,0,25,0,48,0,0
9:16:17,33.65,466,62,0,25,0,49,0,0
9:16:18,35.23,419,64,0,25,0,50,0,0
9:16:19,35.16,380,64,0,25,0,48,0,0
9:16:20,35.34,394,64,0,25,0,46,0,0
9:16:21,35.8,324,65,0,25,0,50,0,0
9:16:22,36.62,303,66,0,25,0,44,0,0
9:16:23,37.56,312,68,0,25,0,47,0,0
9:16:24,38.92,344,70,0,25,0,45,0,0
9:16:25,40.23,330,75,0,25,0,53,0,0
9:16:26,41.7,283,77,0,25,0,45,0,0
9:16:27,42.44,233,78,0,25,0,49,0,0
9:16:28,42.81,170,78,0,25,0,44,0,0
9:16:29,42.36,170,78,0,25,0,48,0,0
9:16:30,42.1,204,76,0,25,0,41,0,0
9:16:31,41.7,149,75,0,25,0,52,0,0
9:16:32,40.62,162,73,0,25,0,45,0,0
9:16:33,40.36,161,73,0,25,0,52,0,0
9:16:34,40.67,123,74,0,25,0,45,0,0
9:16:35,40.4,144,74,0,25,0,41,0,0
9:16:36,40.4,172,74,0,25,0,40,0,0
9:16:37,41.56,245,77,0,25,0,47,0,0
9:16:38,42.4,190,78,0,25,0,45,0,0
9:16:39,43.16,167,79,0,25,0,53,0,0
9:16:40,43.01,151,79,0,25,0,44,0,0
9:16:41,42.4,177,78,0,25,0,42,0,0
9:16:42,41.9,326,75,0,25,0,49,0,0
