Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
9:35:40,0,0,0,0,23,0,255,0,0
9:36:03,0,0,0,0,23,0,255,0,0
9:36:26,0,0,0,0,23,0,255,0,0
9:36:49,0,0,0,0,23,0,255,0,0
9:37:12,0,0,0,0,23,0,255,0,0
9:37:35,5.7,0,0,0,23,0,255,0,0
9:37:58,6.4,0,0,0,23,0,255,0,0
9:38:21,7.5,0,0,0,23,0,255,0,0
9:38:44,7.7,0,0,0,23,0,255,0,0
9:39:07,7.7,0,0,0,23,0,255,0,0
9:39:30,7.9,0,0,0,23,0,255,0,0
9:39:53,7.9,0,0,0,23,0,255,0,0
9:40:16,8.3,0,0,0,23,0,255,0,0
9:40:39,9,0,0,0,23,0,255,0,0
9:41:02,9.4,0,0,0,23,0,255,0,0
9:41:25,10.39,0,0,0,23,0,255,0,0
9:41:48,11,0,0,0,23,0,255,0,0
9:42:11,11.6,0,0,0,23,0,255,0,0
9:42:34,12.5,0,0,0,23,0,255,0,0
9:42:57,13.09,46,23,0,23,0,48,0,0
9:43:20,13.7,46,23,0,23,0,48,0,0
9:43:43,13.95,40,25,0,23,0,53,0,0
9:44:06,14.4,40,25,0,23,0,53,0,0
9:44:29,15.39,97,28,0,23,0,24,0,0
9:44:52,17.05,97,28,0,23,0,24,0,0
9:45:15,18.06,117,33,0,23,0,56,0,0
9:45:38,18.75,117,33,0,23,0,56,0,0
9:46:01,17.22,31,34,0,23,0,100,0,0
9:46:24,16.4,0,30,0,23,0,255,0,0
9:46:47,15.33,0,30,0,23,0,255,0,0
9:47:10,14.55,0,30,0,23,0,255,0,0
9:47:33,14.2,0,27,0,23,0,255,0,0
9:47:56,14.3,0,27,0,23,0,255,0,0
9:48:19,14.3,22,27,0,23,0,33,0,0
9:48:42,14.5,22,27,0,23,0,33,0,0
9:49:05,14.85,18,27,0,23,0,86,0,0
9:49:28,14.85,18,27,0,23,0,86,0,0
9:49:51,15.05,21,28,0,23,0,59,0,0
9:50:14,15.1,21,28,0,23,0,59,0,0
9:50:37,15.1,19,28,0,23,0,50,0,0
9:51:00,15.3,19,28,0,23,0,50,0,0
9:51:23,15.55,26,29,0,23,0,57,0,0
9:51:46,15.7,26,29,0,23,0,57,0,0
9:52:09,15.75,13,29,0,23,0,53,0,0
9:52:32,15.75,13,29,0,23,0,53,0,0
9:52:55,15.83,14,29,0,23,0,44,0,0
9:53:18,16.15,14,29,0,23,0,44,0,0
9:53:41,16.3,34,30,0,24,0,51,0,0
9:54:04,16.56,34,30,0,24,0,51,0,0
9:54:27,16.75,17,31,0,24,0,81,0,0
9:54:50,16.7,17,31,0,24,0,81,0,0
9:55:13,16.45,5,31,0,24,0,66,0,0
9:55:36,16.3,5,31,0,24,0,66,0,0
9:55:59,15.95,1,30,0,24,0,100,0,0
9:56:22,15.55,1,30,0,24,0,100,0,0
9:56:45,15.15,0,28,0,24,0,255,0,0
9:57:08,14.95,0,28,0,24,0,255,0,0
9:57:31,14.75,3,27,0,24,0,20,0,0
9:57:54,14.55,3,27,0,24,0,20,0,0
9:58:17,14.45,4,27,0,24,0,28,0,0
9:58:40,14.4,4,27,0,24,0,28,0,0
9:59:03,14.6,30,27,0,24,0,40,0,0
9:59:26,14.9,30,27,0,24,0,40,0,0
9:59:49,15.3,30,27,0,24,0,40,0,0
10:00:12,15.45,24,28,0,24,0,67,0,0
10:00:35,15.65,24,28,0,24,0,67,0,0
10:00:58,16.3,48,29,0,24,0,42,0,0
10:01:21,16.5,27,31,0,24,0,71,0,0
10:01:44,16.6,27,31,0,24,0,71,0,0
10:02:07,16.66,16,31,0,24,0,38,0,0
10:02:30,16.8,16,31,0,24,0,38,0,0
10:02:53,17,19,32,0,24,0,54,0,0
10:03:16,17.06,19,32,0,24,0,54,0,0
10:03:39,17,8,32,0,24,0,66,0,0
10:04:02,16.95,8,32,0,24,0,66,0,0
10:04:25,16.9,7,32,0,24,0,46,0,0
10:04:48,16.9,7,32,0,24,0,46,0,0
10:05:11,16.6,4,31,0,24,0,100,0,0
10:05:34,16.6,4,31,0,24,0,100,0,0
10:05:57,16.5,2,31,0,24,0,33,0,0
10:06:20,16.23,2,31,0,24,0,33,0,0
10:06:43,16.25,10,31,0,24,0,15,0,0
10:07:06,16.35,10,31,0,24,0,15,0,0
10:07:29,16.35,22,30,0,24,0,50,0,0
10:07:52,16.15,22,30,0,24,0,50,0,0
10:08:15,16.35,21,30,0,24,0,30,0,0
10:08:38,16.4,27,31,0,24,0,16,0,0
10:09:01,16.65,27,31,0,24,0,16,0,0
10:09:24,16.9,19,32,0,24,0,86,0,0
10:09:47,16.85,19,32,0,24,0,86,0,0
10:10:10,16.75,2,31,0,24,0,40,0,0
10:10:33,16.6,2,31,0,24,0,40,0,0
10:10:56,16.56,4,31,0,24,0,50,0,0
10:11:19,16.5,4,31,0,24,0,50,0,0
10:11:42,16.45,4,31,0,24,0,62,0,0
10:12:05,16.3,4,31,0,24,0,62,0,0
10:12:28,16.2,2,30,0,24,0,50,0,0
10:12:51,16.1,2,30,0,24,0,50,0,0
10:13:14,16.15,4,30,0,24,0,12,0,0
10:13:37,16.13,4,30,0,24,0,12,0,0
10:14:00,16.05,6,30,0,24,0,53,0,0
10:14:23,16,6,30,0,24,0,53,0,0
10:14:46,15.83,0,30,0,24,0,255,0,0
10:15:09,15.65,0,30,0,24,0,255,0,0
10:15:32,15.43,2,29,0,24,0,60,0,0
10:15:55,15.4,2,29,0,24,0,60,0,0
10:16:18,15.25,6,28,0,24,0,53,0,0
10:16:41,15.1,6,28,0,24,0,53,0,0
10:17:04,15.05,4,28,0,24,0,62,0,0
10:17:27,15.15,4,28,0,24,0,62,0,0
10:17:50,15.4,36,28,0,24,0,45,0,0
10:18:13,15.7,36,28,0,24,0,45,0,0
10:18:36,16.03,32,30,0,24,0,73,0,0
10:18:59,16.25,32,30,0,24,0,73,0,0
10:19:22,16.35,19,30,0,24,0,89,0,0
10:19:45,16.3,19,30,0,24,0,89,0,0
10:20:08,16.05,3,30,0,24,0,100,0,0
10:20:31,15.85,3,30,0,24,0,100,0,0
10:20:54,15.7,1,29,0,24,0,0,0,0
10:21:17,15.55,1,29,0,24,0,0,0,0
10:21:40,15.56,9,29,0,24,0,26,0,0
10:22:03,15.65,9,29,0,24,0,26,0,0
10:22:26,15.75,16,29,0,24,0,40,0,0
10:22:49,15.99,16,29,0,24,0,40,0,0
10:23:12,16.65,59,31,0,24,0,45,0,0
10:23:35,17.15,59,31,0,24,0,45,0,0
10:23:58,17.3,28,32,0,24,0,87,0,0
10:24:21,17.4,28,32,0,24,0,87,0,0
10:24:44,17.1,6,32,0,24,0,91,0,0
10:25:07,17,6,32,0,24,0,91,0,0
10:25:30,16.85,3,32,0,24,0,33,0,0
10:25:53,16.65,1,31,0,24,0,66,0,0
10:26:16,16.5,1,31,0,24,0,66,0,0
10:26:39,16.4,11,31,0,24,0,14,0,0
10:27:02,16.33,11,31,0,24,0,14,0,0
10:27:25,16.4,22,31,0,24,0,65,0,0
10:27:48,16.47,22,31,0,24,0,65,0,0
10:28:11,16.4,12,31,0,24,0,39,0,0
10:28:34,16.45,12,31,0,24,0,39,0,0
10:28:57,16.43,12,31,0,24,0,40,0,0
10:29:20,16.55,12,31,0,24,0,40,0,0
10:29:43,16.7,24,31,0,24,0,56,0,0
10:30:06,16.8,24,31,0,24,0,56,0,0
10:30:29,16.9,19,31,0,24,0,65,0,0
10:30:52,16.96,19,31,0,24,0,65,0,0
10:31:15,17.15,21,32,0,24,0,58,0,0
10:31:38,17.15,21,32,0,24,0,58,0,0
10:32:01,17.15,6,32,0,24,0,66,0,0
10:32:24,17.1,17,32,0,24,0,26,0,0
10:32:47,17.35,17,32,0,24,0,26,0,0
10:33:10,17.6,23,33,0,24,0,73,0,0
10:33:33,17.6,23,33,0,24,0,73,0,0
10:33:56,17.79,33,33,0,24,0,31,0,0
10:34:19,18,33,33,0,24,0,31,0,0
10:34:42,18.3,39,34,0,24,0,65,0,0
10:35:05,18.5,39,34,0,24,0,65,0,0
10:35:28,18.45,29,35,0,24,0,88,0,0
10:35:51,18,0,34,0,24,0,100,0,0
10:36:14,17.65,0,34,0,24,0,100,0,0
10:36:37,17.4,4,33,0,24,0,0,0,0
10:37:00,17.4,4,33,0,24,0,0,0,0
10:37:23,17.43,18,33,0,24,0,33,0,0
10:37:46,18.15,18,33,0,24,0,33,0,0
10:38:09,19.42,126,34,0,24,0,40,0,0
10:38:32,20.99,189,39,0,24,0,47,0,0
10:38:55,22.2,189,39,0,24,0,47,0,0
10:39:18,23.77,278,43,0,24,0,43,0,0
10:39:41,26.25,330,48,0,24,0,51,0,0
10:40:04,27.87,237,52,0,24,0,55,0,0
10:40:27,28.82,126,54,0,24,0,60,0,0
10:40:50,29.47,115,55,0,24,0,43,0,0
10:41:13,29.82,108,56,0,24,0,46,0,0
10:41:36,30.13,94,57,0,24,0,51,0,0
