Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
9:33:34,0,0,0,0,23,0,255,0,0
9:34:37,0,0,0,0,23,0,255,0,0
9:35:40,0,0,0,0,23,0,255,0,0
9:36:43,0,0,0,0,23,0,255,0,0
9:37:46,0,0,0,0,23,0,255,0,0
9:38:49,0,0,0,0,23,0,255,0,0
9:39:52,0,0,0,0,23,0,255,0,0
9:40:55,0,0,0,0,23,0,255,0,0
9:41:58,0,0,0,0,23,0,255,0,0
9:43:01,0,0,0,0,23,0,255,0,0
9:44:04,0,0,0,0,23,0,255,0,0
9:45:07,0,0,0,0,23,0,255,0,0
9:46:10,0,0,0,0,23,0,255,0,0
9:47:13,0,0,0,0,23,0,255,0,0
9:48:16,0,0,0,0,23,0,255,0,0
9:49:19,0,0,0,0,23,0,255,0,0
9:50:22,0,0,0,0,23,0,255,0,0
9:51:25,0,0,0,0,23,0,255,0,0
9:52:28,0,0,0,0,23,0,255,0,0
9:53:31,0,0,0,0,23,0,255,0,0
9:54:34,0,0,0,0,23,0,255,0,0
9:55:37,0,0,0,0,23,0,255,0,0
9:56:40,0,0,0,0,23,0,255,0,0
9:57:43,0,0,0,0,23,0,255,0,0
9:58:46,0,0,0,0,23,0,255,0,0
9:59:49,0,0,0,0,23,0,255,0,0
10:00:52,0,0,0,0,23,0,255,0,0
10:01:55,0,0,0,0,23,0,255,0,0
10:02:58,0,0,0,0,23,0,255,0,0
10:04:01,0,0,0,0,23,0,255,0,0
10:05:04,0,0,0,0,23,0,255,0,0
10:06:07,0,0,0,0,23,0,255,0,0
10:07:10,0,0,0,0,23,0,255,0,0
10:08:13,0,0,0,0,24,0,255,0,0
10:09:16,0,0,0,0,24,0,255,0,0
10:10:19,0,0,0,0,24,0,255,0,0
10:11:22,0,0,0,0,24,0,255,0,0
10:12:25,0,0,0,0,24,0,255,0,0
10:13:28,0,0,0,0,24,0,255,0,0
10:14:31,0,0,0,0,24,0,255,0,0
10:15:34,0,0,0,0,24,0,255,0,0
10:16:37,0,0,0,0,24,0,255,0,0
10:17:40,0,43,22,0,24,0,54,0,0
10:18:43,0,43,22,0,24,0,54,0,0
10:19:46,0,16,24,0,24,0,50,0,0
10:20:49,0,16,24,0,24,0,50,0,0
10:21:52,0,16,24,0,24,0,50,0,0
10:22:55,0,27,25,0,24,0,50,0,0
10:23:58,0,27,25,0,24,0,50,0,0
10:25:01,0,32,26,0,24,0,59,0,0
10:26:04,0,32,26,0,24,0,59,0,0
10:27:07,0,32,27,0,24,0,50,0,0
10:28:10,0,32,27,0,24,0,50,0,0
10:29:13,0,27,29,0,24,0,51,0,0
10:30:16,0,27,29,0,24,0,51,0,0
10:31:19,0,9,29,0,24,0,89,0,0
10:32:22,0,9,29,0,24,0,89,0,0
10:33:25,0,24,29,0,24,0,45,0,0
10:34:28,0,24,29,0,24,0,45,0,0
10:35:31,0,8,29,0,24,0,43,0,0
10:36:34,0,8,29,0,24,0,43,0,0
10:37:37,0,31,29,0,24,0,25,0,0
10:38:40,0,31,29,0,24,0,25,0,0
10:39:43,0,18,30,0,24,0,72,0,0
10:40:46,0,18,30,0,24,0,72,0,0
10:41:49,0,10,30,0,24,0,45,0,0
10:42:52,0,10,30,0,24,0,45,0,0
10:43:55,0,12,30,0,24,0,36,0,0
10:44:58,0,12,30,0,24,0,36,0,0
10:46:01,0,11,30,0,24,0,40,0,0
10:47:04,0,11,30,0,24,0,40,0,0
10:48:07,0,17,30,0,24,0,44,0,0
10:49:10,0,17,30,0,24,0,44,0,0
10:50:13,0,13,30,0,24,0,66,0,0
10:51:16,0,13,30,0,24,0,66,0,0
10:52:19,0,10,30,0,24,0,65,0,0
10:53:22,0,10,30,0,24,0,65,0,0
10:54:25,0,6,30,0,24,0,58,0,0
10:55:28,0,6,30,0,24,0,58,0,0
10:56:31,0,4,29,0,24,0,87,0,0
10:57:34,0,4,29,0,24,0,87,0,0
10:58:37,0,18,29,0,24,0,35,0,0
