Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
10:24:24,0,0,0,0,25,0,255,0,0
10:24:25,0,0,0,0,25,0,255,0,0
10:24:26,0,0,0,0,25,0,255,0,0
10:24:27,0,0,0,0,25,0,255,0,0
10:24:28,0,0,0,0,25,0,255,0,0
10:24:29,0,0,0,0,25,0,255,0,0
10:24:30,0,0,0,0,25,0,255,0,0
10:24:31,0,0,0,0,25,0,255,0,0
10:24:32,0,0,0,0,25,0,255,0,0
10:24:33,0,0,0,0,25,0,255,0,0
10:24:34,0,0,0,0,25,0,255,0,0
10:24:35,0,0,0,0,25,0,255,0,0
10:24:36,0,0,0,0,25,0,255,0,0
10:24:37,0,0,0,0,26,0,255,0,0
10:24:38,0,0,0,0,26,0,255,0,0
10:24:39,0,0,0,0,26,0,255,0,0
10:24:40,0,0,0,0,26,0,255,0,0
10:24:41,0,0,0,0,26,0,255,0,0
10:24:42,0,0,0,0,26,0,255,0,0
10:24:43,0,0,0,0,26,0,255,0,0
10:24:44,0,0,0,0,26,0,255,0,0
10:24:45,0,0,0,0,26,0,255,0,0
10:24:46,0,0,0,0,26,0,255,0,0
10:24:47,0,0,0,0,26,0,255,0,0
10:24:48,0,0,0,0,26,0,255,0,0
10:24:49,0,0,0,0,26,0,255,0,0
10:24:50,0,0,0,0,26,0,255,0,0
10:24:51,0,0,0,0,26,0,255,0,0
10:24:52,0,0,0,0,26,0,255,0,0
10:24:53,0,0,0,0,26,0,255,0,0
10:24:54,0,0,0,0,26,0,255,0,0
10:24:55,0,0,0,0,26,0,255,0,0
10:24:56,0,0,0,0,26,0,255,0,0
10:24:57,0,0,0,0,26,0,255,0,0
10:24:58,0,0,0,0,26,0,255,0,0
10:24:59,0,0,0,0,26,0,255,0,0
10:25:00,0,0,0,0,26,0,255,0,0
10:25:01,0,0,0,0,26,0,255,0,0
10:25:02,0,0,0,0,26,0,255,0,0
10:25:03,0,86,21,0,26,0,54,0,0
10:25:04,0,86,21,0,26,0,54,0,0
10:25:05,0,93,26,0,26,0,47,0,0
10:25:06,0,93,26,0,26,0,47,0,0
10:25:07,0,70,29,0,26,0,62,0,0
10:25:08,0,70,29,0,26,0,62,0,0
10:25:09,0,25,30,0,26,0,46,0,0
10:25:10,0,25,30,0,26,0,46,0,0
10:25:11,0,34,30,0,26,0,36,0,0
10:25:12,0,34,30,0,26,0,36,0,0
10:25:13,0,39,31,0,26,0,55,0,0
10:25:14,0,39,31,0,26,0,55,0,0
10:25:15,0,34,31,0,26,0,53,0,0
10:25:16,0,34,31,0,26,0,53,0,0
10:25:17,0,50,32,0,26,0,29,0,0
10:25:18,0,50,32,0,26,0,29,0,0
10:25:19,0,60,32,0,26,0,37,0,0
10:25:20,0,60,32,0,26,0,37,0,0
10:25:21,0,22,33,0,26,0,40,0,0
10:25:22,0,22,33,0,26,0,40,0,0
10:25:23,0,32,32,0,26,0,48,0,0
10:25:24,0,64,33,0,26,0,41,0,0
10:25:25,0,64,33,0,26,0,41,0,0
10:25:26,0,70,34,0,26,0,43,0,0
10:25:27,0,70,34,0,26,0,43,0,0
10:25:28,0,110,36,0,26,0,40,0,0
10:25:29,0,116,38,0,26,0,49,0,0
10:25:30,0,116,38,0,26,0,49,0,0
10:25:31,0,117,39,0,26,0,46,0,0
10:25:32,0,118,41,0,26,0,40,0,0
10:25:33,0,118,41,0,26,0,40,0,0
10:25:34,0,147,43,0,26,0,40,0,0
10:25:35,0,228,45,0,26,0,48,0,0
10:25:36,0,277,48,0,26,0,43,0,0
10:25:37,0,315,50,0,26,0,41,0,0
10:25:38,0,315,50,0,26,0,41,0,0
10:25:39,0,355,53,0,26,0,48,0,0
10:25:40,0,427,55,0,26,0,49,0,0
10:25:41,0,444,56,0,26,0,45,0,0
10:25:42,0,488,58,0,26,0,49,0,0
10:25:43,0,515,60,0,26,0,46,0,0
10:25:44,0,569,62,0,26,0,48,0,0
10:25:45,0,611,63,0,26,0,49,0,0
10:25:46,0,490,64,0,26,0,50,0,0
10:25:47,0,354,66,0,26,0,48,0,0
10:25:48,0,349,68,0,26,0,48,0,0
10:25:49,0,348,69,0,26,0,50,0,0
10:25:50,0,346,71,0,26,0,48,0,0
10:25:51,0,330,73,0,26,0,47,0,0
10:25:52,0,344,75,0,26,0,50,0,0
10:25:53,0,312,77,0,26,0,44,0,0
10:25:54,0,379,78,0,26,0,50,0,0
10:25:55,0,405,79,0,26,0,52,0,0
10:25:56,0,415,78,0,26,0,47,0,0
10:25:57,0,434,77,0,26,0,50,0,0
10:25:58,0,376,77,0,26,0,54,0,0
10:25:59,0,263,72,0,26,0,50,0,0
10:26:00,0,251,68,0,26,0,48,0,0
10:26:01,0,298,68,0,26,0,45,0,0
10:26:02,0,278,70,0,26,0,51,0,0
10:26:03,0,287,74,0,26,0,50,0,0
10:26:04,0,177,78,0,26,0,61,0,0
10:26:05,0,170,82,0,26,0,49,0,0
10:26:06,0,197,82,0,26,0,49,0,0
