Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
9:14:25,0,0,0,0,22,0,255,0,0
9:14:37,0,0,0,0,22,0,255,0,0
9:14:49,0,0,0,0,23,0,255,0,0
9:15:01,0,0,0,0,23,0,255,0,0
9:15:13,0,0,0,0,23,0,255,0,0
9:15:25,0,0,0,0,23,0,255,0,0
9:15:37,0,0,0,0,23,0,255,0,0
9:15:49,0,0,0,0,23,0,255,0,0
9:16:01,0,0,0,0,23,0,255,0,0
9:16:13,0,0,0,0,23,0,255,0,0
9:16:25,0,0,0,0,23,0,255,0,0
9:16:37,0,0,0,0,23,0,255,0,0
9:16:49,0,0,0,0,23,0,255,0,0
9:17:01,0,0,0,0,23,0,255,0,0
9:17:13,0,0,0,0,23,0,255,0,0
9:17:25,0,91,21,0,23,0,59,0,0
9:17:37,0,91,21,0,23,0,59,0,0
9:17:49,0,91,21,0,23,0,59,0,0
9:18:01,0,71,25,0,23,0,71,0,0
9:18:13,0,71,25,0,23,0,71,0,0
9:18:25,0,40,27,0,23,0,65,0,0
9:18:37,0,40,27,0,23,0,65,0,0
9:18:49,0,28,27,0,23,0,60,0,0
9:19:01,0,28,27,0,23,0,60,0,0
9:19:13,0,23,28,0,23,0,34,0,0
9:19:25,0,23,28,0,23,0,34,0,0
9:19:37,0,19,28,0,23,0,52,0,0
9:19:49,0,19,28,0,23,0,52,0,0
9:20:01,0,38,28,0,23,0,31,0,0
9:20:13,0,38,28,0,23,0,31,0,0
9:20:25,0,13,29,0,23,0,38,0,0
9:20:37,0,13,29,0,23,0,38,0,0
9:20:49,0,12,28,0,23,0,43,0,0
9:21:01,0,12,28,0,23,0,43,0,0
9:21:13,0,14,28,0,23,0,53,0,0
9:21:25,0,14,28,0,23,0,53,0,0
9:21:37,0,14,28,0,23,0,53,0,0
9:21:49,0,16,28,0,23,0,40,0,0
9:22:01,0,16,28,0,23,0,40,0,0
9:22:13,0,16,28,0,23,0,25,0,0
9:22:25,0,16,28,0,23,0,25,0,0
9:22:37,0,37,28,0,23,0,51,0,0
9:22:49,0,37,28,0,23,0,51,0,0
9:23:01,0,23,29,0,23,0,24,0,0
9:23:13,0,23,29,0,23,0,24,0,0
9:23:25,0,15,29,0,23,0,55,0,0
9:23:37,0,15,29,0,23,0,55,0,0
9:23:49,0,27,29,0,23,0,25,0,0
9:24:01,0,27,29,0,23,0,25,0,0
9:24:13,0,33,30,0,23,0,43,0,0
9:24:25,0,33,30,0,23,0,43,0,0
9:24:37,0,32,30,0,23,0,67,0,0
9:24:49,0,32,30,0,23,0,67,0,0
9:25:01,0,47,31,0,23,0,71,0,0
9:25:13,0,47,31,0,23,0,71,0,0
9:25:25,0,49,32,0,23,0,61,0,0
9:25:37,0,49,32,0,23,0,48,0,0
9:25:49,0,49,32,0,23,0,48,0,0
9:26:01,0,40,33,0,23,0,45,0,0
9:26:13,0,40,33,0,23,0,45,0,0
9:26:25,0,88,33,0,23,0,55,0,0
9:26:37,0,88,33,0,23,0,55,0,0
9:26:49,0,139,35,0,23,0,42,0,0
9:27:01,0,81,37,0,23,0,56,0,0
9:27:13,0,81,37,0,23,0,56,0,0
9:27:25,0,54,37,0,23,0,55,0,0
9:27:37,0,22,37,0,23,0,64,0,0
9:27:49,0,22,37,0,23,0,64,0,0
9:28:01,0,2,36,0,23,0,25,0,0
9:28:13,0,2,36,0,23,0,25,0,0
9:28:25,0,12,36,0,23,0,37,0,0
9:28:37,0,14,36,0,23,0,39,0,0
9:28:49,0,14,36,0,23,0,39,0,0
9:29:01,0,10,35,0,23,0,52,0,0
9:29:13,0,10,35,0,24,0,52,0,0
9:29:25,0,12,35,0,24,0,54,0,0
9:29:37,0,12,35,0,24,0,54,0,0
9:29:49,0,47,35,0,24,0,11,0,0
9:30:01,0,158,36,0,24,0,38,0,0
9:30:13,0,158,36,0,24,0,38,0,0
9:30:25,0,213,40,0,24,0,47,0,0
9:30:37,0,208,42,0,24,0,49,0,0
9:30:49,0,114,44,0,24,0,46,0,0
9:31:01,0,114,44,0,24,0,46,0,0
9:31:13,0,76,45,0,24,0,35,0,0
9:31:25,0,135,45,0,24,0,31,0,0
9:31:37,0,126,46,0,24,0,42,0,0
9:31:49,0,126,46,0,24,0,42,0,0
9:32:01,0,168,48,0,24,0,46,0,0
9:32:13,0,219,49,0,24,0,48,0,0
9:32:25,0,243,52,0,24,0,44,0,0
9:32:37,0,227,53,0,24,0,44,0,0
9:32:49,0,154,54,0,24,0,57,0,0
9:33:01,0,106,55,0,24,0,39,0,0
9:33:13,0,142,55,0,24,0,46,0,0
9:33:25,0,169,55,0,24,0,56,0,0
9:33:37,0,102,55,0,24,0,30,0,0
9:33:49,0,102,55,0,24,0,30,0,0
9:34:01,0,259,56,0,24,0,44,0,0
9:34:13,0,266,56,0,24,0,48,0,0
9:34:25,0,333,56,0,24,0,44,0,0
9:34:37,0,437,57,0,24,0,48,0,0
9:34:49,0,462,58,0,24,0,46,0,0
9:35:01,0,455,61,0,24,0,48,0,0
9:35:13,0,506,61,0,24,0,52,0,0
9:35:25,0,411,63,0,24,0,49,0,0
9:35:37,0,341,65,0,24,0,49,0,0
9:35:49,0,303,68,0,24,0,50,0,0
9:36:01,0,260,68,0,24,0,51,0,0
9:36:13,0,277,70,0,24,0,48,0,0
9:36:25,0,305,71,0,24,0,47,0,0
9:36:37,0,313,74,0,24,0,52,0,0
9:36:49,0,303,74,0,24,0,49,0,0
9:37:01,0,288,75,0,24,0,52,0,0
9:37:13,0,292,75,0,24,0,50,0,0
9:37:25,0,280,74,0,24,0,54,0,0
9:37:37,0,222,72,0,24,0,46,0,0
9:37:49,0,254,72,0,24,0,48,0,0
9:38:01,0,252,74,0,24,0,50,0,0
9:38:13,0,211,74,0,24,0,52,0,0
9:38:25,0,234,74,0,24,0,54,0,0
9:38:37,0,173,77,0,24,0,54,0,0
9:38:49,0,186,78,0,24,0,54,0,0
9:39:01,0,171,78,0,24,0,50,0,0
9:39:13,0,223,78,0,24,0,45,0,0
9:39:25,0,348,78,0,24,0,54,0,0
9:39:37,0,456,77,0,24,0,52,0,0
9:39:49,0,327,76,0,24,0,50,0,0
9:40:01,0,317,75,0,24,0,49,0,0
9:40:13,0,341,75,0,24,0,48,0,0
9:40:25,0,333,76,0,24,0,49,0,0
9:40:37,0,321,78,0,24,0,42,0,0
9:40:49,0,334,80,0,24,0,49,0,0
9:41:01,0,376,82,0,24,0,52,0,0
9:41:13,0,365,85,0,24,0,52,0,0
9:41:25,0,362,86,0,24,0,49,0,0
9:41:37,0,383,86,0,24,0,52,0,0
9:41:49,0,400,85,0,24,0,51,0,0
9:42:01,0,408,83,0,24,0,54,0,0
9:42:13,0,430,82,0,24,0,47,0,0
9:42:25,0,414,83,0,24,0,52,0,0
9:42:37,0,405,83,0,24,0,51,0,0
9:42:49,0,391,84,0,24,0,53,0,0
9:43:01,0,304,85,0,24,0,54,0,0
9:43:13,0,222,87,0,24,0,54,0,0
9:43:25,0,233,86,0,24,0,53,0,0
9:43:37,0,246,86,0,24,0,50,0,0
9:43:49,0,300,85,0,24,0,45,0,0
9:44:01,0,460,80,0,24,0,52,0,0
9:44:13,0,465,76,0,24,0,53,0,0
9:44:25,0,301,75,0,24,0,58,0,0
9:44:37,0,288,75,0,24,0,54,0,0
9:44:49,0,201,75,0,24,0,57,0,0
9:45:01,0,211,76,0,25,0,50,0,0
9:45:13,0,173,79,0,25,0,61,0,0
9:45:25,0,118,82,0,25,0,62,0,0
9:45:37,0,76,87,0,25,0,61,0,0
9:45:49,0,99,87,0,25,0,47,0,0
9:46:01,0,241,86,0,25,0,48,0,0
9:46:13,0,334,82,0,25,0,53,0,0
9:46:25,0,388,78,0,25,0,51,0,0
9:46:37,0,366,76,0,25,0,52,0,0
9:46:49,0,325,75,0,25,0,54,0,0
9:47:01,0,220,77,0,25,0,52,0,0
9:47:13,0,274,78,0,25,0,45,0,0
9:47:25,0,262,80,0,25,0,62,0,0
9:47:37,0,145,84,0,25,0,53,0,0
9:47:49,0,127,89,0,25,0,50,0,0
9:48:01,0,248,91,0,25,0,52,0,0
9:48:13,0,296,90,0,25,0,47,0,0
9:48:25,0,465,88,0,25,0,50,0,0
9:48:37,0,438,86,0,25,0,58,0,0
9:48:49,0,170,82,0,25,0,57,0,0
9:49:01,0,163,80,0,25,0,51,0,0
9:49:13,0,143,80,0,25,0,70,0,0
9:49:25,0,172,80,0,25,0,45,0,0
9:49:37,0,347,84,0,25,0,47,0,0
9:49:49,0,652,91,0,25,0,52,0,0
9:50:01,0,460,97,0,25,0,52,0,0
9:50:13,0,558,98,0,25,0,54,0,0
9:50:25,0,447,97,0,25,0,64,0,0
9:50:37,0,343,95,0,25,0,50,0,0
9:50:49,0,357,90,0,25,0,56,0,0
9:51:01,0,339,90,0,25,0,55,0,0
9:51:13,0,417,91,0,25,0,51,0,0
9:51:25,0,664,95,0,25,0,49,0,0
9:51:37,0,581,103,0,25,0,59,0,0
9:51:49,0,116,107,0,25,0,9,0,0
9:52:01,0,384,105,0,25,0,57,0,0
9:52:13,0,596,105,0,25,0,53,0,0
9:52:25,0,368,106,0,25,0,54,0,0
9:52:37,0,442,107,0,25,0,52,0,0
