Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
9:16:00,0,0,0,0,24,0,255,0,0
9:16:01,0,0,0,0,24,0,255,0,0
9:16:02,0,0,0,0,24,0,255,0,0
9:16:03,0,0,0,0,24,0,255,0,0
9:16:04,0,0,0,0,24,0,255,0,0
9:16:05,0,0,0,0,24,0,255,0,0
9:16:06,0,0,0,0,24,0,255,0,0
9:16:07,0,0,0,0,24,0,255,0,0
9:16:08,0,0,0,0,24,0,255,0,0
9:16:09,0,0,0,0,24,0,255,0,0
9:16:10,0,0,0,0,24,0,255,0,0
9:16:11,0,0,0,0,24,0,255,0,0
9:16:12,0,0,0,0,24,0,255,0,0
9:16:13,0,0,0,0,24,0,255,0,0
9:16:14,0,77,20,0,24,0,47,0,0
9:16:15,0,77,20,0,24,0,47,0,0
9:16:16,0,38,23,0,24,0,48,0,0
9:16:17,0,38,23,0,24,0,48,0,0
9:16:18,0,38,23,0,24,0,48,0,0
9:16:19,0,35,25,0,24,0,48,0,0
9:16:20,0,35,25,0,24,0,48,0,0
9:16:21,0,44,26,0,24,0,59,0,0
9:16:22,0,44,26,0,24,0,59,0,0
9:16:23,0,10,26,0,24,0,60,0,0
9:16:24,0,10,26,0,24,0,60,0,0
9:16:25,0,3,26,0,24,0,71,0,0
9:16:26,0,3,26,0,24,0,71,0,0
9:16:27,0,3,26,0,24,0,71,0,0
9:16:28,0,7,25,0,24,0,46,0,0
9:16:29,0,7,25,0,24,0,46,0,0
9:16:30,0,41,26,0,24,0,51,0,0
9:16:31,0,41,26,0,24,0,51,0,0
9:16:32,0,49,27,0,24,0,48,0,0
9:16:33,0,49,27,0,24,0,48,0,0
9:16:34,0,44,28,0,24,0,48,0,0
9:16:35,0,44,28,0,24,0,48,0,0
9:16:36,0,45,29,0,24,0,52,0,0
9:16:37,0,45,29,0,24,0,52,0,0
9:16:38,0,24,29,0,24,0,46,0,0
9:16:39,0,24,29,0,24,0,46,0,0
9:16:40,0,30,29,0,24,0,39,0,0
9:16:41,0,30,29,0,24,0,39,0,0
9:16:42,0,30,29,0,24,0,29,0,0
9:16:43,0,30,29,0,24,0,29,0,0
9:16:44,0,33,30,0,24,0,36,0,0
9:16:45,0,33,30,0,24,0,36,0,0
9:16:46,0,50,31,0,24,0,61,0,0
9:16:47,0,50,31,0,25,0,61,0,0
9:16:48,0,54,32,0,25,0,52,0,0
9:16:49,0,54,32,0,25,0,52,0,0
9:16:50,0,56,33,0,25,0,54,0,0
9:16:51,0,56,33,0,25,0,54,0,0
9:16:52,0,66,34,0,25,0,45,0,0
9:16:53,0,64,34,0,25,0,46,0,0
9:16:54,0,64,34,0,25,0,46,0,0
9:16:55,0,18,34,0,25,0,77,0,0
9:16:56,0,18,34,0,25,0,77,0,0
9:16:57,0,15,34,0,25,0,33,0,0
9:16:58,0,15,34,0,25,0,33,0,0
9:16:59,0,23,33,0,25,0,82,0,0
9:17:00,0,23,33,0,25,0,82,0,0
9:17:01,0,22,33,0,25,0,34,0,0
9:17:02,0,25,33,0,25,0,71,0,0
9:17:03,0,25,33,0,25,0,71,0,0
9:17:04,0,48,33,0,25,0,46,0,0
9:17:05,0,48,33,0,25,0,46,0,0
9:17:06,0,106,34,0,25,0,38,0,0
9:17:07,0,61,36,0,25,0,62,0,0
9:17:08,0,61,36,0,25,0,62,0,0
9:17:09,0,36,37,0,25,0,37,0,0
9:17:10,0,36,37,0,25,0,37,0,0
9:17:11,0,75,37,0,25,0,30,0,0
9:17:12,0,74,38,0,25,0,48,0,0
9:17:13,0,74,38,0,25,0,48,0,0
9:17:14,0,83,39,0,25,0,43,0,0
9:17:15,0,122,40,0,25,0,52,0,0
9:17:16,0,122,40,0,25,0,52,0,0
9:17:17,0,114,41,0,25,0,42,0,0
9:17:18,0,137,42,0,25,0,53,0,0
9:17:19,0,94,43,0,25,0,65,0,0
9:17:20,0,94,43,0,25,0,65,0,0
9:17:21,0,43,44,0,25,0,85,0,0
9:17:22,0,73,44,0,25,0,34,0,0
9:17:23,0,73,44,0,25,0,34,0,0
9:17:24,0,146,44,0,25,0,42,0,0
9:17:25,0,129,46,0,25,0,59,0,0
9:17:26,0,116,47,0,25,0,51,0,0
9:17:27,0,77,49,0,25,0,66,0,0
9:17:28,0,77,49,0,25,0,66,0,0
9:17:29,0,20,48,0,25,0,90,0,0
9:17:30,0,45,47,0,25,0,51,0,0
9:17:31,0,117,47,0,25,0,40,0,0
9:17:32,0,141,48,0,25,0,47,0,0
9:17:33,0,237,49,0,25,0,41,0,0
9:17:34,0,237,49,0,25,0,41,0,0
9:17:35,0,343,51,0,25,0,46,0,0
9:17:36,0,433,54,0,25,0,46,0,0
9:17:37,0,527,55,0,25,0,50,0,0
9:17:38,0,466,56,0,25,0,52,0,0
9:17:39,0,528,58,0,25,0,49,0,0
