Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
10:37:04,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
10:37:05,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
10:37:06,11.29,0.0,0.0,0.0,30.0,0.0,255.0,0,0
10:37:07,17.58,589.0,30.0,0.0,30.0,0.0,42.0,0,0
10:37:08,21.78,589.0,30.0,0.0,30.0,0.0,42.0,0,0
10:37:09,27.01,763.0,45.0,0.0,30.0,0.0,48.0,0,0
10:37:10,31.78,849.0,53.0,0.0,30.0,0.0,48.0,0,0
10:37:11,36.02,898.0,61.0,0.0,30.0,0.0,48.0,0,0
10:37:12,41.05,935.0,71.0,0.0,30.0,0.0,46.0,0,0
10:37:13,44.0,1054.0,80.0,0.0,30.0,0.0,50.0,0,0
10:37:14,47.15,1087.0,83.0,0.0,30.0,0.0,48.0,0,0
10:37:15,49.78,1110.0,88.0,0.0,30.0,0.0,49.0,0,0
10:37:16,51.21,999.0,93.0,0.0,30.0,0.0,53.0,0,0
10:37:17,52.66,939.0,94.0,0.0,30.0,0.0,50.0,0,0
10:37:18,54.57,787.0,97.0,0.0,30.0,0.0,50.0,0,0
10:37:19,55.29,757.0,99.0,0.0,30.0,0.0,48.0,0,0
10:37:20,58.27,784.0,100.0,0.0,30.0,0.0,47.0,0,0
10:37:21,60.69,854.0,106.0,0.0,30.0,0.0,50.0,0,0
10:37:22,62.4,747.0,110.0,0.0,30.0,0.0,50.0,0,0
10:37:23,62.52,634.0,112.0,0.0,30.0,0.0,58.0,0,0
10:37:24,60.97,339.0,110.0,0.0,30.0,0.0,61.0,0,0
10:37:25,60.7,345.0,110.0,0.0,30.0,0.0,52.0,0,0
10:37:26,61.0,586.0,109.0,0.0,30.0,0.0,48.0,0,0
10:37:27,62.46,643.0,109.0,0.0,30.0,0.0,48.0,0,0
10:37:28,65.25,656.0,114.0,0.0,30.0,0.0,49.0,0,0
