Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
20:16:02,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
20:16:03,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
20:16:04,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
20:17:14,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
20:17:15,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
20:17:16,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
20:17:17,0.0,0.0,0.0,0.0,31.0,0.0,255.0,0,0
20:17:18,0.0,423.0,31.0,0.0,31.0,0.0,46.0,0,0
20:17:19,0.0,551.0,44.0,0.0,31.0,0.0,49.0,0,0
20:17:20,0.0,623.0,53.0,0.0,31.0,0.0,48.0,0,0
20:17:21,0.0,658.0,60.0,0.0,31.0,0.0,50.0,0,0
20:17:22,0.0,751.0,66.0,0.0,31.0,0.0,50.0,0,0
20:17:23,0.0,772.0,72.0,0.0,31.0,0.0,49.0,0,0
20:17:24,0.0,776.0,76.0,0.0,31.0,0.0,51.0,0,0
20:17:25,0.0,801.0,81.0,0.0,31.0,0.0,49.0,0,0
20:17:26,0.0,838.0,86.0,0.0,31.0,0.0,50.0,0,0
20:17:27,0.0,815.0,90.0,0.0,31.0,0.0,51.0,0,0
20:17:28,0.0,763.0,93.0,0.0,31.0,0.0,50.0,0,0
20:17:29,0.0,766.0,94.0,0.0,31.0,0.0,49.0,0,0
20:17:30,0.0,727.0,98.0,0.0,31.0,0.0,48.0,0,0
20:17:31,0.0,751.0,100.0,0.0,31.0,0.0,48.0,0,0
20:17:32,0.0,703.0,101.0,0.0,31.0,0.0,53.0,0,0
20:17:33,0.0,547.0,104.0,0.0,31.0,0.0,53.0,0,0
20:17:34,0.0,578.0,106.0,0.0,31.0,0.0,53.0,0,0
20:17:35,0.0,558.0,107.0,0.0,31.0,0.0,54.0,0,0
20:17:36,0.0,548.0,109.0,0.0,31.0,0.0,57.0,0,0
20:17:37,0.0,545.0,109.0,0.0,31.0,0.0,51.0,0,0
20:17:38,0.0,512.0,108.0,0.0,31.0,0.0,50.0,0,0
20:17:39,0.0,508.0,108.0,0.0,31.0,0.0,51.0,0,0
20:17:40,0.0,497.0,109.0,0.0,31.0,0.0,51.0,0,0
20:17:41,0.0,467.0,110.0,0.0,31.0,0.0,53.0,0,0
20:17:42,0.0,434.0,113.0,0.0,31.0,0.0,51.0,0,0
20:17:43,0.0,497.0,114.0,0.0,31.0,0.0,53.0,0,0
20:17:44,0.0,453.0,115.0,0.0,31.0,0.0,54.0,0,0
20:17:45,0.0,468.0,112.0,0.0,31.0,0.0,53.0,0,0
20:17:46,0.0,459.0,111.0,0.0,31.0,0.0,53.0,0,0
20:17:47,0.0,436.0,111.0,0.0,31.0,0.0,54.0,0,0
20:17:48,0.0,425.0,111.0,0.0,31.0,0.0,53.0,0,0
20:17:49,0.0,398.0,113.0,0.0,31.0,0.0,52.0,0,0
20:17:50,0.0,403.0,115.0,0.0,31.0,0.0,51.0,0,0
20:17:51,0.0,438.0,115.0,0.0,31.0,0.0,52.0,0,0
20:17:52,0.0,462.0,115.0,0.0,31.0,0.0,53.0,0,0
20:17:53,0.0,421.0,113.0,0.0,31.0,0.0,53.0,0,0
20:17:54,0.0,420.0,112.0,0.0,31.0,0.0,52.0,0,0
20:17:55,0.0,402.0,111.0,0.0,31.0,0.0,50.0,0,0
20:17:56,0.0,378.0,111.0,0.0,31.0,0.0,50.0,0,0
20:17:57,0.0,389.0,114.0,0.0,31.0,0.0,54.0,0,0
20:17:58,0.0,399.0,115.0,0.0,31.0,0.0,52.0,0,0
20:17:59,0.0,396.0,115.0,0.0,31.0,0.0,53.0,0,0
20:18:00,0.0,387.0,115.0,0.0,31.0,0.0,51.0,0,0
20:18:01,0.0,394.0,112.0,0.0,31.0,0.0,49.0,0,0
20:18:02,0.0,391.0,111.0,0.0,31.0,0.0,52.0,0,0
20:18:03,0.0,363.0,111.0,0.0,31.0,0.0,54.0,0,0
20:18:04,0.0,367.0,110.0,0.0,31.0,0.0,51.0,0,0
20:18:05,0.0,370.0,113.0,0.0,31.0,0.0,52.0,0,0
20:18:06,0.0,389.0,115.0,0.0,31.0,0.0,54.0,0,0
20:18:07,0.0,391.0,115.0,0.0,31.0,0.0,55.0,0,0
20:18:08,0.0,349.0,114.0,0.0,31.0,0.0,56.0,0,0
