Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
13:45:00,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
13:45:01,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
13:45:02,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
13:45:54,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
13:45:55,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
13:45:56,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
13:45:57,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
13:45:58,0.0,417.0,30.0,0.0,30.0,0.0,47.0,0,0
13:45:59,0.0,539.0,44.0,0.0,30.0,0.0,49.0,0,0
13:46:00,0.0,614.0,53.0,0.0,30.0,0.0,49.0,0,0
13:46:01,0.0,662.0,60.0,0.0,30.0,0.0,50.0,0,0
13:46:02,0.0,675.0,66.0,0.0,30.0,0.0,50.0,0,0
13:46:03,0.0,684.0,72.0,0.0,30.0,0.0,48.0,0,0
13:46:04,0.0,764.0,77.0,0.0,30.0,0.0,50.0,0,0
13:46:05,0.0,782.0,82.0,0.0,30.0,0.0,50.0,0,0
13:46:06,0.0,787.0,87.0,0.0,30.0,0.0,49.0,0,0
13:46:07,0.0,781.0,91.0,0.0,30.0,0.0,49.0,0,0
13:46:08,0.0,746.0,93.0,0.0,30.0,0.0,50.0,0,0
13:46:09,0.0,740.0,95.0,0.0,30.0,0.0,49.0,0,0
13:46:10,0.0,740.0,96.0,0.0,30.0,0.0,50.0,0,0
13:46:11,0.0,684.0,99.0,0.0,30.0,0.0,50.0,0,0
13:46:12,0.0,568.0,104.0,0.0,30.0,0.0,54.0,0,0
13:46:13,0.0,555.0,103.0,0.0,30.0,0.0,52.0,0,0
13:46:14,0.0,532.0,106.0,0.0,30.0,0.0,53.0,0,0
13:46:15,0.0,551.0,107.0,0.0,30.0,0.0,51.0,0,0
13:46:16,0.0,537.0,109.0,0.0,30.0,0.0,52.0,0,0
13:46:17,0.0,503.0,107.0,0.0,30.0,0.0,54.0,0,0
13:46:18,0.0,503.0,107.0,0.0,30.0,0.0,53.0,0,0
13:46:19,0.0,457.0,108.0,0.0,30.0,0.0,51.0,0,0
13:46:20,0.0,475.0,108.0,0.0,30.0,0.0,51.0,0,0
13:46:21,0.0,440.0,112.0,0.0,30.0,0.0,53.0,0,0
13:46:22,0.0,427.0,112.0,0.0,30.0,0.0,52.0,0,0
13:46:23,0.0,448.0,113.0,0.0,30.0,0.0,52.0,0,0
13:46:24,0.0,487.0,113.0,0.0,30.0,0.0,53.0,0,0
13:46:25,0.0,451.0,111.0,0.0,30.0,0.0,55.0,0,0
13:46:26,0.0,453.0,111.0,0.0,30.0,0.0,51.0,0,0
13:46:27,0.0,436.0,111.0,0.0,30.0,0.0,53.0,0,0
13:46:28,0.0,398.0,110.0,0.0,30.0,0.0,51.0,0,0
13:46:29,0.0,422.0,113.0,0.0,30.0,0.0,52.0,0,0
13:46:30,0.0,413.0,114.0,0.0,30.0,0.0,53.0,0,0
13:46:31,0.0,433.0,115.0,0.0,30.0,0.0,52.0,0,0
13:46:32,0.0,410.0,115.0,0.0,30.0,0.0,55.0,0,0
13:46:33,0.0,400.0,112.0,0.0,30.0,0.0,49.0,0,0
13:46:34,0.0,407.0,112.0,0.0,30.0,0.0,52.0,0,0
13:46:35,0.0,389.0,111.0,0.0,30.0,0.0,53.0,0,0
13:46:36,0.0,358.0,111.0,0.0,30.0,0.0,45.0,0,0
13:46:37,0.0,375.0,113.0,0.0,30.0,0.0,53.0,0,0
13:46:38,0.0,380.0,115.0,0.0,30.0,0.0,52.0,0,0
13:46:39,0.0,393.0,115.0,0.0,30.0,0.0,51.0,0,0
13:46:40,0.0,411.0,114.0,0.0,30.0,0.0,51.0,0,0
13:46:41,0.0,409.0,112.0,0.0,30.0,0.0,52.0,0,0
13:46:42,0.0,398.0,111.0,0.0,30.0,0.0,51.0,0,0
13:46:43,0.0,396.0,111.0,0.0,30.0,0.0,51.0,0,0
13:46:44,0.0,373.0,110.0,0.0,30.0,0.0,51.0,0,0
13:46:45,0.0,375.0,113.0,0.0,30.0,0.0,52.0,0,0
13:46:46,0.0,399.0,115.0,0.0,30.0,0.0,53.0,0,0
13:46:47,0.0,381.0,115.0,0.0,30.0,0.0,50.0,0,0
13:46:48,0.0,384.0,115.0,0.0,30.0,0.0,55.0,0,0
13:46:49,0.0,388.0,111.0,0.0,30.0,0.0,48.0,0,0
13:46:50,0.0,381.0,111.0,0.0,30.0,0.0,50.0,0,0
13:46:51,0.0,344.0,109.0,0.0,30.0,0.0,49.0,0,0
13:46:52,0.0,365.0,110.0,0.0,30.0,0.0,50.0,0,0
13:46:53,0.0,370.0,113.0,0.0,30.0,0.0,52.0,0,0
13:46:54,0.0,379.0,114.0,0.0,30.0,0.0,54.0,0,0
13:46:55,0.0,392.0,114.0,0.0,30.0,0.0,54.0,0,0
13:46:56,0.0,405.0,113.0,0.0,30.0,0.0,52.0,0,0
13:46:57,0.0,377.0,111.0,0.0,30.0,0.0,53.0,0,0
13:46:58,0.0,370.0,110.0,0.0,30.0,0.0,55.0,0,0
13:46:59,0.0,355.0,109.0,0.0,30.0,0.0,53.0,0,0
13:47:00,0.0,367.0,109.0,0.0,30.0,0.0,49.0,0,0
13:47:01,0.0,360.0,112.0,0.0,30.0,0.0,55.0,0,0
13:47:02,0.0,374.0,113.0,0.0,30.0,0.0,52.0,0,0
13:47:03,0.0,382.0,114.0,0.0,30.0,0.0,53.0,0,0
13:47:04,0.0,391.0,112.0,0.0,30.0,0.0,53.0,0,0
13:47:05,0.0,380.0,110.0,0.0,30.0,0.0,51.0,0,0
13:47:06,0.0,396.0,110.0,0.0,30.0,0.0,51.0,0,0
13:47:07,0.0,360.0,109.0,0.0,30.0,0.0,54.0,0,0
13:47:08,0.0,352.0,108.0,0.0,30.0,0.0,46.0,0,0
13:47:09,0.0,415.0,112.0,0.0,30.0,0.0,53.0,0,0
13:47:10,0.0,372.0,113.0,0.0,30.0,0.0,50.0,0,0
13:47:11,0.0,388.0,113.0,0.0,30.0,0.0,55.0,0,0
13:47:12,0.0,362.0,113.0,0.0,30.0,0.0,56.0,0,0
13:47:13,0.0,418.0,110.0,0.0,30.0,0.0,52.0,0,0
13:47:14,0.0,391.0,110.0,0.0,30.0,0.0,54.0,0,0
13:47:15,0.0,367.0,109.0,0.0,30.0,0.0,50.0,0,0
13:47:16,0.0,379.0,109.0,0.0,30.0,0.0,52.0,0,0
13:47:17,0.0,375.0,111.0,0.0,30.0,0.0,52.0,0,0
13:47:18,0.0,390.0,113.0,0.0,30.0,0.0,52.0,0,0
13:47:19,0.0,410.0,114.0,0.0,30.0,0.0,52.0,0,0
13:47:20,0.0,390.0,113.0,0.0,30.0,0.0,56.0,0,0
13:47:21,0.0,398.0,111.0,0.0,30.0,0.0,52.0,0,0
13:47:22,0.0,409.0,110.0,0.0,30.0,0.0,51.0,0,0
13:47:23,0.0,377.0,109.0,0.0,30.0,0.0,50.0,0,0
13:47:24,0.0,373.0,109.0,0.0,30.0,0.0,51.0,0,0
13:47:25,0.0,375.0,111.0,0.0,30.0,0.0,51.0,0,0
13:47:26,0.0,385.0,113.0,0.0,30.0,0.0,53.0,0,0
13:47:27,0.0,397.0,115.0,0.0,30.0,0.0,53.0,0,0
13:47:28,0.0,362.0,114.0,0.0,30.0,0.0,57.0,0,0
13:47:29,0.0,384.0,110.0,0.0,30.0,0.0,51.0,0,0
13:47:30,0.0,382.0,109.0,0.0,30.0,0.0,52.0,0,0
13:47:31,0.0,369.0,109.0,0.0,30.0,0.0,49.0,0,0
13:47:32,0.0,356.0,109.0,0.0,30.0,0.0,54.0,0,0
13:47:33,0.0,362.0,110.0,0.0,30.0,0.0,50.0,0,0
13:47:34,0.0,376.0,113.0,0.0,30.0,0.0,52.0,0,0
13:47:35,0.0,396.0,114.0,0.0,30.0,0.0,53.0,0,0
13:47:36,0.0,368.0,112.0,0.0,30.0,0.0,53.0,0,0
13:47:37,0.0,376.0,110.0,0.0,30.0,0.0,53.0,0,0
13:47:38,0.0,409.0,110.0,0.0,30.0,0.0,52.0,0,0
13:47:39,0.0,404.0,110.0,0.0,30.0,0.0,53.0,0,0
13:47:40,0.0,356.0,109.0,0.0,30.0,0.0,50.0,0,0
13:47:41,0.0,392.0,111.0,0.0,30.0,0.0,52.0,0,0
13:47:42,0.0,381.0,114.0,0.0,30.0,0.0,52.0,0,0
13:47:43,0.0,392.0,113.0,0.0,30.0,0.0,52.0,0,0
13:47:44,0.0,400.0,113.0,0.0,30.0,0.0,49.0,0,0
13:47:45,0.0,367.0,111.0,0.0,30.0,0.0,47.0,0,0
13:47:46,0.0,387.0,110.0,0.0,30.0,0.0,52.0,0,0
13:47:47,0.0,389.0,109.0,0.0,30.0,0.0,50.0,0,0
13:47:48,0.0,368.0,109.0,0.0,30.0,0.0,51.0,0,0
13:47:49,0.0,395.0,111.0,0.0,30.0,0.0,51.0,0,0
13:47:50,0.0,370.0,113.0,0.0,30.0,0.0,51.0,0,0
13:47:51,0.0,415.0,114.0,0.0,30.0,0.0,53.0,0,0
13:47:52,0.0,393.0,113.0,0.0,30.0,0.0,51.0,0,0
13:47:53,0.0,393.0,111.0,0.0,30.0,0.0,50.0,0,0
13:47:54,0.0,410.0,110.0,0.0,30.0,0.0,50.0,0,0
13:47:55,0.0,391.0,110.0,0.0,30.0,0.0,52.0,0,0
13:47:56,0.0,356.0,109.0,0.0,30.0,0.0,52.0,0,0
13:47:57,0.0,392.0,111.0,0.0,30.0,0.0,51.0,0,0
13:47:58,0.0,370.0,114.0,0.0,30.0,0.0,52.0,0,0
13:47:59,0.0,387.0,114.0,0.0,30.0,0.0,53.0,0,0
13:48:00,0.0,363.0,114.0,0.0,30.0,0.0,57.0,0,0
13:48:01,0.0,375.0,110.0,0.0,30.0,0.0,48.0,0,0
13:48:02,0.0,402.0,110.0,0.0,30.0,0.0,51.0,0,0
13:48:03,0.0,400.0,110.0,0.0,30.0,0.0,52.0,0,0
13:48:04,0.0,379.0,109.0,0.0,30.0,0.0,50.0,0,0
13:48:05,0.0,400.0,111.0,0.0,30.0,0.0,52.0,0,0
13:48:06,0.0,370.0,114.0,0.0,30.0,0.0,52.0,0,0
13:48:07,0.0,377.0,115.0,0.0,30.0,0.0,52.0,0,0
13:48:08,0.0,386.0,114.0,0.0,30.0,0.0,56.0,0,0
13:48:09,0.0,395.0,111.0,0.0,30.0,0.0,51.0,0,0
13:48:10,0.0,409.0,110.0,0.0,30.0,0.0,51.0,0,0
13:48:11,0.0,379.0,109.0,0.0,30.0,0.0,52.0,0,0
13:48:12,0.0,362.0,110.0,0.0,30.0,0.0,49.0,0,0
13:48:13,0.0,419.0,111.0,0.0,30.0,0.0,51.0,0,0
13:48:14,0.0,371.0,114.0,0.0,30.0,0.0,52.0,0,0
13:48:15,0.0,384.0,114.0,0.0,30.0,0.0,53.0,0,0
13:48:16,0.0,379.0,114.0,0.0,30.0,0.0,56.0,0,0
13:48:17,0.0,389.0,110.0,0.0,30.0,0.0,51.0,0,0
13:48:18,0.0,399.0,111.0,0.0,30.0,0.0,53.0,0,0
13:48:19,0.0,369.0,110.0,0.0,30.0,0.0,50.0,0,0
13:48:20,0.0,371.0,110.0,0.0,30.0,0.0,53.0,0,0
13:48:21,0.0,375.0,111.0,0.0,30.0,0.0,51.0,0,0
13:48:22,0.0,375.0,113.0,0.0,30.0,0.0,51.0,0,0
13:48:23,0.0,389.0,114.0,0.0,30.0,0.0,53.0,0,0
13:48:24,0.0,363.0,113.0,0.0,30.0,0.0,55.0,0,0
13:48:25,0.0,372.0,110.0,0.0,30.0,0.0,52.0,0,0
13:48:26,0.0,365.0,110.0,0.0,30.0,0.0,50.0,0,0
13:48:27,0.0,353.0,109.0,0.0,30.0,0.0,51.0,0,0
13:48:28,0.0,352.0,108.0,0.0,30.0,0.0,51.0,0,0
13:48:29,0.0,367.0,111.0,0.0,30.0,0.0,52.0,0,0
13:48:30,0.0,351.0,113.0,0.0,30.0,0.0,52.0,0,0
13:48:31,0.0,362.0,114.0,0.0,30.0,0.0,53.0,0,0
13:48:32,0.0,335.0,114.0,0.0,30.0,0.0,55.0,0,0
13:48:33,0.0,359.0,110.0,0.0,30.0,0.0,52.0,0,0
13:48:34,0.0,352.0,110.0,0.0,30.0,0.0,51.0,0,0
13:48:35,0.0,350.0,109.0,0.0,30.0,0.0,51.0,0,0
13:48:36,0.0,347.0,108.0,0.0,30.0,0.0,50.0,0,0
13:48:37,0.0,354.0,110.0,0.0,30.0,0.0,50.0,0,0
13:48:38,0.0,396.0,112.0,0.0,30.0,0.0,53.0,0,0
13:48:39,0.0,355.0,112.0,0.0,30.0,0.0,52.0,0,0
13:48:40,0.0,347.0,113.0,0.0,30.0,0.0,56.0,0,0
13:48:41,0.0,373.0,111.0,0.0,30.0,0.0,52.0,0,0
13:48:42,0.0,373.0,109.0,0.0,30.0,0.0,51.0,0,0
13:48:43,0.0,356.0,108.0,0.0,30.0,0.0,51.0,0,0
13:48:44,0.0,333.0,107.0,0.0,30.0,0.0,53.0,0,0
13:48:45,0.0,350.0,108.0,0.0,30.0,0.0,52.0,0,0
13:48:46,0.0,359.0,111.0,0.0,30.0,0.0,51.0,0,0
13:48:47,0.0,347.0,113.0,0.0,30.0,0.0,52.0,0,0
13:48:48,0.0,342.0,112.0,0.0,30.0,0.0,52.0,0,0
13:48:49,0.0,355.0,110.0,0.0,30.0,0.0,52.0,0,0
13:48:50,0.0,349.0,109.0,0.0,30.0,0.0,51.0,0,0
13:48:51,0.0,336.0,108.0,0.0,30.0,0.0,49.0,0,0
13:48:52,0.0,348.0,107.0,0.0,30.0,0.0,52.0,0,0
13:48:53,0.0,342.0,108.0,0.0,30.0,0.0,53.0,0,0
13:48:54,0.0,351.0,110.0,0.0,30.0,0.0,52.0,0,0
13:48:55,0.0,360.0,112.0,0.0,30.0,0.0,52.0,0,0
13:48:56,0.0,350.0,112.0,0.0,30.0,0.0,53.0,0,0
13:48:57,0.0,318.0,111.0,0.0,30.0,0.0,55.0,0,0
13:48:58,0.0,363.0,108.0,0.0,30.0,0.0,51.0,0,0
13:48:59,0.0,362.0,108.0,0.0,30.0,0.0,52.0,0,0
13:49:00,0.0,335.0,107.0,0.0,30.0,0.0,49.0,0,0
13:49:01,0.0,354.0,108.0,0.0,30.0,0.0,52.0,0,0
13:49:02,0.0,342.0,111.0,0.0,30.0,0.0,53.0,0,0
13:49:03,0.0,341.0,111.0,0.0,30.0,0.0,52.0,0,0
13:49:04,0.0,347.0,112.0,0.0,30.0,0.0,52.0,0,0
13:49:05,0.0,357.0,111.0,0.0,30.0,0.0,54.0,0,0
13:49:06,0.0,329.0,108.0,0.0,30.0,0.0,52.0,0,0
13:49:07,0.0,343.0,108.0,0.0,30.0,0.0,52.0,0,0
13:49:08,0.0,332.0,107.0,0.0,30.0,0.0,49.0,0,0
13:49:09,0.0,320.0,108.0,0.0,30.0,0.0,52.0,0,0
13:49:10,0.0,339.0,109.0,0.0,30.0,0.0,52.0,0,0
13:49:11,0.0,338.0,110.0,0.0,30.0,0.0,53.0,0,0
13:49:12,0.0,342.0,112.0,0.0,30.0,0.0,52.0,0,0
13:49:13,0.0,340.0,110.0,0.0,30.0,0.0,52.0,0,0
13:49:14,0.0,281.0,108.0,0.0,30.0,0.0,57.0,0,0
13:49:15,0.0,108.0,107.0,0.0,30.0,0.0,60.0,0,0
13:49:16,0.0,46.0,103.0,0.0,30.0,0.0,49.0,0,0
13:49:17,0.0,32.0,99.0,0.0,30.0,0.0,58.0,0,0
13:49:18,0.0,19.0,94.0,0.0,30.0,0.0,66.0,0,0
13:49:19,0.0,12.0,87.0,0.0,30.0,0.0,71.0,0,0
13:49:20,0.0,9.0,81.0,0.0,30.0,0.0,77.0,0,0
13:49:21,0.0,7.0,79.0,0.0,30.0,0.0,86.0,0,0
13:49:22,0.0,5.0,78.0,0.0,30.0,0.0,70.0,0,0
13:49:23,0.0,5.0,80.0,0.0,30.0,0.0,66.0,0,0
13:49:24,0.0,5.0,81.0,0.0,30.0,0.0,70.0,0,0
13:49:25,0.0,4.0,81.0,0.0,30.0,0.0,57.0,0,0
13:49:26,0.0,7.0,80.0,0.0,30.0,0.0,64.0,0,0
13:49:27,0.0,6.0,79.0,0.0,30.0,0.0,58.0,0,0
13:49:28,0.0,7.0,77.0,0.0,30.0,0.0,68.0,0,0
13:49:29,0.0,10.0,77.0,0.0,30.0,0.0,68.0,0,0
13:49:30,0.0,9.0,76.0,0.0,30.0,0.0,72.0,0,0
13:49:31,0.0,9.0,75.0,0.0,30.0,0.0,63.0,0,0
13:49:32,0.0,7.0,72.0,0.0,30.0,0.0,100.0,0,0
13:49:33,0.0,1.0,70.0,0.0,30.0,0.0,100.0,0,0
13:49:34,0.0,0.0,70.0,0.0,30.0,0.0,255.0,0,0
