Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
10:37:10,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
10:37:11,0.0,865.0,64.0,0.0,30.0,0.0,46.0,0,0
10:37:12,0.0,944.0,74.0,0.0,30.0,0.0,49.0,0,0
10:37:13,0.0,990.0,82.0,0.0,30.0,0.0,50.0,0,0
10:37:14,0.0,1014.0,87.0,0.0,30.0,0.0,49.0,0,0
10:37:15,0.0,1004.0,91.0,0.0,30.0,0.0,49.0,0,0
10:37:16,0.0,1006.0,92.0,0.0,30.0,0.0,50.0,0,0
10:37:17,0.0,1017.0,96.0,0.0,30.0,0.0,51.0,0,0
10:37:18,0.0,962.0,98.0,0.0,30.0,0.0,49.0,0,0
10:37:19,0.0,823.0,102.0,0.0,30.0,0.0,51.0,0,0
10:37:20,0.0,730.0,106.0,0.0,30.0,0.0,52.0,0,0
10:37:21,0.0,689.0,107.0,0.0,30.0,0.0,51.0,0,0
10:37:22,0.0,617.0,109.0,0.0,30.0,0.0,49.0,0,0
10:37:23,0.0,663.0,110.0,0.0,30.0,0.0,51.0,0,0
10:37:24,0.0,621.0,109.0,0.0,30.0,0.0,42.0,0,0
10:37:25,0.0,647.0,109.0,0.0,30.0,0.0,51.0,0,0
10:37:26,0.0,611.0,110.0,0.0,30.0,0.0,51.0,0,0
10:37:27,0.0,583.0,111.0,0.0,30.0,0.0,49.0,0,0
10:37:28,0.0,587.0,115.0,0.0,30.0,0.0,50.0,0,0
10:37:29,0.0,615.0,117.0,0.0,30.0,0.0,49.0,0,0
10:37:30,0.0,619.0,117.0,0.0,30.0,0.0,50.0,0,0
10:37:31,0.0,596.0,116.0,0.0,30.0,0.0,53.0,0,0
10:37:32,0.0,417.0,115.0,0.0,30.0,0.0,49.0,0,0
10:37:33,0.0,451.0,114.0,0.0,30.0,0.0,40.0,0,0
10:37:34,0.0,591.0,115.0,0.0,30.0,0.0,50.0,0,0
10:37:35,0.0,502.0,118.0,0.0,30.0,0.0,44.0,0,0
10:37:36,0.0,553.0,119.0,0.0,30.0,0.0,50.0,0,0
10:37:37,0.0,552.0,119.0,0.0,30.0,0.0,52.0,0,0
10:37:38,0.0,484.0,117.0,0.0,30.0,0.0,45.0,0,0
10:37:39,0.0,323.0,116.0,0.0,30.0,0.0,45.0,0,0
10:37:40,0.0,317.0,115.0,0.0,30.0,0.0,46.0,0,0
10:37:41,0.0,547.0,117.0,0.0,30.0,0.0,52.0,0,0
10:37:42,0.0,592.0,119.0,0.0,30.0,0.0,50.0,0,0
10:37:43,0.0,650.0,120.0,0.0,30.0,0.0,52.0,0,0
10:37:44,0.0,685.0,118.0,0.0,30.0,0.0,53.0,0,0
10:37:45,0.0,552.0,116.0,0.0,30.0,0.0,51.0,0,0
10:37:46,0.0,592.0,115.0,0.0,30.0,0.0,51.0,0,0
10:37:47,0.0,529.0,115.0,0.0,30.0,0.0,47.0,0,0
10:37:48,0.0,594.0,115.0,0.0,30.0,0.0,48.0,0,0
10:37:49,0.0,658.0,118.0,0.0,30.0,0.0,53.0,0,0
10:37:50,0.0,667.0,119.0,0.0,30.0,0.0,51.0,0,0
10:37:51,0.0,701.0,118.0,0.0,30.0,0.0,52.0,0,0
10:37:52,0.0,656.0,116.0,0.0,30.0,0.0,51.0,0,0
10:37:53,0.0,601.0,115.0,0.0,30.0,0.0,53.0,0,0
10:37:54,0.0,484.0,114.0,0.0,30.0,0.0,47.0,0,0
10:37:55,0.0,638.0,116.0,0.0,30.0,0.0,52.0,0,0
10:37:56,0.0,636.0,119.0,0.0,30.0,0.0,51.0,0,0
10:37:57,0.0,664.0,120.0,0.0,30.0,0.0,51.0,0,0
10:37:58,0.0,672.0,117.0,0.0,30.0,0.0,52.0,0,0
10:37:59,0.0,577.0,115.0,0.0,30.0,0.0,52.0,0,0
10:38:00,0.0,561.0,114.0,0.0,30.0,0.0,47.0,0,0
10:38:01,0.0,560.0,115.0,0.0,30.0,0.0,48.0,0,0
10:38:02,0.0,572.0,117.0,0.0,30.0,0.0,49.0,0,0
10:38:03,0.0,630.0,119.0,0.0,30.0,0.0,50.0,0,0
10:38:04,0.0,664.0,119.0,0.0,30.0,0.0,52.0,0,0
10:38:05,0.0,644.0,116.0,0.0,30.0,0.0,52.0,0,0
10:38:06,0.0,579.0,115.0,0.0,30.0,0.0,52.0,0,0
10:38:07,0.0,519.0,114.0,0.0,30.0,0.0,50.0,0,0
10:38:08,0.0,508.0,113.0,0.0,30.0,0.0,47.0,0,0
10:38:09,0.0,521.0,113.0,0.0,30.0,0.0,54.0,0,0
10:38:10,0.0,485.0,108.0,0.0,30.0,0.0,50.0,0,0
10:38:11,0.0,519.0,110.0,0.0,30.0,0.0,49.0,0,0
10:38:12,0.0,660.0,115.0,0.0,30.0,0.0,52.0,0,0
10:38:13,0.0,607.0,115.0,0.0,30.0,0.0,52.0,0,0
10:38:14,0.0,457.0,114.0,0.0,30.0,0.0,52.0,0,0
10:38:15,0.0,311.0,114.0,0.0,30.0,0.0,49.0,0,0
10:38:16,0.0,437.0,115.0,0.0,30.0,0.0,54.0,0,0
10:38:17,0.0,530.0,118.0,0.0,30.0,0.0,49.0,0,0
10:38:18,0.0,497.0,120.0,0.0,30.0,0.0,48.0,0,0
10:38:19,0.0,467.0,119.0,0.0,30.0,0.0,50.0,0,0
10:38:20,0.0,337.0,116.0,0.0,30.0,0.0,48.0,0,0
10:38:21,0.0,220.0,114.0,0.0,30.0,0.0,45.0,0,0
10:38:22,0.0,341.0,114.0,0.0,30.0,0.0,46.0,0,0
10:38:23,0.0,496.0,116.0,0.0,30.0,0.0,55.0,0,0
10:38:24,0.0,495.0,118.0,0.0,30.0,0.0,49.0,0,0
10:38:25,0.0,504.0,120.0,0.0,30.0,0.0,49.0,0,0
10:38:26,0.0,438.0,118.0,0.0,30.0,0.0,52.0,0,0
10:38:27,0.0,340.0,115.0,0.0,30.0,0.0,45.0,0,0
10:38:28,0.0,413.0,115.0,0.0,30.0,0.0,54.0,0,0
10:38:29,0.0,412.0,115.0,0.0,30.0,0.0,46.0,0,0
10:38:30,0.0,473.0,117.0,0.0,30.0,0.0,57.0,0,0
10:38:31,0.0,388.0,120.0,0.0,30.0,0.0,50.0,0,0
10:38:32,0.0,471.0,120.0,0.0,30.0,0.0,54.0,0,0
10:38:33,0.0,206.0,118.0,0.0,30.0,0.0,58.0,0,0
10:38:34,0.0,188.0,114.0,0.0,30.0,0.0,44.0,0,0
10:38:35,0.0,402.0,114.0,0.0,30.0,0.0,48.0,0,0
10:38:36,0.0,510.0,113.0,0.0,30.0,0.0,48.0,0,0
10:38:37,0.0,448.0,117.0,0.0,30.0,0.0,51.0,0,0
10:38:38,0.0,468.0,119.0,0.0,30.0,0.0,49.0,0,0
10:38:39,0.0,544.0,120.0,0.0,30.0,0.0,51.0,0,0
10:38:40,0.0,589.0,119.0,0.0,30.0,0.0,52.0,0,0
10:38:41,0.0,446.0,117.0,0.0,30.0,0.0,50.0,0,0
10:38:42,0.0,301.0,115.0,0.0,30.0,0.0,51.0,0,0
10:38:43,0.0,322.0,115.0,0.0,30.0,0.0,40.0,0,0
10:38:44,0.0,327.0,117.0,0.0,30.0,0.0,38.0,0,0
10:38:45,0.0,454.0,118.0,0.0,30.0,0.0,49.0,0,0
10:38:46,0.0,510.0,120.0,0.0,30.0,0.0,51.0,0,0
10:38:47,0.0,479.0,118.0,0.0,30.0,0.0,50.0,0,0
10:38:48,0.0,377.0,116.0,0.0,30.0,0.0,48.0,0,0
10:38:49,0.0,345.0,116.0,0.0,30.0,0.0,47.0,0,0
10:38:50,0.0,423.0,115.0,0.0,30.0,0.0,46.0,0,0
10:38:51,0.0,476.0,118.0,0.0,30.0,0.0,55.0,0,0
10:38:52,0.0,448.0,120.0,0.0,30.0,0.0,53.0,0,0
10:38:53,0.0,407.0,121.0,0.0,30.0,0.0,48.0,0,0
10:38:54,0.0,425.0,118.0,0.0,30.0,0.0,54.0,0,0
10:38:55,0.0,375.0,116.0,0.0,30.0,0.0,47.0,0,0
10:38:56,0.0,304.0,115.0,0.0,30.0,0.0,36.0,0,0
10:38:57,0.0,407.0,115.0,0.0,30.0,0.0,46.0,0,0
10:38:58,0.0,467.0,118.0,0.0,30.0,0.0,51.0,0,0
10:38:59,0.0,504.0,120.0,0.0,30.0,0.0,50.0,0,0
10:39:00,0.0,517.0,120.0,0.0,30.0,0.0,52.0,0,0
10:39:01,0.0,386.0,117.0,0.0,30.0,0.0,48.0,0,0
10:39:02,0.0,261.0,116.0,0.0,30.0,0.0,45.0,0,0
10:39:03,0.0,318.0,115.0,0.0,30.0,0.0,43.0,0,0
10:39:04,0.0,461.0,117.0,0.0,30.0,0.0,55.0,0,0
10:39:05,0.0,300.0,119.0,0.0,30.0,0.0,46.0,0,0
10:39:06,0.0,433.0,119.0,0.0,30.0,0.0,46.0,0,0
10:39:07,0.0,441.0,118.0,0.0,30.0,0.0,58.0,0,0
10:39:08,0.0,249.0,115.0,0.0,30.0,0.0,44.0,0,0
10:39:09,0.0,244.0,115.0,0.0,30.0,0.0,47.0,0,0
10:39:10,0.0,395.0,114.0,0.0,30.0,0.0,45.0,0,0
10:39:11,0.0,392.0,115.0,0.0,30.0,0.0,42.0,0,0
10:39:12,0.0,540.0,118.0,0.0,30.0,0.0,50.0,0,0
10:39:13,0.0,510.0,120.0,0.0,30.0,0.0,48.0,0,0
10:39:14,0.0,545.0,119.0,0.0,30.0,0.0,53.0,0,0
10:39:15,0.0,301.0,116.0,0.0,30.0,0.0,46.0,0,0
10:39:16,0.0,269.0,114.0,0.0,30.0,0.0,48.0,0,0
10:39:17,0.0,433.0,114.0,0.0,30.0,0.0,49.0,0,0
10:39:18,0.0,539.0,115.0,0.0,30.0,0.0,52.0,0,0
10:39:19,0.0,495.0,119.0,0.0,30.0,0.0,52.0,0,0
10:39:20,0.0,525.0,120.0,0.0,30.0,0.0,50.0,0,0
10:39:21,0.0,466.0,118.0,0.0,31.0,0.0,54.0,0,0
10:39:22,0.0,290.0,115.0,0.0,31.0,0.0,42.0,0,0
10:39:23,0.0,395.0,114.0,0.0,31.0,0.0,53.0,0,0
10:39:24,0.0,355.0,114.0,0.0,31.0,0.0,41.0,0,0
10:39:25,0.0,588.0,116.0,0.0,31.0,0.0,50.0,0,0
10:39:26,0.0,649.0,118.0,0.0,31.0,0.0,53.0,0,0
10:39:27,0.0,666.0,119.0,0.0,31.0,0.0,52.0,0,0
10:39:28,0.0,663.0,116.0,0.0,31.0,0.0,50.0,0,0
10:39:29,0.0,622.0,115.0,0.0,31.0,0.0,51.0,0,0
10:39:30,0.0,597.0,114.0,0.0,31.0,0.0,54.0,0,0
10:39:31,0.0,519.0,113.0,0.0,31.0,0.0,47.0,0,0
10:39:32,0.0,557.0,115.0,0.0,31.0,0.0,47.0,0,0
10:39:33,0.0,629.0,117.0,0.0,31.0,0.0,50.0,0,0
10:39:34,0.0,673.0,118.0,0.0,31.0,0.0,50.0,0,0
10:39:35,0.0,698.0,117.0,0.0,31.0,0.0,51.0,0,0
10:39:36,0.0,598.0,115.0,0.0,31.0,0.0,49.0,0,0
10:39:37,0.0,549.0,114.0,0.0,31.0,0.0,53.0,0,0
