Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
11:09:27,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
11:09:32,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
11:09:33,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
11:09:34,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
11:09:35,0.0,778.0,39.0,0.0,29.0,0.0,45.0,0,0
11:09:36,0.0,955.0,52.0,0.0,29.0,0.0,48.0,0,0
11:09:37,0.0,1092.0,62.0,0.0,29.0,0.0,50.0,0,0
11:09:38,0.0,1158.0,70.0,0.0,29.0,0.0,50.0,0,0
11:09:39,0.0,1189.0,78.0,0.0,29.0,0.0,52.0,0,0
11:09:40,0.0,1361.0,88.0,0.0,29.0,0.0,50.0,0,0
11:09:41,0.0,1328.0,99.0,0.0,29.0,0.0,49.0,0,0
11:09:42,0.0,1478.0,104.0,0.0,29.0,0.0,50.0,0,0
11:09:43,0.0,1416.0,112.0,0.0,29.0,0.0,51.0,0,0
11:09:44,0.0,1210.0,116.0,0.0,29.0,0.0,54.0,0,0
11:09:45,0.0,1068.0,118.0,0.0,29.0,0.0,55.0,0,0
11:09:46,0.0,1156.0,119.0,0.0,29.0,0.0,51.0,0,0
11:09:47,0.0,931.0,122.0,0.0,29.0,0.0,48.0,0,0
11:09:48,0.0,651.0,125.0,0.0,29.0,0.0,48.0,0,0
11:09:49,0.0,830.0,128.0,0.0,29.0,0.0,54.0,0,0
11:09:50,0.0,905.0,130.0,0.0,29.0,0.0,48.0,0,0
11:09:51,0.0,795.0,132.0,0.0,29.0,0.0,50.0,0,0
11:09:52,0.0,824.0,132.0,0.0,29.0,0.0,53.0,0,0
11:09:53,0.0,622.0,132.0,0.0,29.0,0.0,51.0,0,0
11:09:54,0.0,547.0,131.0,0.0,29.0,0.0,46.0,0,0
11:09:55,0.0,598.0,134.0,0.0,29.0,0.0,46.0,0,0
11:09:56,0.0,588.0,137.0,0.0,29.0,0.0,51.0,0,0
11:09:57,0.0,376.0,137.0,0.0,29.0,0.0,53.0,0,0
