Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
10:37:11,7.69,947.0,70.0,0.0,29.0,0.0,32.0,0,0
10:37:12,16.19,1067.0,75.0,0.0,29.0,0.0,49.0,0,0
10:37:13,14.7,1099.0,80.0,0.0,29.0,0.0,48.0,0,0
10:37:14,11.7,1173.0,84.0,0.0,29.0,0.0,49.0,0,0
10:37:15,21.85,1256.0,90.0,0.0,29.0,0.0,50.0,0,0
10:37:16,19.05,1223.0,92.0,0.0,29.0,0.0,51.0,0,0
10:37:17,26.42,1163.0,95.0,0.0,29.0,0.0,50.0,0,0
10:37:18,20.39,1171.0,96.0,0.0,29.0,0.0,51.0,0,0
10:37:19,33.72,1141.0,100.0,0.0,29.0,0.0,51.0,0,0
10:37:20,26.26,1053.0,105.0,0.0,29.0,0.0,48.0,0,0
10:37:21,15.15,979.0,106.0,0.0,29.0,0.0,51.0,0,0
10:37:22,18.42,923.0,108.0,0.0,29.0,0.0,51.0,0,0
10:37:23,15.3,891.0,110.0,0.0,29.0,0.0,58.0,0,0
10:37:24,15.3,799.0,109.0,0.0,29.0,0.0,52.0,0,0
10:37:25,15.3,792.0,109.0,0.0,29.0,0.0,51.0,0,0
10:37:26,12.3,720.0,110.0,0.0,29.0,0.0,52.0,0,0
10:37:27,7.1,714.0,110.0,0.0,29.0,0.0,49.0,0,0
10:37:28,7.2,746.0,114.0,0.0,29.0,0.0,50.0,0,0
10:37:29,7.3,793.0,117.0,0.0,29.0,0.0,50.0,0,0
10:37:30,16.5,781.0,118.0,0.0,29.0,0.0,52.0,0,0
10:37:31,14.24,701.0,116.0,0.0,29.0,0.0,56.0,0,0
10:37:32,14.12,634.0,115.0,0.0,29.0,0.0,52.0,0,0
10:37:33,14.18,688.0,114.0,0.0,29.0,0.0,49.0,0,0
10:37:34,7.2,657.0,115.0,0.0,29.0,0.0,52.0,0,0
10:37:35,7.4,639.0,117.0,0.0,29.0,0.0,49.0,0,0
10:37:36,14.93,662.0,119.0,0.0,29.0,0.0,50.0,0,0
10:37:37,14.8,663.0,120.0,0.0,29.0,0.0,54.0,0,0
10:37:38,14.8,644.0,117.0,0.0,29.0,0.0,51.0,0,0
10:37:39,0.0,560.0,116.0,0.0,29.0,0.0,52.0,0,0
10:37:40,16.1,519.0,115.0,0.0,29.0,0.0,47.0,0,0
10:37:41,7.2,549.0,116.0,0.0,29.0,0.0,51.0,0,0
10:37:42,7.2,490.0,114.0,0.0,29.0,0.0,53.0,0,0
10:37:43,5.84,464.0,109.0,0.0,29.0,0.0,48.0,0,0
10:37:44,12.5,630.0,113.0,0.0,29.0,0.0,56.0,0,0
10:37:45,7.1,540.0,117.0,0.0,29.0,0.0,62.0,0,0
10:37:46,7.1,337.0,115.0,0.0,29.0,0.0,56.0,0,0
10:37:47,0.0,402.0,114.0,0.0,29.0,0.0,55.0,0,0
10:37:48,0.0,472.0,114.0,0.0,29.0,0.0,52.0,0,0
10:37:49,16.7,432.0,117.0,0.0,29.0,0.0,49.0,0,0
10:37:50,7.5,531.0,120.0,0.0,29.0,0.0,55.0,0,0
10:37:51,7.5,453.0,120.0,0.0,29.0,0.0,60.0,0,0
10:37:52,7.5,157.0,117.0,0.0,29.0,0.0,47.0,0,0
10:37:53,0.0,117.0,114.0,0.0,29.0,0.0,43.0,0,0
10:37:54,0.0,343.0,113.0,0.0,29.0,0.0,52.0,0,0
10:37:55,0.0,484.0,114.0,0.0,29.0,0.0,55.0,0,0
10:37:56,0.0,457.0,118.0,0.0,29.0,0.0,52.0,0,0
10:37:57,0.0,457.0,119.0,0.0,29.0,0.0,54.0,0,0
10:37:58,0.0,390.0,119.0,0.0,29.0,0.0,55.0,0,0
10:37:59,0.0,286.0,118.0,0.0,29.0,0.0,54.0,0,0
10:38:00,0.0,242.0,115.0,0.0,29.0,0.0,53.0,0,0
10:38:01,0.0,239.0,114.0,0.0,29.0,0.0,55.0,0,0
10:38:02,0.0,317.0,114.0,0.0,29.0,0.0,51.0,0,0
10:38:03,0.0,461.0,117.0,0.0,29.0,0.0,47.0,0,0
10:38:04,7.4,435.0,119.0,0.0,29.0,0.0,47.0,0,0
10:38:05,7.4,374.0,119.0,0.0,29.0,0.0,62.0,0,0
10:38:06,0.0,155.0,116.0,0.0,29.0,0.0,74.0,0,0
10:38:07,0.0,267.0,113.0,0.0,29.0,0.0,51.0,0,0
10:38:08,0.0,453.0,113.0,0.0,29.0,0.0,50.0,0,0
