Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
11:09:13,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:09:22,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:09:34,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:09:35,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:09:36,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:09:37,0.0,869.0,51.0,0.0,30.0,0.0,47.0,0,0
11:09:38,0.0,960.0,65.0,0.0,30.0,0.0,50.0,0,0
11:09:39,0.0,1039.0,75.0,0.0,30.0,0.0,49.0,0,0
11:09:40,0.0,1134.0,86.0,0.0,30.0,0.0,48.0,0,0
11:09:41,0.0,1228.0,98.0,0.0,30.0,0.0,49.0,0,0
11:09:42,0.0,1263.0,106.0,0.0,30.0,0.0,48.0,0,0
11:09:43,0.0,1299.0,111.0,0.0,30.0,0.0,48.0,0,0
11:09:44,0.0,1250.0,119.0,0.0,30.0,0.0,48.0,0,0
11:09:45,0.0,1205.0,123.0,0.0,30.0,0.0,50.0,0,0
11:09:46,0.0,1124.0,126.0,0.0,30.0,0.0,49.0,0,0
11:09:47,0.0,1058.0,129.0,0.0,30.0,0.0,49.0,0,0
11:09:48,0.0,893.0,132.0,0.0,30.0,0.0,49.0,0,0
11:09:49,0.0,805.0,132.0,0.0,30.0,0.0,50.0,0,0
11:09:50,0.0,757.0,136.0,0.0,30.0,0.0,49.0,0,0
11:09:51,0.0,714.0,138.0,0.0,30.0,0.0,50.0,0,0
11:09:52,0.0,714.0,136.0,0.0,30.0,0.0,50.0,0,0
11:09:53,0.0,686.0,135.0,0.0,30.0,0.0,51.0,0,0
11:09:54,0.0,465.0,133.0,0.0,30.0,0.0,58.0,0,0
11:09:55,0.0,89.0,128.0,0.0,30.0,0.0,49.0,0,0
11:09:56,0.0,38.0,119.0,0.0,30.0,0.0,58.0,0,0
11:09:57,0.0,35.0,112.0,0.0,30.0,0.0,57.0,0,0
11:09:58,0.0,30.0,107.0,0.0,30.0,0.0,40.0,0,0
11:09:59,0.0,21.0,106.0,0.0,30.0,0.0,60.0,0,0
11:10:00,0.0,21.0,106.0,0.0,30.0,0.0,48.0,0,0
11:10:01,0.0,28.0,107.0,0.0,30.0,0.0,44.0,0,0
11:10:02,0.0,27.0,106.0,0.0,30.0,0.0,50.0,0,0
11:10:03,0.0,28.0,103.0,0.0,30.0,0.0,52.0,0,0
11:10:04,0.0,35.0,100.0,0.0,30.0,0.0,46.0,0,0
11:10:05,0.0,40.0,98.0,0.0,30.0,0.0,50.0,0,0
11:10:06,0.0,53.0,94.0,0.0,30.0,0.0,41.0,0,0
11:10:07,0.0,64.0,91.0,0.0,30.0,0.0,52.0,0,0
11:10:08,0.0,52.0,88.0,0.0,30.0,0.0,52.0,0,0
11:10:09,0.0,39.0,87.0,0.0,30.0,0.0,42.0,0,0
11:10:10,0.0,19.0,86.0,0.0,30.0,0.0,46.0,0,0
11:10:11,0.0,16.0,87.0,0.0,30.0,0.0,45.0,0,0
11:10:12,0.0,10.0,86.0,0.0,30.0,0.0,33.0,0,0
11:10:13,0.0,19.0,85.0,0.0,30.0,0.0,31.0,0,0
11:10:14,0.0,48.0,85.0,0.0,30.0,0.0,46.0,0,0
11:10:15,0.0,27.0,84.0,0.0,30.0,0.0,70.0,0,0
11:10:16,0.0,12.0,83.0,0.0,30.0,0.0,56.0,0,0
11:10:17,0.0,9.0,82.0,0.0,30.0,0.0,69.0,0,0
11:10:18,0.0,8.0,83.0,0.0,30.0,0.0,53.0,0,0
11:10:19,0.0,8.0,85.0,0.0,30.0,0.0,56.0,0,0
11:10:20,0.0,12.0,82.0,0.0,30.0,0.0,69.0,0,0
11:10:21,0.0,10.0,81.0,0.0,30.0,0.0,70.0,0,0
11:10:22,0.0,8.0,81.0,0.0,30.0,0.0,60.0,0,0
11:10:23,0.0,6.0,79.0,0.0,30.0,0.0,37.0,0,0
11:10:24,0.0,2.0,76.0,0.0,30.0,0.0,50.0,0,0
11:10:25,0.0,3.0,75.0,0.0,30.0,0.0,100.0,0,0
11:10:26,0.0,0.0,73.0,0.0,30.0,0.0,255.0,0,0
11:10:27,0.0,0.0,71.0,0.0,30.0,0.0,0.0,0,0
11:10:28,0.0,0.0,70.0,0.0,30.0,0.0,255.0,0,0
11:10:29,0.0,0.0,68.0,0.0,30.0,0.0,255.0,0,0
11:10:30,0.0,0.0,67.0,0.0,30.0,0.0,255.0,0,0
11:10:31,0.0,0.0,66.0,0.0,30.0,0.0,255.0,0,0
11:10:32,0.0,1.0,66.0,0.0,30.0,0.0,100.0,0,0
11:10:33,0.0,1.0,65.0,0.0,30.0,0.0,100.0,0,0
11:10:34,0.0,0.0,64.0,0.0,30.0,0.0,100.0,0,0
11:10:35,0.0,0.0,63.0,0.0,30.0,0.0,255.0,0,0
11:10:36,0.0,0.0,62.0,0.0,30.0,0.0,255.0,0,0
11:10:37,0.0,1.0,61.0,0.0,30.0,0.0,100.0,0,0
11:10:38,0.0,0.0,60.0,0.0,30.0,0.0,255.0,0,0
11:10:39,0.0,1.0,59.0,0.0,30.0,0.0,100.0,0,0
11:10:40,0.0,0.0,57.0,0.0,30.0,0.0,100.0,0,0
11:10:41,0.0,1.0,56.0,0.0,30.0,0.0,100.0,0,0
11:10:42,0.0,1.0,55.0,0.0,30.0,0.0,66.0,0,0
11:10:43,0.0,0.0,54.0,0.0,30.0,0.0,0.0,0,0
11:10:44,0.0,7.0,52.0,0.0,30.0,0.0,92.0,0,0
11:10:45,0.0,1.0,52.0,0.0,30.0,0.0,100.0,0,0
11:10:46,0.0,0.0,51.0,0.0,30.0,0.0,255.0,0,0
11:10:47,0.0,0.0,50.0,0.0,30.0,0.0,100.0,0,0
11:10:48,0.0,0.0,50.0,0.0,30.0,0.0,100.0,0,0
11:10:49,0.0,5.0,50.0,0.0,30.0,0.0,20.0,0,0
11:10:50,0.0,1.0,49.0,0.0,30.0,0.0,50.0,0,0
11:10:51,0.0,2.0,48.0,0.0,30.0,0.0,75.0,0,0
11:10:52,0.0,2.0,47.0,0.0,30.0,0.0,75.0,0,0
11:10:53,0.0,2.0,47.0,0.0,30.0,0.0,75.0,0,0
11:10:54,0.0,2.0,46.0,0.0,30.0,0.0,75.0,0,0
11:10:55,0.0,2.0,45.0,0.0,30.0,0.0,75.0,0,0
11:10:56,0.0,3.0,45.0,0.0,30.0,0.0,60.0,0,0
11:10:57,0.0,3.0,45.0,0.0,30.0,0.0,60.0,0,0
11:10:58,0.0,1.0,44.0,0.0,30.0,0.0,100.0,0,0
11:10:59,0.0,0.0,39.0,0.0,30.0,0.0,255.0,0,0
11:11:00,0.0,0.0,39.0,0.0,30.0,0.0,255.0,0,0
11:11:01,0.0,0.0,32.0,0.0,30.0,0.0,255.0,0,0
11:11:02,0.0,0.0,32.0,0.0,30.0,0.0,255.0,0,0
11:11:11,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:11:12,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:11:43,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:11:45,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:11:51,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:11:52,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:12:00,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:12:01,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:12:02,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:13:07,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:13:08,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:13:09,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:13:10,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:13:11,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:13:12,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
11:13:13,0.0,37.0,40.0,0.0,30.0,0.0,50.0,0,0
11:13:14,0.0,47.0,51.0,0.0,30.0,0.0,48.0,0,0
11:13:15,0.0,50.0,60.0,0.0,30.0,0.0,54.0,0,0
11:13:16,0.0,38.0,63.0,0.0,30.0,0.0,62.0,0,0
11:13:17,0.0,27.0,64.0,0.0,30.0,0.0,62.0,0,0
11:13:18,0.0,20.0,63.0,0.0,30.0,0.0,63.0,0,0
11:13:19,0.0,20.0,61.0,0.0,30.0,0.0,65.0,0,0
11:13:20,0.0,25.0,60.0,0.0,30.0,0.0,54.0,0,0
