Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
19:21:16,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
19:21:33,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
19:21:41,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
19:22:16,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
19:22:17,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
19:22:20,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
19:22:45,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
19:23:09,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
19:23:10,12.8,0.0,0.0,0.0,30.0,0.0,255.0,0,0
19:23:11,18.95,879.0,52.0,0.0,30.0,0.0,47.0,0,0
19:23:12,27.39,998.0,67.0,0.0,30.0,0.0,48.0,0,0
19:23:13,32.25,1098.0,77.0,0.0,30.0,0.0,49.0,0,0
19:23:14,38.09,1136.0,85.0,0.0,30.0,0.0,48.0,0,0
19:23:15,43.35,1189.0,94.0,0.0,30.0,0.0,49.0,0,0
19:23:16,47.29,1238.0,104.0,0.0,30.0,0.0,48.0,0,0
19:23:17,50.77,1260.0,113.0,0.0,30.0,0.0,47.0,0,0
19:23:18,53.36,1246.0,120.0,0.0,30.0,0.0,48.0,0,0
19:23:19,54.78,1170.0,124.0,0.0,30.0,0.0,50.0,0,0
19:23:20,56.2,1099.0,128.0,0.0,30.0,0.0,50.0,0,0
19:23:21,57.82,1038.0,130.0,0.0,30.0,0.0,50.0,0,0
19:23:22,59.65,925.0,133.0,0.0,30.0,0.0,50.0,0,0
19:23:23,61.73,797.0,135.0,0.0,30.0,0.0,51.0,0,0
19:23:24,62.2,741.0,138.0,0.0,30.0,0.0,51.0,0,0
19:23:25,62.7,716.0,139.0,0.0,30.0,0.0,51.0,0,0
19:23:26,62.02,675.0,140.0,0.0,30.0,0.0,50.0,0,0
19:23:27,60.9,656.0,138.0,0.0,30.0,0.0,47.0,0,0
19:23:28,60.7,541.0,136.0,0.0,30.0,0.0,46.0,0,0
19:23:29,59.57,229.0,132.0,0.0,30.0,0.0,39.0,0,0
19:23:30,58.48,86.0,127.0,0.0,30.0,0.0,52.0,0,0
19:23:31,55.96,47.0,120.0,0.0,30.0,0.0,54.0,0,0
19:23:32,52.93,36.0,115.0,0.0,30.0,0.0,53.0,0,0
19:23:33,51.28,33.0,115.0,0.0,30.0,0.0,54.0,0,0
19:23:34,50.56,34.0,114.0,0.0,30.0,0.0,52.0,0,0
19:23:35,49.46,36.0,111.0,0.0,30.0,0.0,52.0,0,0
19:23:36,48.69,39.0,108.0,0.0,30.0,0.0,43.0,0,0
19:23:37,47.9,40.0,106.0,0.0,30.0,0.0,44.0,0,0
19:23:38,47.1,39.0,103.0,0.0,30.0,0.0,41.0,0,0
19:23:39,45.96,156.0,102.0,0.0,30.0,0.0,21.0,0,0
19:23:40,45.15,181.0,98.0,0.0,30.0,0.0,47.0,0,0
19:23:41,43.08,209.0,95.0,0.0,30.0,0.0,47.0,0,0
19:23:42,41.76,187.0,93.0,0.0,30.0,0.0,52.0,0,0
19:23:43,40.36,112.0,91.0,0.0,30.0,0.0,52.0,0,0
19:23:44,39.24,118.0,88.0,0.0,30.0,0.0,50.0,0,0
19:23:45,39.5,42.0,89.0,0.0,30.0,0.0,54.0,0,0
19:23:46,41.35,22.0,91.0,0.0,30.0,0.0,46.0,0,0
19:23:47,42.09,46.0,94.0,0.0,30.0,0.0,46.0,0,0
19:23:48,42.16,59.0,94.0,0.0,30.0,0.0,34.0,0,0
19:23:49,41.9,126.0,93.0,0.0,30.0,0.0,56.0,0,0
19:23:50,41.04,98.0,92.0,0.0,30.0,0.0,51.0,0,0
19:23:51,40.32,113.0,88.0,0.0,30.0,0.0,39.0,0,0
19:23:52,38.55,139.0,85.0,0.0,30.0,0.0,47.0,0,0
19:23:53,37.57,139.0,82.0,0.0,30.0,0.0,45.0,0,0
19:23:54,36.9,133.0,82.0,0.0,30.0,0.0,55.0,0,0
19:23:55,36.64,81.0,82.0,0.0,30.0,0.0,56.0,0,0
19:23:56,36.36,50.0,81.0,0.0,30.0,0.0,40.0,0,0
19:23:57,36.35,15.0,82.0,0.0,30.0,0.0,76.0,0,0
19:23:58,36.81,12.0,82.0,0.0,30.0,0.0,39.0,0,0
19:23:59,37.2,9.0,83.0,0.0,30.0,0.0,42.0,0,0
19:24:00,37.26,6.0,83.0,0.0,30.0,0.0,50.0,0,0
19:24:01,37.12,5.0,82.0,0.0,30.0,0.0,77.0,0,0
19:24:02,36.27,3.0,80.0,0.0,30.0,0.0,83.0,0,0
19:24:03,35.22,6.0,78.0,0.0,30.0,0.0,66.0,0,0
19:24:04,34.94,3.0,77.0,0.0,30.0,0.0,83.0,0,0
19:24:05,35.71,7.0,78.0,0.0,30.0,0.0,29.0,0,0
19:24:06,37.32,7.0,82.0,0.0,30.0,0.0,46.0,0,0
19:24:07,36.42,4.0,80.0,0.0,30.0,0.0,83.0,0,0
19:24:08,35.92,5.0,79.0,0.0,30.0,0.0,72.0,0,0
19:24:09,34.79,4.0,78.0,0.0,30.0,0.0,77.0,0,0
19:24:10,33.75,4.0,76.0,0.0,30.0,0.0,71.0,0,0
19:24:11,32.92,1.0,73.0,0.0,30.0,0.0,100.0,0,0
19:24:12,32.04,2.0,72.0,0.0,30.0,0.0,75.0,0,0
19:24:13,31.52,1.0,70.0,0.0,30.0,0.0,66.0,0,0
19:24:14,30.9,2.0,69.0,0.0,30.0,0.0,40.0,0,0
19:24:15,30.4,1.0,68.0,0.0,30.0,0.0,50.0,0,0
19:24:16,29.75,0.0,67.0,0.0,30.0,0.0,0.0,0,0
19:24:17,29.5,0.0,66.0,0.0,30.0,0.0,255.0,0,0
19:24:18,29.1,1.0,64.0,0.0,30.0,0.0,100.0,0,0
19:24:19,28.9,2.0,64.0,0.0,30.0,0.0,50.0,0,0
19:24:20,28.32,1.0,62.0,0.0,30.0,0.0,100.0,0,0
19:24:21,27.75,4.0,62.0,0.0,30.0,0.0,12.0,0,0
19:24:22,27.3,0.0,60.0,0.0,30.0,0.0,255.0,0,0
19:24:23,26.82,8.0,59.0,0.0,30.0,0.0,100.0,0,0
19:24:24,26.27,0.0,58.0,0.0,30.0,0.0,100.0,0,0
19:24:25,25.62,26.0,57.0,0.0,30.0,0.0,76.0,0,0
19:24:26,25.5,20.0,56.0,0.0,30.0,0.0,41.0,0,0
19:24:27,23.98,20.0,56.0,0.0,30.0,0.0,41.0,0,0
19:24:28,22.23,7.0,51.0,0.0,30.0,0.0,53.0,0,0
19:24:29,21.29,16.0,48.0,0.0,30.0,0.0,68.0,0,0
19:24:30,20.85,6.0,46.0,0.0,30.0,0.0,54.0,0,0
19:24:31,20.8,4.0,47.0,0.0,30.0,0.0,87.0,0,0
19:24:32,21.44,4.0,47.0,0.0,30.0,0.0,87.0,0,0
19:24:33,22.6,1.0,49.0,0.0,30.0,0.0,100.0,0,0
19:24:34,22.9,1.0,51.0,0.0,30.0,0.0,50.0,0,0
19:24:35,23.2,1.0,51.0,0.0,30.0,0.0,50.0,0,0
19:24:36,22.97,5.0,51.0,0.0,30.0,0.0,77.0,0,0
19:24:37,22.7,3.0,50.0,0.0,30.0,0.0,100.0,0,0
19:24:38,22.26,0.0,49.0,0.0,30.0,0.0,255.0,0,0
19:24:39,21.5,0.0,49.0,0.0,30.0,0.0,255.0,0,0
19:24:40,21.37,2.0,48.0,0.0,30.0,0.0,33.0,0,0
19:24:41,20.86,1.0,46.0,0.0,30.0,0.0,100.0,0,0
19:24:42,19.51,0.0,43.0,0.0,30.0,0.0,255.0,0,0
19:24:43,18.79,0.0,43.0,0.0,30.0,0.0,255.0,0,0
19:24:44,18.03,0.0,40.0,0.0,30.0,0.0,255.0,0,0
19:24:45,17.54,0.0,39.0,0.0,30.0,0.0,255.0,0,0
19:24:46,16.64,0.0,39.0,0.0,30.0,0.0,255.0,0,0
19:24:47,16.05,0.0,36.0,0.0,30.0,0.0,255.0,0,0
19:24:48,15.34,0.0,36.0,0.0,30.0,0.0,255.0,0,0
19:24:49,13.99,0.0,32.0,0.0,30.0,0.0,255.0,0,0
19:24:50,12.6,0.0,32.0,0.0,30.0,0.0,255.0,0,0
19:24:51,10.8,0.0,23.0,0.0,30.0,0.0,255.0,0,0
19:24:52,7.3,0.0,0.0,0.0,30.0,0.0,255.0,0,0
19:24:53,7.3,0.0,0.0,0.0,30.0,0.0,255.0,0,0
19:24:54,5.9,0.0,0.0,0.0,30.0,0.0,255.0,0,0
19:24:55,5.9,0.0,0.0,0.0,30.0,0.0,255.0,0,0
19:24:56,3.5,0.0,0.0,0.0,30.0,0.0,255.0,0,0
19:24:57,3.5,0.0,0.0,0.0,30.0,0.0,255.0,0,0
19:25:06,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
19:25:19,10.1,0.0,0.0,0.0,30.0,0.0,255.0,0,0
