Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
11:09:18,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
11:09:19,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
11:09:20,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
11:09:21,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
11:09:22,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
11:09:23,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
11:09:30,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
11:09:31,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
11:09:32,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
11:09:33,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
11:09:34,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
11:09:35,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
11:09:36,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
11:09:37,0.0,762.0,34.0,0.0,29.0,0.0,45.0,0,0
11:09:38,0.0,1030.0,52.0,0.0,29.0,0.0,48.0,0,0
11:09:39,0.0,1057.0,62.0,0.0,29.0,0.0,50.0,0,0
11:09:40,0.0,1210.0,75.0,0.0,29.0,0.0,49.0,0,0
11:09:41,0.0,1355.0,87.0,0.0,29.0,0.0,49.0,0,0
11:09:42,0.0,1430.0,95.0,0.0,29.0,0.0,49.0,0,0
11:09:43,0.0,1426.0,104.0,0.0,29.0,0.0,48.0,0,0
11:09:44,0.0,1450.0,111.0,0.0,29.0,0.0,49.0,0,0
11:09:45,0.0,1287.0,116.0,0.0,29.0,0.0,50.0,0,0
11:09:46,0.0,1235.0,118.0,0.0,29.0,0.0,49.0,0,0
11:09:47,0.0,1342.0,121.0,0.0,29.0,0.0,51.0,0,0
11:09:48,0.0,880.0,125.0,0.0,29.0,0.0,48.0,0,0
11:09:49,0.0,1056.0,126.0,0.0,29.0,0.0,50.0,0,0
11:09:50,0.0,1062.0,131.0,0.0,29.0,0.0,51.0,0,0
11:09:51,0.0,1083.0,132.0,0.0,29.0,0.0,48.0,0,0
11:09:52,0.0,1048.0,134.0,0.0,29.0,0.0,51.0,0,0
11:09:53,0.0,891.0,134.0,0.0,29.0,0.0,50.0,0,0
11:09:54,0.0,925.0,133.0,0.0,29.0,0.0,49.0,0,0
11:09:55,0.0,858.0,133.0,0.0,29.0,0.0,50.0,0,0
11:09:56,0.0,762.0,134.0,0.0,29.0,0.0,51.0,0,0
11:09:57,0.0,828.0,137.0,0.0,29.0,0.0,50.0,0,0
11:09:58,0.0,797.0,139.0,0.0,29.0,0.0,51.0,0,0
11:09:59,0.0,695.0,138.0,0.0,29.0,0.0,41.0,0,0
11:10:00,0.0,691.0,134.0,0.0,29.0,0.0,49.0,0,0
11:10:01,0.0,688.0,132.0,0.0,29.0,0.0,49.0,0,0
11:10:02,0.0,595.0,131.0,0.0,29.0,0.0,49.0,0,0
11:10:03,0.0,553.0,132.0,0.0,29.0,0.0,50.0,0,0
11:10:04,0.0,610.0,133.0,0.0,29.0,0.0,49.0,0,0
11:10:05,0.0,586.0,134.0,0.0,29.0,0.0,50.0,0,0
11:10:06,0.0,499.0,130.0,0.0,29.0,0.0,48.0,0,0
11:10:07,0.0,294.0,127.0,0.0,29.0,0.0,53.0,0,0
11:10:08,0.0,62.0,122.0,0.0,29.0,0.0,53.0,0,0
11:10:09,0.0,48.0,114.0,0.0,29.0,0.0,52.0,0,0
11:10:10,0.0,48.0,105.0,0.0,29.0,0.0,40.0,0,0
11:10:11,0.0,42.0,99.0,0.0,29.0,0.0,58.0,0,0
11:10:12,0.0,40.0,96.0,0.0,29.0,0.0,52.0,0,0
11:10:13,0.0,31.0,94.0,0.0,29.0,0.0,47.0,0,0
11:10:14,0.0,26.0,93.0,0.0,29.0,0.0,55.0,0,0
11:10:15,0.0,28.0,93.0,0.0,29.0,0.0,54.0,0,0
11:10:16,0.0,31.0,95.0,0.0,29.0,0.0,51.0,0,0
11:10:17,0.0,27.0,96.0,0.0,29.0,0.0,49.0,0,0
11:10:18,0.0,29.0,95.0,0.0,29.0,0.0,50.0,0,0
11:10:19,0.0,29.0,91.0,0.0,29.0,0.0,50.0,0,0
11:10:20,0.0,27.0,88.0,0.0,29.0,0.0,43.0,0,0
11:10:21,0.0,24.0,84.0,0.0,29.0,0.0,50.0,0,0
11:10:22,0.0,18.0,82.0,0.0,29.0,0.0,50.0,0,0
11:10:23,0.0,12.0,80.0,0.0,29.0,0.0,58.0,0,0
11:10:24,0.0,12.0,77.0,0.0,29.0,0.0,65.0,0,0
11:10:25,0.0,9.0,76.0,0.0,29.0,0.0,72.0,0,0
11:10:26,0.0,10.0,78.0,0.0,29.0,0.0,70.0,0,0
11:10:27,0.0,14.0,81.0,0.0,29.0,0.0,50.0,0,0
11:10:28,0.0,16.0,81.0,0.0,29.0,0.0,53.0,0,0
11:10:29,0.0,14.0,79.0,0.0,29.0,0.0,53.0,0,0
11:10:30,0.0,9.0,75.0,0.0,29.0,0.0,64.0,0,0
11:10:31,0.0,9.0,73.0,0.0,29.0,0.0,58.0,0,0
11:10:32,0.0,6.0,72.0,0.0,29.0,0.0,58.0,0,0
11:10:33,0.0,11.0,72.0,0.0,29.0,0.0,68.0,0,0
11:10:34,0.0,5.0,73.0,0.0,29.0,0.0,70.0,0,0
11:10:35,0.0,8.0,75.0,0.0,29.0,0.0,83.0,0,0
11:10:36,0.0,9.0,75.0,0.0,29.0,0.0,58.0,0,0
11:10:37,0.0,7.0,73.0,0.0,29.0,0.0,53.0,0,0
11:10:38,0.0,5.0,72.0,0.0,29.0,0.0,81.0,0,0
11:10:39,0.0,3.0,70.0,0.0,29.0,0.0,66.0,0,0
11:10:40,0.0,3.0,68.0,0.0,29.0,0.0,66.0,0,0
11:10:41,0.0,2.0,67.0,0.0,29.0,0.0,66.0,0,0
11:10:42,0.0,4.0,65.0,0.0,29.0,0.0,71.0,0,0
11:10:43,0.0,1.0,64.0,0.0,29.0,0.0,100.0,0,0
11:10:44,0.0,1.0,63.0,0.0,29.0,0.0,50.0,0,0
11:10:45,0.0,0.0,62.0,0.0,29.0,0.0,255.0,0,0
11:10:46,0.0,1.0,61.0,0.0,29.0,0.0,66.0,0,0
11:10:47,0.0,1.0,60.0,0.0,29.0,0.0,100.0,0,0
