Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
18:47:55,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:47:56,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:47:57,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:47:58,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:47:59,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:00,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:02,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:03,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:04,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:05,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:06,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:07,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:08,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:09,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:10,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:11,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:12,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:13,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:14,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:15,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:16,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:17,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:18,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:19,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:20,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:22,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:34,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:46,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:47,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:48,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:49:01,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:49:02,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:49:03,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:49:04,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:49:05,0.0,64.0,49.0,0.0,29.0,0.0,50.0,0,0
18:49:06,0.0,54.0,57.0,0.0,29.0,0.0,52.0,0,0
18:49:07,0.0,69.0,63.0,0.0,29.0,0.0,52.0,0,0
18:49:08,0.0,46.0,66.0,0.0,29.0,0.0,50.0,0,0
18:49:09,0.0,38.0,64.0,0.0,29.0,0.0,55.0,0,0
18:49:10,0.0,42.0,64.0,0.0,29.0,0.0,48.0,0,0
18:49:11,0.0,41.0,64.0,0.0,29.0,0.0,51.0,0,0
18:49:12,0.0,42.0,63.0,0.0,29.0,0.0,53.0,0,0
18:49:13,0.0,43.0,64.0,0.0,29.0,0.0,54.0,0,0
18:49:14,0.0,44.0,63.0,0.0,29.0,0.0,52.0,0,0
18:49:15,0.0,39.0,63.0,0.0,29.0,0.0,51.0,0,0
18:49:16,0.0,34.0,61.0,0.0,29.0,0.0,46.0,0,0
18:49:17,0.0,40.0,61.0,0.0,29.0,0.0,47.0,0,0
18:49:18,0.0,40.0,61.0,0.0,29.0,0.0,50.0,0,0
18:49:19,0.0,38.0,61.0,0.0,29.0,0.0,47.0,0,0
18:49:20,0.0,40.0,61.0,0.0,29.0,0.0,51.0,0,0
18:49:21,0.0,37.0,60.0,0.0,29.0,0.0,48.0,0,0
18:49:22,0.0,43.0,60.0,0.0,29.0,0.0,48.0,0,0
18:49:23,0.0,40.0,61.0,0.0,29.0,0.0,45.0,0,0
18:49:24,0.0,39.0,61.0,0.0,29.0,0.0,46.0,0,0
18:49:25,0.0,41.0,61.0,0.0,29.0,0.0,51.0,0,0
18:49:26,0.0,40.0,61.0,0.0,29.0,0.0,52.0,0,0
18:49:27,0.0,37.0,60.0,0.0,29.0,0.0,47.0,0,0
18:49:28,0.0,33.0,60.0,0.0,29.0,0.0,56.0,0,0
18:49:29,0.0,44.0,60.0,0.0,29.0,0.0,50.0,0,0
18:49:30,0.0,41.0,61.0,0.0,29.0,0.0,50.0,0,0
18:49:31,0.0,42.0,61.0,0.0,29.0,0.0,49.0,0,0
18:49:32,0.0,39.0,61.0,0.0,29.0,0.0,48.0,0,0
18:49:33,0.0,39.0,61.0,0.0,29.0,0.0,48.0,0,0
18:49:34,0.0,39.0,60.0,0.0,29.0,0.0,46.0,0,0
18:49:35,0.0,39.0,60.0,0.0,29.0,0.0,46.0,0,0
18:49:36,0.0,41.0,61.0,0.0,29.0,0.0,50.0,0,0
18:49:37,0.0,39.0,60.0,0.0,29.0,0.0,46.0,0,0
18:49:38,0.0,40.0,61.0,0.0,29.0,0.0,51.0,0,0
18:49:39,0.0,38.0,61.0,0.0,29.0,0.0,54.0,0,0
18:49:40,0.0,43.0,61.0,0.0,29.0,0.0,49.0,0,0
18:49:41,0.0,39.0,61.0,0.0,29.0,0.0,47.0,0,0
18:49:42,0.0,37.0,61.0,0.0,29.0,0.0,45.0,0,0
18:49:43,0.0,39.0,60.0,0.0,29.0,0.0,46.0,0,0
18:49:44,0.0,38.0,60.0,0.0,29.0,0.0,48.0,0,0
18:49:45,0.0,41.0,60.0,0.0,29.0,0.0,50.0,0,0
18:49:46,0.0,38.0,60.0,0.0,29.0,0.0,51.0,0,0
18:49:47,0.0,40.0,61.0,0.0,29.0,0.0,47.0,0,0
18:49:48,0.0,41.0,61.0,0.0,29.0,0.0,50.0,0,0
18:49:49,0.0,40.0,61.0,0.0,29.0,0.0,49.0,0,0
18:49:50,0.0,39.0,61.0,0.0,29.0,0.0,47.0,0,0
18:49:51,0.0,38.0,61.0,0.0,29.0,0.0,46.0,0,0
18:49:52,0.0,40.0,60.0,0.0,29.0,0.0,48.0,0,0
18:49:53,0.0,40.0,61.0,0.0,29.0,0.0,48.0,0,0
18:49:54,0.0,39.0,60.0,0.0,29.0,0.0,44.0,0,0
18:49:55,0.0,41.0,60.0,0.0,29.0,0.0,44.0,0,0
18:49:56,0.0,45.0,61.0,0.0,29.0,0.0,48.0,0,0
18:49:57,0.0,45.0,62.0,0.0,29.0,0.0,47.0,0,0
18:49:58,0.0,39.0,62.0,0.0,29.0,0.0,53.0,0,0
18:49:59,0.0,39.0,62.0,0.0,29.0,0.0,53.0,0,0
18:50:00,0.0,41.0,62.0,0.0,29.0,0.0,47.0,0,0
18:50:01,0.0,39.0,61.0,0.0,29.0,0.0,47.0,0,0
18:50:02,0.0,42.0,61.0,0.0,29.0,0.0,43.0,0,0
18:50:03,0.0,40.0,61.0,0.0,29.0,0.0,49.0,0,0
18:50:04,0.0,38.0,61.0,0.0,29.0,0.0,50.0,0,0
18:50:05,0.0,40.0,61.0,0.0,29.0,0.0,46.0,0,0
18:50:06,0.0,41.0,61.0,0.0,29.0,0.0,50.0,0,0
18:50:07,0.0,38.0,61.0,0.0,29.0,0.0,46.0,0,0
18:50:08,0.0,41.0,61.0,0.0,29.0,0.0,45.0,0,0
18:50:09,0.0,40.0,61.0,0.0,29.0,0.0,48.0,0,0
18:50:10,0.0,40.0,61.0,0.0,29.0,0.0,46.0,0,0
18:50:11,0.0,40.0,61.0,0.0,29.0,0.0,47.0,0,0
18:50:12,0.0,40.0,61.0,0.0,29.0,0.0,48.0,0,0
18:50:13,0.0,36.0,60.0,0.0,29.0,0.0,43.0,0,0
18:50:14,0.0,43.0,60.0,0.0,29.0,0.0,43.0,0,0
18:50:15,0.0,42.0,61.0,0.0,29.0,0.0,47.0,0,0
18:50:16,0.0,39.0,61.0,0.0,29.0,0.0,44.0,0,0
18:50:17,0.0,38.0,60.0,0.0,29.0,0.0,46.0,0,0
18:50:18,0.0,40.0,61.0,0.0,29.0,0.0,47.0,0,0
18:50:19,0.0,38.0,61.0,0.0,29.0,0.0,49.0,0,0
18:50:20,0.0,38.0,60.0,0.0,29.0,0.0,43.0,0,0
18:50:21,0.0,37.0,60.0,0.0,29.0,0.0,40.0,0,0
18:50:22,0.0,39.0,60.0,0.0,29.0,0.0,45.0,0,0
18:50:23,0.0,41.0,60.0,0.0,29.0,0.0,43.0,0,0
18:50:24,0.0,38.0,60.0,0.0,29.0,0.0,46.0,0,0
18:50:25,0.0,39.0,60.0,0.0,29.0,0.0,46.0,0,0
18:50:26,0.0,38.0,60.0,0.0,29.0,0.0,48.0,0,0
18:50:27,0.0,41.0,60.0,0.0,29.0,0.0,45.0,0,0
18:50:28,0.0,39.0,60.0,0.0,29.0,0.0,46.0,0,0
18:50:29,0.0,39.0,60.0,0.0,29.0,0.0,46.0,0,0
18:50:30,0.0,36.0,60.0,0.0,29.0,0.0,61.0,0,0
18:50:31,0.0,41.0,60.0,0.0,29.0,0.0,47.0,0,0
18:50:32,0.0,39.0,60.0,0.0,29.0,0.0,50.0,0,0
18:50:33,0.0,38.0,60.0,0.0,29.0,0.0,46.0,0,0
18:50:34,0.0,38.0,59.0,0.0,29.0,0.0,47.0,0,0
18:50:35,0.0,38.0,59.0,0.0,29.0,0.0,48.0,0,0
18:50:36,0.0,40.0,59.0,0.0,29.0,0.0,46.0,0,0
18:50:37,0.0,43.0,59.0,0.0,29.0,0.0,47.0,0,0
18:50:38,0.0,39.0,60.0,0.0,29.0,0.0,49.0,0,0
18:50:39,0.0,38.0,59.0,0.0,29.0,0.0,46.0,0,0
18:50:40,0.0,39.0,59.0,0.0,29.0,0.0,52.0,0,0
18:50:41,0.0,38.0,59.0,0.0,29.0,0.0,48.0,0,0
18:50:42,0.0,36.0,59.0,0.0,29.0,0.0,46.0,0,0
18:50:43,0.0,42.0,59.0,0.0,29.0,0.0,50.0,0,0
18:50:44,0.0,40.0,59.0,0.0,29.0,0.0,49.0,0,0
18:50:45,0.0,38.0,60.0,0.0,29.0,0.0,54.0,0,0
18:50:46,0.0,39.0,60.0,0.0,29.0,0.0,50.0,0,0
18:50:47,0.0,39.0,60.0,0.0,29.0,0.0,50.0,0,0
18:50:48,0.0,40.0,60.0,0.0,29.0,0.0,48.0,0,0
18:50:49,0.0,39.0,60.0,0.0,29.0,0.0,52.0,0,0
18:50:50,0.0,36.0,60.0,0.0,29.0,0.0,56.0,0,0
18:50:51,0.0,39.0,60.0,0.0,29.0,0.0,55.0,0,0
18:50:52,0.0,43.0,60.0,0.0,29.0,0.0,50.0,0,0
18:50:53,0.0,40.0,61.0,0.0,29.0,0.0,50.0,0,0
18:50:54,0.0,40.0,61.0,0.0,29.0,0.0,50.0,0,0
18:50:55,0.0,36.0,60.0,0.0,29.0,0.0,50.0,0,0
18:50:56,0.0,39.0,60.0,0.0,29.0,0.0,43.0,0,0
18:50:57,0.0,40.0,60.0,0.0,29.0,0.0,46.0,0,0
18:50:58,0.0,40.0,60.0,0.0,29.0,0.0,46.0,0,0
