Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
10:37:05,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
10:37:06,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
10:37:07,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
10:37:08,0.0,581.0,33.0,0.0,29.0,0.0,46.0,0,0
10:37:09,0.0,581.0,33.0,0.0,29.0,0.0,46.0,0,0
10:37:10,0.0,680.0,46.0,0.0,29.0,0.0,50.0,0,0
10:37:11,0.0,749.0,54.0,0.0,29.0,0.0,49.0,0,0
10:37:12,0.0,813.0,60.0,0.0,29.0,0.0,49.0,0,0
10:37:13,0.0,909.0,69.0,0.0,29.0,0.0,48.0,0,0
10:37:14,0.0,954.0,79.0,0.0,29.0,0.0,49.0,0,0
10:37:15,0.0,978.0,82.0,0.0,29.0,0.0,50.0,0,0
10:37:16,0.0,999.0,87.0,0.0,29.0,0.0,50.0,0,0
10:37:17,0.0,985.0,92.0,0.0,29.0,0.0,50.0,0,0
10:37:18,0.0,888.0,92.0,0.0,29.0,0.0,50.0,0,0
10:37:19,0.0,961.0,97.0,0.0,29.0,0.0,50.0,0,0
10:37:20,0.0,912.0,99.0,0.0,29.0,0.0,51.0,0,0
10:37:21,0.0,764.0,102.0,0.0,29.0,0.0,49.0,0,0
10:37:22,0.0,720.0,106.0,0.0,29.0,0.0,51.0,0,0
10:37:23,0.0,608.0,109.0,0.0,29.0,0.0,50.0,0,0
10:37:24,0.0,459.0,110.0,0.0,29.0,0.0,43.0,0,0
10:37:25,0.0,553.0,109.0,0.0,29.0,0.0,49.0,0,0
10:37:26,0.0,635.0,109.0,0.0,29.0,0.0,52.0,0,0
10:37:27,0.0,584.0,109.0,0.0,29.0,0.0,49.0,0,0
10:37:28,0.0,557.0,110.0,0.0,29.0,0.0,47.0,0,0
10:37:29,0.0,523.0,113.0,0.0,29.0,0.0,52.0,0,0
10:37:30,0.0,429.0,116.0,0.0,29.0,0.0,56.0,0,0
10:37:31,0.0,498.0,117.0,0.0,29.0,0.0,49.0,0,0
10:37:32,0.0,545.0,116.0,0.0,29.0,0.0,52.0,0,0
10:37:33,0.0,488.0,115.0,0.0,29.0,0.0,56.0,0,0
10:37:34,0.0,402.0,115.0,0.0,29.0,0.0,53.0,0,0
10:37:35,0.0,350.0,114.0,0.0,29.0,0.0,39.0,0,0
10:37:36,0.0,557.0,115.0,0.0,29.0,0.0,53.0,0,0
10:37:37,0.0,460.0,117.0,0.0,29.0,0.0,50.0,0,0
10:37:38,0.0,435.0,119.0,0.0,29.0,0.0,49.0,0,0
10:37:39,0.0,392.0,119.0,0.0,29.0,0.0,52.0,0,0
10:37:40,0.0,438.0,116.0,0.0,29.0,0.0,52.0,0,0
10:37:41,0.0,337.0,115.0,0.0,29.0,0.0,56.0,0,0
10:37:42,0.0,300.0,115.0,0.0,29.0,0.0,54.0,0,0
10:37:43,0.0,305.0,117.0,0.0,29.0,0.0,45.0,0,0
10:37:44,0.0,410.0,119.0,0.0,29.0,0.0,54.0,0,0
10:37:45,0.0,318.0,120.0,0.0,29.0,0.0,43.0,0,0
10:37:46,0.0,415.0,117.0,0.0,29.0,0.0,49.0,0,0
10:37:47,0.0,432.0,116.0,0.0,29.0,0.0,56.0,0,0
10:37:48,0.0,326.0,114.0,0.0,29.0,0.0,48.0,0,0
10:37:49,0.0,383.0,115.0,0.0,29.0,0.0,53.0,0,0
10:37:50,0.0,429.0,117.0,0.0,29.0,0.0,50.0,0,0
10:37:51,0.0,405.0,119.0,0.0,29.0,0.0,49.0,0,0
10:37:52,0.0,396.0,119.0,0.0,29.0,0.0,49.0,0,0
10:37:53,0.0,378.0,116.0,0.0,29.0,0.0,54.0,0,0
10:37:54,0.0,386.0,115.0,0.0,29.0,0.0,50.0,0,0
10:37:55,0.0,426.0,114.0,0.0,29.0,0.0,48.0,0,0
10:37:56,0.0,441.0,115.0,0.0,29.0,0.0,52.0,0,0
10:37:57,0.0,406.0,116.0,0.0,29.0,0.0,51.0,0,0
10:37:58,0.0,454.0,119.0,0.0,29.0,0.0,51.0,0,0
10:37:59,0.0,403.0,120.0,0.0,29.0,0.0,51.0,0,0
10:38:00,0.0,363.0,117.0,0.0,29.0,0.0,53.0,0,0
10:38:01,0.0,319.0,114.0,0.0,29.0,0.0,54.0,0,0
10:38:02,0.0,377.0,115.0,0.0,29.0,0.0,51.0,0,0
10:38:03,0.0,414.0,115.0,0.0,29.0,0.0,52.0,0,0
10:38:04,0.0,366.0,116.0,0.0,29.0,0.0,52.0,0,0
10:38:05,0.0,385.0,118.0,0.0,29.0,0.0,56.0,0,0
10:38:06,0.0,388.0,118.0,0.0,29.0,0.0,52.0,0,0
10:38:07,0.0,383.0,115.0,0.0,29.0,0.0,54.0,0,0
10:38:08,0.0,387.0,113.0,0.0,29.0,0.0,55.0,0,0
10:38:09,0.0,293.0,113.0,0.0,29.0,0.0,48.0,0,0
10:38:10,0.0,468.0,114.0,0.0,29.0,0.0,49.0,0,0
10:38:11,0.0,579.0,117.0,0.0,29.0,0.0,50.0,0,0
10:38:12,0.0,610.0,119.0,0.0,29.0,0.0,50.0,0,0
10:38:13,0.0,644.0,118.0,0.0,29.0,0.0,52.0,0,0
10:38:14,0.0,634.0,115.0,0.0,29.0,0.0,51.0,0,0
10:38:15,0.0,636.0,115.0,0.0,29.0,0.0,51.0,0,0
10:38:16,0.0,580.0,114.0,0.0,29.0,0.0,51.0,0,0
10:38:17,0.0,540.0,115.0,0.0,29.0,0.0,48.0,0,0
10:38:18,0.0,635.0,117.0,0.0,29.0,0.0,52.0,0,0
10:38:19,0.0,620.0,119.0,0.0,29.0,0.0,50.0,0,0
10:38:20,0.0,645.0,119.0,0.0,29.0,0.0,52.0,0,0
10:38:21,0.0,611.0,116.0,0.0,29.0,0.0,51.0,0,0
10:38:22,0.0,631.0,115.0,0.0,29.0,0.0,51.0,0,0
10:38:23,0.0,587.0,114.0,0.0,29.0,0.0,51.0,0,0
10:38:24,0.0,578.0,115.0,0.0,29.0,0.0,50.0,0,0
10:38:25,0.0,600.0,118.0,0.0,29.0,0.0,51.0,0,0
10:38:26,0.0,630.0,120.0,0.0,29.0,0.0,50.0,0,0
10:38:27,0.0,630.0,119.0,0.0,29.0,0.0,52.0,0,0
10:38:28,0.0,593.0,116.0,0.0,29.0,0.0,51.0,0,0
10:38:29,0.0,585.0,116.0,0.0,29.0,0.0,50.0,0,0
10:38:30,0.0,532.0,115.0,0.0,29.0,0.0,50.0,0,0
10:38:31,0.0,559.0,116.0,0.0,29.0,0.0,50.0,0,0
10:38:32,0.0,583.0,119.0,0.0,29.0,0.0,51.0,0,0
10:38:33,0.0,596.0,119.0,0.0,29.0,0.0,50.0,0,0
10:38:34,0.0,571.0,118.0,0.0,29.0,0.0,51.0,0,0
10:38:35,0.0,554.0,116.0,0.0,29.0,0.0,52.0,0,0
10:38:36,0.0,522.0,115.0,0.0,29.0,0.0,52.0,0,0
10:38:37,0.0,476.0,114.0,0.0,29.0,0.0,54.0,0,0
10:38:38,0.0,413.0,114.0,0.0,29.0,0.0,52.0,0,0
10:38:39,0.0,453.0,109.0,0.0,29.0,0.0,52.0,0,0
10:38:40,0.0,471.0,111.0,0.0,29.0,0.0,50.0,0,0
10:38:41,0.0,465.0,115.0,0.0,29.0,0.0,50.0,0,0
10:38:42,0.0,587.0,114.0,0.0,29.0,0.0,52.0,0,0
10:38:43,0.0,591.0,114.0,0.0,29.0,0.0,51.0,0,0
10:38:44,0.0,530.0,115.0,0.0,29.0,0.0,53.0,0,0
10:38:45,0.0,470.0,115.0,0.0,29.0,0.0,50.0,0,0
10:38:46,0.0,402.0,119.0,0.0,29.0,0.0,42.0,0,0
10:38:47,0.0,486.0,119.0,0.0,29.0,0.0,50.0,0,0
10:38:48,0.0,506.0,119.0,0.0,29.0,0.0,56.0,0,0
10:38:49,0.0,424.0,117.0,0.0,29.0,0.0,55.0,0,0
10:38:50,0.0,433.0,116.0,0.0,29.0,0.0,53.0,0,0
10:38:51,0.0,277.0,115.0,0.0,29.0,0.0,46.0,0,0
10:38:52,0.0,410.0,116.0,0.0,29.0,0.0,50.0,0,0
10:38:53,0.0,320.0,119.0,0.0,29.0,0.0,62.0,0,0
10:38:54,0.0,362.0,120.0,0.0,29.0,0.0,53.0,0,0
10:38:55,0.0,459.0,120.0,0.0,29.0,0.0,57.0,0,0
10:38:56,0.0,351.0,117.0,0.0,29.0,0.0,51.0,0,0
10:38:57,0.0,333.0,116.0,0.0,29.0,0.0,58.0,0,0
10:38:58,0.0,247.0,115.0,0.0,29.0,0.0,50.0,0,0
10:38:59,0.0,277.0,115.0,0.0,29.0,0.0,41.0,0,0
10:39:00,0.0,456.0,117.0,0.0,29.0,0.0,52.0,0,0
10:39:01,0.0,527.0,120.0,0.0,29.0,0.0,51.0,0,0
10:39:02,0.0,516.0,119.0,0.0,29.0,0.0,54.0,0,0
10:39:03,0.0,405.0,117.0,0.0,29.0,0.0,53.0,0,0
10:39:04,0.0,282.0,116.0,0.0,29.0,0.0,59.0,0,0
10:39:05,0.0,272.0,115.0,0.0,29.0,0.0,46.0,0,0
10:39:06,0.0,425.0,117.0,0.0,29.0,0.0,52.0,0,0
10:39:07,0.0,183.0,119.0,0.0,29.0,0.0,48.0,0,0
10:39:08,0.0,320.0,119.0,0.0,29.0,0.0,50.0,0,0
10:39:09,0.0,423.0,117.0,0.0,29.0,0.0,53.0,0,0
10:39:10,0.0,216.0,114.0,0.0,29.0,0.0,52.0,0,0
10:39:11,0.0,304.0,114.0,0.0,29.0,0.0,51.0,0,0
10:39:12,0.0,338.0,114.0,0.0,29.0,0.0,51.0,0,0
10:39:13,0.0,336.0,117.0,0.0,29.0,0.0,48.0,0,0
10:39:14,0.0,404.0,117.0,0.0,29.0,0.0,46.0,0,0
10:39:15,0.0,509.0,119.0,0.0,29.0,0.0,52.0,0,0
10:39:16,0.0,485.0,118.0,0.0,29.0,0.0,55.0,0,0
10:39:17,0.0,370.0,116.0,0.0,29.0,0.0,56.0,0,0
10:39:18,0.0,130.0,114.0,0.0,29.0,0.0,45.0,0,0
10:39:19,0.0,336.0,113.0,0.0,29.0,0.0,49.0,0,0
10:39:20,0.0,387.0,116.0,0.0,29.0,0.0,49.0,0,0
10:39:21,0.0,460.0,119.0,0.0,29.0,0.0,52.0,0,0
10:39:22,0.0,423.0,120.0,0.0,29.0,0.0,52.0,0,0
10:39:23,0.0,425.0,117.0,0.0,29.0,0.0,53.0,0,0
10:39:24,0.0,167.0,115.0,0.0,29.0,0.0,52.0,0,0
