Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
18:59:20,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
18:59:21,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
18:59:22,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
18:59:23,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
19:00:47,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
19:00:48,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
19:00:49,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
19:00:50,0.0,566.0,30.0,0.0,30.0,0.0,42.0,0,0
19:00:51,0.0,749.0,45.0,0.0,30.0,0.0,47.0,0,0
19:00:52,0.0,837.0,53.0,0.0,30.0,0.0,48.0,0,0
19:00:53,0.0,924.0,60.0,0.0,30.0,0.0,47.0,0,0
19:00:54,0.0,891.0,68.0,0.0,30.0,0.0,48.0,0,0
19:00:55,0.0,951.0,74.0,0.0,30.0,0.0,45.0,0,0
19:00:56,0.0,975.0,78.0,0.0,30.0,0.0,49.0,0,0
19:00:57,0.0,961.0,82.0,0.0,30.0,0.0,49.0,0,0
19:00:58,0.0,927.0,88.0,0.0,30.0,0.0,52.0,0,0
19:00:59,0.0,958.0,91.0,0.0,30.0,0.0,51.0,0,0
19:01:00,0.0,1005.0,94.0,0.0,30.0,0.0,50.0,0,0
19:01:01,0.0,975.0,95.0,0.0,30.0,0.0,53.0,0,0
19:01:02,0.0,682.0,99.0,0.0,30.0,0.0,53.0,0,0
19:01:03,0.0,637.0,101.0,0.0,30.0,0.0,47.0,0,0
19:01:04,0.0,668.0,104.0,0.0,30.0,0.0,46.0,0,0
19:01:05,0.0,748.0,107.0,0.0,30.0,0.0,50.0,0,0
19:01:06,0.0,798.0,110.0,0.0,30.0,0.0,47.0,0,0
19:01:07,0.0,748.0,111.0,0.0,30.0,0.0,49.0,0,0
19:01:08,0.0,525.0,111.0,0.0,30.0,0.0,52.0,0,0
19:01:09,0.0,589.0,110.0,0.0,30.0,0.0,52.0,0,0
19:01:10,0.0,562.0,110.0,0.0,30.0,0.0,48.0,0,0
19:01:11,0.0,494.0,114.0,0.0,30.0,0.0,53.0,0,0
19:01:12,0.0,404.0,116.0,0.0,30.0,0.0,55.0,0,0
19:01:13,0.0,443.0,117.0,0.0,30.0,0.0,48.0,0,0
19:01:14,0.0,565.0,116.0,0.0,30.0,0.0,48.0,0,0
19:01:15,0.0,644.0,115.0,0.0,30.0,0.0,47.0,0,0
19:01:16,0.0,669.0,115.0,0.0,30.0,0.0,52.0,0,0
19:01:17,0.0,619.0,116.0,0.0,30.0,0.0,51.0,0,0
19:01:18,0.0,584.0,119.0,0.0,30.0,0.0,52.0,0,0
19:01:19,0.0,444.0,121.0,0.0,30.0,0.0,49.0,0,0
19:01:20,0.0,387.0,122.0,0.0,30.0,0.0,58.0,0,0
19:01:21,0.0,205.0,118.0,0.0,30.0,0.0,58.0,0,0
19:01:22,0.0,238.0,117.0,0.0,30.0,0.0,53.0,0,0
19:01:23,0.0,348.0,115.0,0.0,30.0,0.0,51.0,0,0
19:01:24,0.0,435.0,116.0,0.0,30.0,0.0,49.0,0,0
19:01:25,0.0,480.0,120.0,0.0,30.0,0.0,51.0,0,0
19:01:26,0.0,506.0,121.0,0.0,30.0,0.0,51.0,0,0
19:01:27,0.0,435.0,122.0,0.0,30.0,0.0,52.0,0,0
19:01:28,0.0,379.0,118.0,0.0,30.0,0.0,58.0,0,0
19:01:29,0.0,201.0,117.0,0.0,30.0,0.0,45.0,0,0
19:01:30,0.0,369.0,115.0,0.0,30.0,0.0,49.0,0,0
19:01:31,0.0,509.0,117.0,0.0,30.0,0.0,48.0,0,0
19:01:32,0.0,388.0,121.0,0.0,30.0,0.0,59.0,0,0
19:01:33,0.0,216.0,121.0,0.0,30.0,0.0,48.0,0,0
19:01:34,0.0,347.0,120.0,0.0,30.0,0.0,61.0,0,0
19:01:35,0.0,327.0,117.0,0.0,30.0,0.0,49.0,0,0
19:01:36,0.0,354.0,115.0,0.0,30.0,0.0,50.0,0,0
19:01:37,0.0,288.0,115.0,0.0,30.0,0.0,50.0,0,0
19:01:38,0.0,430.0,115.0,0.0,30.0,0.0,49.0,0,0
19:01:39,0.0,481.0,119.0,0.0,30.0,0.0,51.0,0,0
19:01:40,0.0,439.0,121.0,0.0,30.0,0.0,49.0,0,0
19:01:41,0.0,377.0,120.0,0.0,30.0,0.0,55.0,0,0
19:01:42,0.0,219.0,117.0,0.0,30.0,0.0,45.0,0,0
19:01:43,0.0,328.0,115.0,0.0,30.0,0.0,43.0,0,0
19:01:44,0.0,404.0,115.0,0.0,30.0,0.0,50.0,0,0
19:01:45,0.0,481.0,116.0,0.0,30.0,0.0,50.0,0,0
19:01:46,0.0,408.0,119.0,0.0,30.0,0.0,52.0,0,0
19:01:47,0.0,497.0,120.0,0.0,30.0,0.0,51.0,0,0
19:01:48,0.0,245.0,119.0,0.0,30.0,0.0,56.0,0,0
19:01:49,0.0,227.0,116.0,0.0,30.0,0.0,45.0,0,0
19:01:50,0.0,422.0,115.0,0.0,30.0,0.0,45.0,0,0
19:01:51,0.0,428.0,115.0,0.0,30.0,0.0,48.0,0,0
19:01:52,0.0,483.0,117.0,0.0,30.0,0.0,53.0,0,0
19:01:53,0.0,568.0,120.0,0.0,30.0,0.0,49.0,0,0
19:01:54,0.0,615.0,122.0,0.0,30.0,0.0,48.0,0,0
19:01:55,0.0,359.0,119.0,0.0,30.0,0.0,50.0,0,0
19:01:56,0.0,327.0,116.0,0.0,30.0,0.0,48.0,0,0
19:01:57,0.0,363.0,115.0,0.0,30.0,0.0,56.0,0,0
19:01:58,0.0,404.0,115.0,0.0,30.0,0.0,50.0,0,0
19:01:59,0.0,455.0,118.0,0.0,30.0,0.0,53.0,0,0
19:02:00,0.0,423.0,120.0,0.0,30.0,0.0,50.0,0,0
19:02:01,0.0,455.0,120.0,0.0,30.0,0.0,51.0,0,0
19:02:02,0.0,397.0,117.0,0.0,30.0,0.0,50.0,0,0
19:02:03,0.0,459.0,116.0,0.0,30.0,0.0,54.0,0,0
19:02:04,0.0,507.0,115.0,0.0,30.0,0.0,54.0,0,0
19:02:05,0.0,480.0,116.0,0.0,30.0,0.0,50.0,0,0
19:02:06,0.0,405.0,119.0,0.0,30.0,0.0,51.0,0,0
19:02:07,0.0,543.0,121.0,0.0,30.0,0.0,50.0,0,0
19:02:08,0.0,598.0,121.0,0.0,30.0,0.0,53.0,0,0
19:02:09,0.0,449.0,118.0,0.0,30.0,0.0,52.0,0,0
19:02:10,0.0,390.0,117.0,0.0,30.0,0.0,45.0,0,0
19:02:11,0.0,412.0,116.0,0.0,30.0,0.0,52.0,0,0
19:02:12,0.0,385.0,117.0,0.0,30.0,0.0,50.0,0,0
19:02:13,0.0,471.0,120.0,0.0,30.0,0.0,48.0,0,0
19:02:14,0.0,488.0,121.0,0.0,30.0,0.0,53.0,0,0
19:02:15,0.0,281.0,119.0,0.0,30.0,0.0,51.0,0,0
19:02:16,0.0,310.0,117.0,0.0,30.0,0.0,50.0,0,0
