Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
10:05:28,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
10:06:40,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
10:06:41,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
10:06:42,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
10:06:43,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
10:06:53,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
10:07:06,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
10:07:07,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
10:07:28,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
10:07:29,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
10:07:30,11.6,0.0,0.0,0.0,30.0,0.0,255.0,0,0
10:07:31,14.9,427.0,29.0,0.0,30.0,0.0,46.0,0,0
10:07:32,19.86,427.0,29.0,0.0,30.0,0.0,46.0,0,0
10:07:33,23.86,548.0,42.0,0.0,30.0,0.0,49.0,0,0
10:07:34,27.3,595.0,49.0,0.0,30.0,0.0,46.0,0,0
10:07:35,31.12,687.0,57.0,0.0,30.0,0.0,49.0,0,0
10:07:36,36.27,733.0,66.0,0.0,30.0,0.0,49.0,0,0
10:07:37,41.04,825.0,76.0,0.0,30.0,0.0,52.0,0,0
10:07:38,43.43,770.0,82.0,0.0,30.0,0.0,51.0,0,0
10:07:39,45.15,830.0,86.0,0.0,30.0,0.0,49.0,0,0
10:07:40,47.17,857.0,90.0,0.0,30.0,0.0,49.0,0,0
10:07:41,48.88,853.0,95.0,0.0,30.0,0.0,50.0,0,0
10:07:42,50.36,818.0,97.0,0.0,30.0,0.0,50.0,0,0
10:07:43,51.81,705.0,99.0,0.0,30.0,0.0,48.0,0,0
10:07:44,53.56,479.0,100.0,0.0,30.0,0.0,46.0,0,0
10:07:45,54.37,546.0,101.0,0.0,30.0,0.0,52.0,0,0
10:07:46,55.67,563.0,103.0,0.0,30.0,0.0,50.0,0,0
10:07:47,57.05,578.0,107.0,0.0,30.0,0.0,53.0,0,0
10:07:48,57.71,525.0,110.0,0.0,30.0,0.0,57.0,0,0
10:07:49,56.67,280.0,109.0,0.0,30.0,0.0,82.0,0,0
10:07:50,55.78,138.0,107.0,0.0,30.0,0.0,12.0,0,0
10:07:51,56.1,450.0,106.0,0.0,30.0,0.0,51.0,0,0
10:07:52,56.44,373.0,107.0,0.0,30.0,0.0,43.0,0,0
10:07:53,58.17,360.0,107.0,0.0,30.0,0.0,54.0,0,0
10:07:54,59.57,457.0,112.0,0.0,30.0,0.0,54.0,0,0
10:07:55,60.45,463.0,114.0,0.0,30.0,0.0,54.0,0,0
10:07:56,60.6,57.0,113.0,0.0,30.0,0.0,5.0,0,0
10:07:57,57.87,378.0,111.0,0.0,30.0,0.0,34.0,0,0
10:07:58,57.55,475.0,110.0,0.0,30.0,0.0,53.0,0,0
10:07:59,57.97,502.0,110.0,0.0,30.0,0.0,50.0,0,0
10:08:00,58.5,392.0,111.0,0.0,30.0,0.0,52.0,0,0
10:08:01,60.24,376.0,112.0,0.0,30.0,0.0,58.0,0,0
10:08:02,61.27,464.0,114.0,0.0,30.0,0.0,51.0,0,0
10:08:03,61.85,362.0,117.0,0.0,30.0,0.0,56.0,0,0
10:08:04,60.02,123.0,115.0,0.0,30.0,0.0,74.0,0,0
10:08:05,58.38,366.0,112.0,0.0,30.0,0.0,54.0,0,0
10:08:06,58.7,436.0,112.0,0.0,30.0,0.0,56.0,0,0
10:08:07,58.86,263.0,112.0,0.0,30.0,0.0,61.0,0,0
10:08:08,60.09,212.0,111.0,0.0,30.0,0.0,61.0,0,0
10:08:09,60.97,377.0,113.0,0.0,30.0,0.0,48.0,0,0
