Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
19:00:51,0.0,792.0,71.0,0.0,30.0,0.0,48.0,0,0
19:00:52,39.05,999.0,73.0,0.0,30.0,0.0,50.0,0,0
19:00:53,41.9,859.0,76.0,0.0,30.0,0.0,49.0,0,0
19:00:54,44.25,933.0,79.0,0.0,30.0,0.0,49.0,0,0
19:00:55,46.63,1074.0,84.0,0.0,30.0,0.0,49.0,0,0
19:00:56,49.1,1086.0,89.0,0.0,30.0,0.0,50.0,0,0
19:00:57,50.35,926.0,91.0,0.0,30.0,0.0,52.0,0,0
19:00:58,51.88,807.0,93.0,0.0,30.0,0.0,48.0,0,0
19:00:59,53.28,943.0,96.0,0.0,30.0,0.0,49.0,0,0
19:01:00,55.89,944.0,97.0,0.0,30.0,0.0,50.0,0,0
19:01:01,59.38,817.0,103.0,0.0,30.0,0.0,52.0,0,0
19:01:02,60.5,770.0,106.0,0.0,30.0,0.0,50.0,0,0
19:01:03,61.55,749.0,109.0,0.0,30.0,0.0,52.0,0,0
19:01:04,61.21,765.0,110.0,0.0,30.0,0.0,53.0,0,0
19:01:05,60.2,691.0,109.0,0.0,30.0,0.0,52.0,0,0
19:01:06,61.07,596.0,109.0,0.0,30.0,0.0,50.0,0,0
19:01:07,61.77,448.0,110.0,0.0,30.0,0.0,41.0,0,0
19:01:08,62.5,598.0,110.0,0.0,30.0,0.0,51.0,0,0
19:01:09,65.01,673.0,114.0,0.0,30.0,0.0,51.0,0,0
19:01:10,66.07,693.0,117.0,0.0,30.0,0.0,52.0,0,0
19:01:11,65.82,723.0,118.0,0.0,30.0,0.0,51.0,0,0
19:01:12,64.52,738.0,118.0,0.0,30.0,0.0,53.0,0,0
19:01:13,64.9,562.0,116.0,0.0,30.0,0.0,47.0,0,0
19:01:14,64.9,438.0,116.0,0.0,30.0,0.0,39.0,0,0
19:01:15,66.72,528.0,115.0,0.0,30.0,0.0,43.0,0,0
19:01:16,68.03,523.0,118.0,0.0,30.0,0.0,47.0,0,0
19:01:17,68.03,523.0,120.0,0.0,30.0,0.0,52.0,0,0
19:01:18,67.2,530.0,121.0,0.0,30.0,0.0,51.0,0,0
19:01:19,65.22,427.0,118.0,0.0,30.0,0.0,46.0,0,0
19:01:20,65.32,472.0,117.0,0.0,30.0,0.0,53.0,0,0
19:01:21,65.24,372.0,116.0,0.0,30.0,0.0,42.0,0,0
19:01:22,67.55,521.0,116.0,0.0,30.0,0.0,44.0,0,0
19:01:23,68.63,664.0,120.0,0.0,30.0,0.0,50.0,0,0
19:01:24,68.7,659.0,122.0,0.0,30.0,0.0,50.0,0,0
19:01:25,66.82,684.0,121.0,0.0,30.0,0.0,52.0,0,0
19:01:26,65.42,624.0,118.0,0.0,30.0,0.0,51.0,0,0
19:01:27,65.38,612.0,117.0,0.0,30.0,0.0,52.0,0,0
19:01:28,65.84,549.0,116.0,0.0,30.0,0.0,46.0,0,0
19:01:29,67.87,603.0,117.0,0.0,30.0,0.0,49.0,0,0
19:01:30,68.4,623.0,120.0,0.0,30.0,0.0,50.0,0,0
19:01:31,67.96,679.0,121.0,0.0,30.0,0.0,51.0,0,0
19:01:32,65.7,679.0,120.0,0.0,30.0,0.0,51.0,0,0
19:01:33,65.05,595.0,117.0,0.0,30.0,0.0,51.0,0,0
19:01:34,65.03,515.0,117.0,0.0,30.0,0.0,48.0,0,0
19:01:35,66.07,582.0,115.0,0.0,30.0,0.0,49.0,0,0
19:01:36,68.03,626.0,117.0,0.0,30.0,0.0,51.0,0,0
19:01:37,68.17,638.0,120.0,0.0,30.0,0.0,50.0,0,0
19:01:38,67.47,666.0,121.0,0.0,30.0,0.0,51.0,0,0
19:01:39,65.24,679.0,118.0,0.0,30.0,0.0,50.0,0,0
19:01:40,64.89,602.0,117.0,0.0,30.0,0.0,52.0,0,0
19:01:41,64.82,550.0,115.0,0.0,30.0,0.0,49.0,0,0
19:01:42,66.19,573.0,115.0,0.0,30.0,0.0,49.0,0,0
19:01:43,67.83,631.0,117.0,0.0,30.0,0.0,51.0,0,0
19:01:44,67.83,632.0,120.0,0.0,30.0,0.0,49.0,0,0
19:01:45,67.49,671.0,120.0,0.0,30.0,0.0,51.0,0,0
19:01:46,65.24,666.0,118.0,0.0,30.0,0.0,51.0,0,0
19:01:47,64.82,634.0,116.0,0.0,30.0,0.0,50.0,0,0
19:01:48,64.63,556.0,115.0,0.0,30.0,0.0,51.0,0,0
19:01:49,66.25,564.0,114.0,0.0,31.0,0.0,47.0,0,0
19:01:50,66.11,543.0,114.0,0.0,31.0,0.0,49.0,0,0
19:01:51,63.36,517.0,110.0,0.0,31.0,0.0,46.0,0,0
19:01:52,63.27,526.0,114.0,0.0,31.0,0.0,51.0,0,0
19:01:53,64.17,639.0,117.0,0.0,31.0,0.0,53.0,0,0
19:01:54,64.4,582.0,116.0,0.0,31.0,0.0,53.0,0,0
19:01:55,64.6,407.0,115.0,0.0,31.0,0.0,47.0,0,0
19:01:56,65.93,455.0,115.0,0.0,31.0,0.0,42.0,0,0
19:01:57,68.23,473.0,118.0,0.0,31.0,0.0,54.0,0,0
19:01:58,68.23,429.0,120.0,0.0,31.0,0.0,50.0,0,0
19:01:59,67.25,439.0,121.0,0.0,31.0,0.0,50.0,0,0
19:02:00,65.3,383.0,118.0,0.0,31.0,0.0,47.0,0,0
19:02:01,64.77,281.0,116.0,0.0,31.0,0.0,48.0,0,0
19:02:02,64.6,401.0,115.0,0.0,31.0,0.0,54.0,0,0
19:02:03,66.08,485.0,115.0,0.0,31.0,0.0,48.0,0,0
19:02:04,68.17,528.0,119.0,0.0,31.0,0.0,52.0,0,0
19:02:05,68.36,343.0,120.0,0.0,31.0,0.0,39.0,0,0
19:02:06,67.0,457.0,120.0,0.0,31.0,0.0,52.0,0,0
19:02:07,65.07,334.0,118.0,0.0,31.0,0.0,40.0,0,0
19:02:08,64.97,502.0,117.0,0.0,31.0,0.0,50.0,0,0
19:02:09,65.31,519.0,116.0,0.0,31.0,0.0,49.0,0,0
19:02:10,67.78,454.0,117.0,0.0,31.0,0.0,51.0,0,0
19:02:11,68.7,414.0,120.0,0.0,31.0,0.0,52.0,0,0
19:02:12,68.3,416.0,121.0,0.0,31.0,0.0,46.0,0,0
