Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
10:07:35,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
10:07:36,0.0,633.0,67.0,0.0,29.0,0.0,47.0,0,0
10:07:37,0.0,695.0,75.0,0.0,29.0,0.0,49.0,0,0
10:07:38,0.0,725.0,79.0,0.0,29.0,0.0,48.0,0,0
10:07:39,0.0,833.0,84.0,0.0,29.0,0.0,49.0,0,0
10:07:40,0.0,798.0,91.0,0.0,29.0,0.0,51.0,0,0
10:07:41,0.0,640.0,93.0,0.0,29.0,0.0,53.0,0,0
10:07:42,0.0,572.0,95.0,0.0,29.0,0.0,46.0,0,0
10:07:43,0.0,741.0,97.0,0.0,29.0,0.0,49.0,0,0
10:07:44,0.0,665.0,100.0,0.0,29.0,0.0,48.0,0,0
10:07:45,0.0,657.0,103.0,0.0,29.0,0.0,53.0,0,0
10:07:46,0.0,602.0,104.0,0.0,29.0,0.0,57.0,0,0
10:07:47,0.0,463.0,108.0,0.0,29.0,0.0,58.0,0,0
10:07:48,0.0,305.0,108.0,0.0,29.0,0.0,50.0,0,0
10:07:49,0.0,383.0,109.0,0.0,29.0,0.0,42.0,0,0
10:07:50,0.0,419.0,108.0,0.0,29.0,0.0,55.0,0,0
10:07:51,0.0,514.0,108.0,0.0,29.0,0.0,49.0,0,0
10:07:52,0.0,435.0,108.0,0.0,29.0,0.0,46.0,0,0
10:07:53,0.0,420.0,108.0,0.0,29.0,0.0,46.0,0,0
10:07:54,0.0,480.0,111.0,0.0,29.0,0.0,47.0,0,0
10:07:55,0.0,292.0,115.0,0.0,29.0,0.0,42.0,0,0
10:07:56,0.0,394.0,115.0,0.0,29.0,0.0,44.0,0,0
10:07:57,0.0,347.0,114.0,0.0,29.0,0.0,47.0,0,0
10:07:58,0.0,298.0,113.0,0.0,29.0,0.0,49.0,0,0
10:07:59,0.0,516.0,113.0,0.0,29.0,0.0,48.0,0,0
10:08:00,0.0,337.0,112.0,0.0,29.0,0.0,42.0,0,0
10:08:01,0.0,453.0,112.0,0.0,29.0,0.0,51.0,0,0
10:08:02,0.0,420.0,115.0,0.0,29.0,0.0,59.0,0,0
10:08:03,0.0,232.0,117.0,0.0,29.0,0.0,36.0,0,0
10:08:04,0.0,382.0,117.0,0.0,29.0,0.0,50.0,0,0
10:08:05,0.0,350.0,115.0,0.0,29.0,0.0,55.0,0,0
10:08:06,0.0,213.0,114.0,0.0,29.0,0.0,44.0,0,0
10:08:07,0.0,340.0,113.0,0.0,29.0,0.0,46.0,0,0
10:08:08,0.0,450.0,112.0,0.0,29.0,0.0,51.0,0,0
10:08:09,0.0,505.0,115.0,0.0,29.0,0.0,49.0,0,0
10:08:10,0.0,494.0,118.0,0.0,29.0,0.0,53.0,0,0
10:08:11,0.0,510.0,119.0,0.0,29.0,0.0,50.0,0,0
10:08:12,0.0,479.0,119.0,0.0,29.0,0.0,45.0,0,0
10:08:13,0.0,462.0,116.0,0.0,29.0,0.0,44.0,0,0
10:08:14,0.0,497.0,115.0,0.0,29.0,0.0,50.0,0,0
10:08:15,0.0,465.0,114.0,0.0,29.0,0.0,48.0,0,0
10:08:16,0.0,484.0,113.0,0.0,29.0,0.0,52.0,0,0
10:08:17,0.0,490.0,116.0,0.0,29.0,0.0,52.0,0,0
10:08:18,0.0,433.0,118.0,0.0,29.0,0.0,49.0,0,0
10:08:19,0.0,479.0,118.0,0.0,29.0,0.0,50.0,0,0
10:08:20,0.0,456.0,116.0,0.0,29.0,0.0,56.0,0,0
10:08:21,0.0,479.0,114.0,0.0,29.0,0.0,49.0,0,0
10:08:22,0.0,481.0,113.0,0.0,29.0,0.0,52.0,0,0
