Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
19:00:46,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
19:00:47,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
19:00:48,16.57,0.0,0.0,0.0,29.0,0.0,255.0,0,0
19:00:49,22.32,0.0,0.0,0.0,29.0,0.0,255.0,0,0
19:00:50,26.85,794.0,40.0,0.0,29.0,0.0,47.0,0,0
19:00:51,30.09,856.0,51.0,0.0,29.0,0.0,47.0,0,0
19:00:52,34.79,889.0,58.0,0.0,29.0,0.0,47.0,0,0
19:00:53,38.58,970.0,66.0,0.0,29.0,0.0,49.0,0,0
19:00:54,41.88,1052.0,75.0,0.0,29.0,0.0,49.0,0,0
19:00:55,44.36,1064.0,79.0,0.0,29.0,0.0,48.0,0,0
19:00:56,47.04,1140.0,83.0,0.0,29.0,0.0,49.0,0,0
19:00:57,48.73,1163.0,88.0,0.0,29.0,0.0,49.0,0,0
19:00:58,50.05,1139.0,91.0,0.0,29.0,0.0,51.0,0,0
19:00:59,51.6,1149.0,93.0,0.0,29.0,0.0,50.0,0,0
19:01:00,53.51,1144.0,95.0,0.0,29.0,0.0,52.0,0,0
19:01:01,55.53,1131.0,99.0,0.0,29.0,0.0,50.0,0,0
19:01:02,58.76,1074.0,100.0,0.0,29.0,0.0,50.0,0,0
19:01:03,60.37,1049.0,106.0,0.0,29.0,0.0,51.0,0,0
19:01:04,61.52,1026.0,108.0,0.0,29.0,0.0,51.0,0,0
19:01:05,61.17,954.0,110.0,0.0,29.0,0.0,51.0,0,0
19:01:06,60.15,777.0,110.0,0.0,29.0,0.0,54.0,0,0
19:01:07,61.0,770.0,109.0,0.0,29.0,0.0,55.0,0,0
19:01:08,61.32,736.0,110.0,0.0,29.0,0.0,50.0,0,0
19:01:09,63.54,748.0,110.0,0.0,29.0,0.0,49.0,0,0
19:01:10,65.51,833.0,114.0,0.0,29.0,0.0,50.0,0,0
19:01:11,66.22,854.0,117.0,0.0,29.0,0.0,50.0,0,0
19:01:12,66.37,814.0,119.0,0.0,29.0,0.0,52.0,0,0
19:01:13,64.47,749.0,116.0,0.0,29.0,0.0,51.0,0,0
19:01:14,64.28,716.0,115.0,0.0,29.0,0.0,51.0,0,0
19:01:15,64.54,706.0,115.0,0.0,29.0,0.0,49.0,0,0
19:01:16,66.2,707.0,116.0,0.0,29.0,0.0,53.0,0,0
19:01:17,67.9,729.0,118.0,0.0,29.0,0.0,51.0,0,0
19:01:18,68.08,696.0,120.0,0.0,29.0,0.0,51.0,0,0
19:01:19,67.25,689.0,121.0,0.0,29.0,0.0,53.0,0,0
19:01:20,65.4,667.0,118.0,0.0,29.0,0.0,53.0,0,0
19:01:21,65.32,549.0,117.0,0.0,29.0,0.0,52.0,0,0
19:01:22,65.28,493.0,117.0,0.0,29.0,0.0,52.0,0,0
19:01:23,67.1,529.0,115.0,0.0,29.0,0.0,50.0,0,0
19:01:24,65.73,474.0,113.0,0.0,29.0,0.0,51.0,0,0
