Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
18:58:48,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:59:20,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:59:22,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
19:00:47,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
19:00:48,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
19:00:49,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
19:00:50,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
19:00:51,0.0,560.0,32.0,0.0,29.0,0.0,47.0,0,0
19:00:52,0.0,708.0,45.0,0.0,29.0,0.0,48.0,0,0
19:00:53,0.0,796.0,53.0,0.0,29.0,0.0,50.0,0,0
19:00:54,0.0,839.0,60.0,0.0,29.0,0.0,50.0,0,0
19:00:55,0.0,823.0,66.0,0.0,29.0,0.0,50.0,0,0
19:00:56,0.0,906.0,73.0,0.0,29.0,0.0,50.0,0,0
19:00:57,0.0,834.0,78.0,0.0,29.0,0.0,50.0,0,0
19:00:58,0.0,945.0,84.0,0.0,29.0,0.0,48.0,0,0
19:00:59,0.0,1028.0,89.0,0.0,29.0,0.0,51.0,0,0
19:01:00,0.0,994.0,91.0,0.0,29.0,0.0,51.0,0,0
19:01:01,0.0,920.0,93.0,0.0,29.0,0.0,53.0,0,0
19:01:02,0.0,650.0,97.0,0.0,29.0,0.0,53.0,0,0
19:01:03,0.0,721.0,98.0,0.0,29.0,0.0,48.0,0,0
19:01:04,0.0,761.0,102.0,0.0,29.0,0.0,50.0,0,0
19:01:05,0.0,797.0,106.0,0.0,29.0,0.0,50.0,0,0
19:01:06,0.0,768.0,108.0,0.0,29.0,0.0,51.0,0,0
19:01:07,0.0,757.0,111.0,0.0,29.0,0.0,53.0,0,0
19:01:08,0.0,670.0,109.0,0.0,29.0,0.0,51.0,0,0
19:01:09,0.0,592.0,110.0,0.0,29.0,0.0,51.0,0,0
19:01:10,0.0,436.0,110.0,0.0,29.0,0.0,57.0,0,0
19:01:11,0.0,310.0,110.0,0.0,29.0,0.0,43.0,0,0
19:01:12,0.0,501.0,113.0,0.0,29.0,0.0,52.0,0,0
19:01:13,0.0,539.0,115.0,0.0,29.0,0.0,50.0,0,0
19:01:14,0.0,647.0,117.0,0.0,29.0,0.0,50.0,0,0
19:01:15,0.0,678.0,117.0,0.0,29.0,0.0,53.0,0,0
19:01:16,0.0,649.0,117.0,0.0,29.0,0.0,51.0,0,0
19:01:17,0.0,585.0,116.0,0.0,29.0,0.0,51.0,0,0
19:01:18,0.0,378.0,117.0,0.0,29.0,0.0,47.0,0,0
19:01:19,0.0,382.0,119.0,0.0,29.0,0.0,52.0,0,0
19:01:20,0.0,456.0,120.0,0.0,29.0,0.0,50.0,0,0
19:01:21,0.0,365.0,121.0,0.0,29.0,0.0,49.0,0,0
19:01:22,0.0,370.0,118.0,0.0,29.0,0.0,54.0,0,0
19:01:23,0.0,358.0,117.0,0.0,29.0,0.0,46.0,0,0
19:01:24,0.0,263.0,116.0,0.0,29.0,0.0,38.0,0,0
19:01:25,0.0,395.0,116.0,0.0,29.0,0.0,54.0,0,0
19:01:26,0.0,459.0,120.0,0.0,29.0,0.0,53.0,0,0
19:01:27,0.0,401.0,121.0,0.0,29.0,0.0,47.0,0,0
19:01:28,0.0,474.0,121.0,0.0,29.0,0.0,56.0,0,0
19:01:29,0.0,366.0,118.0,0.0,29.0,0.0,45.0,0,0
19:01:30,0.0,381.0,117.0,0.0,29.0,0.0,45.0,0,0
19:01:31,0.0,405.0,116.0,0.0,29.0,0.0,39.0,0,0
19:01:32,0.0,389.0,117.0,0.0,29.0,0.0,53.0,0,0
19:01:33,0.0,326.0,120.0,0.0,29.0,0.0,51.0,0,0
19:01:34,0.0,436.0,121.0,0.0,29.0,0.0,49.0,0,0
19:01:35,0.0,465.0,119.0,0.0,29.0,0.0,54.0,0,0
19:01:36,0.0,364.0,117.0,0.0,29.0,0.0,53.0,0,0
19:01:37,0.0,336.0,115.0,0.0,29.0,0.0,49.0,0,0
19:01:38,0.0,391.0,115.0,0.0,29.0,0.0,42.0,0,0
19:01:39,0.0,430.0,118.0,0.0,29.0,0.0,52.0,0,0
19:01:40,0.0,369.0,120.0,0.0,29.0,0.0,50.0,0,0
19:01:41,0.0,395.0,121.0,0.0,29.0,0.0,49.0,0,0
19:01:42,0.0,394.0,118.0,0.0,29.0,0.0,55.0,0,0
19:01:43,0.0,420.0,116.0,0.0,29.0,0.0,51.0,0,0
19:01:44,0.0,379.0,115.0,0.0,29.0,0.0,51.0,0,0
19:01:45,0.0,354.0,115.0,0.0,29.0,0.0,50.0,0,0
19:01:46,0.0,391.0,118.0,0.0,29.0,0.0,48.0,0,0
19:01:47,0.0,422.0,120.0,0.0,29.0,0.0,50.0,0,0
19:01:48,0.0,401.0,120.0,0.0,29.0,0.0,51.0,0,0
19:01:49,0.0,414.0,118.0,0.0,29.0,0.0,50.0,0,0
19:01:50,0.0,423.0,116.0,0.0,29.0,0.0,52.0,0,0
19:01:51,0.0,434.0,115.0,0.0,29.0,0.0,54.0,0,0
19:01:52,0.0,347.0,115.0,0.0,29.0,0.0,47.0,0,0
19:01:53,0.0,553.0,117.0,0.0,29.0,0.0,51.0,0,0
19:01:54,0.0,596.0,120.0,0.0,29.0,0.0,50.0,0,0
19:01:55,0.0,602.0,121.0,0.0,29.0,0.0,51.0,0,0
19:01:56,0.0,622.0,118.0,0.0,29.0,0.0,51.0,0,0
19:01:57,0.0,615.0,117.0,0.0,29.0,0.0,52.0,0,0
19:01:58,0.0,578.0,116.0,0.0,29.0,0.0,50.0,0,0
19:01:59,0.0,564.0,116.0,0.0,29.0,0.0,50.0,0,0
19:02:00,0.0,585.0,119.0,0.0,29.0,0.0,51.0,0,0
19:02:01,0.0,597.0,120.0,0.0,29.0,0.0,50.0,0,0
19:02:02,0.0,647.0,121.0,0.0,29.0,0.0,52.0,0,0
19:02:03,0.0,617.0,117.0,0.0,29.0,0.0,50.0,0,0
19:02:04,0.0,629.0,117.0,0.0,29.0,0.0,51.0,0,0
19:02:05,0.0,588.0,115.0,0.0,29.0,0.0,54.0,0,0
19:02:06,0.0,528.0,117.0,0.0,29.0,0.0,46.0,0,0
19:02:07,0.0,615.0,119.0,0.0,29.0,0.0,51.0,0,0
19:02:08,0.0,620.0,121.0,0.0,29.0,0.0,51.0,0,0
19:02:09,0.0,618.0,121.0,0.0,29.0,0.0,52.0,0,0
19:02:10,0.0,605.0,118.0,0.0,29.0,0.0,52.0,0,0
19:02:11,0.0,588.0,117.0,0.0,29.0,0.0,52.0,0,0
19:02:12,0.0,529.0,116.0,0.0,29.0,0.0,50.0,0,0
19:02:13,0.0,545.0,117.0,0.0,29.0,0.0,50.0,0,0
19:02:14,0.0,557.0,120.0,0.0,29.0,0.0,51.0,0,0
19:02:15,0.0,575.0,121.0,0.0,29.0,0.0,51.0,0,0
19:02:16,0.0,581.0,119.0,0.0,29.0,0.0,51.0,0,0
19:02:17,0.0,553.0,116.0,0.0,29.0,0.0,52.0,0,0
19:02:18,0.0,502.0,116.0,0.0,29.0,0.0,51.0,0,0
19:02:19,0.0,455.0,115.0,0.0,29.0,0.0,50.0,0,0
19:02:20,0.0,421.0,114.0,0.0,29.0,0.0,46.0,0,0
