Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
20:41:11,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:12,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:13,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:14,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:15,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:16,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:17,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:18,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:19,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:20,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:21,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:22,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:23,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:24,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:25,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:57,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:46:38,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:47:42,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:47:43,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:47:46,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:48:30,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:48:31,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:48:32,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:48:33,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:48:34,0.0,414.0,30.0,0.0,30.0,0.0,47.0,0,0
20:48:35,0.0,557.0,44.0,0.0,30.0,0.0,50.0,0,0
20:48:36,0.0,619.0,52.0,0.0,30.0,0.0,50.0,0,0
20:48:37,0.0,651.0,59.0,0.0,30.0,0.0,51.0,0,0
20:48:38,0.0,680.0,64.0,0.0,30.0,0.0,51.0,0,0
20:48:39,0.0,704.0,71.0,0.0,30.0,0.0,50.0,0,0
20:48:40,0.0,712.0,77.0,0.0,30.0,0.0,52.0,0,0
20:48:41,0.0,767.0,83.0,0.0,30.0,0.0,50.0,0,0
20:48:42,0.0,835.0,89.0,0.0,30.0,0.0,55.0,0,0
20:48:43,0.0,842.0,92.0,0.0,30.0,0.0,53.0,0,0
20:48:44,0.0,473.0,96.0,0.0,30.0,0.0,69.0,0,0
20:48:45,0.0,550.0,96.0,0.0,30.0,0.0,52.0,0,0
20:48:46,0.0,677.0,98.0,0.0,30.0,0.0,52.0,0,0
20:48:47,0.0,583.0,101.0,0.0,30.0,0.0,60.0,0,0
20:48:48,0.0,502.0,104.0,0.0,30.0,0.0,59.0,0,0
20:48:49,0.0,502.0,106.0,0.0,30.0,0.0,53.0,0,0
20:48:50,0.0,273.0,108.0,0.0,30.0,0.0,61.0,0,0
20:48:51,0.0,298.0,107.0,0.0,30.0,0.0,42.0,0,0
20:48:52,0.0,599.0,107.0,0.0,30.0,0.0,51.0,0,0
20:48:53,0.0,593.0,107.0,0.0,30.0,0.0,49.0,0,0
20:48:54,0.0,570.0,109.0,0.0,30.0,0.0,57.0,0,0
20:48:55,0.0,372.0,110.0,0.0,30.0,0.0,69.0,0,0
20:48:56,0.0,358.0,111.0,0.0,30.0,0.0,48.0,0,0
20:48:57,0.0,266.0,115.0,0.0,30.0,0.0,58.0,0,0
20:48:58,0.0,141.0,114.0,0.0,30.0,0.0,16.0,0,0
20:48:59,0.0,542.0,114.0,0.0,30.0,0.0,51.0,0,0
20:49:00,0.0,508.0,113.0,0.0,30.0,0.0,51.0,0,0
20:49:01,0.0,318.0,113.0,0.0,30.0,0.0,38.0,0,0
20:49:02,0.0,357.0,112.0,0.0,30.0,0.0,57.0,0,0
20:49:03,0.0,336.0,112.0,0.0,30.0,0.0,56.0,0,0
20:49:04,0.0,419.0,115.0,0.0,30.0,0.0,50.0,0,0
20:49:05,0.0,343.0,118.0,0.0,30.0,0.0,77.0,0,0
20:49:06,0.0,259.0,118.0,0.0,30.0,0.0,60.0,0,0
20:49:07,0.0,284.0,116.0,0.0,30.0,0.0,65.0,0,0
20:49:08,0.0,96.0,113.0,0.0,30.0,0.0,37.0,0,0
20:49:09,0.0,304.0,113.0,0.0,30.0,0.0,49.0,0,0
20:49:10,0.0,332.0,113.0,0.0,30.0,0.0,48.0,0,0
20:49:11,0.0,357.0,115.0,0.0,30.0,0.0,50.0,0,0
20:49:12,0.0,442.0,117.0,0.0,30.0,0.0,59.0,0,0
20:49:13,0.0,352.0,118.0,0.0,30.0,0.0,50.0,0,0
20:49:14,0.0,419.0,119.0,0.0,30.0,0.0,55.0,0,0
20:49:15,0.0,357.0,116.0,0.0,30.0,0.0,57.0,0,0
20:49:16,0.0,340.0,115.0,0.0,30.0,0.0,46.0,0,0
20:49:17,0.0,333.0,114.0,0.0,30.0,0.0,58.0,0,0
20:49:18,0.0,240.0,114.0,0.0,30.0,0.0,37.0,0,0
20:49:19,0.0,327.0,117.0,0.0,30.0,0.0,66.0,0,0
20:49:20,0.0,312.0,118.0,0.0,30.0,0.0,49.0,0,0
20:49:21,0.0,418.0,119.0,0.0,30.0,0.0,58.0,0,0
20:49:22,0.0,253.0,116.0,0.0,30.0,0.0,40.0,0,0
20:49:23,0.0,318.0,115.0,0.0,30.0,0.0,52.0,0,0
20:49:24,0.0,300.0,114.0,0.0,30.0,0.0,47.0,0,0
20:49:25,0.0,201.0,114.0,0.0,30.0,0.0,63.0,0,0
20:49:26,0.0,222.0,116.0,0.0,30.0,0.0,46.0,0,0
20:49:27,0.0,455.0,117.0,0.0,30.0,0.0,47.0,0,0
20:49:28,0.0,435.0,119.0,0.0,30.0,0.0,80.0,0,0
20:49:29,0.0,110.0,116.0,0.0,30.0,0.0,58.0,0,0
20:49:30,0.0,357.0,114.0,0.0,30.0,0.0,40.0,0,0
20:49:31,0.0,404.0,113.0,0.0,30.0,0.0,60.0,0,0
20:49:32,0.0,159.0,112.0,0.0,30.0,0.0,28.0,0,0
20:49:33,0.0,459.0,113.0,0.0,30.0,0.0,52.0,0,0
20:49:34,0.0,538.0,116.0,0.0,30.0,0.0,51.0,0,0
20:49:35,0.0,537.0,118.0,0.0,30.0,0.0,49.0,0,0
20:49:36,0.0,533.0,118.0,0.0,30.0,0.0,53.0,0,0
20:49:37,0.0,479.0,115.0,0.0,30.0,0.0,48.0,0,0
20:49:38,0.0,424.0,114.0,0.0,30.0,0.0,45.0,0,0
20:49:39,0.0,406.0,113.0,0.0,30.0,0.0,53.0,0,0
20:49:40,0.0,384.0,113.0,0.0,30.0,0.0,52.0,0,0
20:49:41,0.0,426.0,115.0,0.0,30.0,0.0,53.0,0,0
20:49:42,0.0,470.0,117.0,0.0,30.0,0.0,52.0,0,0
20:49:43,0.0,507.0,117.0,0.0,30.0,0.0,51.0,0,0
20:49:44,0.0,460.0,116.0,0.0,30.0,0.0,50.0,0,0
