Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
12:09:37,0,0,0,0,30,0,255,0,0
12:12:19,0,0,0,0,30,0,255,0,0
12:13:01,0,0,0,0,30,0,255,0,0
12:13:02,0,0,0,0,30,0,255,0,0
12:13:03,0,0,0,0,30,0,255,0,0
12:13:05,0,0,0,0,30,0,255,0,0
12:14:07,0,0,0,0,30,0,255,0,0
12:14:08,0,0,0,0,30,0,255,0,0
12:14:09,0,0,0,0,30,0,255,0,0
12:14:10,0,425,29,0,30,0,45,0,0
12:14:11,0,425,29,0,30,0,45,0,0
12:14:12,0,569,44,0,30,0,50,0,0
12:14:13,0,615,53,0,30,0,51,0,0
12:14:14,0,627,61,0,30,0,53,0,0
12:14:15,0,659,68,0,30,0,48,0,0
12:14:16,0,692,74,0,30,0,52,0,0
12:14:17,0,761,81,0,30,0,51,0,0
12:14:18,0,777,86,0,30,0,53,0,0
12:14:19,0,813,91,0,30,0,50,0,0
12:14:20,0,843,94,0,30,0,52,0,0
12:14:21,0,668,97,0,30,0,56,0,0
12:14:22,0,658,98,0,30,0,50,0,0
12:14:23,0,615,101,0,30,0,61,0,0
12:14:24,0,463,104,0,30,0,50,0,0
12:14:25,0,506,106,0,30,0,56,0,0
12:14:26,0,132,106,0,30,0,74,0,0
12:14:27,0,581,106,0,31,0,49,0,0
12:14:28,0,577,109,0,31,0,54,0,0
12:14:29,0,506,108,0,31,0,58,0,0
12:14:30,0,321,108,0,31,0,33,0,0
12:14:31,0,532,109,0,31,0,54,0,0
12:14:32,0,484,111,0,31,0,54,0,0
12:14:33,0,371,114,0,31,0,53,0,0
12:14:34,0,236,115,0,31,0,42,0,0
12:14:35,0,395,116,0,31,0,55,0,0
12:14:36,0,335,114,0,31,0,48,0,0
12:14:37,0,469,113,0,31,0,50,0,0
12:14:38,0,294,113,0,31,0,48,0,0
12:14:39,0,374,113,0,31,0,45,0,0
12:14:40,0,481,115,0,31,0,50,0,0
12:14:41,0,401,118,0,31,0,60,0,0
12:14:42,0,75,118,0,31,0,20,0,0
12:14:43,0,374,117,0,31,0,73,0,0
12:14:44,0,221,115,0,31,0,67,0,0
12:14:45,0,206,113,0,31,0,51,0,0
12:14:46,0,316,113,0,31,0,55,0,0
12:14:47,0,386,114,0,31,0,58,0,0
12:14:48,0,466,117,0,31,0,49,0,0
12:14:49,0,474,119,0,31,0,54,0,0
12:14:50,0,386,120,0,31,0,50,0,0
12:14:51,0,349,117,0,31,0,50,0,0
12:14:52,0,314,116,0,31,0,50,0,0
12:14:53,0,285,115,0,31,0,61,0,0
12:14:54,0,112,115,0,31,0,19,0,0
12:14:55,0,466,116,0,31,0,52,0,0
12:14:56,0,396,119,0,31,0,57,0,0
12:14:57,0,346,119,0,31,0,47,0,0
12:14:58,0,265,117,0,31,0,50,0,0
12:14:59,0,324,115,0,31,0,46,0,0
12:15:00,0,273,115,0,31,0,49,0,0
12:15:01,0,302,115,0,31,0,51,0,0
12:15:02,0,408,116,0,31,0,49,0,0
12:15:03,0,504,118,0,31,0,53,0,0
12:15:04,0,515,119,0,31,0,51,0,0
12:15:05,0,497,119,0,31,0,47,0,0
12:15:06,0,435,115,0,31,0,46,0,0
12:15:07,0,428,115,0,31,0,49,0,0
12:15:08,0,425,114,0,31,0,51,0,0
12:15:09,0,400,114,0,31,0,50,0,0
12:15:10,0,443,117,0,31,0,52,0,0
12:15:11,0,465,118,0,31,0,50,0,0
12:15:12,0,487,118,0,31,0,48,0,0
12:15:13,0,471,115,0,31,0,48,0,0
12:15:14,0,455,113,0,31,0,51,0,0
12:15:15,0,380,113,0,31,0,55,0,0
12:15:16,0,371,113,0,31,0,51,0,0
12:15:17,0,440,114,0,31,0,50,0,0
12:15:18,0,449,117,0,31,0,51,0,0
12:15:19,0,454,117,0,31,0,49,0,0
12:15:20,0,457,116,0,31,0,52,0,0
12:15:21,0,423,113,0,31,0,49,0,0
12:15:22,0,384,112,0,31,0,54,0,0
12:15:23,0,402,112,0,31,0,53,0,0
12:15:24,0,450,113,0,31,0,49,0,0
12:15:25,0,453,116,0,31,0,53,0,0
12:15:26,0,449,117,0,31,0,50,0,0
12:15:27,0,468,117,0,31,0,50,0,0
12:15:28,0,425,113,0,31,0,47,0,0
12:15:29,0,423,112,0,31,0,48,0,0
12:15:30,0,416,112,0,31,0,48,0,0
12:15:31,0,386,111,0,31,0,52,0,0
12:15:32,0,411,113,0,31,0,52,0,0
12:15:33,0,436,115,0,31,0,56,0,0
12:15:34,0,452,116,0,31,0,51,0,0
12:15:35,0,438,114,0,31,0,46,0,0
12:15:36,0,446,112,0,31,0,51,0,0
12:15:37,0,403,112,0,31,0,49,0,0
12:15:38,0,347,111,0,31,0,58,0,0
12:15:39,0,380,112,0,31,0,51,0,0
12:15:40,0,421,111,0,31,0,51,0,0
12:15:41,0,426,104,0,31,0,52,0,0
12:15:42,0,386,108,0,31,0,60,0,0
12:15:43,0,207,112,0,31,0,35,0,0
12:15:44,0,88,111,0,31,0,19,0,0
12:15:45,0,480,110,0,31,0,51,0,0
12:15:46,0,314,111,0,31,0,54,0,0
12:15:47,0,416,111,0,31,0,57,0,0
12:15:48,0,437,115,0,31,0,51,0,0
12:15:49,0,466,117,0,31,0,50,0,0
12:15:50,0,416,119,0,31,0,62,0,0
12:15:51,0,144,115,0,31,0,29,0,0
12:15:52,0,127,113,0,31,0,59,0,0
12:15:53,0,155,111,0,31,0,39,0,0
12:15:54,0,257,111,0,31,0,50,0,0
12:15:55,0,454,113,0,31,0,51,0,0
12:15:56,0,325,117,0,31,0,42,0,0
12:15:57,0,477,118,0,31,0,53,0,0
12:15:58,0,263,117,0,31,0,55,0,0
12:15:59,0,245,115,0,31,0,53,0,0
12:16:00,0,80,112,0,31,0,45,0,0
12:16:01,0,196,110,0,31,0,46,0,0
12:16:02,0,398,112,0,31,0,54,0,0
12:16:03,0,467,116,0,31,0,54,0,0
12:16:04,0,456,118,0,31,0,52,0,0
12:16:05,0,231,118,0,31,0,46,0,0
12:16:06,0,70,113,0,31,0,30,0,0
12:16:07,0,99,111,0,31,0,23,0,0
12:16:08,0,243,111,0,31,0,40,0,0
12:16:09,0,212,111,0,31,0,48,0,0
12:16:10,0,321,112,0,31,0,48,0,0
12:16:11,0,493,115,0,31,0,56,0,0
12:16:12,0,438,118,0,31,0,55,0,0
12:16:13,0,173,115,0,31,0,39,0,0
12:16:14,0,169,113,0,31,0,63,0,0
12:16:15,0,224,111,0,31,0,41,0,0
12:16:16,0,204,111,0,31,0,38,0,0
12:16:17,0,328,112,0,31,0,49,0,0
12:16:18,0,404,114,0,31,0,61,0,0
12:16:19,0,360,117,0,31,0,54,0,0
12:16:20,0,179,117,0,31,0,43,0,0
12:16:21,0,348,113,0,31,0,48,0,0
12:16:22,0,333,113,0,31,0,58,0,0
12:16:23,0,159,112,0,31,0,60,0,0
12:16:24,0,135,111,0,31,0,51,0,0
12:16:25,0,334,113,0,31,0,73,0,0
12:16:26,0,315,115,0,31,0,46,0,0
12:16:27,0,381,116,0,31,0,75,0,0
12:16:28,0,354,114,0,31,0,50,0,0
12:16:29,0,346,113,0,31,0,53,0,0
12:16:30,0,383,113,0,31,0,52,0,0
12:16:31,0,244,112,0,31,0,51,0,0
12:16:32,0,349,113,0,31,0,53,0,0
12:16:33,0,260,116,0,31,0,50,0,0
12:16:34,0,242,117,0,31,0,58,0,0
12:16:35,0,266,117,0,31,0,46,0,0
12:16:36,0,306,114,0,31,0,46,0,0
12:16:37,0,330,113,0,31,0,53,0,0
12:16:38,0,289,112,0,31,0,47,0,0
12:16:39,0,360,113,0,31,0,57,0,0
12:16:40,0,317,116,0,31,0,53,0,0
12:16:41,0,220,117,0,31,0,51,0,0
12:16:42,0,167,117,0,31,0,73,0,0
12:16:43,0,180,114,0,31,0,54,0,0
12:16:44,0,291,113,0,31,0,50,0,0
12:16:45,0,255,112,0,31,0,56,0,0
12:16:46,0,240,111,0,31,0,50,0,0
12:16:47,0,362,113,0,31,0,60,0,0
12:16:48,0,313,115,0,31,0,50,0,0
12:16:49,0,127,116,0,31,0,98,0,0
12:16:50,0,235,113,0,31,0,51,0,0
12:16:51,0,279,112,0,31,0,43,0,0
