Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
20:41:00,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:01,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:02,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:03,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:04,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:05,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:06,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:07,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:08,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:09,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:10,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:11,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:12,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:13,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:41:15,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:42:05,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:42:07,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:42:08,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:42:09,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:42:10,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:42:11,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:42:12,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:47:36,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:47:37,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:47:38,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:47:39,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:48:06,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:48:29,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:48:30,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:48:31,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
20:48:32,0.0,452.0,31.0,0.0,30.0,0.0,45.0,0,0
20:48:33,0.0,452.0,31.0,0.0,30.0,0.0,45.0,0,0
20:48:34,0.0,564.0,43.0,0.0,30.0,0.0,48.0,0,0
20:48:35,0.0,645.0,51.0,0.0,30.0,0.0,49.0,0,0
20:48:36,0.0,720.0,59.0,0.0,30.0,0.0,50.0,0,0
20:48:37,0.0,779.0,69.0,0.0,30.0,0.0,51.0,0,0
20:48:38,0.0,873.0,77.0,0.0,30.0,0.0,51.0,0,0
20:48:39,0.0,837.0,83.0,0.0,30.0,0.0,52.0,0,0
20:48:40,0.0,864.0,87.0,0.0,30.0,0.0,50.0,0,0
20:48:41,11.85,887.0,92.0,0.0,30.0,0.0,50.0,0,0
20:48:42,11.85,851.0,94.0,0.0,30.0,0.0,50.0,0,0
20:48:43,7.59,614.0,97.0,0.0,30.0,0.0,40.0,0,0
20:48:44,12.8,699.0,98.0,0.0,30.0,0.0,49.0,0,0
20:48:45,12.8,738.0,100.0,0.0,30.0,0.0,51.0,0,0
20:48:46,4.0,560.0,105.0,0.0,30.0,0.0,54.0,0,0
20:48:47,4.0,502.0,107.0,0.0,30.0,0.0,50.0,0,0
20:48:48,0.0,533.0,108.0,0.0,30.0,0.0,54.0,0,0
