Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
12:04:28,0.0,379.0,42.0,0.0,31.0,0.0,45.0,0,0
12:04:29,0.0,379.0,42.0,0.0,31.0,0.0,45.0,0,0
12:04:30,0.0,616.0,46.0,0.0,31.0,0.0,50.0,0,0
12:04:31,0.0,655.0,51.0,0.0,31.0,0.0,50.0,0,0
12:04:32,0.0,694.0,58.0,0.0,31.0,0.0,50.0,0,0
12:04:33,0.0,767.0,65.0,0.0,31.0,0.0,50.0,0,0
12:04:34,0.0,821.0,76.0,0.0,31.0,0.0,49.0,0,0
12:04:35,0.0,838.0,83.0,0.0,31.0,0.0,50.0,0,0
12:04:36,0.0,838.0,87.0,0.0,31.0,0.0,53.0,0,0
12:04:37,0.0,862.0,92.0,0.0,31.0,0.0,50.0,0,0
12:04:38,0.0,818.0,94.0,0.0,31.0,0.0,51.0,0,0
12:04:39,0.0,811.0,97.0,0.0,31.0,0.0,49.0,0,0
12:04:40,0.0,774.0,99.0,0.0,31.0,0.0,51.0,0,0
12:04:41,0.0,730.0,101.0,0.0,31.0,0.0,50.0,0,0
12:04:42,0.0,510.0,104.0,0.0,31.0,0.0,51.0,0,0
12:04:43,0.0,481.0,106.0,0.0,31.0,0.0,50.0,0,0
12:04:44,0.0,290.0,108.0,0.0,31.0,0.0,79.0,0,0
12:04:45,0.0,353.0,107.0,0.0,31.0,0.0,46.0,0,0
12:04:46,0.0,635.0,107.0,0.0,31.0,0.0,51.0,0,0
12:04:47,0.0,540.0,109.0,0.0,31.0,0.0,53.0,0,0
12:04:48,0.0,506.0,109.0,0.0,31.0,0.0,56.0,0,0
12:04:49,0.0,462.0,110.0,0.0,31.0,0.0,53.0,0,0
12:04:50,0.0,487.0,110.0,0.0,31.0,0.0,51.0,0,0
12:04:51,0.0,366.0,115.0,0.0,31.0,0.0,49.0,0,0
12:04:52,0.0,289.0,116.0,0.0,31.0,0.0,24.0,0,0
12:04:53,0.0,399.0,116.0,0.0,31.0,0.0,62.0,0,0
12:04:54,0.0,320.0,114.0,0.0,31.0,0.0,46.0,0,0
12:04:55,0.0,362.0,114.0,0.0,31.0,0.0,49.0,0,0
12:04:56,0.0,426.0,113.0,0.0,31.0,0.0,57.0,0,0
12:04:57,0.0,309.0,113.0,0.0,31.0,0.0,49.0,0,0
12:04:58,0.0,397.0,116.0,0.0,31.0,0.0,48.0,0,0
12:04:59,0.0,457.0,118.0,0.0,31.0,0.0,52.0,0,0
12:05:00,0.0,277.0,120.0,0.0,31.0,0.0,99.0,0,0
12:05:01,0.0,251.0,116.0,0.0,31.0,0.0,45.0,0,0
12:05:02,0.0,334.0,115.0,0.0,31.0,0.0,66.0,0,0
12:05:03,0.0,134.0,113.0,0.0,31.0,0.0,7.0,0,0
12:05:04,0.0,283.0,112.0,0.0,31.0,0.0,42.0,0,0
12:05:05,0.0,410.0,114.0,0.0,31.0,0.0,50.0,0,0
12:05:06,0.0,424.0,117.0,0.0,31.0,0.0,53.0,0,0
12:05:07,0.0,490.0,119.0,0.0,31.0,0.0,53.0,0,0
12:05:08,0.0,460.0,121.0,0.0,31.0,0.0,63.0,0,0
12:05:09,0.0,279.0,117.0,0.0,31.0,0.0,56.0,0,0
12:05:10,0.0,339.0,117.0,0.0,31.0,0.0,57.0,0,0
12:05:11,0.0,186.0,115.0,0.0,31.0,0.0,57.0,0,0
12:05:12,0.0,201.0,115.0,0.0,31.0,0.0,91.0,0,0
12:05:13,0.0,295.0,116.0,0.0,31.0,0.0,50.0,0,0
12:05:14,0.0,492.0,119.0,0.0,31.0,0.0,54.0,0,0
12:05:15,0.0,374.0,120.0,0.0,31.0,0.0,72.0,0,0
12:05:16,0.0,330.0,117.0,0.0,31.0,0.0,48.0,0,0
12:05:17,0.0,261.0,116.0,0.0,31.0,0.0,49.0,0,0
12:05:18,0.0,186.0,115.0,0.0,31.0,0.0,65.0,0,0
12:05:19,0.0,326.0,114.0,0.0,31.0,0.0,41.0,0,0
12:05:20,0.0,337.0,116.0,0.0,31.0,0.0,34.0,0,0
12:05:21,0.0,380.0,118.0,0.0,31.0,0.0,54.0,0,0
12:05:22,0.0,334.0,120.0,0.0,31.0,0.0,44.0,0,0
12:05:23,0.0,337.0,119.0,0.0,31.0,0.0,63.0,0,0
12:05:24,0.0,224.0,116.0,0.0,31.0,0.0,34.0,0,0
12:05:25,0.0,375.0,114.0,0.0,31.0,0.0,55.0,0,0
12:05:26,0.0,312.0,113.0,0.0,31.0,0.0,47.0,0,0
12:05:27,0.0,310.0,115.0,0.0,31.0,0.0,43.0,0,0
12:05:28,0.0,269.0,117.0,0.0,31.0,0.0,61.0,0,0
12:05:29,0.0,249.0,118.0,0.0,31.0,0.0,33.0,0,0
12:05:30,0.0,424.0,118.0,0.0,31.0,0.0,52.0,0,0
12:05:31,0.0,395.0,116.0,0.0,31.0,0.0,54.0,0,0
12:05:32,0.0,376.0,114.0,0.0,31.0,0.0,53.0,0,0
12:05:33,0.0,122.0,113.0,0.0,31.0,0.0,64.0,0,0
12:05:34,0.0,193.0,112.0,0.0,31.0,0.0,45.0,0,0
12:05:35,0.0,285.0,115.0,0.0,31.0,0.0,32.0,0,0
12:05:36,0.0,462.0,116.0,0.0,31.0,0.0,55.0,0,0
12:05:37,0.0,385.0,117.0,0.0,31.0,0.0,56.0,0,0
12:05:38,0.0,279.0,116.0,0.0,31.0,0.0,82.0,0,0
12:05:39,0.0,327.0,113.0,0.0,31.0,0.0,62.0,0,0
12:05:40,0.0,263.0,112.0,0.0,31.0,0.0,55.0,0,0
12:05:41,0.0,126.0,112.0,0.0,31.0,0.0,37.0,0,0
12:05:42,0.0,344.0,112.0,0.0,31.0,0.0,48.0,0,0
12:05:43,0.0,411.0,115.0,0.0,31.0,0.0,54.0,0,0
12:05:44,0.0,371.0,116.0,0.0,31.0,0.0,59.0,0,0
12:05:45,0.0,359.0,117.0,0.0,31.0,0.0,61.0,0,0
12:05:46,0.0,241.0,114.0,0.0,31.0,0.0,54.0,0,0
12:05:47,0.0,236.0,112.0,0.0,31.0,0.0,67.0,0,0
12:05:48,0.0,258.0,112.0,0.0,31.0,0.0,41.0,0,0
12:05:49,0.0,357.0,111.0,0.0,31.0,0.0,51.0,0,0
12:05:50,0.0,347.0,114.0,0.0,31.0,0.0,62.0,0,0
12:05:51,0.0,268.0,116.0,0.0,31.0,0.0,58.0,0,0
12:05:52,0.0,261.0,116.0,0.0,31.0,0.0,63.0,0,0
12:05:53,0.0,246.0,114.0,0.0,31.0,0.0,43.0,0,0
12:05:54,0.0,375.0,111.0,0.0,31.0,0.0,56.0,0,0
12:05:55,0.0,240.0,112.0,0.0,31.0,0.0,72.0,0,0
12:05:56,0.0,212.0,111.0,0.0,31.0,0.0,38.0,0,0
12:05:57,0.0,346.0,112.0,0.0,31.0,0.0,57.0,0,0
12:05:58,0.0,267.0,113.0,0.0,31.0,0.0,50.0,0,0
12:05:59,0.0,533.0,114.0,0.0,31.0,0.0,54.0,0,0
12:06:00,0.0,524.0,116.0,0.0,31.0,0.0,53.0,0,0
12:06:01,0.0,464.0,113.0,0.0,31.0,0.0,55.0,0,0
12:06:02,0.0,471.0,112.0,0.0,31.0,0.0,51.0,0,0
12:06:03,0.0,467.0,111.0,0.0,31.0,0.0,50.0,0,0
12:06:04,0.0,453.0,111.0,0.0,31.0,0.0,49.0,0,0
12:06:05,0.0,437.0,115.0,0.0,31.0,0.0,54.0,0,0
12:06:06,0.0,452.0,116.0,0.0,31.0,0.0,53.0,0,0
12:06:07,0.0,461.0,117.0,0.0,31.0,0.0,50.0,0,0
12:06:08,0.0,403.0,117.0,0.0,31.0,0.0,60.0,0,0
12:06:09,0.0,475.0,113.0,0.0,31.0,0.0,55.0,0,0
12:06:10,0.0,445.0,112.0,0.0,31.0,0.0,52.0,0,0
12:06:11,0.0,439.0,112.0,0.0,31.0,0.0,51.0,0,0
12:06:12,0.0,440.0,113.0,0.0,31.0,0.0,51.0,0,0
12:06:13,0.0,452.0,116.0,0.0,31.0,0.0,50.0,0,0
12:06:14,0.0,449.0,117.0,0.0,31.0,0.0,52.0,0,0
12:06:15,0.0,476.0,117.0,0.0,31.0,0.0,53.0,0,0
12:06:16,0.0,423.0,114.0,0.0,31.0,0.0,55.0,0,0
12:06:17,0.0,471.0,113.0,0.0,31.0,0.0,51.0,0,0
12:06:18,0.0,443.0,112.0,0.0,31.0,0.0,51.0,0,0
12:06:19,0.0,398.0,112.0,0.0,31.0,0.0,52.0,0,0
12:06:20,0.0,409.0,114.0,0.0,31.0,0.0,51.0,0,0
12:06:21,0.0,424.0,116.0,0.0,31.0,0.0,54.0,0,0
12:06:22,0.0,448.0,117.0,0.0,31.0,0.0,52.0,0,0
12:06:23,0.0,433.0,117.0,0.0,31.0,0.0,59.0,0,0
12:06:24,0.0,441.0,113.0,0.0,31.0,0.0,50.0,0,0
12:06:25,0.0,443.0,112.0,0.0,31.0,0.0,51.0,0,0
12:06:26,0.0,417.0,112.0,0.0,31.0,0.0,54.0,0,0
12:06:27,0.0,431.0,113.0,0.0,31.0,0.0,51.0,0,0
12:06:28,0.0,417.0,116.0,0.0,31.0,0.0,53.0,0,0
12:06:29,0.0,429.0,117.0,0.0,31.0,0.0,53.0,0,0
12:06:30,0.0,421.0,117.0,0.0,31.0,0.0,59.0,0,0
12:06:31,0.0,447.0,113.0,0.0,31.0,0.0,50.0,0,0
12:06:32,0.0,411.0,112.0,0.0,31.0,0.0,49.0,0,0
12:06:33,0.0,437.0,112.0,0.0,31.0,0.0,52.0,0,0
12:06:34,0.0,425.0,111.0,0.0,31.0,0.0,49.0,0,0
12:06:35,0.0,445.0,114.0,0.0,31.0,0.0,54.0,0,0
