Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
19:00:25,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
19:00:26,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
19:00:29,0.0,0.0,0.0,0.0,30.0,0.0,255.0,0,0
19:00:30,20.79,0.0,0.0,0.0,30.0,0.0,255.0,0,0
19:00:31,30.48,81.0,59.0,0.0,30.0,0.0,51.0,0,0
19:00:32,34.63,72.0,63.0,0.0,30.0,0.0,74.0,0,0
19:00:33,36.74,100.0,68.0,0.0,30.0,0.0,83.0,0,0
19:00:34,38.16,56.0,66.0,0.0,30.0,0.0,37.0,0,0
19:00:35,35.51,44.0,61.0,0.0,30.0,0.0,50.0,0,0
19:00:36,35.11,91.0,62.0,0.0,30.0,0.0,63.0,0,0
19:00:37,35.9,78.0,66.0,0.0,30.0,0.0,50.0,0,0
19:00:38,37.77,61.0,67.0,0.0,30.0,0.0,61.0,0,0
19:00:39,37.88,70.0,67.0,0.0,30.0,0.0,56.0,0,0
19:00:40,38.15,67.0,67.0,0.0,30.0,0.0,51.0,0,0
19:00:41,37.78,59.0,66.0,0.0,30.0,0.0,46.0,0,0
19:00:42,37.1,73.0,66.0,0.0,30.0,0.0,41.0,0,0
19:00:43,37.62,76.0,67.0,0.0,30.0,0.0,36.0,0,0
19:00:44,39.63,82.0,71.0,0.0,30.0,0.0,48.0,0,0
19:00:45,40.14,75.0,71.0,0.0,30.0,0.0,46.0,0,0
19:00:46,41.42,89.0,73.0,0.0,30.0,0.0,50.0,0,0
19:00:47,43.13,88.0,76.0,0.0,30.0,0.0,49.0,0,0
19:00:48,43.21,75.0,77.0,0.0,30.0,0.0,46.0,0,0
19:00:49,43.0,76.0,76.0,0.0,30.0,0.0,47.0,0,0
19:00:50,42.84,64.0,75.0,0.0,30.0,0.0,77.0,0,0
19:00:51,41.79,141.0,75.0,0.0,30.0,0.0,38.0,0,0
19:00:52,45.89,127.0,83.0,0.0,30.0,0.0,47.0,0,0
19:00:53,46.86,80.0,82.0,0.0,30.0,0.0,51.0,0,0
19:00:54,46.24,82.0,82.0,0.0,30.0,0.0,50.0,0,0
19:00:55,46.32,101.0,82.0,0.0,30.0,0.0,43.0,0,0
19:00:56,45.8,72.0,81.0,0.0,30.0,0.0,52.0,0,0
19:00:57,45.4,83.0,80.0,0.0,30.0,0.0,54.0,0,0
19:00:58,44.76,73.0,79.0,0.0,30.0,0.0,42.0,0,0
19:00:59,44.68,83.0,79.0,0.0,30.0,0.0,49.0,0,0
19:01:00,45.65,78.0,81.0,0.0,30.0,0.0,55.0,0,0
19:01:01,46.05,117.0,81.0,0.0,30.0,0.0,31.0,0,0
19:01:02,46.71,80.0,82.0,0.0,30.0,0.0,48.0,0,0
19:01:03,46.38,76.0,82.0,0.0,30.0,0.0,32.0,0,0
19:01:04,45.76,85.0,81.0,0.0,30.0,0.0,59.0,0,0
19:01:05,46.64,75.0,82.0,0.0,30.0,0.0,45.0,0,0
19:01:06,46.33,88.0,82.0,0.0,30.0,0.0,50.0,0,0
19:01:07,45.65,73.0,81.0,0.0,30.0,0.0,49.0,0,0
19:01:08,45.4,89.0,81.0,0.0,30.0,0.0,48.0,0,0
19:01:09,45.3,75.0,80.0,0.0,30.0,0.0,41.0,0,0
19:01:10,45.81,96.0,81.0,0.0,30.0,0.0,41.0,0,0
19:01:11,46.34,65.0,82.0,0.0,30.0,0.0,36.0,0,0
19:01:12,45.91,100.0,82.0,0.0,30.0,0.0,48.0,0,0
19:01:13,47.62,72.0,84.0,0.0,30.0,0.0,46.0,0,0
19:01:14,47.21,87.0,83.0,0.0,30.0,0.0,44.0,0,0
19:01:15,47.9,87.0,84.0,0.0,30.0,0.0,36.0,0,0
19:01:16,47.57,111.0,85.0,0.0,30.0,0.0,31.0,0,0
19:01:17,48.23,71.0,84.0,0.0,30.0,0.0,57.0,0,0
19:01:18,47.17,95.0,84.0,0.0,30.0,0.0,48.0,0,0
19:01:19,46.63,64.0,83.0,0.0,30.0,0.0,40.0,0,0
19:01:20,47.37,96.0,83.0,0.0,30.0,0.0,46.0,0,0
19:01:21,47.06,67.0,83.0,0.0,30.0,0.0,49.0,0,0
19:01:22,46.59,76.0,82.0,0.0,30.0,0.0,41.0,0,0
19:01:23,45.76,93.0,81.0,0.0,30.0,0.0,41.0,0,0
19:01:24,46.63,88.0,82.0,0.0,30.0,0.0,39.0,0,0
19:01:25,46.7,92.0,83.0,0.0,30.0,0.0,33.0,0,0
19:01:26,48.61,107.0,86.0,0.0,30.0,0.0,58.0,0,0
19:01:27,47.56,77.0,83.0,0.0,30.0,0.0,35.0,0,0
19:01:28,47.37,90.0,85.0,0.0,30.0,0.0,45.0,0,0
19:01:29,47.7,101.0,84.0,0.0,30.0,0.0,42.0,0,0
19:01:30,48.85,98.0,86.0,0.0,30.0,0.0,51.0,0,0
19:01:31,48.6,96.0,86.0,0.0,30.0,0.0,45.0,0,0
19:01:32,49.43,102.0,88.0,0.0,30.0,0.0,50.0,0,0
19:01:33,49.13,91.0,87.0,0.0,30.0,0.0,43.0,0,0
19:01:34,49.03,98.0,87.0,0.0,30.0,0.0,47.0,0,0
19:01:35,50.84,144.0,91.0,0.0,30.0,0.0,60.0,0,0
19:01:36,50.21,83.0,88.0,0.0,30.0,0.0,39.0,0,0
19:01:37,49.29,76.0,87.0,0.0,30.0,0.0,49.0,0,0
19:01:38,49.6,102.0,88.0,0.0,30.0,0.0,49.0,0,0
19:01:39,49.66,77.0,87.0,0.0,30.0,0.0,46.0,0,0
19:01:40,47.88,66.0,84.0,0.0,30.0,0.0,43.0,0,0
19:01:41,46.74,88.0,83.0,0.0,30.0,0.0,40.0,0,0
19:01:42,46.85,93.0,83.0,0.0,30.0,0.0,47.0,0,0
19:01:43,47.69,104.0,85.0,0.0,30.0,0.0,50.0,0,0
19:01:44,48.41,72.0,85.0,0.0,30.0,0.0,31.0,0,0
19:01:45,47.98,109.0,85.0,0.0,30.0,0.0,47.0,0,0
19:01:46,48.94,111.0,88.0,0.0,30.0,0.0,49.0,0,0
19:01:47,49.65,105.0,88.0,0.0,30.0,0.0,50.0,0,0
19:01:48,48.34,78.0,85.0,0.0,30.0,0.0,47.0,0,0
19:01:49,48.44,101.0,86.0,0.0,30.0,0.0,49.0,0,0
19:01:50,48.46,102.0,86.0,0.0,30.0,0.0,37.0,0,0
19:01:51,49.83,84.0,89.0,0.0,30.0,0.0,44.0,0,0
19:01:52,48.77,79.0,86.0,0.0,30.0,0.0,52.0,0,0
19:01:53,48.21,89.0,85.0,0.0,30.0,0.0,40.0,0,0
19:01:54,48.48,100.0,86.0,0.0,30.0,0.0,42.0,0,0
19:01:55,48.73,82.0,86.0,0.0,30.0,0.0,40.0,0,0
19:01:56,47.02,55.0,84.0,0.0,30.0,0.0,47.0,0,0
19:01:57,44.6,60.0,79.0,0.0,30.0,0.0,36.0,0,0
19:01:58,43.88,79.0,78.0,0.0,30.0,0.0,50.0,0,0
19:01:59,44.41,96.0,79.0,0.0,30.0,0.0,43.0,0,0
19:02:00,45.3,91.0,80.0,0.0,30.0,0.0,52.0,0,0
19:02:01,45.58,64.0,81.0,0.0,30.0,0.0,47.0,0,0
19:02:02,45.06,77.0,80.0,0.0,30.0,0.0,44.0,0,0
19:02:03,44.53,67.0,79.0,0.0,30.0,0.0,43.0,0,0
19:02:04,43.71,71.0,77.0,0.0,30.0,0.0,30.0,0,0
19:02:05,43.27,53.0,76.0,0.0,30.0,0.0,39.0,0,0
19:02:06,42.3,65.0,75.0,0.0,30.0,0.0,46.0,0,0
19:02:07,42.17,62.0,74.0,0.0,30.0,0.0,40.0,0,0
19:02:08,41.66,66.0,74.0,0.0,30.0,0.0,39.0,0,0
19:02:09,41.78,67.0,74.0,0.0,30.0,0.0,35.0,0,0
19:02:10,41.52,64.0,74.0,0.0,30.0,0.0,38.0,0,0
19:02:11,41.5,70.0,74.0,0.0,30.0,0.0,36.0,0,0
19:02:12,42.19,93.0,76.0,0.0,30.0,0.0,38.0,0,0
19:02:13,43.85,67.0,78.0,0.0,30.0,0.0,44.0,0,0
19:02:14,42.9,92.0,78.0,0.0,30.0,0.0,38.0,0,0
19:02:15,45.6,76.0,82.0,0.0,30.0,0.0,55.0,0,0
19:02:16,46.33,90.0,82.0,0.0,30.0,0.0,40.0,0,0
19:02:17,47.2,90.0,83.0,0.0,30.0,0.0,44.0,0,0
19:02:18,46.79,81.0,83.0,0.0,30.0,0.0,38.0,0,0
19:02:19,46.83,96.0,83.0,0.0,30.0,0.0,39.0,0,0
19:02:20,49.13,119.0,88.0,0.0,30.0,0.0,52.0,0,0
19:02:21,48.08,55.0,87.0,0.0,30.0,0.0,59.0,0,0
19:02:22,41.41,4.0,72.0,0.0,30.0,0.0,0.0,0,0
19:02:23,34.35,21.0,58.0,0.0,30.0,0.0,37.0,0,0
19:02:24,30.72,21.0,58.0,0.0,30.0,0.0,37.0,0,0
19:02:25,29.59,38.0,53.0,0.0,30.0,0.0,46.0,0,0
19:02:26,29.92,50.0,52.0,0.0,30.0,0.0,38.0,0,0
19:02:27,29.7,39.0,53.0,0.0,30.0,0.0,50.0,0,0
19:02:28,26.37,10.0,46.0,0.0,30.0,0.0,50.0,0,0
19:02:29,21.53,240.0,43.0,0.0,30.0,0.0,3.0,0,0
19:02:30,46.9,50.0,85.0,0.0,30.0,0.0,91.0,0,0
19:02:31,39.96,5.0,71.0,0.0,30.0,0.0,20.0,0,0
19:02:32,34.74,7.0,60.0,0.0,30.0,0.0,42.0,0,0
19:02:33,29.01,3.0,48.0,0.0,30.0,0.0,50.0,0,0
19:02:34,38.44,375.0,67.0,0.0,30.0,0.0,89.0,0,0
19:02:35,42.79,9.0,76.0,0.0,30.0,0.0,42.0,0,0
19:02:36,35.99,7.0,65.0,0.0,30.0,0.0,15.0,0,0
19:02:37,31.04,18.0,56.0,0.0,30.0,0.0,25.0,0,0
19:02:38,28.34,35.0,50.0,0.0,30.0,0.0,27.0,0,0
19:02:39,28.96,49.0,51.0,0.0,30.0,0.0,45.0,0,0
19:02:40,27.01,21.0,48.0,0.0,30.0,0.0,30.0,0,0
19:02:41,25.65,256.0,49.0,0.0,30.0,0.0,4.0,0,0
19:02:42,48.79,40.0,85.0,0.0,30.0,0.0,86.0,0,0
19:02:43,41.27,16.0,74.0,0.0,30.0,0.0,25.0,0,0
19:02:44,37.24,32.0,67.0,0.0,30.0,0.0,31.0,0,0
19:02:45,34.67,36.0,62.0,0.0,30.0,0.0,31.0,0,0
19:02:46,33.61,48.0,60.0,0.0,30.0,0.0,41.0,0,0
19:02:47,29.75,14.0,55.0,0.0,30.0,0.0,25.0,0,0
19:02:48,28.82,44.0,51.0,0.0,30.0,0.0,44.0,0,0
19:02:49,29.54,51.0,52.0,0.0,30.0,0.0,48.0,0,0
19:02:50,30.09,51.0,54.0,0.0,30.0,0.0,52.0,0,0
19:02:51,29.87,31.0,51.0,0.0,30.0,0.0,34.0,0,0
19:02:52,41.04,382.0,77.0,0.0,30.0,0.0,88.0,0,0
19:02:53,46.59,32.0,83.0,0.0,30.0,0.0,31.0,0,0
19:02:54,45.89,114.0,82.0,0.0,30.0,0.0,45.0,0,0
19:02:55,51.43,173.0,93.0,0.0,30.0,0.0,48.0,0,0
19:02:56,54.48,106.0,96.0,0.0,30.0,0.0,46.0,0,0
19:02:57,53.24,99.0,94.0,0.0,30.0,0.0,48.0,0,0
19:02:58,53.86,120.0,96.0,0.0,30.0,0.0,40.0,0,0
19:02:59,56.42,149.0,101.0,0.0,30.0,0.0,52.0,0,0
19:03:00,57.39,77.0,100.0,0.0,30.0,0.0,42.0,0,0
19:03:01,55.7,142.0,101.0,0.0,30.0,0.0,51.0,0,0
19:03:02,55.98,85.0,98.0,0.0,30.0,0.0,43.0,0,0
19:03:03,55.09,106.0,98.0,0.0,30.0,0.0,60.0,0,0
19:03:04,54.84,25.0,93.0,0.0,30.0,0.0,56.0,0,0
19:03:05,48.5,31.0,85.0,0.0,30.0,0.0,40.0,0,0
19:03:06,44.29,59.0,78.0,0.0,30.0,0.0,35.0,0,0
19:03:07,43.37,58.0,77.0,0.0,30.0,0.0,39.0,0,0
19:03:08,41.31,48.0,74.0,0.0,30.0,0.0,36.0,0,0
19:03:09,40.5,61.0,72.0,0.0,30.0,0.0,38.0,0,0
19:03:10,40.26,63.0,71.0,0.0,30.0,0.0,42.0,0,0
19:03:11,39.55,57.0,70.0,0.0,30.0,0.0,47.0,0,0
19:03:12,38.48,51.0,68.0,0.0,30.0,0.0,47.0,0,0
19:03:13,37.3,55.0,66.0,0.0,30.0,0.0,44.0,0,0
19:03:14,35.36,32.0,63.0,0.0,30.0,0.0,38.0,0,0
19:03:15,34.03,45.0,60.0,0.0,30.0,0.0,57.0,0,0
19:03:16,33.16,54.0,59.0,0.0,30.0,0.0,34.0,0,0
19:03:17,31.82,21.0,56.0,0.0,30.0,0.0,50.0,0,0
19:03:18,31.63,299.0,58.0,0.0,30.0,0.0,5.0,0,0
19:03:19,67.77,453.0,125.0,0.0,30.0,0.0,47.0,0,0
19:03:20,76.78,204.0,138.0,0.0,30.0,0.0,33.0,0,0
19:03:21,77.2,162.0,136.0,0.0,30.0,0.0,32.0,0,0
19:03:22,77.43,286.0,141.0,0.0,30.0,0.0,39.0,0,0
19:03:23,83.84,283.0,153.0,0.0,30.0,0.0,60.0,0,0
19:03:24,80.99,24.0,140.0,0.0,30.0,0.0,48.0,0,0
19:03:25,67.69,19.0,119.0,0.0,30.0,0.0,58.0,0,0
19:03:26,58.26,29.0,101.0,0.0,30.0,0.0,43.0,0,0
19:03:27,52.41,47.0,92.0,0.0,30.0,0.0,37.0,0,0
19:03:28,49.13,61.0,86.0,0.0,30.0,0.0,46.0,0,0
19:03:29,47.35,74.0,84.0,0.0,30.0,0.0,36.0,0,0
19:03:30,46.8,77.0,83.0,0.0,30.0,0.0,44.0,0,0
19:03:31,46.52,74.0,82.0,0.0,30.0,0.0,42.0,0,0
19:03:32,45.94,76.0,81.0,0.0,30.0,0.0,41.0,0,0
19:03:33,45.19,67.0,79.0,0.0,30.0,0.0,36.0,0,0
19:03:34,44.41,75.0,79.0,0.0,30.0,0.0,35.0,0,0
19:03:35,45.69,93.0,81.0,0.0,30.0,0.0,61.0,0,0
19:03:36,45.52,88.0,80.0,0.0,30.0,0.0,45.0,0,0
19:03:37,48.58,133.0,87.0,0.0,30.0,0.0,43.0,0,0
19:03:38,51.0,91.0,91.0,0.0,30.0,0.0,62.0,0,0
