Time,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
18:46:48,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:47:02,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:47:25,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:47:26,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:47:27,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:47:28,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:47:29,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:47:30,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:50,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:51,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:52,0.0,0.0,0.0,0.0,29.0,0.0,255.0,0,0
18:48:53,0.0,480.0,33.0,0.0,29.0,0.0,47.0,0,0
18:48:54,0.0,480.0,33.0,0.0,29.0,0.0,47.0,0,0
18:48:55,0.0,459.0,43.0,0.0,29.0,0.0,44.0,0,0
18:48:56,0.0,598.0,49.0,0.0,29.0,0.0,46.0,0,0
18:48:57,0.0,598.0,56.0,0.0,29.0,0.0,50.0,0,0
18:48:58,0.0,485.0,60.0,0.0,29.0,0.0,50.0,0,0
18:48:59,0.0,308.0,65.0,0.0,29.0,0.0,70.0,0,0
18:49:00,0.0,284.0,66.0,0.0,29.0,0.0,51.0,0,0
18:49:01,0.0,163.0,67.0,0.0,29.0,0.0,50.0,0,0
18:49:02,0.0,125.0,66.0,0.0,29.0,0.0,29.0,0,0
18:49:03,0.0,106.0,68.0,0.0,29.0,0.0,99.0,0,0
18:49:04,0.0,71.0,67.0,0.0,29.0,0.0,11.0,0,0
18:49:05,0.0,82.0,67.0,0.0,29.0,0.0,87.0,0,0
18:49:06,0.0,76.0,67.0,0.0,29.0,0.0,30.0,0,0
18:49:07,0.0,160.0,67.0,0.0,29.0,0.0,62.0,0,0
18:49:08,0.0,116.0,67.0,0.0,29.0,0.0,30.0,0,0
18:49:09,0.0,205.0,68.0,0.0,29.0,0.0,56.0,0,0
18:49:10,0.0,138.0,69.0,0.0,29.0,0.0,74.0,0,0
18:49:11,0.0,103.0,70.0,0.0,29.0,0.0,69.0,0,0
18:49:12,0.0,130.0,70.0,0.0,29.0,0.0,50.0,0,0
18:49:13,0.0,165.0,71.0,0.0,29.0,0.0,58.0,0,0
18:49:14,0.0,117.0,71.0,0.0,29.0,0.0,90.0,0,0
18:49:15,0.0,81.0,71.0,0.0,29.0,0.0,38.0,0,0
18:49:16,0.0,211.0,72.0,0.0,29.0,0.0,78.0,0,0
18:49:17,0.0,153.0,72.0,0.0,29.0,0.0,51.0,0,0
18:49:18,0.0,65.0,72.0,0.0,29.0,0.0,6.0,0,0
18:49:19,0.0,224.0,72.0,0.0,29.0,0.0,57.0,0,0
18:49:20,0.0,178.0,72.0,0.0,29.0,0.0,68.0,0,0
18:49:21,0.0,213.0,73.0,0.0,29.0,0.0,43.0,0,0
18:49:22,0.0,233.0,73.0,0.0,29.0,0.0,58.0,0,0
18:49:23,0.0,138.0,74.0,0.0,29.0,0.0,50.0,0,0
18:49:24,0.0,86.0,75.0,0.0,29.0,0.0,18.0,0,0
18:49:25,0.0,36.0,75.0,0.0,29.0,0.0,79.0,0,0
18:49:26,0.0,133.0,75.0,0.0,29.0,0.0,42.0,0,0
18:49:27,0.0,161.0,75.0,0.0,29.0,0.0,41.0,0,0
18:49:28,0.0,267.0,76.0,0.0,29.0,0.0,71.0,0,0
18:49:29,0.0,240.0,77.0,0.0,29.0,0.0,38.0,0,0
18:49:30,0.0,217.0,77.0,0.0,29.0,0.0,48.0,0,0
18:49:31,0.0,217.0,78.0,0.0,29.0,0.0,38.0,0,0
18:49:32,0.0,216.0,78.0,0.0,29.0,0.0,40.0,0,0
18:49:33,0.0,291.0,79.0,0.0,29.0,0.0,54.0,0,0
18:49:34,0.0,90.0,80.0,0.0,29.0,0.0,52.0,0,0
18:49:35,0.0,38.0,81.0,0.0,29.0,0.0,67.0,0,0
18:49:36,0.0,22.0,80.0,0.0,29.0,0.0,62.0,0,0
18:49:37,0.0,342.0,79.0,0.0,29.0,0.0,52.0,0,0
18:49:38,0.0,358.0,82.0,0.0,29.0,0.0,62.0,0,0
18:49:39,0.0,283.0,83.0,0.0,29.0,0.0,62.0,0,0
18:49:40,0.0,304.0,83.0,0.0,29.0,0.0,58.0,0,0
18:49:41,0.0,258.0,84.0,0.0,29.0,0.0,62.0,0,0
18:49:42,0.0,314.0,85.0,0.0,29.0,0.0,57.0,0,0
18:49:43,0.0,221.0,85.0,0.0,29.0,0.0,35.0,0,0
18:49:44,0.0,286.0,86.0,0.0,29.0,0.0,61.0,0,0
18:49:45,0.0,221.0,87.0,0.0,29.0,0.0,41.0,0,0
18:49:46,0.0,346.0,89.0,0.0,29.0,0.0,50.0,0,0
